model,experiment,year,sfcWind
ACCESS-CM2,historical,1960.00000000,4.47178364
ACCESS-CM2,historical,1961.00000000,3.50331330
ACCESS-CM2,historical,1962.00000000,3.91849828
ACCESS-CM2,historical,1963.00000000,3.45583081
ACCESS-CM2,historical,1964.00000000,4.10833216
ACCESS-CM2,historical,1965.00000000,3.30282378
ACCESS-CM2,historical,1966.00000000,3.87718320
ACCESS-CM2,historical,1967.00000000,3.45496941
ACCESS-CM2,historical,1968.00000000,3.70842552
ACCESS-CM2,historical,1969.00000000,3.99437022
ACCESS-CM2,historical,1970.00000000,3.40668392
ACCESS-CM2,historical,1971.00000000,3.65682769
ACCESS-CM2,historical,1972.00000000,3.82780194
ACCESS-CM2,historical,1973.00000000,3.66444683
ACCESS-CM2,historical,1974.00000000,3.54295993
ACCESS-CM2,historical,1975.00000000,3.74576259
ACCESS-CM2,historical,1976.00000000,3.67781568
ACCESS-CM2,historical,1977.00000000,3.63046956
ACCESS-CM2,historical,1978.00000000,3.48231506
ACCESS-CM2,historical,1979.00000000,3.82332540
ACCESS-CM2,historical,1980.00000000,3.35624051
ACCESS-CM2,historical,1981.00000000,3.99238276
ACCESS-CM2,historical,1982.00000000,3.81917644
ACCESS-CM2,historical,1983.00000000,4.06521845
ACCESS-CM2,historical,1984.00000000,3.36568999
ACCESS-CM2,historical,1985.00000000,3.36495972
ACCESS-CM2,historical,1986.00000000,3.79821587
ACCESS-CM2,historical,1987.00000000,3.27009749
ACCESS-CM2,historical,1988.00000000,3.43406224
ACCESS-CM2,historical,1989.00000000,3.71594334
ACCESS-CM2,historical,1990.00000000,3.18962789
ACCESS-CM2,historical,1991.00000000,3.22243762
ACCESS-CM2,historical,1992.00000000,3.61653924
ACCESS-CM2,historical,1993.00000000,2.85889506
ACCESS-CM2,historical,1994.00000000,3.46378064
ACCESS-CM2,historical,1995.00000000,3.42289639
ACCESS-CM2,historical,1996.00000000,3.41086602
ACCESS-CM2,historical,1997.00000000,3.26629949
ACCESS-CM2,historical,1998.00000000,3.03621101
ACCESS-CM2,historical,1999.00000000,3.95913672
ACCESS-CM2,historical,2000.00000000,4.33766985
ACCESS-CM2,historical,2001.00000000,3.38468003
ACCESS-CM2,historical,2002.00000000,4.16185808
ACCESS-CM2,historical,2003.00000000,3.27377534
ACCESS-CM2,historical,2004.00000000,4.00939131
ACCESS-CM2,historical,2005.00000000,2.86644483
ACCESS-CM2,historical,2006.00000000,3.76171327
ACCESS-CM2,historical,2007.00000000,3.46540761
ACCESS-CM2,historical,2008.00000000,4.10814714
ACCESS-CM2,historical,2009.00000000,4.15805578
ACCESS-CM2,historical,2010.00000000,3.61437798
ACCESS-CM2,historical,2011.00000000,3.20766068
ACCESS-CM2,historical,2012.00000000,3.59845519
ACCESS-CM2,historical,2013.00000000,3.35204697
ACCESS-CM2,historical,2014.00000000,4.12730885
ACCESS-CM2,historical,2015.00000000,3.90165567
ACCESS-CM2,ssp126,2015.00000000,3.80051947
ACCESS-CM2,ssp126,2016.00000000,3.13344288
ACCESS-CM2,ssp126,2017.00000000,3.59423065
ACCESS-CM2,ssp126,2018.00000000,3.41863036
ACCESS-CM2,ssp126,2019.00000000,3.47964692
ACCESS-CM2,ssp126,2020.00000000,3.12942529
ACCESS-CM2,ssp126,2021.00000000,3.45262074
ACCESS-CM2,ssp126,2022.00000000,3.35577106
ACCESS-CM2,ssp126,2023.00000000,3.11551404
ACCESS-CM2,ssp126,2024.00000000,3.85530162
ACCESS-CM2,ssp126,2025.00000000,3.77084661
ACCESS-CM2,ssp126,2026.00000000,4.01245451
ACCESS-CM2,ssp126,2027.00000000,4.17557764
ACCESS-CM2,ssp126,2028.00000000,2.96691012
ACCESS-CM2,ssp126,2029.00000000,3.89348912
ACCESS-CM2,ssp126,2030.00000000,3.36181903
ACCESS-CM2,ssp126,2031.00000000,4.00416899
ACCESS-CM2,ssp126,2032.00000000,3.81442380
ACCESS-CM2,ssp126,2033.00000000,3.21785355
ACCESS-CM2,ssp126,2034.00000000,3.88995266
ACCESS-CM2,ssp126,2035.00000000,3.35586476
ACCESS-CM2,ssp126,2036.00000000,3.38917470
ACCESS-CM2,ssp126,2037.00000000,3.17828441
ACCESS-CM2,ssp126,2038.00000000,3.44509912
ACCESS-CM2,ssp126,2039.00000000,3.27019310
ACCESS-CM2,ssp126,2040.00000000,3.54544830
ACCESS-CM2,ssp126,2041.00000000,3.57481098
ACCESS-CM2,ssp126,2042.00000000,3.64570975
ACCESS-CM2,ssp126,2043.00000000,3.01812100
ACCESS-CM2,ssp126,2044.00000000,3.19168210
ACCESS-CM2,ssp126,2045.00000000,3.02927613
ACCESS-CM2,ssp126,2046.00000000,3.59540963
ACCESS-CM2,ssp126,2047.00000000,3.05995083
ACCESS-CM2,ssp126,2048.00000000,3.76502967
ACCESS-CM2,ssp126,2049.00000000,3.60128665
ACCESS-CM2,ssp126,2050.00000000,3.37765694
ACCESS-CM2,ssp126,2051.00000000,3.88976026
ACCESS-CM2,ssp126,2052.00000000,2.91016102
ACCESS-CM2,ssp126,2053.00000000,3.54798317
ACCESS-CM2,ssp126,2054.00000000,3.13090324
ACCESS-CM2,ssp126,2055.00000000,3.24523067
ACCESS-CM2,ssp126,2056.00000000,3.15404034
ACCESS-CM2,ssp126,2057.00000000,3.42978549
ACCESS-CM2,ssp126,2058.00000000,3.92888260
ACCESS-CM2,ssp126,2059.00000000,3.12745953
ACCESS-CM2,ssp126,2060.00000000,4.04859543
ACCESS-CM2,ssp126,2061.00000000,3.71896434
ACCESS-CM2,ssp126,2062.00000000,3.96712136
ACCESS-CM2,ssp126,2063.00000000,3.48399615
ACCESS-CM2,ssp126,2064.00000000,3.61810613
ACCESS-CM2,ssp126,2065.00000000,3.27944207
ACCESS-CM2,ssp126,2066.00000000,3.37116647
ACCESS-CM2,ssp126,2067.00000000,3.36000824
ACCESS-CM2,ssp126,2068.00000000,3.06722188
ACCESS-CM2,ssp126,2069.00000000,3.44608045
ACCESS-CM2,ssp126,2070.00000000,3.50937819
ACCESS-CM2,ssp126,2071.00000000,3.58532882
ACCESS-CM2,ssp126,2072.00000000,3.41669393
ACCESS-CM2,ssp126,2073.00000000,3.90022659
ACCESS-CM2,ssp126,2074.00000000,3.11600947
ACCESS-CM2,ssp126,2075.00000000,4.08542061
ACCESS-CM2,ssp126,2076.00000000,2.95180249
ACCESS-CM2,ssp126,2077.00000000,3.71801734
ACCESS-CM2,ssp126,2078.00000000,3.13112426
ACCESS-CM2,ssp126,2079.00000000,3.47340107
ACCESS-CM2,ssp126,2080.00000000,3.34382176
ACCESS-CM2,ssp126,2081.00000000,3.87688804
ACCESS-CM2,ssp126,2082.00000000,3.21951652
ACCESS-CM2,ssp126,2083.00000000,3.64979386
ACCESS-CM2,ssp126,2084.00000000,3.44962120
ACCESS-CM2,ssp126,2085.00000000,3.46761870
ACCESS-CM2,ssp126,2086.00000000,3.04807162
ACCESS-CM2,ssp126,2087.00000000,3.59802246
ACCESS-CM2,ssp126,2088.00000000,3.40245748
ACCESS-CM2,ssp126,2089.00000000,3.27243328
ACCESS-CM2,ssp126,2090.00000000,2.78543162
ACCESS-CM2,ssp126,2091.00000000,3.83046269
ACCESS-CM2,ssp126,2092.00000000,3.17822576
ACCESS-CM2,ssp126,2093.00000000,3.20190048
ACCESS-CM2,ssp126,2094.00000000,3.40679526
ACCESS-CM2,ssp126,2095.00000000,3.53269362
ACCESS-CM2,ssp126,2096.00000000,4.43888092
ACCESS-CM2,ssp126,2097.00000000,3.09995937
ACCESS-CM2,ssp126,2098.00000000,3.12948036
ACCESS-CM2,ssp126,2099.00000000,3.46075892
ACCESS-CM2,ssp126,2100.00000000,3.50177026
ACCESS-CM2,ssp245,2015.00000000,4.04670811
ACCESS-CM2,ssp245,2016.00000000,3.74465847
ACCESS-CM2,ssp245,2017.00000000,3.79543805
ACCESS-CM2,ssp245,2018.00000000,3.44032073
ACCESS-CM2,ssp245,2019.00000000,3.71654320
ACCESS-CM2,ssp245,2020.00000000,3.10380673
ACCESS-CM2,ssp245,2021.00000000,3.44068170
ACCESS-CM2,ssp245,2022.00000000,3.31872177
ACCESS-CM2,ssp245,2023.00000000,3.65295792
ACCESS-CM2,ssp245,2024.00000000,3.37208915
ACCESS-CM2,ssp245,2025.00000000,3.68073392
