model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,5.85384941
ACCESS-CM2,historical,1961,7.14764690
ACCESS-CM2,historical,1962,4.97385216
ACCESS-CM2,historical,1963,6.96896029
ACCESS-CM2,historical,1964,6.08981991
ACCESS-CM2,historical,1965,6.31368160
ACCESS-CM2,historical,1966,6.60257912
ACCESS-CM2,historical,1967,5.62988663
ACCESS-CM2,historical,1968,6.57879543
ACCESS-CM2,historical,1969,5.89382267
ACCESS-CM2,historical,1970,7.10731363
ACCESS-CM2,historical,1971,6.55313778
ACCESS-CM2,historical,1972,5.95905781
ACCESS-CM2,historical,1973,6.77273417
ACCESS-CM2,historical,1974,6.05893612
ACCESS-CM2,historical,1975,5.26518106
ACCESS-CM2,historical,1976,5.55924416
ACCESS-CM2,historical,1977,7.69261980
ACCESS-CM2,historical,1978,7.04464912
ACCESS-CM2,historical,1979,6.09823895
ACCESS-CM2,historical,1980,5.75222731
ACCESS-CM2,historical,1981,6.52280617
ACCESS-CM2,historical,1982,6.67210197
ACCESS-CM2,historical,1983,5.78532791
ACCESS-CM2,historical,1984,5.08091497
ACCESS-CM2,historical,1985,5.73446417
ACCESS-CM2,historical,1986,5.73431158
ACCESS-CM2,historical,1987,5.76250267
ACCESS-CM2,historical,1988,6.38516808
ACCESS-CM2,historical,1989,5.30687046
ACCESS-CM2,historical,1990,5.78146601
ACCESS-CM2,historical,1991,5.49188232
ACCESS-CM2,historical,1992,5.67845249
ACCESS-CM2,historical,1993,6.02286386
ACCESS-CM2,historical,1994,5.92648363
ACCESS-CM2,historical,1995,5.67587709
ACCESS-CM2,historical,1996,5.96467352
ACCESS-CM2,historical,1997,5.02085495
ACCESS-CM2,historical,1998,5.77237797
ACCESS-CM2,historical,1999,7.35914135
ACCESS-CM2,historical,2000,6.09797525
ACCESS-CM2,historical,2001,8.54249001
ACCESS-CM2,historical,2002,4.96775341
ACCESS-CM2,historical,2003,6.19080067
ACCESS-CM2,historical,2004,5.55734110
ACCESS-CM2,historical,2005,6.65539980
ACCESS-CM2,historical,2006,5.78156376
ACCESS-CM2,historical,2007,9.31879330
ACCESS-CM2,historical,2008,8.01826191
ACCESS-CM2,historical,2009,6.55716228
ACCESS-CM2,historical,2010,5.38551807
ACCESS-CM2,historical,2011,7.06663895
ACCESS-CM2,historical,2012,5.55763960
ACCESS-CM2,historical,2013,6.09129524
ACCESS-CM2,historical,2014,6.32077169
ACCESS-CM2,ssp126,2015,4.40702677
ACCESS-CM2,ssp126,2016,6.75588274
ACCESS-CM2,ssp126,2017,6.28102875
ACCESS-CM2,ssp126,2018,6.28533030
ACCESS-CM2,ssp126,2019,5.25755215
ACCESS-CM2,ssp126,2020,7.01486444
ACCESS-CM2,ssp126,2021,5.80957794
