model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,7.37383318
ACCESS-CM2,historical,1961,7.68078375
ACCESS-CM2,historical,1962,7.00596952
ACCESS-CM2,historical,1963,8.36947823
ACCESS-CM2,historical,1964,7.53393364
ACCESS-CM2,historical,1965,7.92917919
ACCESS-CM2,historical,1966,8.07478428
ACCESS-CM2,historical,1967,7.69013405
ACCESS-CM2,historical,1968,7.50594664
ACCESS-CM2,historical,1969,6.76595688
ACCESS-CM2,historical,1970,7.65761518
ACCESS-CM2,historical,1971,7.76590061
ACCESS-CM2,historical,1972,7.35909510
ACCESS-CM2,historical,1973,7.93845797
ACCESS-CM2,historical,1974,7.20512867
ACCESS-CM2,historical,1975,7.30769300
ACCESS-CM2,historical,1976,7.16341448
ACCESS-CM2,historical,1977,7.74429226
ACCESS-CM2,historical,1978,8.38685608
ACCESS-CM2,historical,1979,7.72319555
ACCESS-CM2,historical,1980,7.59202814
ACCESS-CM2,historical,1981,7.84562111
ACCESS-CM2,historical,1982,8.05989075
ACCESS-CM2,historical,1983,7.68683147
ACCESS-CM2,historical,1984,7.18749571
ACCESS-CM2,historical,1985,7.24028778
ACCESS-CM2,historical,1986,7.11394978
ACCESS-CM2,historical,1987,7.15301800
ACCESS-CM2,historical,1988,7.36923409
ACCESS-CM2,historical,1989,6.31380701
ACCESS-CM2,historical,1990,7.46827221
ACCESS-CM2,historical,1991,7.37070847
ACCESS-CM2,historical,1992,7.08090830
ACCESS-CM2,historical,1993,6.85889006
ACCESS-CM2,historical,1994,7.52069187
ACCESS-CM2,historical,1995,6.77702045
ACCESS-CM2,historical,1996,6.81484509
ACCESS-CM2,historical,1997,6.47645664
ACCESS-CM2,historical,1998,7.30983448
ACCESS-CM2,historical,1999,8.26682281
ACCESS-CM2,historical,2000,7.10262012
ACCESS-CM2,historical,2001,8.68591499
ACCESS-CM2,historical,2002,6.91466045
ACCESS-CM2,historical,2003,7.72913837
ACCESS-CM2,historical,2004,6.91839838
ACCESS-CM2,historical,2005,7.45919275
ACCESS-CM2,historical,2006,6.62098837
ACCESS-CM2,historical,2007,8.83555031
ACCESS-CM2,historical,2008,8.43427658
ACCESS-CM2,historical,2009,7.50623846
ACCESS-CM2,historical,2010,6.87044764
ACCESS-CM2,historical,2011,7.93417120
ACCESS-CM2,historical,2012,7.06310606
ACCESS-CM2,historical,2013,7.29792213
ACCESS-CM2,historical,2014,7.12615252
ACCESS-CM2,ssp126,2015,6.67273283
ACCESS-CM2,ssp126,2016,7.48007250
ACCESS-CM2,ssp126,2017,7.97427368
ACCESS-CM2,ssp126,2018,7.40519476
ACCESS-CM2,ssp126,2019,6.89434290
ACCESS-CM2,ssp126,2020,7.91572857
ACCESS-CM2,ssp126,2021,7.36371660
ACCESS-CM2,ssp126,2022,6.62994289
ACCESS-CM2,ssp126,2023,7.25107765
ACCESS-CM2,ssp126,2024,7.32594013
ACCESS-CM2,ssp126,2025,7.75539255
ACCESS-CM2,ssp126,2026,8.78147221
ACCESS-CM2,ssp126,2027,7.30610371
ACCESS-CM2,ssp126,2028,7.37096453
ACCESS-CM2,ssp126,2029,6.70577717
ACCESS-CM2,ssp126,2030,7.87067795
ACCESS-CM2,ssp126,2031,7.91455889
ACCESS-CM2,ssp126,2032,6.44740486
ACCESS-CM2,ssp126,2033,7.92867947
ACCESS-CM2,ssp126,2034,7.81622696
ACCESS-CM2,ssp126,2035,7.53266430
ACCESS-CM2,ssp126,2036,7.28408670
ACCESS-CM2,ssp126,2037,7.09639263
ACCESS-CM2,ssp126,2038,7.15101290
ACCESS-CM2,ssp126,2039,6.54705620
ACCESS-CM2,ssp126,2040,7.88684416
ACCESS-CM2,ssp126,2041,7.31811428
ACCESS-CM2,ssp126,2042,6.86343908
ACCESS-CM2,ssp126,2043,6.92675114
ACCESS-CM2,ssp126,2044,6.91101217
ACCESS-CM2,ssp126,2045,7.86341524
ACCESS-CM2,ssp126,2046,7.32160568
ACCESS-CM2,ssp126,2047,7.86614609
ACCESS-CM2,ssp126,2048,8.41818428
ACCESS-CM2,ssp126,2049,6.75648689
ACCESS-CM2,ssp126,2050,8.07587528
ACCESS-CM2,ssp126,2051,6.40837622
ACCESS-CM2,ssp126,2052,7.27297974
ACCESS-CM2,ssp126,2053,7.30192661
ACCESS-CM2,ssp126,2054,7.01294136
ACCESS-CM2,ssp126,2055,6.63513374
ACCESS-CM2,ssp126,2056,6.71110678
ACCESS-CM2,ssp126,2057,7.52288151
ACCESS-CM2,ssp126,2058,7.12017870
ACCESS-CM2,ssp126,2059,7.88903570
ACCESS-CM2,ssp126,2060,8.09498119
ACCESS-CM2,ssp126,2061,7.32012653
ACCESS-CM2,ssp126,2062,7.00987720
ACCESS-CM2,ssp126,2063,8.22149372
ACCESS-CM2,ssp126,2064,6.80729151
