model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,5.68512249
ACCESS-CM2,historical,1961,6.60444355
ACCESS-CM2,historical,1962,5.01532316
ACCESS-CM2,historical,1963,6.88372564
ACCESS-CM2,historical,1964,6.35733509
ACCESS-CM2,historical,1965,5.87915277
ACCESS-CM2,historical,1966,6.25950527
ACCESS-CM2,historical,1967,5.47454882
ACCESS-CM2,historical,1968,6.72284985
ACCESS-CM2,historical,1969,5.86578131
ACCESS-CM2,historical,1970,6.66230965
ACCESS-CM2,historical,1971,6.41847324
ACCESS-CM2,historical,1972,5.13825607
ACCESS-CM2,historical,1973,6.62832546
ACCESS-CM2,historical,1974,5.79344320
ACCESS-CM2,historical,1975,5.07326794
ACCESS-CM2,historical,1976,5.55163240
ACCESS-CM2,historical,1977,7.25251770
ACCESS-CM2,historical,1978,6.51009035
ACCESS-CM2,historical,1979,6.12385607
ACCESS-CM2,historical,1980,5.49071598
ACCESS-CM2,historical,1981,6.80098295
ACCESS-CM2,historical,1982,6.01884747
ACCESS-CM2,historical,1983,5.90953350
ACCESS-CM2,historical,1984,5.27230024
ACCESS-CM2,historical,1985,5.53276873
ACCESS-CM2,historical,1986,5.88687658
ACCESS-CM2,historical,1987,5.44324732
ACCESS-CM2,historical,1988,6.03905010
ACCESS-CM2,historical,1989,5.08962917
ACCESS-CM2,historical,1990,5.59983349
ACCESS-CM2,historical,1991,5.41709471
ACCESS-CM2,historical,1992,5.53266096
ACCESS-CM2,historical,1993,5.52200460
ACCESS-CM2,historical,1994,5.94962311
ACCESS-CM2,historical,1995,5.96614265
ACCESS-CM2,historical,1996,5.85341549
ACCESS-CM2,historical,1997,4.71970081
ACCESS-CM2,historical,1998,5.42791462
ACCESS-CM2,historical,1999,6.95714378
ACCESS-CM2,historical,2000,6.24335575
ACCESS-CM2,historical,2001,7.71044922
ACCESS-CM2,historical,2002,5.09764862
ACCESS-CM2,historical,2003,5.45873070
ACCESS-CM2,historical,2004,5.13824940
ACCESS-CM2,historical,2005,6.16564178
ACCESS-CM2,historical,2006,5.40200520
ACCESS-CM2,historical,2007,8.34535599
ACCESS-CM2,historical,2008,7.76697588
ACCESS-CM2,historical,2009,6.23962402
ACCESS-CM2,historical,2010,5.20043516
ACCESS-CM2,historical,2011,6.78177214
ACCESS-CM2,historical,2012,5.52219534
ACCESS-CM2,historical,2013,6.08835697
ACCESS-CM2,historical,2014,6.04106426
ACCESS-CM2,ssp126,2015,4.23300552
ACCESS-CM2,ssp126,2016,6.68889856
ACCESS-CM2,ssp126,2017,6.53242922
ACCESS-CM2,ssp126,2018,5.96437359
ACCESS-CM2,ssp126,2019,5.07744789
ACCESS-CM2,ssp126,2020,6.56990004
ACCESS-CM2,ssp126,2021,5.68201017
ACCESS-CM2,ssp126,2022,5.14820099
ACCESS-CM2,ssp126,2023,5.52502108
ACCESS-CM2,ssp126,2024,5.74175978
ACCESS-CM2,ssp126,2025,5.79189587
ACCESS-CM2,ssp126,2026,7.33234930
ACCESS-CM2,ssp126,2027,5.57309675
ACCESS-CM2,ssp126,2028,6.44414759
ACCESS-CM2,ssp126,2029,5.13956499
ACCESS-CM2,ssp126,2030,6.78800058
ACCESS-CM2,ssp126,2031,6.79705095
ACCESS-CM2,ssp126,2032,4.40104103
ACCESS-CM2,ssp126,2033,6.65939379
ACCESS-CM2,ssp126,2034,5.95328760
ACCESS-CM2,ssp126,2035,6.50448847
ACCESS-CM2,ssp126,2036,5.49582577
ACCESS-CM2,ssp126,2037,6.41419888
ACCESS-CM2,ssp126,2038,5.33496094
ACCESS-CM2,ssp126,2039,5.62565470
ACCESS-CM2,ssp126,2040,6.36310482
ACCESS-CM2,ssp126,2041,5.61475468
ACCESS-CM2,ssp126,2042,5.35825968
ACCESS-CM2,ssp126,2043,5.44068623
ACCESS-CM2,ssp126,2044,5.67745495
ACCESS-CM2,ssp126,2045,6.28190279
ACCESS-CM2,ssp126,2046,5.66153717
ACCESS-CM2,ssp126,2047,5.66346407
ACCESS-CM2,ssp126,2048,7.25520945
ACCESS-CM2,ssp126,2049,6.03480434
ACCESS-CM2,ssp126,2050,6.50191689
ACCESS-CM2,ssp126,2051,4.88525295
ACCESS-CM2,ssp126,2052,6.50918484
ACCESS-CM2,ssp126,2053,5.73122883
ACCESS-CM2,ssp126,2054,6.16729403
ACCESS-CM2,ssp126,2055,4.80891323
ACCESS-CM2,ssp126,2056,4.75018311
ACCESS-CM2,ssp126,2057,6.50159502
ACCESS-CM2,ssp126,2058,6.02134800
ACCESS-CM2,ssp126,2059,7.45513964
ACCESS-CM2,ssp126,2060,6.71561670
ACCESS-CM2,ssp126,2061,5.18829870
ACCESS-CM2,ssp126,2062,5.88367319
ACCESS-CM2,ssp126,2063,7.06354189
ACCESS-CM2,ssp126,2064,5.51647282
ACCESS-CM2,ssp126,2065,5.02420568
ACCESS-CM2,ssp126,2066,6.72697639
ACCESS-CM2,ssp126,2067,5.43961191
ACCESS-CM2,ssp126,2068,5.87840033
ACCESS-CM2,ssp126,2069,5.32436037
ACCESS-CM2,ssp126,2070,6.45554638
ACCESS-CM2,ssp126,2071,5.39535046
ACCESS-CM2,ssp126,2072,6.85062218
ACCESS-CM2,ssp126,2073,5.07356501
ACCESS-CM2,ssp126,2074,6.62982273
ACCESS-CM2,ssp126,2075,4.99392033
ACCESS-CM2,ssp126,2076,6.98466682
ACCESS-CM2,ssp126,2077,5.91555071
ACCESS-CM2,ssp126,2078,6.48207808
ACCESS-CM2,ssp126,2079,5.72005415
ACCESS-CM2,ssp126,2080,6.43559647
ACCESS-CM2,ssp126,2081,6.00695229
ACCESS-CM2,ssp126,2082,5.56170177
ACCESS-CM2,ssp126,2083,5.25075102
ACCESS-CM2,ssp126,2084,7.01432371
ACCESS-CM2,ssp126,2085,6.53575230
ACCESS-CM2,ssp126,2086,6.09201574
ACCESS-CM2,ssp126,2087,6.04514217
ACCESS-CM2,ssp126,2088,6.06122589
ACCESS-CM2,ssp126,2089,4.13864660
ACCESS-CM2,ssp126,2090,6.67554855
ACCESS-CM2,ssp126,2091,5.84966993
ACCESS-CM2,ssp126,2092,5.20376682
ACCESS-CM2,ssp126,2093,5.60674477
ACCESS-CM2,ssp126,2094,6.32981253
ACCESS-CM2,ssp126,2095,7.14206219
ACCESS-CM2,ssp126,2096,5.46321917
ACCESS-CM2,ssp126,2097,6.32185507
ACCESS-CM2,ssp126,2098,6.52662659
ACCESS-CM2,ssp126,2099,6.53348303
ACCESS-CM2,ssp126,2100,
ACCESS-CM2,ssp245,2015,6.00039768
ACCESS-CM2,ssp245,2016,8.05487537
ACCESS-CM2,ssp245,2017,5.61588812
ACCESS-CM2,ssp245,2018,6.03877687
ACCESS-CM2,ssp245,2019,6.14383888
ACCESS-CM2,ssp245,2020,6.37503195
ACCESS-CM2,ssp245,2021,5.44187403
ACCESS-CM2,ssp245,2022,5.62075806
ACCESS-CM2,ssp245,2023,5.91417646
ACCESS-CM2,ssp245,2024,6.08815479
ACCESS-CM2,ssp245,2025,5.46754551
