model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,3.76330495
ACCESS-CM2,historical,1961,4.01338100
ACCESS-CM2,historical,1962,3.20804691
ACCESS-CM2,historical,1963,4.37493563
ACCESS-CM2,historical,1964,3.50941825
ACCESS-CM2,historical,1965,4.21228838
ACCESS-CM2,historical,1966,3.99074554
ACCESS-CM2,historical,1967,3.49760652
ACCESS-CM2,historical,1968,3.97381449
ACCESS-CM2,historical,1969,3.33762169
ACCESS-CM2,historical,1970,4.11922932
ACCESS-CM2,historical,1971,3.88797808
ACCESS-CM2,historical,1972,3.83238196
ACCESS-CM2,historical,1973,4.19758320
ACCESS-CM2,historical,1974,3.42562509
ACCESS-CM2,historical,1975,3.02737308
ACCESS-CM2,historical,1976,3.29834676
ACCESS-CM2,historical,1977,4.26998949
ACCESS-CM2,historical,1978,4.42547321
ACCESS-CM2,historical,1979,3.83060575
ACCESS-CM2,historical,1980,3.62373400
ACCESS-CM2,historical,1981,3.77514410
ACCESS-CM2,historical,1982,4.18710041
ACCESS-CM2,historical,1983,3.68838811
ACCESS-CM2,historical,1984,3.29456234
ACCESS-CM2,historical,1985,3.38038158
ACCESS-CM2,historical,1986,3.43291116
ACCESS-CM2,historical,1987,3.51601505
ACCESS-CM2,historical,1988,3.73661828
ACCESS-CM2,historical,1989,3.11545849
ACCESS-CM2,historical,1990,3.38363910
ACCESS-CM2,historical,1991,3.25450587
ACCESS-CM2,historical,1992,3.28855610
ACCESS-CM2,historical,1993,3.45315814
ACCESS-CM2,historical,1994,3.46802831
ACCESS-CM2,historical,1995,3.31146860
ACCESS-CM2,historical,1996,3.32775736
ACCESS-CM2,historical,1997,3.20544696
ACCESS-CM2,historical,1998,3.71117401
ACCESS-CM2,historical,1999,4.42742777
ACCESS-CM2,historical,2000,3.67296791
ACCESS-CM2,historical,2001,4.97653913
ACCESS-CM2,historical,2002,2.99352431
ACCESS-CM2,historical,2003,3.94005275
ACCESS-CM2,historical,2004,3.20051694
ACCESS-CM2,historical,2005,3.82269740
ACCESS-CM2,historical,2006,3.20909619
ACCESS-CM2,historical,2007,5.02632952
ACCESS-CM2,historical,2008,4.72269201
ACCESS-CM2,historical,2009,3.84298778
ACCESS-CM2,historical,2010,3.18573737
ACCESS-CM2,historical,2011,3.95153308
ACCESS-CM2,historical,2012,3.51429844
ACCESS-CM2,historical,2013,3.69134450
ACCESS-CM2,historical,2014,3.90165567
ACCESS-CM2,ssp126,2015,2.71820331
ACCESS-CM2,ssp126,2016,3.61490560
ACCESS-CM2,ssp126,2017,3.70699620
ACCESS-CM2,ssp126,2018,3.90761590
ACCESS-CM2,ssp126,2019,3.09978151
ACCESS-CM2,ssp126,2020,4.15621185
ACCESS-CM2,ssp126,2021,3.46034789
ACCESS-CM2,ssp126,2022,3.14351153
ACCESS-CM2,ssp126,2023,3.40062785
ACCESS-CM2,ssp126,2024,3.39396405
ACCESS-CM2,ssp126,2025,3.62571120
ACCESS-CM2,ssp126,2026,4.69067049
ACCESS-CM2,ssp126,2027,3.30399799
ACCESS-CM2,ssp126,2028,4.00904846
ACCESS-CM2,ssp126,2029,3.54877329
ACCESS-CM2,ssp126,2030,4.18667316
ACCESS-CM2,ssp126,2031,4.09431505
ACCESS-CM2,ssp126,2032,2.75306726
ACCESS-CM2,ssp126,2033,4.13666630
ACCESS-CM2,ssp126,2034,3.72044778
ACCESS-CM2,ssp126,2035,3.73117495
ACCESS-CM2,ssp126,2036,3.72391605
ACCESS-CM2,ssp126,2037,3.57883620
ACCESS-CM2,ssp126,2038,3.28869987
ACCESS-CM2,ssp126,2039,3.41905808
ACCESS-CM2,ssp126,2040,4.02693033
ACCESS-CM2,ssp126,2041,3.48451638
ACCESS-CM2,ssp126,2042,3.32400703
ACCESS-CM2,ssp126,2043,2.88490200
ACCESS-CM2,ssp126,2044,3.18386078
ACCESS-CM2,ssp126,2045,3.97396851
ACCESS-CM2,ssp126,2046,3.22910094
ACCESS-CM2,ssp126,2047,3.86560941
ACCESS-CM2,ssp126,2048,4.49895525
ACCESS-CM2,ssp126,2049,3.39207745
ACCESS-CM2,ssp126,2050,4.49598074
ACCESS-CM2,ssp126,2051,2.61493158
ACCESS-CM2,ssp126,2052,3.55645609
ACCESS-CM2,ssp126,2053,3.21838999
ACCESS-CM2,ssp126,2054,3.82536054
ACCESS-CM2,ssp126,2055,2.83374476
ACCESS-CM2,ssp126,2056,3.07428813
ACCESS-CM2,ssp126,2057,3.89646649
ACCESS-CM2,ssp126,2058,3.26440740
ACCESS-CM2,ssp126,2059,4.54121733
ACCESS-CM2,ssp126,2060,4.00122213
ACCESS-CM2,ssp126,2061,3.66732025
ACCESS-CM2,ssp126,2062,3.39145708
ACCESS-CM2,ssp126,2063,4.42356062
ACCESS-CM2,ssp126,2064,3.21552372
ACCESS-CM2,ssp126,2065,3.43818831
ACCESS-CM2,ssp126,2066,3.93459320
ACCESS-CM2,ssp126,2067,3.22183442
ACCESS-CM2,ssp126,2068,3.52071762
ACCESS-CM2,ssp126,2069,3.56290555
ACCESS-CM2,ssp126,2070,3.96095538
ACCESS-CM2,ssp126,2071,3.56787658
ACCESS-CM2,ssp126,2072,4.01558971
