model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,8.11593056
ACCESS-CM2,historical,1961,7.59253454
ACCESS-CM2,historical,1962,7.68498468
ACCESS-CM2,historical,1963,7.50109673
ACCESS-CM2,historical,1964,7.84511375
ACCESS-CM2,historical,1965,6.86388350
ACCESS-CM2,historical,1966,6.81062937
ACCESS-CM2,historical,1967,8.16386604
ACCESS-CM2,historical,1968,7.33957624
ACCESS-CM2,historical,1969,7.83555365
ACCESS-CM2,historical,1970,6.71898413
ACCESS-CM2,historical,1971,7.67675209
ACCESS-CM2,historical,1972,8.09340572
ACCESS-CM2,historical,1973,7.31732273
ACCESS-CM2,historical,1974,6.90359735
ACCESS-CM2,historical,1975,7.52933550
ACCESS-CM2,historical,1976,7.28698778
ACCESS-CM2,historical,1977,7.71477127
ACCESS-CM2,historical,1978,6.97046947
ACCESS-CM2,historical,1979,7.07201052
ACCESS-CM2,historical,1980,7.64519405
ACCESS-CM2,historical,1981,8.10746574
ACCESS-CM2,historical,1982,7.58976841
ACCESS-CM2,historical,1983,8.14544868
ACCESS-CM2,historical,1984,7.53341722
ACCESS-CM2,historical,1985,7.13285828
ACCESS-CM2,historical,1986,7.78635025
ACCESS-CM2,historical,1987,6.90646267
ACCESS-CM2,historical,1988,7.27945042
ACCESS-CM2,historical,1989,8.15299892
ACCESS-CM2,historical,1990,7.01289558
ACCESS-CM2,historical,1991,7.15142345
ACCESS-CM2,historical,1992,7.49378061
ACCESS-CM2,historical,1993,6.81253767
ACCESS-CM2,historical,1994,7.60349321
ACCESS-CM2,historical,1995,7.18408966
ACCESS-CM2,historical,1996,7.49560308
ACCESS-CM2,historical,1997,6.56457472
ACCESS-CM2,historical,1998,7.46799469
ACCESS-CM2,historical,1999,7.82210827
ACCESS-CM2,historical,2000,8.15817165
ACCESS-CM2,historical,2001,7.42831135
ACCESS-CM2,historical,2002,7.34240055
ACCESS-CM2,historical,2003,7.96405363
ACCESS-CM2,historical,2004,7.70423174
ACCESS-CM2,historical,2005,6.63430119
ACCESS-CM2,historical,2006,6.88548613
ACCESS-CM2,historical,2007,7.12471390
ACCESS-CM2,historical,2008,7.98788977
ACCESS-CM2,historical,2009,6.96601057
ACCESS-CM2,historical,2010,8.09551430
ACCESS-CM2,historical,2011,6.53354979
ACCESS-CM2,historical,2012,7.50750017
ACCESS-CM2,historical,2013,7.61331034
ACCESS-CM2,historical,2014,7.59423923
ACCESS-CM2,ssp126,2015,7.70012808
ACCESS-CM2,ssp126,2016,7.56679153
ACCESS-CM2,ssp126,2017,7.38130808
ACCESS-CM2,ssp126,2018,7.48798847
ACCESS-CM2,ssp126,2019,7.28257895
ACCESS-CM2,ssp126,2020,6.94090652
ACCESS-CM2,ssp126,2021,7.46590996
ACCESS-CM2,ssp126,2022,6.98270178
ACCESS-CM2,ssp126,2023,6.77299213
ACCESS-CM2,ssp126,2024,7.65397167
ACCESS-CM2,ssp126,2025,7.66499329
ACCESS-CM2,ssp126,2026,8.41959667
ACCESS-CM2,ssp126,2027,7.55151415
ACCESS-CM2,ssp126,2028,7.04099083
ACCESS-CM2,ssp126,2029,7.47991991
ACCESS-CM2,ssp126,2030,6.92788267
ACCESS-CM2,ssp126,2031,8.10121727
ACCESS-CM2,ssp126,2032,7.94152832
ACCESS-CM2,ssp126,2033,7.41573620
ACCESS-CM2,ssp126,2034,7.88221836
ACCESS-CM2,ssp126,2035,6.53102636
ACCESS-CM2,ssp126,2036,6.78666306
ACCESS-CM2,ssp126,2037,7.17359972
ACCESS-CM2,ssp126,2038,7.85774279
ACCESS-CM2,ssp126,2039,7.08420181
ACCESS-CM2,ssp126,2040,7.04423761
ACCESS-CM2,ssp126,2041,7.65065718
ACCESS-CM2,ssp126,2042,7.56565762
