model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,7.17322350
ACCESS-CM2,historical,1961,5.92136669
ACCESS-CM2,historical,1962,6.12536049
ACCESS-CM2,historical,1963,5.44385815
ACCESS-CM2,historical,1964,6.88414478
ACCESS-CM2,historical,1965,5.69219160
ACCESS-CM2,historical,1966,5.74629116
ACCESS-CM2,historical,1967,5.95047379
ACCESS-CM2,historical,1968,6.06514168
ACCESS-CM2,historical,1969,6.46698236
ACCESS-CM2,historical,1970,5.77259874
ACCESS-CM2,historical,1971,5.65329266
ACCESS-CM2,historical,1972,6.37659693
ACCESS-CM2,historical,1973,5.27190256
ACCESS-CM2,historical,1974,4.84755850
ACCESS-CM2,historical,1975,6.13030243
ACCESS-CM2,historical,1976,5.33175993
ACCESS-CM2,historical,1977,6.86685467
ACCESS-CM2,historical,1978,4.64787960
ACCESS-CM2,historical,1979,5.89784670
ACCESS-CM2,historical,1980,6.30676365
ACCESS-CM2,historical,1981,6.65030432
ACCESS-CM2,historical,1982,5.28629303
ACCESS-CM2,historical,1983,7.33872461
ACCESS-CM2,historical,1984,6.26829052
ACCESS-CM2,historical,1985,5.83240557
ACCESS-CM2,historical,1986,6.45315313
ACCESS-CM2,historical,1987,5.51311731
ACCESS-CM2,historical,1988,5.67623091
ACCESS-CM2,historical,1989,6.62209797
ACCESS-CM2,historical,1990,5.64731646
ACCESS-CM2,historical,1991,5.21729088
ACCESS-CM2,historical,1992,6.14786291
ACCESS-CM2,historical,1993,4.96357870
ACCESS-CM2,historical,1994,6.31475735
ACCESS-CM2,historical,1995,5.14234257
ACCESS-CM2,historical,1996,5.79868031
ACCESS-CM2,historical,1997,5.21500683
ACCESS-CM2,historical,1998,4.92655039
ACCESS-CM2,historical,1999,6.60690880
ACCESS-CM2,historical,2000,7.29774904
ACCESS-CM2,historical,2001,4.69734526
ACCESS-CM2,historical,2002,6.15072012
ACCESS-CM2,historical,2003,6.14441490
ACCESS-CM2,historical,2004,6.64123774
ACCESS-CM2,historical,2005,4.83036947
ACCESS-CM2,historical,2006,5.71031141
ACCESS-CM2,historical,2007,5.19454765
ACCESS-CM2,historical,2008,6.51300812
ACCESS-CM2,historical,2009,5.79706049
ACCESS-CM2,historical,2010,5.81748772
ACCESS-CM2,historical,2011,4.72936392
ACCESS-CM2,historical,2012,5.29350328
ACCESS-CM2,historical,2013,5.15725136
ACCESS-CM2,historical,2014,6.25528002
ACCESS-CM2,ssp126,2015,6.21379471
ACCESS-CM2,ssp126,2016,5.79280424
ACCESS-CM2,ssp126,2017,6.06124973
ACCESS-CM2,ssp126,2018,5.98876667
ACCESS-CM2,ssp126,2019,6.04534864
ACCESS-CM2,ssp126,2020,5.10044193
ACCESS-CM2,ssp126,2021,6.51308203
ACCESS-CM2,ssp126,2022,5.09173250
ACCESS-CM2,ssp126,2023,4.17233324
ACCESS-CM2,ssp126,2024,6.30086994
ACCESS-CM2,ssp126,2025,5.41546011
ACCESS-CM2,ssp126,2026,7.86841631
ACCESS-CM2,ssp126,2027,6.25971603
ACCESS-CM2,ssp126,2028,5.26901293
ACCESS-CM2,ssp126,2029,5.80551338
ACCESS-CM2,ssp126,2030,4.94884109
ACCESS-CM2,ssp126,2031,7.64662504
ACCESS-CM2,ssp126,2032,6.42322445
ACCESS-CM2,ssp126,2033,5.95853329
ACCESS-CM2,ssp126,2034,6.72250414
ACCESS-CM2,ssp126,2035,5.59658051
ACCESS-CM2,ssp126,2036,4.95032406
ACCESS-CM2,ssp126,2037,4.95899343
ACCESS-CM2,ssp126,2038,5.12839937
ACCESS-CM2,ssp126,2039,5.32127285
ACCESS-CM2,ssp126,2040,5.16690826
ACCESS-CM2,ssp126,2041,6.25847912
ACCESS-CM2,ssp126,2042,6.29020166
ACCESS-CM2,ssp126,2043,5.12181330
ACCESS-CM2,ssp126,2044,5.59091091
ACCESS-CM2,ssp126,2045,5.08977795
ACCESS-CM2,ssp126,2046,5.32254839
ACCESS-CM2,ssp126,2047,5.41637707
ACCESS-CM2,ssp126,2048,5.62397385
ACCESS-CM2,ssp126,2049,4.72203588
ACCESS-CM2,ssp126,2050,5.11099195
ACCESS-CM2,ssp126,2051,5.96981287
ACCESS-CM2,ssp126,2052,4.63500881
ACCESS-CM2,ssp126,2053,6.61874437
ACCESS-CM2,ssp126,2054,4.79113770
ACCESS-CM2,ssp126,2055,5.04709148
ACCESS-CM2,ssp126,2056,5.17999887
ACCESS-CM2,ssp126,2057,5.34861660
ACCESS-CM2,ssp126,2058,5.91795492
ACCESS-CM2,ssp126,2059,5.75209904
ACCESS-CM2,ssp126,2060,6.57780075
ACCESS-CM2,ssp126,2061,6.23320055
ACCESS-CM2,ssp126,2062,6.59203100
ACCESS-CM2,ssp126,2063,5.36463547
ACCESS-CM2,ssp126,2064,4.92566824
ACCESS-CM2,ssp126,2065,5.06595469
ACCESS-CM2,ssp126,2066,6.07676315
ACCESS-CM2,ssp126,2067,5.63521576
ACCESS-CM2,ssp126,2068,5.81562901
ACCESS-CM2,ssp126,2069,6.25806856
ACCESS-CM2,ssp126,2070,4.98337269
ACCESS-CM2,ssp126,2071,5.38385344
ACCESS-CM2,ssp126,2072,5.52361393
ACCESS-CM2,ssp126,2073,5.93774748
ACCESS-CM2,ssp126,2074,4.64491320
ACCESS-CM2,ssp126,2075,7.51286793
ACCESS-CM2,ssp126,2076,4.77552032
ACCESS-CM2,ssp126,2077,5.74981356
ACCESS-CM2,ssp126,2078,4.87645435
ACCESS-CM2,ssp126,2079,6.12216425
ACCESS-CM2,ssp126,2080,4.58598948
ACCESS-CM2,ssp126,2081,5.70507288
ACCESS-CM2,ssp126,2082,4.65054989
ACCESS-CM2,ssp126,2083,6.24055004
ACCESS-CM2,ssp126,2084,5.36978102
ACCESS-CM2,ssp126,2085,6.10129070
ACCESS-CM2,ssp126,2086,4.58309412
ACCESS-CM2,ssp126,2087,5.94826746
ACCESS-CM2,ssp126,2088,5.87183094
ACCESS-CM2,ssp126,2089,5.27971792
ACCESS-CM2,ssp126,2090,5.59788132
ACCESS-CM2,ssp126,2091,6.30346012
ACCESS-CM2,ssp126,2092,5.64783812
ACCESS-CM2,ssp126,2093,5.40038729
ACCESS-CM2,ssp126,2094,5.32495451
ACCESS-CM2,ssp126,2095,5.96212673
ACCESS-CM2,ssp126,2096,6.50305748
ACCESS-CM2,ssp126,2097,5.58103037
ACCESS-CM2,ssp126,2098,4.18873453
ACCESS-CM2,ssp126,2099,5.56347466
ACCESS-CM2,ssp126,2100,5.59139490
ACCESS-CM2,ssp245,2015,6.34361076
ACCESS-CM2,ssp245,2016,6.18653202
ACCESS-CM2,ssp245,2017,5.05062914
ACCESS-CM2,ssp245,2018,5.67638779
ACCESS-CM2,ssp245,2019,5.73456144
ACCESS-CM2,ssp245,2020,4.60091925
ACCESS-CM2,ssp245,2021,5.41401434
ACCESS-CM2,ssp245,2022,5.31508398
ACCESS-CM2,ssp245,2023,5.39651108
ACCESS-CM2,ssp245,2024,5.53677988
ACCESS-CM2,ssp245,2025,6.17758560
ACCESS-CM2,ssp245,2026,5.79867363
ACCESS-CM2,ssp245,2027,5.60383415
ACCESS-CM2,ssp245,2028,6.77200842
ACCESS-CM2,ssp245,2029,6.04928875
ACCESS-CM2,ssp245,2030,6.27039385
ACCESS-CM2,ssp245,2031,5.34174967
ACCESS-CM2,ssp245,2032,5.82638502
ACCESS-CM2,ssp245,2033,6.08117914
ACCESS-CM2,ssp245,2034,6.26422167
ACCESS-CM2,ssp245,2035,5.17323542
ACCESS-CM2,ssp245,2036,5.73302460
ACCESS-CM2,ssp245,2037,5.21614552
ACCESS-CM2,ssp245,2038,6.25933170
ACCESS-CM2,ssp245,2039,4.55525732
ACCESS-CM2,ssp245,2040,5.49877119
ACCESS-CM2,ssp245,2041,4.85532808
ACCESS-CM2,ssp245,2042,6.01746273
ACCESS-CM2,ssp245,2043,4.76224470
ACCESS-CM2,ssp245,2044,5.79893064
ACCESS-CM2,ssp245,2045,5.53436613
ACCESS-CM2,ssp245,2046,5.20959282
ACCESS-CM2,ssp245,2047,6.45214844
ACCESS-CM2,ssp245,2048,4.75026321
ACCESS-CM2,ssp245,2049,4.99676418
ACCESS-CM2,ssp245,2050,5.36532593
ACCESS-CM2,ssp245,2051,4.65240812
ACCESS-CM2,ssp245,2052,5.13195229
ACCESS-CM2,ssp245,2053,6.12012529
ACCESS-CM2,ssp245,2054,5.17914629
ACCESS-CM2,ssp245,2055,6.70617628
ACCESS-CM2,ssp245,2056,5.40973091
ACCESS-CM2,ssp245,2057,4.73896885
ACCESS-CM2,ssp245,2058,5.48897171
ACCESS-CM2,ssp245,2059,5.19022083
ACCESS-CM2,ssp245,2060,5.35612535
ACCESS-CM2,ssp245,2061,5.64214230
ACCESS-CM2,ssp245,2062,4.23558140
ACCESS-CM2,ssp245,2063,5.28587008
ACCESS-CM2,ssp245,2064,6.25775051
ACCESS-CM2,ssp245,2065,4.96670294
ACCESS-CM2,ssp245,2066,5.81708002
ACCESS-CM2,ssp245,2067,5.05772781
ACCESS-CM2,ssp245,2068,5.16877413
ACCESS-CM2,ssp245,2069,4.58822012
ACCESS-CM2,ssp245,2070,5.88466072
ACCESS-CM2,ssp245,2071,5.14016676
ACCESS-CM2,ssp245,2072,5.76342297
ACCESS-CM2,ssp245,2073,5.61964178
ACCESS-CM2,ssp245,2074,5.62433052
ACCESS-CM2,ssp245,2075,6.18583345
ACCESS-CM2,ssp245,2076,5.99959707
ACCESS-CM2,ssp245,2077,5.46052170
ACCESS-CM2,ssp245,2078,6.77705574
