model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,4.61829901
ACCESS-CM2,historical,1961,3.46704030
ACCESS-CM2,historical,1962,3.50740457
ACCESS-CM2,historical,1963,3.47850680
ACCESS-CM2,historical,1964,3.88985944
ACCESS-CM2,historical,1965,2.91358304
ACCESS-CM2,historical,1966,2.84440470
ACCESS-CM2,historical,1967,3.60518432
ACCESS-CM2,historical,1968,3.77436733
ACCESS-CM2,historical,1969,3.96002507
ACCESS-CM2,historical,1970,3.48603725
ACCESS-CM2,historical,1971,3.07226157
ACCESS-CM2,historical,1972,4.03199005
ACCESS-CM2,historical,1973,3.63405108
ACCESS-CM2,historical,1974,2.89200091
ACCESS-CM2,historical,1975,3.56061864
ACCESS-CM2,historical,1976,3.78455091
ACCESS-CM2,historical,1977,3.93280172
ACCESS-CM2,historical,1978,2.65538073
ACCESS-CM2,historical,1979,3.34161830
ACCESS-CM2,historical,1980,3.34210825
ACCESS-CM2,historical,1981,4.44818068
ACCESS-CM2,historical,1982,3.26640844
ACCESS-CM2,historical,1983,4.53100157
ACCESS-CM2,historical,1984,3.52226090
ACCESS-CM2,historical,1985,3.63814878
ACCESS-CM2,historical,1986,3.89723563
ACCESS-CM2,historical,1987,2.93309474
ACCESS-CM2,historical,1988,3.25589561
ACCESS-CM2,historical,1989,3.91223645
ACCESS-CM2,historical,1990,3.42609811
ACCESS-CM2,historical,1991,3.29787016
ACCESS-CM2,historical,1992,3.31923389
ACCESS-CM2,historical,1993,2.69821692
ACCESS-CM2,historical,1994,3.57443905
ACCESS-CM2,historical,1995,2.92167497
ACCESS-CM2,historical,1996,3.85449409
ACCESS-CM2,historical,1997,2.75081539
ACCESS-CM2,historical,1998,2.94762874
ACCESS-CM2,historical,1999,3.99531221
ACCESS-CM2,historical,2000,4.46313095
ACCESS-CM2,historical,2001,3.18028879
ACCESS-CM2,historical,2002,3.55122232
ACCESS-CM2,historical,2003,3.57289839
ACCESS-CM2,historical,2004,4.36272383
ACCESS-CM2,historical,2005,2.69941258
ACCESS-CM2,historical,2006,3.26109147
ACCESS-CM2,historical,2007,3.31405282
ACCESS-CM2,historical,2008,3.71365547
ACCESS-CM2,historical,2009,3.65512514
ACCESS-CM2,historical,2010,3.31063104
ACCESS-CM2,historical,2011,2.77126002
ACCESS-CM2,historical,2012,2.99687958
ACCESS-CM2,historical,2013,2.87395358
ACCESS-CM2,historical,2014,3.93790483
ACCESS-CM2,ssp126,2015,3.45876884
ACCESS-CM2,ssp126,2016,3.33013773
ACCESS-CM2,ssp126,2017,3.65010858
ACCESS-CM2,ssp126,2018,3.54489946
ACCESS-CM2,ssp126,2019,3.53394723
ACCESS-CM2,ssp126,2020,2.84729648
ACCESS-CM2,ssp126,2021,3.40254998
ACCESS-CM2,ssp126,2022,2.81450558
ACCESS-CM2,ssp126,2023,2.50937843
ACCESS-CM2,ssp126,2024,3.78573966
ACCESS-CM2,ssp126,2025,3.78686905
ACCESS-CM2,ssp126,2026,4.49953604
ACCESS-CM2,ssp126,2027,3.48511744
ACCESS-CM2,ssp126,2028,3.02460194
ACCESS-CM2,ssp126,2029,3.51230860
ACCESS-CM2,ssp126,2030,3.29396224
ACCESS-CM2,ssp126,2031,4.04018354
ACCESS-CM2,ssp126,2032,3.74214935
ACCESS-CM2,ssp126,2033,3.41571188
ACCESS-CM2,ssp126,2034,4.09046173
ACCESS-CM2,ssp126,2035,3.01290178
ACCESS-CM2,ssp126,2036,2.82467103
ACCESS-CM2,ssp126,2037,2.71053147
ACCESS-CM2,ssp126,2038,3.39466810
ACCESS-CM2,ssp126,2039,3.00541854
ACCESS-CM2,ssp126,2040,3.12680912
ACCESS-CM2,ssp126,2041,3.49747014
ACCESS-CM2,ssp126,2042,3.91550064
ACCESS-CM2,ssp126,2043,2.92327332
ACCESS-CM2,ssp126,2044,2.98253202
ACCESS-CM2,ssp126,2045,3.00798082
ACCESS-CM2,ssp126,2046,3.15783906
ACCESS-CM2,ssp126,2047,2.93168497
ACCESS-CM2,ssp126,2048,3.26301742
ACCESS-CM2,ssp126,2049,2.78895068
ACCESS-CM2,ssp126,2050,2.89228177
ACCESS-CM2,ssp126,2051,2.93463564
ACCESS-CM2,ssp126,2052,3.12871218
ACCESS-CM2,ssp126,2053,3.73002768
ACCESS-CM2,ssp126,2054,2.88798070
ACCESS-CM2,ssp126,2055,3.08924913
