model,experiment,year,sfcWind
ACCESS-CM2,historical,1960.00000000,8.65166855
ACCESS-CM2,historical,1961.00000000,7.79070091
ACCESS-CM2,historical,1962.00000000,8.30612564
ACCESS-CM2,historical,1963.00000000,8.49035263
ACCESS-CM2,historical,1964.00000000,8.55557156
ACCESS-CM2,historical,1965.00000000,8.21972370
ACCESS-CM2,historical,1966.00000000,7.59277201
ACCESS-CM2,historical,1967.00000000,7.89879751
ACCESS-CM2,historical,1968.00000000,8.21998978
ACCESS-CM2,historical,1969.00000000,8.12028790
ACCESS-CM2,historical,1970.00000000,7.91952944
ACCESS-CM2,historical,1971.00000000,8.41406536
ACCESS-CM2,historical,1972.00000000,8.45486546
ACCESS-CM2,historical,1973.00000000,7.93253326
ACCESS-CM2,historical,1974.00000000,8.58245754
ACCESS-CM2,historical,1975.00000000,8.74024296
ACCESS-CM2,historical,1976.00000000,7.59678507
ACCESS-CM2,historical,1977.00000000,8.00811768
ACCESS-CM2,historical,1978.00000000,8.21373653
ACCESS-CM2,historical,1979.00000000,8.31568432
ACCESS-CM2,historical,1980.00000000,7.73941994
ACCESS-CM2,historical,1981.00000000,8.33174610
ACCESS-CM2,historical,1982.00000000,8.11567307
ACCESS-CM2,historical,1983.00000000,7.73289061
ACCESS-CM2,historical,1984.00000000,8.34886837
ACCESS-CM2,historical,1985.00000000,8.03591824
ACCESS-CM2,historical,1986.00000000,8.04735756
ACCESS-CM2,historical,1987.00000000,7.79207563
ACCESS-CM2,historical,1988.00000000,8.67780972
ACCESS-CM2,historical,1989.00000000,8.76363850
ACCESS-CM2,historical,1990.00000000,8.54494095
ACCESS-CM2,historical,1991.00000000,8.42280483
ACCESS-CM2,historical,1992.00000000,8.17233372
ACCESS-CM2,historical,1993.00000000,8.15474224
ACCESS-CM2,historical,1994.00000000,8.24522686
ACCESS-CM2,historical,1995.00000000,8.25246525
ACCESS-CM2,historical,1996.00000000,8.37176991
ACCESS-CM2,historical,1997.00000000,7.97486877
ACCESS-CM2,historical,1998.00000000,8.40137386
ACCESS-CM2,historical,1999.00000000,7.93899155
ACCESS-CM2,historical,2000.00000000,8.44019985
ACCESS-CM2,historical,2001.00000000,7.93702841
ACCESS-CM2,historical,2002.00000000,8.50163364
ACCESS-CM2,historical,2003.00000000,8.18482113
ACCESS-CM2,historical,2004.00000000,7.34239578
ACCESS-CM2,historical,2005.00000000,8.07039165
ACCESS-CM2,historical,2006.00000000,7.89013910
ACCESS-CM2,historical,2007.00000000,8.33854008
ACCESS-CM2,historical,2008.00000000,8.30336475
ACCESS-CM2,historical,2009.00000000,8.50445843
ACCESS-CM2,historical,2010.00000000,8.52843761
ACCESS-CM2,historical,2011.00000000,8.69764996
ACCESS-CM2,historical,2012.00000000,7.78381586
ACCESS-CM2,historical,2013.00000000,8.20153713
ACCESS-CM2,historical,2014.00000000,8.40361881
ACCESS-CM2,ssp126,2015.00000000,8.12831974
ACCESS-CM2,ssp126,2016.00000000,8.48550224
ACCESS-CM2,ssp126,2017.00000000,8.30256271
ACCESS-CM2,ssp126,2018.00000000,8.68686581
ACCESS-CM2,ssp126,2019.00000000,8.53138256
ACCESS-CM2,ssp126,2020.00000000,8.18764782
ACCESS-CM2,ssp126,2021.00000000,8.54811382
ACCESS-CM2,ssp126,2022.00000000,8.74529743
ACCESS-CM2,ssp126,2023.00000000,8.36069870
ACCESS-CM2,ssp126,2024.00000000,8.40265942
ACCESS-CM2,ssp126,2025.00000000,8.23357868
ACCESS-CM2,ssp126,2026.00000000,7.84702682
ACCESS-CM2,ssp126,2027.00000000,8.14053822
ACCESS-CM2,ssp126,2028.00000000,8.45301056
