model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,6.65803576
ACCESS-CM2,historical,1961,6.38013220
ACCESS-CM2,historical,1962,6.70345926
ACCESS-CM2,historical,1963,5.22263193
ACCESS-CM2,historical,1964,6.02613497
ACCESS-CM2,historical,1965,5.94312477
ACCESS-CM2,historical,1966,7.12367773
ACCESS-CM2,historical,1967,4.20201397
ACCESS-CM2,historical,1968,6.19945765
ACCESS-CM2,historical,1969,5.84778404
ACCESS-CM2,historical,1970,5.37794352
ACCESS-CM2,historical,1971,6.41341162
ACCESS-CM2,historical,1972,5.62239456
ACCESS-CM2,historical,1973,6.02999973
ACCESS-CM2,historical,1974,5.92281914
ACCESS-CM2,historical,1975,7.16151524
ACCESS-CM2,historical,1976,5.97863436
ACCESS-CM2,historical,1977,5.58694029
ACCESS-CM2,historical,1978,5.82280016
ACCESS-CM2,historical,1979,5.87719870
ACCESS-CM2,historical,1980,4.66011763
ACCESS-CM2,historical,1981,6.41298342
ACCESS-CM2,historical,1982,7.26245785
ACCESS-CM2,historical,1983,5.33484650
ACCESS-CM2,historical,1984,4.80687284
ACCESS-CM2,historical,1985,5.50572681
ACCESS-CM2,historical,1986,5.98216248
ACCESS-CM2,historical,1987,6.04430151
ACCESS-CM2,historical,1988,6.08890104
ACCESS-CM2,historical,1989,6.13254881
ACCESS-CM2,historical,1990,4.86842823
ACCESS-CM2,historical,1991,4.90116644
ACCESS-CM2,historical,1992,7.03135204
ACCESS-CM2,historical,1993,4.37783670
ACCESS-CM2,historical,1994,5.39496899
ACCESS-CM2,historical,1995,6.31794739
ACCESS-CM2,historical,1996,4.73291922
ACCESS-CM2,historical,1997,6.21215963
ACCESS-CM2,historical,1998,4.86212254
ACCESS-CM2,historical,1999,6.81611681
ACCESS-CM2,historical,2000,6.39466906
ACCESS-CM2,historical,2001,6.06804180
ACCESS-CM2,historical,2002,6.20720387
ACCESS-CM2,historical,2003,5.67253590
ACCESS-CM2,historical,2004,6.14301682
ACCESS-CM2,historical,2005,5.05805016
ACCESS-CM2,historical,2006,6.74708891
ACCESS-CM2,historical,2007,6.25805473
ACCESS-CM2,historical,2008,5.36925602
ACCESS-CM2,historical,2009,6.58650446
ACCESS-CM2,historical,2010,6.43835592
ACCESS-CM2,historical,2011,5.37827921
ACCESS-CM2,historical,2012,6.16609812
ACCESS-CM2,historical,2013,5.80475521
ACCESS-CM2,historical,2014,7.84930992
ACCESS-CM2,ssp126,2015,6.82762337
ACCESS-CM2,ssp126,2016,5.68667984
ACCESS-CM2,ssp126,2017,5.66140842
ACCESS-CM2,ssp126,2018,5.64633083
ACCESS-CM2,ssp126,2019,5.08549595
ACCESS-CM2,ssp126,2020,5.13531017
ACCESS-CM2,ssp126,2021,4.53032970
ACCESS-CM2,ssp126,2022,6.48618269
ACCESS-CM2,ssp126,2023,6.42128801
ACCESS-CM2,ssp126,2024,6.64507580
ACCESS-CM2,ssp126,2025,6.99416685
ACCESS-CM2,ssp126,2026,6.20743704
ACCESS-CM2,ssp126,2027,7.26210451
ACCESS-CM2,ssp126,2028,4.52532005
ACCESS-CM2,ssp126,2029,6.15507317
ACCESS-CM2,ssp126,2030,5.52035427
ACCESS-CM2,ssp126,2031,6.61314726
ACCESS-CM2,ssp126,2032,5.71379757
ACCESS-CM2,ssp126,2033,5.16074991
ACCESS-CM2,ssp126,2034,5.51611471
ACCESS-CM2,ssp126,2035,5.51484489
ACCESS-CM2,ssp126,2036,5.48914385
ACCESS-CM2,ssp126,2037,4.81595945
ACCESS-CM2,ssp126,2038,5.79602575
ACCESS-CM2,ssp126,2039,5.69764423
ACCESS-CM2,ssp126,2040,6.24631119
ACCESS-CM2,ssp126,2041,4.77434349
ACCESS-CM2,ssp126,2042,5.83568716
ACCESS-CM2,ssp126,2043,5.12329769
ACCESS-CM2,ssp126,2044,5.70160007
ACCESS-CM2,ssp126,2045,4.38558960
ACCESS-CM2,ssp126,2046,6.42904568
ACCESS-CM2,ssp126,2047,4.68544102
ACCESS-CM2,ssp126,2048,7.18578243
ACCESS-CM2,ssp126,2049,6.31856012
ACCESS-CM2,ssp126,2050,6.70190811
ACCESS-CM2,ssp126,2051,7.09185696
ACCESS-CM2,ssp126,2052,4.58039236
ACCESS-CM2,ssp126,2053,5.59634304
ACCESS-CM2,ssp126,2054,5.43948174
ACCESS-CM2,ssp126,2055,4.96028996
ACCESS-CM2,ssp126,2056,5.12506199
ACCESS-CM2,ssp126,2057,5.52947426
ACCESS-CM2,ssp126,2058,7.05533743
ACCESS-CM2,ssp126,2059,5.60977650
ACCESS-CM2,ssp126,2060,6.91844273
ACCESS-CM2,ssp126,2061,6.29453897
ACCESS-CM2,ssp126,2062,6.89058733
ACCESS-CM2,ssp126,2063,5.45146132
ACCESS-CM2,ssp126,2064,6.06432915
ACCESS-CM2,ssp126,2065,5.18564653
ACCESS-CM2,ssp126,2066,5.25440264
ACCESS-CM2,ssp126,2067,5.43511629
ACCESS-CM2,ssp126,2068,5.75186920
ACCESS-CM2,ssp126,2069,5.13314104
ACCESS-CM2,ssp126,2070,6.01275873
ACCESS-CM2,ssp126,2071,5.88014221
ACCESS-CM2,ssp126,2072,5.98698425
ACCESS-CM2,ssp126,2073,6.23619795
ACCESS-CM2,ssp126,2074,5.34375429
ACCESS-CM2,ssp126,2075,6.34521246
ACCESS-CM2,ssp126,2076,5.21490192
ACCESS-CM2,ssp126,2077,6.63099575
ACCESS-CM2,ssp126,2078,5.88506126
ACCESS-CM2,ssp126,2079,5.94881439
ACCESS-CM2,ssp126,2080,5.79155827
ACCESS-CM2,ssp126,2081,7.31760454
ACCESS-CM2,ssp126,2082,6.23892736
ACCESS-CM2,ssp126,2083,5.17857027
ACCESS-CM2,ssp126,2084,5.80853128
ACCESS-CM2,ssp126,2085,5.27052736
ACCESS-CM2,ssp126,2086,5.06883955
ACCESS-CM2,ssp126,2087,6.92949581
ACCESS-CM2,ssp126,2088,5.44675159
ACCESS-CM2,ssp126,2089,5.95820808
ACCESS-CM2,ssp126,2090,4.77756882
ACCESS-CM2,ssp126,2091,6.56599140
ACCESS-CM2,ssp126,2092,4.76705408
ACCESS-CM2,ssp126,2093,5.32080746
ACCESS-CM2,ssp126,2094,5.70407629
ACCESS-CM2,ssp126,2095,6.04495955
ACCESS-CM2,ssp126,2096,8.25810337
ACCESS-CM2,ssp126,2097,5.76864243
ACCESS-CM2,ssp126,2098,5.06162310
ACCESS-CM2,ssp126,2099,6.06364679
ACCESS-CM2,ssp126,2100,5.67906904
ACCESS-CM2,ssp245,2015,7.50967169
ACCESS-CM2,ssp245,2016,6.55251408
ACCESS-CM2,ssp245,2017,5.65974426
