model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,4.10388374
ACCESS-CM2,historical,1961,2.76531053
ACCESS-CM2,historical,1962,3.74510884
ACCESS-CM2,historical,1963,2.96587038
ACCESS-CM2,historical,1964,3.53883553
ACCESS-CM2,historical,1965,3.33967543
ACCESS-CM2,historical,1966,4.21148491
ACCESS-CM2,historical,1967,2.73377776
ACCESS-CM2,historical,1968,3.48985767
ACCESS-CM2,historical,1969,3.67301250
ACCESS-CM2,historical,1970,3.06971645
ACCESS-CM2,historical,1971,3.49438667
ACCESS-CM2,historical,1972,3.22347093
ACCESS-CM2,historical,1973,3.00048733
ACCESS-CM2,historical,1974,2.97257352
ACCESS-CM2,historical,1975,3.75186348
ACCESS-CM2,historical,1976,3.82993150
ACCESS-CM2,historical,1977,3.29080629
ACCESS-CM2,historical,1978,3.34928608
ACCESS-CM2,historical,1979,3.44445181
ACCESS-CM2,historical,1980,2.69700789
ACCESS-CM2,historical,1981,3.79800129
ACCESS-CM2,historical,1982,3.58836293
ACCESS-CM2,historical,1983,3.18495369
ACCESS-CM2,historical,1984,2.46902466
ACCESS-CM2,historical,1985,2.93655920
ACCESS-CM2,historical,1986,3.65590453
ACCESS-CM2,historical,1987,3.01938629
ACCESS-CM2,historical,1988,3.14142632
ACCESS-CM2,historical,1989,3.43585682
ACCESS-CM2,historical,1990,2.70898390
ACCESS-CM2,historical,1991,2.79087281
ACCESS-CM2,historical,1992,3.85296917
ACCESS-CM2,historical,1993,2.60741615
ACCESS-CM2,historical,1994,2.73838925
ACCESS-CM2,historical,1995,3.32669592
ACCESS-CM2,historical,1996,3.03897238
ACCESS-CM2,historical,1997,3.36301446
ACCESS-CM2,historical,1998,2.84231830
ACCESS-CM2,historical,1999,3.55932760
ACCESS-CM2,historical,2000,3.91101408
ACCESS-CM2,historical,2001,2.76771212
ACCESS-CM2,historical,2002,3.66828036
ACCESS-CM2,historical,2003,2.85340214
ACCESS-CM2,historical,2004,2.77122140
ACCESS-CM2,historical,2005,2.47748566
ACCESS-CM2,historical,2006,3.88353324
ACCESS-CM2,historical,2007,3.53084159
ACCESS-CM2,historical,2008,2.83493519
ACCESS-CM2,historical,2009,3.63275409
ACCESS-CM2,historical,2010,3.16251922
ACCESS-CM2,historical,2011,3.09930801
ACCESS-CM2,historical,2012,3.47590423
ACCESS-CM2,historical,2013,3.12346578
ACCESS-CM2,historical,2014,4.11733866
ACCESS-CM2,ssp126,2015,3.90461659
ACCESS-CM2,ssp126,2016,2.92986083
ACCESS-CM2,ssp126,2017,3.13051581
ACCESS-CM2,ssp126,2018,2.59064841
ACCESS-CM2,ssp126,2019,2.70827532
ACCESS-CM2,ssp126,2020,3.11496115
ACCESS-CM2,ssp126,2021,2.63419890
ACCESS-CM2,ssp126,2022,3.29971170
ACCESS-CM2,ssp126,2023,3.18338060
ACCESS-CM2,ssp126,2024,4.12988663
ACCESS-CM2,ssp126,2025,3.61192870
ACCESS-CM2,ssp126,2026,3.39820385
ACCESS-CM2,ssp126,2027,3.84100509
ACCESS-CM2,ssp126,2028,2.42659521
ACCESS-CM2,ssp126,2029,3.54960632
ACCESS-CM2,ssp126,2030,2.74352407
ACCESS-CM2,ssp126,2031,3.31495023
ACCESS-CM2,ssp126,2032,3.44324565
ACCESS-CM2,ssp126,2033,3.36465192
ACCESS-CM2,ssp126,2034,3.19227433
ACCESS-CM2,ssp126,2035,3.01065254
ACCESS-CM2,ssp126,2036,3.25998569
ACCESS-CM2,ssp126,2037,2.85955977
ACCESS-CM2,ssp126,2038,3.21999812
ACCESS-CM2,ssp126,2039,3.10497713
ACCESS-CM2,ssp126,2040,3.77496409
ACCESS-CM2,ssp126,2041,3.05872631
ACCESS-CM2,ssp126,2042,2.97003937
ACCESS-CM2,ssp126,2043,2.70736313
ACCESS-CM2,ssp126,2044,3.24490476
ACCESS-CM2,ssp126,2045,2.81141782
ACCESS-CM2,ssp126,2046,3.40211964
ACCESS-CM2,ssp126,2047,2.53704333
ACCESS-CM2,ssp126,2048,3.69328666
