model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,8.09971905
ACCESS-CM2,historical,1961,5.12562609
ACCESS-CM2,historical,1962,7.75937176
ACCESS-CM2,historical,1963,5.26726198
ACCESS-CM2,historical,1964,6.65141201
ACCESS-CM2,historical,1965,5.77412748
ACCESS-CM2,historical,1966,8.12284088
ACCESS-CM2,historical,1967,5.53160954
ACCESS-CM2,historical,1968,6.24123812
ACCESS-CM2,historical,1969,7.07432795
ACCESS-CM2,historical,1970,6.39337063
ACCESS-CM2,historical,1971,6.46968412
ACCESS-CM2,historical,1972,6.01263762
ACCESS-CM2,historical,1973,5.84876060
ACCESS-CM2,historical,1974,5.62069082
ACCESS-CM2,historical,1975,7.27421904
ACCESS-CM2,historical,1976,7.35791826
ACCESS-CM2,historical,1977,5.78980923
ACCESS-CM2,historical,1978,6.45442629
ACCESS-CM2,historical,1979,6.08875656
ACCESS-CM2,historical,1980,5.18663168
ACCESS-CM2,historical,1981,6.35713434
ACCESS-CM2,historical,1982,7.03182077
ACCESS-CM2,historical,1983,5.67188263
ACCESS-CM2,historical,1984,4.74963427
ACCESS-CM2,historical,1985,5.05250597
ACCESS-CM2,historical,1986,7.17034435
ACCESS-CM2,historical,1987,5.45648289
ACCESS-CM2,historical,1988,5.96199179
ACCESS-CM2,historical,1989,6.53508615
ACCESS-CM2,historical,1990,5.56515551
ACCESS-CM2,historical,1991,5.57762623
ACCESS-CM2,historical,1992,6.56846094
ACCESS-CM2,historical,1993,5.59184647
ACCESS-CM2,historical,1994,4.61689472
ACCESS-CM2,historical,1995,6.03522491
ACCESS-CM2,historical,1996,5.62259769
ACCESS-CM2,historical,1997,6.61131191
ACCESS-CM2,historical,1998,5.92104340
ACCESS-CM2,historical,1999,6.79427338
ACCESS-CM2,historical,2000,7.37199497
ACCESS-CM2,historical,2001,4.88150501
ACCESS-CM2,historical,2002,7.01780272
ACCESS-CM2,historical,2003,5.53310156
ACCESS-CM2,historical,2004,5.29443073
ACCESS-CM2,historical,2005,4.93720341
ACCESS-CM2,historical,2006,6.66749096
ACCESS-CM2,historical,2007,6.76566410
ACCESS-CM2,historical,2008,5.81053209
ACCESS-CM2,historical,2009,7.57973862
ACCESS-CM2,historical,2010,6.19368505
ACCESS-CM2,historical,2011,5.59829187
ACCESS-CM2,historical,2012,6.69927168
ACCESS-CM2,historical,2013,5.80419111
ACCESS-CM2,historical,2014,7.51562166
ACCESS-CM2,ssp126,2015,7.37216711
ACCESS-CM2,ssp126,2016,5.87978029
ACCESS-CM2,ssp126,2017,6.49615860
ACCESS-CM2,ssp126,2018,5.21081638
ACCESS-CM2,ssp126,2019,4.81895638
ACCESS-CM2,ssp126,2020,5.77305651
ACCESS-CM2,ssp126,2021,4.99949169
ACCESS-CM2,ssp126,2022,5.91142893
ACCESS-CM2,ssp126,2023,6.22265387
ACCESS-CM2,ssp126,2024,6.95513105
ACCESS-CM2,ssp126,2025,6.63382196
ACCESS-CM2,ssp126,2026,6.14036322
ACCESS-CM2,ssp126,2027,7.41933298
ACCESS-CM2,ssp126,2028,4.64224005
ACCESS-CM2,ssp126,2029,6.74171209
ACCESS-CM2,ssp126,2030,5.19022465
ACCESS-CM2,ssp126,2031,6.34330225
ACCESS-CM2,ssp126,2032,6.62394619
ACCESS-CM2,ssp126,2033,6.32850313
ACCESS-CM2,ssp126,2034,6.53726006
ACCESS-CM2,ssp126,2035,6.12980127
ACCESS-CM2,ssp126,2036,6.17238283
ACCESS-CM2,ssp126,2037,5.03416586
ACCESS-CM2,ssp126,2038,6.65487862
ACCESS-CM2,ssp126,2039,5.28584814
ACCESS-CM2,ssp126,2040,6.76886606
ACCESS-CM2,ssp126,2041,5.91144371
ACCESS-CM2,ssp126,2042,6.02076006
ACCESS-CM2,ssp126,2043,5.04592609
ACCESS-CM2,ssp126,2044,6.51188040
ACCESS-CM2,ssp126,2045,5.48376703
ACCESS-CM2,ssp126,2046,6.73621893
ACCESS-CM2,ssp126,2047,4.59352732
ACCESS-CM2,ssp126,2048,7.13873625
ACCESS-CM2,ssp126,2049,6.19386911
ACCESS-CM2,ssp126,2050,6.61692858
ACCESS-CM2,ssp126,2051,7.73501205
ACCESS-CM2,ssp126,2052,4.63077688
ACCESS-CM2,ssp126,2053,5.96153736
ACCESS-CM2,ssp126,2054,5.57769966
ACCESS-CM2,ssp126,2055,5.58163548
ACCESS-CM2,ssp126,2056,5.73919439
ACCESS-CM2,ssp126,2057,7.04809856
ACCESS-CM2,ssp126,2058,7.80995369
ACCESS-CM2,ssp126,2059,5.19705772
ACCESS-CM2,ssp126,2060,6.93954515
ACCESS-CM2,ssp126,2061,6.36397839
ACCESS-CM2,ssp126,2062,7.27432442
ACCESS-CM2,ssp126,2063,5.66917562
ACCESS-CM2,ssp126,2064,6.59779835
ACCESS-CM2,ssp126,2065,5.95644522
ACCESS-CM2,ssp126,2066,5.68849850
ACCESS-CM2,ssp126,2067,5.59114742
ACCESS-CM2,ssp126,2068,5.88980198
ACCESS-CM2,ssp126,2069,5.85952473
ACCESS-CM2,ssp126,2070,6.55384779
ACCESS-CM2,ssp126,2071,6.73364592
ACCESS-CM2,ssp126,2072,6.27641106
ACCESS-CM2,ssp126,2073,6.41314936
ACCESS-CM2,ssp126,2074,5.16184616
ACCESS-CM2,ssp126,2075,6.83170223
ACCESS-CM2,ssp126,2076,5.45189810
ACCESS-CM2,ssp126,2077,6.18407631
ACCESS-CM2,ssp126,2078,5.72392178
ACCESS-CM2,ssp126,2079,6.35818291
ACCESS-CM2,ssp126,2080,6.24035835
ACCESS-CM2,ssp126,2081,7.13493156
ACCESS-CM2,ssp126,2082,5.91997385
ACCESS-CM2,ssp126,2083,5.94921017
ACCESS-CM2,ssp126,2084,5.49600744
ACCESS-CM2,ssp126,2085,5.61730289
ACCESS-CM2,ssp126,2086,5.13573885
ACCESS-CM2,ssp126,2087,6.89939833
ACCESS-CM2,ssp126,2088,6.24965143
ACCESS-CM2,ssp126,2089,7.07204008
ACCESS-CM2,ssp126,2090,4.40709925
ACCESS-CM2,ssp126,2091,6.24216843
ACCESS-CM2,ssp126,2092,4.52841377
ACCESS-CM2,ssp126,2093,5.19501638
ACCESS-CM2,ssp126,2094,5.86139727
ACCESS-CM2,ssp126,2095,6.58576727
ACCESS-CM2,ssp126,2096,7.92687416
ACCESS-CM2,ssp126,2097,5.61856985
ACCESS-CM2,ssp126,2098,5.79487371
ACCESS-CM2,ssp126,2099,6.80974245
ACCESS-CM2,ssp126,2100,6.28895092
