model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,5.93553925
ACCESS-CM2,historical,1961,4.24405432
ACCESS-CM2,historical,1962,4.84582424
ACCESS-CM2,historical,1963,5.74350262
ACCESS-CM2,historical,1964,5.68900442
ACCESS-CM2,historical,1965,5.07680798
ACCESS-CM2,historical,1966,4.54641628
ACCESS-CM2,historical,1967,5.68278074
ACCESS-CM2,historical,1968,3.29260921
ACCESS-CM2,historical,1969,6.27554274
ACCESS-CM2,historical,1970,3.97382665
ACCESS-CM2,historical,1971,4.78890133
ACCESS-CM2,historical,1972,5.12501383
ACCESS-CM2,historical,1973,4.01402998
ACCESS-CM2,historical,1974,6.70269108
ACCESS-CM2,historical,1975,5.76623774
ACCESS-CM2,historical,1976,4.39849377
ACCESS-CM2,historical,1977,5.51296186
ACCESS-CM2,historical,1978,5.25732422
ACCESS-CM2,historical,1979,4.70132828
ACCESS-CM2,historical,1980,4.78731680
ACCESS-CM2,historical,1981,4.42684412
ACCESS-CM2,historical,1982,4.16386175
ACCESS-CM2,historical,1983,4.89375353
ACCESS-CM2,historical,1984,5.20925856
ACCESS-CM2,historical,1985,3.86208248
ACCESS-CM2,historical,1986,3.58918905
ACCESS-CM2,historical,1987,3.87986636
ACCESS-CM2,historical,1988,5.84786463
ACCESS-CM2,historical,1989,6.33187580
ACCESS-CM2,historical,1990,6.58288574
ACCESS-CM2,historical,1991,4.74446917
ACCESS-CM2,historical,1992,4.69497871
ACCESS-CM2,historical,1993,5.02339411
ACCESS-CM2,historical,1994,5.21771431
ACCESS-CM2,historical,1995,5.91392374
ACCESS-CM2,historical,1996,5.53364801
ACCESS-CM2,historical,1997,4.47887659
ACCESS-CM2,historical,1998,6.30031633
ACCESS-CM2,historical,1999,4.25106096
ACCESS-CM2,historical,2000,6.04608774
ACCESS-CM2,historical,2001,4.38503885
ACCESS-CM2,historical,2002,5.51646614
ACCESS-CM2,historical,2003,6.61480999
ACCESS-CM2,historical,2004,3.72480154
ACCESS-CM2,historical,2005,4.61914444
ACCESS-CM2,historical,2006,4.13997030
ACCESS-CM2,historical,2007,7.27086115
ACCESS-CM2,historical,2008,5.74909401
ACCESS-CM2,historical,2009,5.43194866
ACCESS-CM2,historical,2010,4.81507254
ACCESS-CM2,historical,2011,6.12061024
ACCESS-CM2,historical,2012,5.51215887
ACCESS-CM2,historical,2013,5.66524076
ACCESS-CM2,historical,2014,6.52152586
ACCESS-CM2,ssp126,2015,5.87415218
ACCESS-CM2,ssp126,2016,5.75878334
ACCESS-CM2,ssp126,2017,5.77403450
ACCESS-CM2,ssp126,2018,4.83370590
ACCESS-CM2,ssp126,2019,6.12413263
ACCESS-CM2,ssp126,2020,6.41421318
ACCESS-CM2,ssp126,2021,4.32295465
ACCESS-CM2,ssp126,2022,4.65170479
ACCESS-CM2,ssp126,2023,4.17188168
ACCESS-CM2,ssp126,2024,5.66096830
ACCESS-CM2,ssp126,2025,3.91647887
ACCESS-CM2,ssp126,2026,4.53394794
ACCESS-CM2,ssp126,2027,4.04332161
ACCESS-CM2,ssp126,2028,4.86698008
ACCESS-CM2,ssp126,2029,7.11026430
ACCESS-CM2,ssp126,2030,5.64645386
ACCESS-CM2,ssp126,2031,4.62748146
ACCESS-CM2,ssp126,2032,5.65708065
ACCESS-CM2,ssp126,2033,4.85950804
ACCESS-CM2,ssp126,2034,5.77691936
ACCESS-CM2,ssp126,2035,4.18771839
ACCESS-CM2,ssp126,2036,5.46765041
ACCESS-CM2,ssp126,2037,6.26857185
ACCESS-CM2,ssp126,2038,5.82591248
ACCESS-CM2,ssp126,2039,5.18777704
ACCESS-CM2,ssp126,2040,3.80755997
ACCESS-CM2,ssp126,2041,5.18610764
ACCESS-CM2,ssp126,2042,6.00374365
ACCESS-CM2,ssp126,2043,6.09700584
ACCESS-CM2,ssp126,2044,6.06227303
ACCESS-CM2,ssp126,2045,7.45411968
ACCESS-CM2,ssp126,2046,5.49152565
ACCESS-CM2,ssp126,2047,5.01141262
ACCESS-CM2,ssp126,2048,5.63052177
ACCESS-CM2,ssp126,2049,5.56369305
ACCESS-CM2,ssp126,2050,6.37729549
ACCESS-CM2,ssp126,2051,6.47147989
ACCESS-CM2,ssp126,2052,5.10701609
ACCESS-CM2,ssp126,2053,4.94729710
ACCESS-CM2,ssp126,2054,4.72954798
ACCESS-CM2,ssp126,2055,5.25778913
