model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,3.94488788
ACCESS-CM2,historical,1961,2.91431856
ACCESS-CM2,historical,1962,3.19698548
ACCESS-CM2,historical,1963,3.99470258
ACCESS-CM2,historical,1964,3.75199747
ACCESS-CM2,historical,1965,3.69231677
ACCESS-CM2,historical,1966,3.00787187
ACCESS-CM2,historical,1967,3.46577001
ACCESS-CM2,historical,1968,2.54230428
ACCESS-CM2,historical,1969,3.76890850
ACCESS-CM2,historical,1970,2.84317708
ACCESS-CM2,historical,1971,3.20490313
ACCESS-CM2,historical,1972,3.53247261
ACCESS-CM2,historical,1973,2.86873078
ACCESS-CM2,historical,1974,3.98060322
ACCESS-CM2,historical,1975,3.71069694
ACCESS-CM2,historical,1976,2.99053097
ACCESS-CM2,historical,1977,3.83953094
ACCESS-CM2,historical,1978,3.62675691
ACCESS-CM2,historical,1979,3.19403076
ACCESS-CM2,historical,1980,3.16961861
ACCESS-CM2,historical,1981,3.23247719
ACCESS-CM2,historical,1982,2.64781713
ACCESS-CM2,historical,1983,3.31562257
ACCESS-CM2,historical,1984,3.60125542
ACCESS-CM2,historical,1985,2.41046500
ACCESS-CM2,historical,1986,2.62349296
ACCESS-CM2,historical,1987,2.50603819
ACCESS-CM2,historical,1988,3.61803031
ACCESS-CM2,historical,1989,3.88449764
ACCESS-CM2,historical,1990,3.93649149
ACCESS-CM2,historical,1991,3.53172445
ACCESS-CM2,historical,1992,3.14732885
ACCESS-CM2,historical,1993,3.44158578
ACCESS-CM2,historical,1994,3.44793582
ACCESS-CM2,historical,1995,3.81469655
ACCESS-CM2,historical,1996,3.52951241
ACCESS-CM2,historical,1997,3.16392779
ACCESS-CM2,historical,1998,3.76615930
ACCESS-CM2,historical,1999,3.03333116
ACCESS-CM2,historical,2000,3.67291307
ACCESS-CM2,historical,2001,2.96335340
ACCESS-CM2,historical,2002,3.50534368
ACCESS-CM2,historical,2003,3.79404068
ACCESS-CM2,historical,2004,2.79550004
ACCESS-CM2,historical,2005,3.04922724
ACCESS-CM2,historical,2006,2.97606683
ACCESS-CM2,historical,2007,4.44992781
ACCESS-CM2,historical,2008,3.72757101
ACCESS-CM2,historical,2009,3.50850010
ACCESS-CM2,historical,2010,3.21428275
ACCESS-CM2,historical,2011,3.88620663
ACCESS-CM2,historical,2012,3.50880337
ACCESS-CM2,historical,2013,3.76361537
ACCESS-CM2,historical,2014,3.95682812
ACCESS-CM2,ssp126,2015,3.36442971
ACCESS-CM2,ssp126,2016,3.53147340
ACCESS-CM2,ssp126,2017,3.50385642
ACCESS-CM2,ssp126,2018,3.16254926
ACCESS-CM2,ssp126,2019,4.28108454
ACCESS-CM2,ssp126,2020,4.23284769
ACCESS-CM2,ssp126,2021,3.43368840
ACCESS-CM2,ssp126,2022,3.40383649
ACCESS-CM2,ssp126,2023,2.69315577
ACCESS-CM2,ssp126,2024,3.32460356
ACCESS-CM2,ssp126,2025,2.71874475
ACCESS-CM2,ssp126,2026,2.93011284
ACCESS-CM2,ssp126,2027,2.95998502
ACCESS-CM2,ssp126,2028,3.50548506
ACCESS-CM2,ssp126,2029,4.34173250
ACCESS-CM2,ssp126,2030,3.55684304
ACCESS-CM2,ssp126,2031,2.98282003
ACCESS-CM2,ssp126,2032,3.66144466
ACCESS-CM2,ssp126,2033,3.08122993
ACCESS-CM2,ssp126,2034,3.50350451
ACCESS-CM2,ssp126,2035,2.50626850
ACCESS-CM2,ssp126,2036,3.40433049
ACCESS-CM2,ssp126,2037,3.60671878
ACCESS-CM2,ssp126,2038,3.46496820
ACCESS-CM2,ssp126,2039,3.29395652
ACCESS-CM2,ssp126,2040,2.61822128
ACCESS-CM2,ssp126,2041,3.45830131
ACCESS-CM2,ssp126,2042,3.63235521
ACCESS-CM2,ssp126,2043,3.69741464
ACCESS-CM2,ssp126,2044,3.58397508
ACCESS-CM2,ssp126,2045,4.36710405
ACCESS-CM2,ssp126,2046,3.44660163
ACCESS-CM2,ssp126,2047,3.40410995
ACCESS-CM2,ssp126,2048,3.49304557
ACCESS-CM2,ssp126,2049,3.52460265
ACCESS-CM2,ssp126,2050,3.74611616
ACCESS-CM2,ssp126,2051,4.02410412
ACCESS-CM2,ssp126,2052,3.49630189
ACCESS-CM2,ssp126,2053,3.09265590
ACCESS-CM2,ssp126,2054,3.17546511
ACCESS-CM2,ssp126,2055,3.46466422
ACCESS-CM2,ssp126,2056,3.97424769
ACCESS-CM2,ssp126,2057,2.86840153
ACCESS-CM2,ssp126,2058,3.86199880
ACCESS-CM2,ssp126,2059,4.12456751
ACCESS-CM2,ssp126,2060,2.92381382
ACCESS-CM2,ssp126,2061,3.66231608
ACCESS-CM2,ssp126,2062,3.86805749
ACCESS-CM2,ssp126,2063,3.85113978
ACCESS-CM2,ssp126,2064,3.61267471
ACCESS-CM2,ssp126,2065,3.36179328
ACCESS-CM2,ssp126,2066,3.27741170
ACCESS-CM2,ssp126,2067,4.52072716
ACCESS-CM2,ssp126,2068,2.65119219
ACCESS-CM2,ssp126,2069,2.51008892
ACCESS-CM2,ssp126,2070,2.90597510
ACCESS-CM2,ssp126,2071,3.10244203
ACCESS-CM2,ssp126,2072,3.42950583
ACCESS-CM2,ssp126,2073,3.65867901
ACCESS-CM2,ssp126,2074,3.15897989
ACCESS-CM2,ssp126,2075,4.36857605
ACCESS-CM2,ssp126,2076,3.36428094
ACCESS-CM2,ssp126,2077,3.54657173
ACCESS-CM2,ssp126,2078,2.51577568
ACCESS-CM2,ssp126,2079,2.55344033
ACCESS-CM2,ssp126,2080,4.36995697
ACCESS-CM2,ssp126,2081,4.22915459
ACCESS-CM2,ssp126,2082,3.31102085
ACCESS-CM2,ssp126,2083,3.48097324
ACCESS-CM2,ssp126,2084,3.68596244
ACCESS-CM2,ssp126,2085,3.30286336
ACCESS-CM2,ssp126,2086,3.60322022
ACCESS-CM2,ssp126,2087,2.83794117
ACCESS-CM2,ssp126,2088,3.07708859
ACCESS-CM2,ssp126,2089,3.35705447
ACCESS-CM2,ssp126,2090,3.88622808
ACCESS-CM2,ssp126,2091,2.84256744
ACCESS-CM2,ssp126,2092,3.08382726
ACCESS-CM2,ssp126,2093,2.72267127
ACCESS-CM2,ssp126,2094,3.09506369
ACCESS-CM2,ssp126,2095,3.59679413
ACCESS-CM2,ssp126,2096,3.40316629
ACCESS-CM2,ssp126,2097,3.40836239
ACCESS-CM2,ssp126,2098,3.36005020
ACCESS-CM2,ssp126,2099,4.55118895
ACCESS-CM2,ssp126,2100,3.12732315
ACCESS-CM2,ssp245,2015,3.04516864
ACCESS-CM2,ssp245,2016,2.70130467
ACCESS-CM2,ssp245,2017,2.96218657
ACCESS-CM2,ssp245,2018,3.34962440
ACCESS-CM2,ssp245,2019,3.28709316
ACCESS-CM2,ssp245,2020,3.30402541
ACCESS-CM2,ssp245,2021,3.53744936
ACCESS-CM2,ssp245,2022,3.67095065
ACCESS-CM2,ssp245,2023,4.43681908
ACCESS-CM2,ssp245,2024,3.83144784
ACCESS-CM2,ssp245,2025,3.30960202
ACCESS-CM2,ssp245,2026,3.35592079
ACCESS-CM2,ssp245,2027,3.43438601
ACCESS-CM2,ssp245,2028,3.28235674
ACCESS-CM2,ssp245,2029,3.96114230
ACCESS-CM2,ssp245,2030,3.76056671
ACCESS-CM2,ssp245,2031,3.33344364
ACCESS-CM2,ssp245,2032,3.35468793
ACCESS-CM2,ssp245,2033,3.81288695
ACCESS-CM2,ssp245,2034,2.81101894
ACCESS-CM2,ssp245,2035,3.45738888
ACCESS-CM2,ssp245,2036,2.62715721
ACCESS-CM2,ssp245,2037,3.80920982
ACCESS-CM2,ssp245,2038,3.26061320
ACCESS-CM2,ssp245,2039,3.53516197
ACCESS-CM2,ssp245,2040,2.53176618
ACCESS-CM2,ssp245,2041,3.05164695
ACCESS-CM2,ssp245,2042,2.81028748
ACCESS-CM2,ssp245,2043,3.34738517
ACCESS-CM2,ssp245,2044,3.74957347
ACCESS-CM2,ssp245,2045,3.50534630
ACCESS-CM2,ssp245,2046,2.86686230
ACCESS-CM2,ssp245,2047,3.61317921
ACCESS-CM2,ssp245,2048,4.35362673
ACCESS-CM2,ssp245,2049,3.04179311
ACCESS-CM2,ssp245,2050,2.88982534
ACCESS-CM2,ssp245,2051,2.79202437
ACCESS-CM2,ssp245,2052,3.48217392
ACCESS-CM2,ssp245,2053,3.36921239
ACCESS-CM2,ssp245,2054,3.58421612
ACCESS-CM2,ssp245,2055,2.83466887
ACCESS-CM2,ssp245,2056,3.01077318
ACCESS-CM2,ssp245,2057,3.10109496
ACCESS-CM2,ssp245,2058,3.92212605
ACCESS-CM2,ssp245,2059,3.72998977
ACCESS-CM2,ssp245,2060,2.61600351
ACCESS-CM2,ssp245,2061,3.41810632
ACCESS-CM2,ssp245,2062,3.17464995
ACCESS-CM2,ssp245,2063,3.58399415
ACCESS-CM2,ssp245,2064,2.87817359
ACCESS-CM2,ssp245,2065,3.26742792
ACCESS-CM2,ssp245,2066,3.34821486
ACCESS-CM2,ssp245,2067,2.80893922
ACCESS-CM2,ssp245,2068,3.35258627
ACCESS-CM2,ssp245,2069,4.03573513
ACCESS-CM2,ssp245,2070,3.34664798
ACCESS-CM2,ssp245,2071,3.38453460
ACCESS-CM2,ssp245,2072,3.64104986
ACCESS-CM2,ssp245,2073,3.15491772
ACCESS-CM2,ssp245,2074,3.78369451
ACCESS-CM2,ssp245,2075,3.66379142
ACCESS-CM2,ssp245,2076,3.21287942
ACCESS-CM2,ssp245,2077,3.37081099
ACCESS-CM2,ssp245,2078,3.87633824
ACCESS-CM2,ssp245,2079,3.53863382
ACCESS-CM2,ssp245,2080,3.18189764
ACCESS-CM2,ssp245,2081,2.78161359
ACCESS-CM2,ssp245,2082,2.76737142
ACCESS-CM2,ssp245,2083,3.73367190
ACCESS-CM2,ssp245,2084,2.85077095
ACCESS-CM2,ssp245,2085,3.36393785
ACCESS-CM2,ssp245,2086,3.12818956
ACCESS-CM2,ssp245,2087,3.08871531
ACCESS-CM2,ssp245,2088,3.52546024
ACCESS-CM2,ssp245,2089,3.19450831
ACCESS-CM2,ssp245,2090,3.66329908
ACCESS-CM2,ssp245,2091,3.58304524
ACCESS-CM2,ssp245,2092,3.13714242
ACCESS-CM2,ssp245,2093,2.11653876
ACCESS-CM2,ssp245,2094,3.50367403
ACCESS-CM2,ssp245,2095,3.62039137
ACCESS-CM2,ssp245,2096,3.52618217
ACCESS-CM2,ssp245,2097,3.18375897
ACCESS-CM2,ssp245,2098,3.04666114
ACCESS-CM2,ssp245,2099,3.09064913
ACCESS-CM2,ssp245,2100,4.69478559
ACCESS-CM2,ssp370,2015,4.24486065
ACCESS-CM2,ssp370,2016,3.33734512
ACCESS-CM2,ssp370,2017,3.83012915
ACCESS-CM2,ssp370,2018,4.17390394
ACCESS-CM2,ssp370,2019,4.11064148
ACCESS-CM2,ssp370,2020,4.26313448
ACCESS-CM2,ssp370,2021,3.23319292
ACCESS-CM2,ssp370,2022,4.28386831
ACCESS-CM2,ssp370,2023,3.27753758
ACCESS-CM2,ssp370,2024,3.11911988
ACCESS-CM2,ssp370,2025,3.24532890
ACCESS-CM2,ssp370,2026,3.82242632
ACCESS-CM2,ssp370,2027,2.79501653
ACCESS-CM2,ssp370,2028,3.73365116
ACCESS-CM2,ssp370,2029,3.50013781
ACCESS-CM2,ssp370,2030,3.42784405
ACCESS-CM2,ssp370,2031,3.34690833
ACCESS-CM2,ssp370,2032,3.91817188
ACCESS-CM2,ssp370,2033,3.04253912
ACCESS-CM2,ssp370,2034,3.17377687
ACCESS-CM2,ssp370,2035,3.68306065
ACCESS-CM2,ssp370,2036,3.52020407
ACCESS-CM2,ssp370,2037,3.64194989
ACCESS-CM2,ssp370,2038,3.51091170
ACCESS-CM2,ssp370,2039,4.00354624
ACCESS-CM2,ssp370,2040,2.93431282
ACCESS-CM2,ssp370,2041,3.46189475
ACCESS-CM2,ssp370,2042,3.98631501
ACCESS-CM2,ssp370,2043,3.64918995
ACCESS-CM2,ssp370,2044,3.13378978
ACCESS-CM2,ssp370,2045,3.51613116
ACCESS-CM2,ssp370,2046,3.39794683
ACCESS-CM2,ssp370,2047,3.25937581
ACCESS-CM2,ssp370,2048,2.64356947
ACCESS-CM2,ssp370,2049,3.16478968
ACCESS-CM2,ssp370,2050,2.98488903
ACCESS-CM2,ssp370,2051,4.02182531
ACCESS-CM2,ssp370,2052,3.95207047
ACCESS-CM2,ssp370,2053,3.23144197
ACCESS-CM2,ssp370,2054,3.55874825
ACCESS-CM2,ssp370,2055,3.69391727
ACCESS-CM2,ssp370,2056,3.30479646
ACCESS-CM2,ssp370,2057,3.16874218
ACCESS-CM2,ssp370,2058,4.18208122
ACCESS-CM2,ssp370,2059,3.54109740
ACCESS-CM2,ssp370,2060,2.92087626
ACCESS-CM2,ssp370,2061,3.60693598
ACCESS-CM2,ssp370,2062,3.90851641
ACCESS-CM2,ssp370,2063,3.43497586
ACCESS-CM2,ssp370,2064,4.19701624
ACCESS-CM2,ssp370,2065,3.48301363
ACCESS-CM2,ssp370,2066,2.90425062
ACCESS-CM2,ssp370,2067,3.87853456
ACCESS-CM2,ssp370,2068,3.38064003
ACCESS-CM2,ssp370,2069,3.35020161
ACCESS-CM2,ssp370,2070,3.29932213
ACCESS-CM2,ssp370,2071,3.27922916
ACCESS-CM2,ssp370,2072,4.01206064
ACCESS-CM2,ssp370,2073,3.83847666
ACCESS-CM2,ssp370,2074,3.31307483
