model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,5.28414726
ACCESS-CM2,historical,1961,4.35793114
ACCESS-CM2,historical,1962,5.99487925
ACCESS-CM2,historical,1963,5.82451773
ACCESS-CM2,historical,1964,5.92930031
ACCESS-CM2,historical,1965,5.34231806
ACCESS-CM2,historical,1966,4.92382860
ACCESS-CM2,historical,1967,5.04601002
ACCESS-CM2,historical,1968,5.68140554
ACCESS-CM2,historical,1969,6.09510326
ACCESS-CM2,historical,1970,5.85728931
ACCESS-CM2,historical,1971,6.08167267
ACCESS-CM2,historical,1972,6.35678005
ACCESS-CM2,historical,1973,4.53603458
ACCESS-CM2,historical,1974,6.56804562
ACCESS-CM2,historical,1975,5.83691549
ACCESS-CM2,historical,1976,5.52238750
ACCESS-CM2,historical,1977,5.80991125
ACCESS-CM2,historical,1978,6.09025383
ACCESS-CM2,historical,1979,6.98142147
ACCESS-CM2,historical,1980,5.87344885
ACCESS-CM2,historical,1981,6.36052370
ACCESS-CM2,historical,1982,6.15993404
ACCESS-CM2,historical,1983,5.09965944
ACCESS-CM2,historical,1984,5.94323111
ACCESS-CM2,historical,1985,6.38696527
ACCESS-CM2,historical,1986,5.17515278
ACCESS-CM2,historical,1987,4.98287249
ACCESS-CM2,historical,1988,6.33581209
ACCESS-CM2,historical,1989,6.24822235
ACCESS-CM2,historical,1990,5.52468777
ACCESS-CM2,historical,1991,5.00792408
ACCESS-CM2,historical,1992,5.90961027
ACCESS-CM2,historical,1993,5.38042068
ACCESS-CM2,historical,1994,6.58149099
ACCESS-CM2,historical,1995,6.04156160
ACCESS-CM2,historical,1996,5.87340546
ACCESS-CM2,historical,1997,5.28523540
ACCESS-CM2,historical,1998,5.21029615
ACCESS-CM2,historical,1999,5.46380949
ACCESS-CM2,historical,2000,5.73951626
ACCESS-CM2,historical,2001,6.02429438
ACCESS-CM2,historical,2002,5.00543404
ACCESS-CM2,historical,2003,5.17121506
ACCESS-CM2,historical,2004,5.68587732
ACCESS-CM2,historical,2005,6.09659243
ACCESS-CM2,historical,2006,5.51246834
ACCESS-CM2,historical,2007,4.08903551
ACCESS-CM2,historical,2008,5.24163914
ACCESS-CM2,historical,2009,5.72799587
ACCESS-CM2,historical,2010,6.96610546
ACCESS-CM2,historical,2011,6.49787712
ACCESS-CM2,historical,2012,4.61046267
ACCESS-CM2,historical,2013,5.21201420
ACCESS-CM2,historical,2014,6.62212229
ACCESS-CM2,ssp126,2015,6.23578501
ACCESS-CM2,ssp126,2016,5.48031902
ACCESS-CM2,ssp126,2017,5.30568647
ACCESS-CM2,ssp126,2018,5.76582432
ACCESS-CM2,ssp126,2019,5.70782137
ACCESS-CM2,ssp126,2020,4.71398687
ACCESS-CM2,ssp126,2021,6.68709707
ACCESS-CM2,ssp126,2022,6.95923424
ACCESS-CM2,ssp126,2023,5.64044142
ACCESS-CM2,ssp126,2024,5.56232738
ACCESS-CM2,ssp126,2025,5.47344112
ACCESS-CM2,ssp126,2026,4.63843155
ACCESS-CM2,ssp126,2027,5.01246834
ACCESS-CM2,ssp126,2028,5.86029482
ACCESS-CM2,ssp126,2029,5.54623699
ACCESS-CM2,ssp126,2030,6.23239660
ACCESS-CM2,ssp126,2031,5.16578579
ACCESS-CM2,ssp126,2032,5.66275549
ACCESS-CM2,ssp126,2033,5.45792961
ACCESS-CM2,ssp126,2034,5.76008034
ACCESS-CM2,ssp126,2035,5.27060556
ACCESS-CM2,ssp126,2036,5.70349646
