model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,6.54202700
ACCESS-CM2,historical,1961,7.28277063
ACCESS-CM2,historical,1962,5.29013157
ACCESS-CM2,historical,1963,4.62113094
ACCESS-CM2,historical,1964,4.67120266
ACCESS-CM2,historical,1965,4.16332436
ACCESS-CM2,historical,1966,4.57872868
ACCESS-CM2,historical,1967,4.53380394
ACCESS-CM2,historical,1968,5.78474617
ACCESS-CM2,historical,1969,6.00570202
ACCESS-CM2,historical,1970,4.32149553
ACCESS-CM2,historical,1971,7.10438395
ACCESS-CM2,historical,1972,5.57412243
ACCESS-CM2,historical,1973,6.03352976
ACCESS-CM2,historical,1974,7.54091501
ACCESS-CM2,historical,1975,6.07878113
ACCESS-CM2,historical,1976,3.85994601
ACCESS-CM2,historical,1977,4.80819750
ACCESS-CM2,historical,1978,5.17118359
ACCESS-CM2,historical,1979,7.02110863
ACCESS-CM2,historical,1980,4.96736431
ACCESS-CM2,historical,1981,6.71484280
ACCESS-CM2,historical,1982,4.43641186
ACCESS-CM2,historical,1983,3.92261171
ACCESS-CM2,historical,1984,4.37870169
ACCESS-CM2,historical,1985,4.56369495
ACCESS-CM2,historical,1986,5.23126173
ACCESS-CM2,historical,1987,4.85332346
ACCESS-CM2,historical,1988,5.36467838
ACCESS-CM2,historical,1989,5.21045780
ACCESS-CM2,historical,1990,5.45424652
ACCESS-CM2,historical,1991,5.86189318
ACCESS-CM2,historical,1992,3.63961625
ACCESS-CM2,historical,1993,4.82091331
ACCESS-CM2,historical,1994,5.23072386
ACCESS-CM2,historical,1995,5.44988728
ACCESS-CM2,historical,1996,5.30456018
ACCESS-CM2,historical,1997,6.17647171
ACCESS-CM2,historical,1998,4.72631979
ACCESS-CM2,historical,1999,5.34414434
ACCESS-CM2,historical,2000,5.42470121
ACCESS-CM2,historical,2001,3.61223364
ACCESS-CM2,historical,2002,6.35485125
ACCESS-CM2,historical,2003,6.79962778
ACCESS-CM2,historical,2004,4.67739868
ACCESS-CM2,historical,2005,5.17652082
ACCESS-CM2,historical,2006,5.03578091
ACCESS-CM2,historical,2007,5.67242098
ACCESS-CM2,historical,2008,5.01194906
ACCESS-CM2,historical,2009,5.58158112
ACCESS-CM2,historical,2010,4.48349142
ACCESS-CM2,historical,2011,7.14885712
ACCESS-CM2,historical,2012,3.67598224
ACCESS-CM2,historical,2013,6.73240709
ACCESS-CM2,historical,2014,5.61164904
ACCESS-CM2,ssp126,2015,4.46772671
ACCESS-CM2,ssp126,2016,6.14345074
ACCESS-CM2,ssp126,2017,5.90636063
ACCESS-CM2,ssp126,2018,5.61318731
ACCESS-CM2,ssp126,2019,4.88735771
ACCESS-CM2,ssp126,2020,5.36168432
ACCESS-CM2,ssp126,2021,6.09735584
ACCESS-CM2,ssp126,2022,7.41579056
ACCESS-CM2,ssp126,2023,6.13928938
ACCESS-CM2,ssp126,2024,7.90147591
ACCESS-CM2,ssp126,2025,5.50287390
ACCESS-CM2,ssp126,2026,4.71870089
ACCESS-CM2,ssp126,2027,5.18179131
ACCESS-CM2,ssp126,2028,5.47158766
ACCESS-CM2,ssp126,2029,6.17952204
ACCESS-CM2,ssp126,2030,5.09045029
ACCESS-CM2,ssp126,2031,5.11648178
ACCESS-CM2,ssp126,2032,4.94458437
ACCESS-CM2,ssp126,2033,5.18081188
ACCESS-CM2,ssp126,2034,5.43184090
ACCESS-CM2,ssp126,2035,4.33943939
ACCESS-CM2,ssp126,2036,5.59361172
ACCESS-CM2,ssp126,2037,6.57765865
ACCESS-CM2,ssp126,2038,7.92309046
ACCESS-CM2,ssp126,2039,5.08298635
ACCESS-CM2,ssp126,2040,4.37990236
ACCESS-CM2,ssp126,2041,6.27703571
ACCESS-CM2,ssp126,2042,3.55804586
ACCESS-CM2,ssp126,2043,5.38162518
ACCESS-CM2,ssp126,2044,4.41848946
ACCESS-CM2,ssp126,2045,5.09091425
ACCESS-CM2,ssp126,2046,4.73485279
ACCESS-CM2,ssp126,2047,4.71967125
ACCESS-CM2,ssp126,2048,5.79286289
ACCESS-CM2,ssp126,2049,4.32049084
ACCESS-CM2,ssp126,2050,6.04541302
ACCESS-CM2,ssp126,2051,5.20329618
ACCESS-CM2,ssp126,2052,4.62619257
ACCESS-CM2,ssp126,2053,5.13814974
ACCESS-CM2,ssp126,2054,7.54629803
ACCESS-CM2,ssp126,2055,5.80900383
ACCESS-CM2,ssp126,2056,5.42479515
ACCESS-CM2,ssp126,2057,7.50303602
ACCESS-CM2,ssp126,2058,5.08072281
ACCESS-CM2,ssp126,2059,6.03614235
ACCESS-CM2,ssp126,2060,5.36679173
ACCESS-CM2,ssp126,2061,4.36875486
ACCESS-CM2,ssp126,2062,6.48725653
ACCESS-CM2,ssp126,2063,5.17483282
ACCESS-CM2,ssp126,2064,4.51560450
ACCESS-CM2,ssp126,2065,7.53751659
ACCESS-CM2,ssp126,2066,5.65131426
ACCESS-CM2,ssp126,2067,5.14036942
ACCESS-CM2,ssp126,2068,4.61033964
ACCESS-CM2,ssp126,2069,5.30788612
ACCESS-CM2,ssp126,2070,5.12749434
ACCESS-CM2,ssp126,2071,3.58191633
ACCESS-CM2,ssp126,2072,4.24437380
ACCESS-CM2,ssp126,2073,5.14535046
ACCESS-CM2,ssp126,2074,5.66946173
ACCESS-CM2,ssp126,2075,6.28492737
ACCESS-CM2,ssp126,2076,3.35764265
ACCESS-CM2,ssp126,2077,5.39291382
ACCESS-CM2,ssp126,2078,5.18142319
ACCESS-CM2,ssp126,2079,4.78259277
ACCESS-CM2,ssp126,2080,6.70191765
ACCESS-CM2,ssp126,2081,6.12668085
ACCESS-CM2,ssp126,2082,5.82516003
ACCESS-CM2,ssp126,2083,5.19543695
ACCESS-CM2,ssp126,2084,5.18698359
ACCESS-CM2,ssp126,2085,4.00476885
ACCESS-CM2,ssp126,2086,5.80809546
ACCESS-CM2,ssp126,2087,4.58325911
ACCESS-CM2,ssp126,2088,5.62981653
ACCESS-CM2,ssp126,2089,5.45487070
ACCESS-CM2,ssp126,2090,5.89530897
ACCESS-CM2,ssp126,2091,4.67944860
ACCESS-CM2,ssp126,2092,5.57591105
ACCESS-CM2,ssp126,2093,5.37915659
ACCESS-CM2,ssp126,2094,5.62845087
ACCESS-CM2,ssp126,2095,4.44062042
ACCESS-CM2,ssp126,2096,5.19276953
ACCESS-CM2,ssp126,2097,5.44991875
ACCESS-CM2,ssp126,2098,4.42556143
ACCESS-CM2,ssp126,2099,4.40552568
ACCESS-CM2,ssp126,2100,4.89072847
ACCESS-CM2,ssp245,2015,6.27550173
ACCESS-CM2,ssp245,2016,5.41402578
ACCESS-CM2,ssp245,2017,5.59059238
ACCESS-CM2,ssp245,2018,5.98437643
ACCESS-CM2,ssp245,2019,4.79486513
ACCESS-CM2,ssp245,2020,4.30434513
ACCESS-CM2,ssp245,2021,6.80964470
ACCESS-CM2,ssp245,2022,3.67385507
ACCESS-CM2,ssp245,2023,6.29750967
ACCESS-CM2,ssp245,2024,5.01323175
ACCESS-CM2,ssp245,2025,5.66029644
ACCESS-CM2,ssp245,2026,4.34810448
ACCESS-CM2,ssp245,2027,3.97608304
ACCESS-CM2,ssp245,2028,6.38297272
ACCESS-CM2,ssp245,2029,3.49990249
ACCESS-CM2,ssp245,2030,4.24618530
ACCESS-CM2,ssp245,2031,5.57637358
ACCESS-CM2,ssp245,2032,6.04385853
ACCESS-CM2,ssp245,2033,5.34005117
ACCESS-CM2,ssp245,2034,6.40750456
ACCESS-CM2,ssp245,2035,4.21202135
ACCESS-CM2,ssp245,2036,5.29168081
ACCESS-CM2,ssp245,2037,4.93160248
ACCESS-CM2,ssp245,2038,4.60423994
ACCESS-CM2,ssp245,2039,6.01050138
ACCESS-CM2,ssp245,2040,5.65904951
ACCESS-CM2,ssp245,2041,5.34488916
ACCESS-CM2,ssp245,2042,4.99421597
ACCESS-CM2,ssp245,2043,5.04574680
ACCESS-CM2,ssp245,2044,5.70936298
ACCESS-CM2,ssp245,2045,5.57264805
ACCESS-CM2,ssp245,2046,6.60784674
ACCESS-CM2,ssp245,2047,4.71735239
ACCESS-CM2,ssp245,2048,5.55764771
ACCESS-CM2,ssp245,2049,7.48160458
ACCESS-CM2,ssp245,2050,4.25034475
ACCESS-CM2,ssp245,2051,5.14154243
ACCESS-CM2,ssp245,2052,5.15723133
ACCESS-CM2,ssp245,2053,4.15575600
ACCESS-CM2,ssp245,2054,5.88313723
ACCESS-CM2,ssp245,2055,6.27443600
ACCESS-CM2,ssp245,2056,5.47836542
ACCESS-CM2,ssp245,2057,4.86215496
ACCESS-CM2,ssp245,2058,5.60102749
ACCESS-CM2,ssp245,2059,6.39027929
ACCESS-CM2,ssp245,2060,5.60360003
ACCESS-CM2,ssp245,2061,4.62798882
ACCESS-CM2,ssp245,2062,4.70387268
ACCESS-CM2,ssp245,2063,6.60083246
ACCESS-CM2,ssp245,2064,4.30194664
ACCESS-CM2,ssp245,2065,4.48579311
ACCESS-CM2,ssp245,2066,5.21816587
ACCESS-CM2,ssp245,2067,4.59672165
ACCESS-CM2,ssp245,2068,6.04366064
ACCESS-CM2,ssp245,2069,5.20850897
ACCESS-CM2,ssp245,2070,5.13422632
ACCESS-CM2,ssp245,2071,4.95842600
ACCESS-CM2,ssp245,2072,4.52220154
ACCESS-CM2,ssp245,2073,5.13490438
ACCESS-CM2,ssp245,2074,4.29274178
ACCESS-CM2,ssp245,2075,5.75443172
ACCESS-CM2,ssp245,2076,4.69029856
ACCESS-CM2,ssp245,2077,5.67063713
ACCESS-CM2,ssp245,2078,5.07636642
ACCESS-CM2,ssp245,2079,6.59794664
ACCESS-CM2,ssp245,2080,6.07832146
ACCESS-CM2,ssp245,2081,4.58708048
ACCESS-CM2,ssp245,2082,5.39883566
ACCESS-CM2,ssp245,2083,5.39056158
ACCESS-CM2,ssp245,2084,4.42898417
ACCESS-CM2,ssp245,2085,7.09578133
ACCESS-CM2,ssp245,2086,6.87046909
ACCESS-CM2,ssp245,2087,5.25077534
ACCESS-CM2,ssp245,2088,5.76993561
ACCESS-CM2,ssp245,2089,5.32382727
ACCESS-CM2,ssp245,2090,5.87176895
ACCESS-CM2,ssp245,2091,5.39062119
ACCESS-CM2,ssp245,2092,5.61168051
ACCESS-CM2,ssp245,2093,5.32370901
ACCESS-CM2,ssp245,2094,5.19726562
ACCESS-CM2,ssp245,2095,5.24595261
ACCESS-CM2,ssp245,2096,5.40477562
ACCESS-CM2,ssp245,2097,4.94234228
ACCESS-CM2,ssp245,2098,7.53259993
ACCESS-CM2,ssp245,2099,5.02507544
ACCESS-CM2,ssp245,2100,4.88097239
ACCESS-CM2,ssp370,2015,4.87846708
ACCESS-CM2,ssp370,2016,6.67460775
ACCESS-CM2,ssp370,2017,6.90626717
ACCESS-CM2,ssp370,2018,5.15842247
ACCESS-CM2,ssp370,2019,4.29046965
ACCESS-CM2,ssp370,2020,5.28667307
ACCESS-CM2,ssp370,2021,3.66078925
ACCESS-CM2,ssp370,2022,5.40900373
ACCESS-CM2,ssp370,2023,5.44020367
ACCESS-CM2,ssp370,2024,4.42521715
ACCESS-CM2,ssp370,2025,5.02617741
ACCESS-CM2,ssp370,2026,5.60820055
ACCESS-CM2,ssp370,2027,5.67086029
ACCESS-CM2,ssp370,2028,5.69465494
ACCESS-CM2,ssp370,2029,5.75204706
ACCESS-CM2,ssp370,2030,5.57519007
ACCESS-CM2,ssp370,2031,4.87673521
ACCESS-CM2,ssp370,2032,6.42154121
ACCESS-CM2,ssp370,2033,6.49230385
ACCESS-CM2,ssp370,2034,4.81914186
ACCESS-CM2,ssp370,2035,6.54876661
ACCESS-CM2,ssp370,2036,4.94066143
ACCESS-CM2,ssp370,2037,5.10512924
ACCESS-CM2,ssp370,2038,5.71254826
ACCESS-CM2,ssp370,2039,5.55300903
ACCESS-CM2,ssp370,2040,5.67941618
ACCESS-CM2,ssp370,2041,7.00105572
