model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,8.34966850
ACCESS-CM2,historical,1961,8.31279659
ACCESS-CM2,historical,1962,8.18545914
ACCESS-CM2,historical,1963,8.11234856
ACCESS-CM2,historical,1964,8.31192493
ACCESS-CM2,historical,1965,7.97779942
ACCESS-CM2,historical,1966,7.26522827
ACCESS-CM2,historical,1967,7.43084288
ACCESS-CM2,historical,1968,8.88414097
ACCESS-CM2,historical,1969,8.60299683
ACCESS-CM2,historical,1970,7.75976753
ACCESS-CM2,historical,1971,8.86876202
ACCESS-CM2,historical,1972,8.82625771
ACCESS-CM2,historical,1973,8.08100796
ACCESS-CM2,historical,1974,9.66112804
ACCESS-CM2,historical,1975,8.67931461
ACCESS-CM2,historical,1976,7.81896639
ACCESS-CM2,historical,1977,7.97512102
ACCESS-CM2,historical,1978,8.42681789
ACCESS-CM2,historical,1979,9.23316956
ACCESS-CM2,historical,1980,7.85868073
ACCESS-CM2,historical,1981,9.45683002
ACCESS-CM2,historical,1982,8.14645195
ACCESS-CM2,historical,1983,7.56931782
ACCESS-CM2,historical,1984,8.33479404
ACCESS-CM2,historical,1985,8.65685654
ACCESS-CM2,historical,1986,8.22750282
ACCESS-CM2,historical,1987,8.26875973
ACCESS-CM2,historical,1988,8.77484608
ACCESS-CM2,historical,1989,8.74797821
ACCESS-CM2,historical,1990,8.48898411
ACCESS-CM2,historical,1991,8.60037804
ACCESS-CM2,historical,1992,7.67033052
ACCESS-CM2,historical,1993,8.08342552
ACCESS-CM2,historical,1994,8.57549095
ACCESS-CM2,historical,1995,8.37088490
ACCESS-CM2,historical,1996,8.53344345
ACCESS-CM2,historical,1997,8.29905415
ACCESS-CM2,historical,1998,8.35597897
ACCESS-CM2,historical,1999,8.73723698
ACCESS-CM2,historical,2000,8.63304901
ACCESS-CM2,historical,2001,7.91091728
ACCESS-CM2,historical,2002,8.65780735
ACCESS-CM2,historical,2003,8.44012356
ACCESS-CM2,historical,2004,7.70956135
ACCESS-CM2,historical,2005,8.01663113
ACCESS-CM2,historical,2006,8.12830448
ACCESS-CM2,historical,2007,7.84656143
