model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,6.24250555
ACCESS-CM2,historical,1961,7.32554007
ACCESS-CM2,historical,1962,4.95449781
ACCESS-CM2,historical,1963,4.51345825
ACCESS-CM2,historical,1964,4.55938101
ACCESS-CM2,historical,1965,4.28775740
ACCESS-CM2,historical,1966,4.06431580
ACCESS-CM2,historical,1967,3.87159514
ACCESS-CM2,historical,1968,5.91901064
ACCESS-CM2,historical,1969,6.09039354
ACCESS-CM2,historical,1970,3.83249545
ACCESS-CM2,historical,1971,6.91592789
ACCESS-CM2,historical,1972,5.66111279
ACCESS-CM2,historical,1973,5.90678263
ACCESS-CM2,historical,1974,7.32653809
ACCESS-CM2,historical,1975,5.67174244
ACCESS-CM2,historical,1976,3.92776012
ACCESS-CM2,historical,1977,4.24335957
ACCESS-CM2,historical,1978,4.81018114
ACCESS-CM2,historical,1979,6.65692472
ACCESS-CM2,historical,1980,4.25527763
ACCESS-CM2,historical,1981,6.85375977
ACCESS-CM2,historical,1982,3.68381763
ACCESS-CM2,historical,1983,3.35942793
ACCESS-CM2,historical,1984,4.63965273
ACCESS-CM2,historical,1985,4.18238068
ACCESS-CM2,historical,1986,5.44324112
ACCESS-CM2,historical,1987,4.99672651
ACCESS-CM2,historical,1988,5.53250027
ACCESS-CM2,historical,1989,5.08548975
ACCESS-CM2,historical,1990,5.65845156
ACCESS-CM2,historical,1991,6.01651192
ACCESS-CM2,historical,1992,3.42237663
ACCESS-CM2,historical,1993,4.83448792
ACCESS-CM2,historical,1994,4.33415270
ACCESS-CM2,historical,1995,4.91687775
ACCESS-CM2,historical,1996,5.13572645
ACCESS-CM2,historical,1997,5.81233740
ACCESS-CM2,historical,1998,4.65803719
ACCESS-CM2,historical,1999,5.34829330
ACCESS-CM2,historical,2000,5.52707434
ACCESS-CM2,historical,2001,3.44483209
ACCESS-CM2,historical,2002,6.59456778
ACCESS-CM2,historical,2003,6.09974337
ACCESS-CM2,historical,2004,4.51390171
ACCESS-CM2,historical,2005,4.83029985
ACCESS-CM2,historical,2006,5.33407497
ACCESS-CM2,historical,2007,5.88137007
ACCESS-CM2,historical,2008,4.38740540
ACCESS-CM2,historical,2009,5.60192919
ACCESS-CM2,historical,2010,4.18501043
ACCESS-CM2,historical,2011,6.51990795
ACCESS-CM2,historical,2012,3.57275200
ACCESS-CM2,historical,2013,6.47106981
ACCESS-CM2,historical,2014,5.61490774
ACCESS-CM2,ssp126,2015,4.49584913
ACCESS-CM2,ssp126,2016,5.95087147
ACCESS-CM2,ssp126,2017,5.39028072
ACCESS-CM2,ssp126,2018,5.12555170
ACCESS-CM2,ssp126,2019,4.89902830
ACCESS-CM2,ssp126,2020,5.52914524
ACCESS-CM2,ssp126,2021,6.15095520
ACCESS-CM2,ssp126,2022,6.70487356
ACCESS-CM2,ssp126,2023,5.94093609
ACCESS-CM2,ssp126,2024,7.60616112
ACCESS-CM2,ssp126,2025,5.31996965
ACCESS-CM2,ssp126,2026,4.81309128
ACCESS-CM2,ssp126,2027,5.37473965
ACCESS-CM2,ssp126,2028,5.16443539
ACCESS-CM2,ssp126,2029,5.44039726
ACCESS-CM2,ssp126,2030,4.89281893
ACCESS-CM2,ssp126,2031,5.28036976
ACCESS-CM2,ssp126,2032,4.88563681
ACCESS-CM2,ssp126,2033,4.86502314
ACCESS-CM2,ssp126,2034,5.28625107
ACCESS-CM2,ssp126,2035,3.94883466
ACCESS-CM2,ssp126,2036,5.52411842
ACCESS-CM2,ssp126,2037,6.03552628
ACCESS-CM2,ssp126,2038,7.41530466
ACCESS-CM2,ssp126,2039,4.68046045
ACCESS-CM2,ssp126,2040,4.42767096
ACCESS-CM2,ssp126,2041,6.24843168
ACCESS-CM2,ssp126,2042,2.80793452
ACCESS-CM2,ssp126,2043,5.71876383
ACCESS-CM2,ssp126,2044,4.25512075
ACCESS-CM2,ssp126,2045,4.46707726
ACCESS-CM2,ssp126,2046,4.62757015
ACCESS-CM2,ssp126,2047,4.67983484
ACCESS-CM2,ssp126,2048,5.79645681
ACCESS-CM2,ssp126,2049,4.49493170
ACCESS-CM2,ssp126,2050,6.01986217
ACCESS-CM2,ssp126,2051,5.33249569
ACCESS-CM2,ssp126,2052,4.25520754
ACCESS-CM2,ssp126,2053,5.14790297
ACCESS-CM2,ssp126,2054,7.66570616
ACCESS-CM2,ssp126,2055,5.63323259
ACCESS-CM2,ssp126,2056,5.42590857
ACCESS-CM2,ssp126,2057,7.10132837
ACCESS-CM2,ssp126,2058,4.70408392
ACCESS-CM2,ssp126,2059,5.37464619
ACCESS-CM2,ssp126,2060,4.83929300
ACCESS-CM2,ssp126,2061,4.18234730
ACCESS-CM2,ssp126,2062,6.11594439
ACCESS-CM2,ssp126,2063,4.96727705
ACCESS-CM2,ssp126,2064,4.30877209
ACCESS-CM2,ssp126,2065,7.39595604
ACCESS-CM2,ssp126,2066,5.69881010
ACCESS-CM2,ssp126,2067,5.33167553
ACCESS-CM2,ssp126,2068,4.36430454
ACCESS-CM2,ssp126,2069,5.02480316
ACCESS-CM2,ssp126,2070,5.55054855
ACCESS-CM2,ssp126,2071,3.75726986
ACCESS-CM2,ssp126,2072,4.03112459
ACCESS-CM2,ssp126,2073,5.39737844
ACCESS-CM2,ssp126,2074,5.16808605
ACCESS-CM2,ssp126,2075,6.05728674
ACCESS-CM2,ssp126,2076,3.48207068
ACCESS-CM2,ssp126,2077,5.15764046
ACCESS-CM2,ssp126,2078,5.52316475
ACCESS-CM2,ssp126,2079,5.06472683
ACCESS-CM2,ssp126,2080,6.45039606
ACCESS-CM2,ssp126,2081,5.67055082
ACCESS-CM2,ssp126,2082,5.14849997
ACCESS-CM2,ssp126,2083,5.85530901
ACCESS-CM2,ssp126,2084,5.12488842
ACCESS-CM2,ssp126,2085,3.84184623
ACCESS-CM2,ssp126,2086,5.69465399
ACCESS-CM2,ssp126,2087,4.12734747
ACCESS-CM2,ssp126,2088,5.22105789
ACCESS-CM2,ssp126,2089,5.30631876
ACCESS-CM2,ssp126,2090,5.89966440
ACCESS-CM2,ssp126,2091,5.13042068
ACCESS-CM2,ssp126,2092,5.46175003
ACCESS-CM2,ssp126,2093,5.48762894
ACCESS-CM2,ssp126,2094,5.14858580
ACCESS-CM2,ssp126,2095,3.98990130
ACCESS-CM2,ssp126,2096,4.90675354
ACCESS-CM2,ssp126,2097,5.04344320
ACCESS-CM2,ssp126,2098,4.42968321
ACCESS-CM2,ssp126,2099,3.87511420
ACCESS-CM2,ssp126,2100,4.87955046
ACCESS-CM2,ssp245,2015,6.39653301
ACCESS-CM2,ssp245,2016,5.18548870
ACCESS-CM2,ssp245,2017,5.66478825
ACCESS-CM2,ssp245,2018,5.55036736
ACCESS-CM2,ssp245,2019,4.93282318
ACCESS-CM2,ssp245,2020,4.40743732
ACCESS-CM2,ssp245,2021,6.13014889
ACCESS-CM2,ssp245,2022,3.36139011
ACCESS-CM2,ssp245,2023,6.72648621
ACCESS-CM2,ssp245,2024,4.30967426
ACCESS-CM2,ssp245,2025,5.26855326
ACCESS-CM2,ssp245,2026,4.03196049
ACCESS-CM2,ssp245,2027,4.35727739
ACCESS-CM2,ssp245,2028,6.17418766
ACCESS-CM2,ssp245,2029,3.64528346
ACCESS-CM2,ssp245,2030,4.71083927
ACCESS-CM2,ssp245,2031,4.98265457
ACCESS-CM2,ssp245,2032,6.06751060
ACCESS-CM2,ssp245,2033,4.58689117
ACCESS-CM2,ssp245,2034,6.28639841
ACCESS-CM2,ssp245,2035,4.38705635
ACCESS-CM2,ssp245,2036,5.32359266
ACCESS-CM2,ssp245,2037,5.13595676
ACCESS-CM2,ssp245,2038,4.38175678
ACCESS-CM2,ssp245,2039,5.88609791
ACCESS-CM2,ssp245,2040,5.80720091
ACCESS-CM2,ssp245,2041,5.51820421
ACCESS-CM2,ssp245,2042,4.88592339
ACCESS-CM2,ssp245,2043,4.79846716
ACCESS-CM2,ssp245,2044,5.96895170
ACCESS-CM2,ssp245,2045,5.65214348
ACCESS-CM2,ssp245,2046,5.81844902
ACCESS-CM2,ssp245,2047,4.69615555
ACCESS-CM2,ssp245,2048,5.28805780
ACCESS-CM2,ssp245,2049,7.23195410
ACCESS-CM2,ssp245,2050,3.78964663
ACCESS-CM2,ssp245,2051,5.07654190
ACCESS-CM2,ssp245,2052,5.22997475
ACCESS-CM2,ssp245,2053,4.03054810
ACCESS-CM2,ssp245,2054,5.72912169
ACCESS-CM2,ssp245,2055,6.01877356
ACCESS-CM2,ssp245,2056,4.83893776
ACCESS-CM2,ssp245,2057,5.09579897
ACCESS-CM2,ssp245,2058,4.97652292
ACCESS-CM2,ssp245,2059,6.04832411
ACCESS-CM2,ssp245,2060,5.27738190
ACCESS-CM2,ssp245,2061,5.28433323
ACCESS-CM2,ssp245,2062,4.36450052
ACCESS-CM2,ssp245,2063,6.66506052
ACCESS-CM2,ssp245,2064,4.44532871
ACCESS-CM2,ssp245,2065,4.64105701
ACCESS-CM2,ssp245,2066,4.68660355
ACCESS-CM2,ssp245,2067,4.43627787
ACCESS-CM2,ssp245,2068,5.30967808
ACCESS-CM2,ssp245,2069,5.04354954
ACCESS-CM2,ssp245,2070,5.25294495
ACCESS-CM2,ssp245,2071,5.10514259
ACCESS-CM2,ssp245,2072,4.00942612
ACCESS-CM2,ssp245,2073,5.11604214
ACCESS-CM2,ssp245,2074,3.99776006
ACCESS-CM2,ssp245,2075,5.05144978
ACCESS-CM2,ssp245,2076,4.76921511
ACCESS-CM2,ssp245,2077,5.88775873
ACCESS-CM2,ssp245,2078,4.41576815
ACCESS-CM2,ssp245,2079,6.60648298
ACCESS-CM2,ssp245,2080,5.77797079
ACCESS-CM2,ssp245,2081,4.73476458
ACCESS-CM2,ssp245,2082,4.83818436
ACCESS-CM2,ssp245,2083,5.43210888
ACCESS-CM2,ssp245,2084,4.57056665
ACCESS-CM2,ssp245,2085,7.27375221
ACCESS-CM2,ssp245,2086,6.94179773
ACCESS-CM2,ssp245,2087,5.01977301
ACCESS-CM2,ssp245,2088,5.87486839
ACCESS-CM2,ssp245,2089,5.34735155
ACCESS-CM2,ssp245,2090,5.72550917
ACCESS-CM2,ssp245,2091,5.40103531
ACCESS-CM2,ssp245,2092,5.40811682
ACCESS-CM2,ssp245,2093,4.85166407
ACCESS-CM2,ssp245,2094,4.74386454
ACCESS-CM2,ssp245,2095,5.36558628
ACCESS-CM2,ssp245,2096,5.33796310
ACCESS-CM2,ssp245,2097,4.90603161
ACCESS-CM2,ssp245,2098,7.01535082
ACCESS-CM2,ssp245,2099,4.92650509
ACCESS-CM2,ssp245,2100,4.64474010
ACCESS-CM2,ssp370,2015,4.27065945
ACCESS-CM2,ssp370,2016,6.15992594
ACCESS-CM2,ssp370,2017,6.31994820
ACCESS-CM2,ssp370,2018,5.19111395
ACCESS-CM2,ssp370,2019,3.84994483
ACCESS-CM2,ssp370,2020,5.16477966
ACCESS-CM2,ssp370,2021,3.67719722
ACCESS-CM2,ssp370,2022,5.31058502
ACCESS-CM2,ssp370,2023,5.41503048
ACCESS-CM2,ssp370,2024,4.46031189
ACCESS-CM2,ssp370,2025,4.92122889
ACCESS-CM2,ssp370,2026,5.22113562
ACCESS-CM2,ssp370,2027,5.41560936
ACCESS-CM2,ssp370,2028,5.35209084
ACCESS-CM2,ssp370,2029,5.15043497
ACCESS-CM2,ssp370,2030,5.11489248
ACCESS-CM2,ssp370,2031,4.96865129
ACCESS-CM2,ssp370,2032,5.73566818
ACCESS-CM2,ssp370,2033,6.14979696
ACCESS-CM2,ssp370,2034,4.68065166
ACCESS-CM2,ssp370,2035,6.26394367
ACCESS-CM2,ssp370,2036,5.31641006
ACCESS-CM2,ssp370,2037,5.32197142
ACCESS-CM2,ssp370,2038,5.97009230
ACCESS-CM2,ssp370,2039,5.67588377
ACCESS-CM2,ssp370,2040,5.65027857
ACCESS-CM2,ssp370,2041,6.58466101
ACCESS-CM2,ssp370,2042,7.92110300
ACCESS-CM2,ssp370,2043,6.41103268
ACCESS-CM2,ssp370,2044,7.01280355
ACCESS-CM2,ssp370,2045,5.97528172
ACCESS-CM2,ssp370,2046,6.39037561
ACCESS-CM2,ssp370,2047,6.40393829
ACCESS-CM2,ssp370,2048,4.86017179
ACCESS-CM2,ssp370,2049,5.13013268
ACCESS-CM2,ssp370,2050,5.50901699
ACCESS-CM2,ssp370,2051,4.17829084
ACCESS-CM2,ssp370,2052,4.51461363
ACCESS-CM2,ssp370,2053,5.44653368
ACCESS-CM2,ssp370,2054,8.02963066
ACCESS-CM2,ssp370,2055,6.25230122
ACCESS-CM2,ssp370,2056,5.53841782
ACCESS-CM2,ssp370,2057,5.80141592
ACCESS-CM2,ssp370,2058,6.02038908
ACCESS-CM2,ssp370,2059,5.97988176
ACCESS-CM2,ssp370,2060,5.54487801
ACCESS-CM2,ssp370,2061,4.43306208
ACCESS-CM2,ssp370,2062,6.11144257
ACCESS-CM2,ssp370,2063,4.92083168
ACCESS-CM2,ssp370,2064,5.92307425
ACCESS-CM2,ssp370,2065,7.07114077
ACCESS-CM2,ssp370,2066,5.11923933
ACCESS-CM2,ssp370,2067,4.19491959
ACCESS-CM2,ssp370,2068,6.14526129
ACCESS-CM2,ssp370,2069,7.31066751
ACCESS-CM2,ssp370,2070,6.24144268
ACCESS-CM2,ssp370,2071,4.15115404
ACCESS-CM2,ssp370,2072,5.88570452
ACCESS-CM2,ssp370,2073,5.45414305
ACCESS-CM2,ssp370,2074,6.59128428
ACCESS-CM2,ssp370,2075,4.45323515
ACCESS-CM2,ssp370,2076,5.38176918
ACCESS-CM2,ssp370,2077,4.83385181
ACCESS-CM2,ssp370,2078,5.05809736
ACCESS-CM2,ssp370,2079,6.12915182
ACCESS-CM2,ssp370,2080,6.11609650
ACCESS-CM2,ssp370,2081,6.23770094
ACCESS-CM2,ssp370,2082,5.20849037
ACCESS-CM2,ssp370,2083,4.74813271
ACCESS-CM2,ssp370,2084,5.94362164
ACCESS-CM2,ssp370,2085,6.40541601
ACCESS-CM2,ssp370,2086,4.48622990
ACCESS-CM2,ssp370,2087,5.70875978
ACCESS-CM2,ssp370,2088,6.00315762
ACCESS-CM2,ssp370,2089,7.00983429
ACCESS-CM2,ssp370,2090,4.75031614
ACCESS-CM2,ssp370,2091,5.29881287
ACCESS-CM2,ssp370,2092,5.78060150
ACCESS-CM2,ssp370,2093,4.96233273
ACCESS-CM2,ssp370,2094,6.25204945
ACCESS-CM2,ssp370,2095,5.77576351
ACCESS-CM2,ssp370,2096,5.85667324
ACCESS-CM2,ssp370,2097,5.36553288
ACCESS-CM2,ssp370,2098,5.00801659
ACCESS-CM2,ssp370,2099,5.64345407
ACCESS-CM2,ssp370,2100,
ACCESS-CM2,ssp585,2015,5.87134218
ACCESS-CM2,ssp585,2016,4.63965607
ACCESS-CM2,ssp585,2017,7.19876432
ACCESS-CM2,ssp585,2018,5.71206570
ACCESS-CM2,ssp585,2019,5.49139738
ACCESS-CM2,ssp585,2020,5.85966539
ACCESS-CM2,ssp585,2021,5.16050386
ACCESS-CM2,ssp585,2022,6.50581264
ACCESS-CM2,ssp585,2023,3.41359830
ACCESS-CM2,ssp585,2024,4.39811945
ACCESS-CM2,ssp585,2025,5.55913353
ACCESS-CM2,ssp585,2026,6.06163359
ACCESS-CM2,ssp585,2027,6.97745752
ACCESS-CM2,ssp585,2028,3.89795113
ACCESS-CM2,ssp585,2029,5.59555149
ACCESS-CM2,ssp585,2030,5.91898060
ACCESS-CM2,ssp585,2031,5.67054176
ACCESS-CM2,ssp585,2032,4.93288660
ACCESS-CM2,ssp585,2033,6.83119726
ACCESS-CM2,ssp585,2034,5.40689182
ACCESS-CM2,ssp585,2035,4.26955366
ACCESS-CM2,ssp585,2036,6.27503490
ACCESS-CM2,ssp585,2037,3.13510585
ACCESS-CM2,ssp585,2038,4.59505033
ACCESS-CM2,ssp585,2039,4.68314886
ACCESS-CM2,ssp585,2040,5.61387205
ACCESS-CM2,ssp585,2041,5.62893295
ACCESS-CM2,ssp585,2042,4.92367840
ACCESS-CM2,ssp585,2043,4.25976229
ACCESS-CM2,ssp585,2044,6.13007927
