model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,5.46999502
ACCESS-CM2,historical,1961,6.24061632
ACCESS-CM2,historical,1962,5.98406506
ACCESS-CM2,historical,1963,5.49249601
ACCESS-CM2,historical,1964,5.59381199
ACCESS-CM2,historical,1965,4.32291269
ACCESS-CM2,historical,1966,5.18006849
ACCESS-CM2,historical,1967,4.90581703
ACCESS-CM2,historical,1968,5.44006634
ACCESS-CM2,historical,1969,6.04215956
ACCESS-CM2,historical,1970,5.51156092
ACCESS-CM2,historical,1971,6.65492868
ACCESS-CM2,historical,1972,6.11906576
ACCESS-CM2,historical,1973,5.54567385
ACCESS-CM2,historical,1974,7.21183395
ACCESS-CM2,historical,1975,6.73301888
ACCESS-CM2,historical,1976,4.32145023
ACCESS-CM2,historical,1977,5.41742754
ACCESS-CM2,historical,1978,6.09256649
ACCESS-CM2,historical,1979,6.96866131
ACCESS-CM2,historical,1980,4.72239542
ACCESS-CM2,historical,1981,6.32676458
ACCESS-CM2,historical,1982,5.68480635
ACCESS-CM2,historical,1983,5.38324785
ACCESS-CM2,historical,1984,5.30920649
ACCESS-CM2,historical,1985,6.45141029
ACCESS-CM2,historical,1986,5.62516975
ACCESS-CM2,historical,1987,4.92579031
ACCESS-CM2,historical,1988,5.32949305
ACCESS-CM2,historical,1989,5.96413565
ACCESS-CM2,historical,1990,5.51052523
ACCESS-CM2,historical,1991,5.81559324
ACCESS-CM2,historical,1992,5.58027315
ACCESS-CM2,historical,1993,4.73884058
ACCESS-CM2,historical,1994,6.62971163
ACCESS-CM2,historical,1995,6.34697437
ACCESS-CM2,historical,1996,5.51221323
ACCESS-CM2,historical,1997,5.77930450
ACCESS-CM2,historical,1998,5.10253811
ACCESS-CM2,historical,1999,5.83965540
ACCESS-CM2,historical,2000,5.47705460
ACCESS-CM2,historical,2001,4.92496586
ACCESS-CM2,historical,2002,6.21028757
ACCESS-CM2,historical,2003,6.28864908
ACCESS-CM2,historical,2004,5.35282135
ACCESS-CM2,historical,2005,5.86816645
ACCESS-CM2,historical,2006,5.37817860
ACCESS-CM2,historical,2007,4.90456152
ACCESS-CM2,historical,2008,5.66196299
ACCESS-CM2,historical,2009,6.06010389
ACCESS-CM2,historical,2010,6.17594814
ACCESS-CM2,historical,2011,7.46417904
ACCESS-CM2,historical,2012,4.39899206
ACCESS-CM2,historical,2013,6.20091200
ACCESS-CM2,historical,2014,6.18430853
ACCESS-CM2,ssp126,2015,5.22821856
ACCESS-CM2,ssp126,2016,6.61933041
ACCESS-CM2,ssp126,2017,5.54034519
ACCESS-CM2,ssp126,2018,5.55728054
ACCESS-CM2,ssp126,2019,5.68919849
ACCESS-CM2,ssp126,2020,4.94063330
ACCESS-CM2,ssp126,2021,5.06608772
ACCESS-CM2,ssp126,2022,8.01013660
ACCESS-CM2,ssp126,2023,6.10855436
ACCESS-CM2,ssp126,2024,7.44857788
ACCESS-CM2,ssp126,2025,5.48017979
ACCESS-CM2,ssp126,2026,5.05003023
ACCESS-CM2,ssp126,2027,5.00945854
ACCESS-CM2,ssp126,2028,6.72684813
ACCESS-CM2,ssp126,2029,6.22519112
ACCESS-CM2,ssp126,2030,5.63741302
ACCESS-CM2,ssp126,2031,4.70013714
ACCESS-CM2,ssp126,2032,5.21656084
ACCESS-CM2,ssp126,2033,5.48482752
ACCESS-CM2,ssp126,2034,6.11026525
ACCESS-CM2,ssp126,2035,5.27573824
ACCESS-CM2,ssp126,2036,6.27413273
ACCESS-CM2,ssp126,2037,7.32461834
ACCESS-CM2,ssp126,2038,7.65345860
ACCESS-CM2,ssp126,2039,5.35773993
ACCESS-CM2,ssp126,2040,4.54267025
ACCESS-CM2,ssp126,2041,6.36785984
ACCESS-CM2,ssp126,2042,6.11313105
ACCESS-CM2,ssp126,2043,5.38311863
ACCESS-CM2,ssp126,2044,4.61637354
ACCESS-CM2,ssp126,2045,6.35292006
ACCESS-CM2,ssp126,2046,5.09658861
ACCESS-CM2,ssp126,2047,4.52506161
ACCESS-CM2,ssp126,2048,5.27522039
ACCESS-CM2,ssp126,2049,4.99905682
ACCESS-CM2,ssp126,2050,6.22117186
ACCESS-CM2,ssp126,2051,5.10545254
ACCESS-CM2,ssp126,2052,5.46990156
ACCESS-CM2,ssp126,2053,5.61930704
ACCESS-CM2,ssp126,2054,6.60447836
ACCESS-CM2,ssp126,2055,5.63782644
ACCESS-CM2,ssp126,2056,4.49304152
ACCESS-CM2,ssp126,2057,7.28725672
ACCESS-CM2,ssp126,2058,5.75931263
ACCESS-CM2,ssp126,2059,6.81195879
ACCESS-CM2,ssp126,2060,6.27410221
ACCESS-CM2,ssp126,2061,4.79318619
ACCESS-CM2,ssp126,2062,6.49129868
ACCESS-CM2,ssp126,2063,5.65188408
ACCESS-CM2,ssp126,2064,5.11388683
ACCESS-CM2,ssp126,2065,6.95737457
ACCESS-CM2,ssp126,2066,5.48940754
ACCESS-CM2,ssp126,2067,5.08398676
ACCESS-CM2,ssp126,2068,6.63576412
ACCESS-CM2,ssp126,2069,5.25120115
ACCESS-CM2,ssp126,2070,5.32884359
ACCESS-CM2,ssp126,2071,4.34613800
ACCESS-CM2,ssp126,2072,4.99984169
ACCESS-CM2,ssp126,2073,5.68841219
ACCESS-CM2,ssp126,2074,5.69916439
ACCESS-CM2,ssp126,2075,6.23976755
ACCESS-CM2,ssp126,2076,4.39934731
ACCESS-CM2,ssp126,2077,5.79851770
ACCESS-CM2,ssp126,2078,5.22199917
ACCESS-CM2,ssp126,2079,5.20233488
ACCESS-CM2,ssp126,2080,6.19090891
ACCESS-CM2,ssp126,2081,6.91509914
ACCESS-CM2,ssp126,2082,6.33237219
ACCESS-CM2,ssp126,2083,4.83329535
ACCESS-CM2,ssp126,2084,5.08478069
ACCESS-CM2,ssp126,2085,4.62422895
ACCESS-CM2,ssp126,2086,6.00986624
ACCESS-CM2,ssp126,2087,5.03373384
ACCESS-CM2,ssp126,2088,6.26410961
ACCESS-CM2,ssp126,2089,4.47193480
ACCESS-CM2,ssp126,2090,5.77735186
ACCESS-CM2,ssp126,2091,5.52506924
ACCESS-CM2,ssp126,2092,5.40315580
ACCESS-CM2,ssp126,2093,5.63867426
ACCESS-CM2,ssp126,2094,5.73751879
ACCESS-CM2,ssp126,2095,4.95967054
ACCESS-CM2,ssp126,2096,5.93098831
ACCESS-CM2,ssp126,2097,5.24779367
ACCESS-CM2,ssp126,2098,5.43783951
ACCESS-CM2,ssp126,2099,5.30321789
ACCESS-CM2,ssp126,2100,5.69713831
ACCESS-CM2,ssp245,2015,4.92095137
ACCESS-CM2,ssp245,2016,6.31350422
ACCESS-CM2,ssp245,2017,5.37237358
ACCESS-CM2,ssp245,2018,5.52766037
ACCESS-CM2,ssp245,2019,5.10674810
ACCESS-CM2,ssp245,2020,5.22241879
ACCESS-CM2,ssp245,2021,6.69725657
ACCESS-CM2,ssp245,2022,4.20715141
ACCESS-CM2,ssp245,2023,5.48752403
ACCESS-CM2,ssp245,2024,5.36692286
ACCESS-CM2,ssp245,2025,6.39465857
ACCESS-CM2,ssp245,2026,5.45704794
ACCESS-CM2,ssp245,2027,4.65945673
ACCESS-CM2,ssp245,2028,7.67108059
ACCESS-CM2,ssp245,2029,4.24894667
ACCESS-CM2,ssp245,2030,4.21747494
ACCESS-CM2,ssp245,2031,5.67005253
ACCESS-CM2,ssp245,2032,6.19558716
ACCESS-CM2,ssp245,2033,6.61210680
ACCESS-CM2,ssp245,2034,4.92821741
ACCESS-CM2,ssp245,2035,4.08870316
ACCESS-CM2,ssp245,2036,5.89182615
ACCESS-CM2,ssp245,2037,5.11480474
ACCESS-CM2,ssp245,2038,4.80693388
ACCESS-CM2,ssp245,2039,6.05722713
ACCESS-CM2,ssp245,2040,5.78447008
ACCESS-CM2,ssp245,2041,5.64777756
ACCESS-CM2,ssp245,2042,5.31998444
ACCESS-CM2,ssp245,2043,5.73966026
ACCESS-CM2,ssp245,2044,5.81965876
ACCESS-CM2,ssp245,2045,5.87591743
ACCESS-CM2,ssp245,2046,7.30033112
ACCESS-CM2,ssp245,2047,4.70167685
ACCESS-CM2,ssp245,2048,5.61125278
ACCESS-CM2,ssp245,2049,6.92524767
ACCESS-CM2,ssp245,2050,5.62688637
ACCESS-CM2,ssp245,2051,5.62859917
ACCESS-CM2,ssp245,2052,5.46089888
ACCESS-CM2,ssp245,2053,4.49579239
ACCESS-CM2,ssp245,2054,6.07318878
ACCESS-CM2,ssp245,2055,5.82699013
ACCESS-CM2,ssp245,2056,6.62324142
ACCESS-CM2,ssp245,2057,4.83593655
ACCESS-CM2,ssp245,2058,4.88248158
ACCESS-CM2,ssp245,2059,6.64914560
ACCESS-CM2,ssp245,2060,6.35182142
ACCESS-CM2,ssp245,2061,4.01481342
ACCESS-CM2,ssp245,2062,5.28847408
ACCESS-CM2,ssp245,2063,6.20483112
ACCESS-CM2,ssp245,2064,4.89318752
ACCESS-CM2,ssp245,2065,4.66636038
ACCESS-CM2,ssp245,2066,5.04607630
ACCESS-CM2,ssp245,2067,4.68421888
ACCESS-CM2,ssp245,2068,6.61498451
ACCESS-CM2,ssp245,2069,5.25200033
ACCESS-CM2,ssp245,2070,5.04363775
ACCESS-CM2,ssp245,2071,5.52942276
ACCESS-CM2,ssp245,2072,4.56527281
ACCESS-CM2,ssp245,2073,4.94049168
ACCESS-CM2,ssp245,2074,4.94325686
ACCESS-CM2,ssp245,2075,6.57180738
ACCESS-CM2,ssp245,2076,4.59962988
ACCESS-CM2,ssp245,2077,5.05116796
ACCESS-CM2,ssp245,2078,5.88464880
ACCESS-CM2,ssp245,2079,5.78382778
ACCESS-CM2,ssp245,2080,5.47193432
ACCESS-CM2,ssp245,2081,5.36553717
ACCESS-CM2,ssp245,2082,5.94160700
ACCESS-CM2,ssp245,2083,5.46818447
ACCESS-CM2,ssp245,2084,4.10550833
ACCESS-CM2,ssp245,2085,6.54700613
ACCESS-CM2,ssp245,2086,6.36309814
ACCESS-CM2,ssp245,2087,5.16119480
ACCESS-CM2,ssp245,2088,5.29534960
ACCESS-CM2,ssp245,2089,5.44411230
ACCESS-CM2,ssp245,2090,6.06769419
ACCESS-CM2,ssp245,2091,5.35292244
ACCESS-CM2,ssp245,2092,5.46265411
ACCESS-CM2,ssp245,2093,5.79229069
ACCESS-CM2,ssp245,2094,5.56721354
ACCESS-CM2,ssp245,2095,5.78086710
ACCESS-CM2,ssp245,2096,5.47701168
ACCESS-CM2,ssp245,2097,4.94906664
ACCESS-CM2,ssp245,2098,7.46158695
ACCESS-CM2,ssp245,2099,5.22470951
ACCESS-CM2,ssp245,2100,4.95249748
ACCESS-CM2,ssp370,2015,5.75070572
ACCESS-CM2,ssp370,2016,5.73916006
ACCESS-CM2,ssp370,2017,7.03851986
ACCESS-CM2,ssp370,2018,5.48835373
ACCESS-CM2,ssp370,2019,5.04076242
ACCESS-CM2,ssp370,2020,5.67297459
ACCESS-CM2,ssp370,2021,5.25129557
ACCESS-CM2,ssp370,2022,5.89789867
ACCESS-CM2,ssp370,2023,5.78470945
ACCESS-CM2,ssp370,2024,4.91405344
ACCESS-CM2,ssp370,2025,4.85771370
ACCESS-CM2,ssp370,2026,5.74238920
ACCESS-CM2,ssp370,2027,6.26540613
ACCESS-CM2,ssp370,2028,6.12112617
ACCESS-CM2,ssp370,2029,5.81788969
ACCESS-CM2,ssp370,2030,5.93161249
ACCESS-CM2,ssp370,2031,5.68678665
ACCESS-CM2,ssp370,2032,5.25321245
ACCESS-CM2,ssp370,2033,6.32232285
ACCESS-CM2,ssp370,2034,4.75905514
ACCESS-CM2,ssp370,2035,6.55689478
ACCESS-CM2,ssp370,2036,5.11161280
ACCESS-CM2,ssp370,2037,5.21415520
ACCESS-CM2,ssp370,2038,6.39368010
ACCESS-CM2,ssp370,2039,5.57127190
ACCESS-CM2,ssp370,2040,5.67681408
ACCESS-CM2,ssp370,2041,6.29042482
ACCESS-CM2,ssp370,2042,6.66605949
ACCESS-CM2,ssp370,2043,6.58886719
ACCESS-CM2,ssp370,2044,7.55096722
ACCESS-CM2,ssp370,2045,5.76557398
ACCESS-CM2,ssp370,2046,6.24028492
ACCESS-CM2,ssp370,2047,4.83355951
ACCESS-CM2,ssp370,2048,4.68020725
ACCESS-CM2,ssp370,2049,4.60410404
ACCESS-CM2,ssp370,2050,5.03163099
ACCESS-CM2,ssp370,2051,5.35186768
ACCESS-CM2,ssp370,2052,5.34324408
ACCESS-CM2,ssp370,2053,5.80156326
ACCESS-CM2,ssp370,2054,7.22284126
ACCESS-CM2,ssp370,2055,5.42246675
ACCESS-CM2,ssp370,2056,5.58332586
ACCESS-CM2,ssp370,2057,5.11596441
ACCESS-CM2,ssp370,2058,5.76324987
ACCESS-CM2,ssp370,2059,6.09458590
ACCESS-CM2,ssp370,2060,6.00860500
ACCESS-CM2,ssp370,2061,5.73504972
ACCESS-CM2,ssp370,2062,5.94724894
ACCESS-CM2,ssp370,2063,5.96943808
ACCESS-CM2,ssp370,2064,6.04415131
ACCESS-CM2,ssp370,2065,6.13072062
ACCESS-CM2,ssp370,2066,5.46515560
ACCESS-CM2,ssp370,2067,4.28669453
ACCESS-CM2,ssp370,2068,6.85014963
ACCESS-CM2,ssp370,2069,6.88527441
ACCESS-CM2,ssp370,2070,6.52836227
ACCESS-CM2,ssp370,2071,4.99835682
ACCESS-CM2,ssp370,2072,6.10960484
ACCESS-CM2,ssp370,2073,5.51624632
ACCESS-CM2,ssp370,2074,6.19029713
ACCESS-CM2,ssp370,2075,5.70260239
ACCESS-CM2,ssp370,2076,6.72526646
ACCESS-CM2,ssp370,2077,5.51322508
ACCESS-CM2,ssp370,2078,6.51166677
ACCESS-CM2,ssp370,2079,5.26435471
ACCESS-CM2,ssp370,2080,5.47041178
ACCESS-CM2,ssp370,2081,5.17058754
ACCESS-CM2,ssp370,2082,5.34697723
ACCESS-CM2,ssp370,2083,4.89595556
ACCESS-CM2,ssp370,2084,5.99291754
ACCESS-CM2,ssp370,2085,6.34927559
ACCESS-CM2,ssp370,2086,5.81822014
ACCESS-CM2,ssp370,2087,5.15285397
