model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,3.97433591
ACCESS-CM2,historical,1961,4.27744484
ACCESS-CM2,historical,1962,3.45047879
ACCESS-CM2,historical,1963,3.13371515
ACCESS-CM2,historical,1964,3.17142105
ACCESS-CM2,historical,1965,2.84976745
ACCESS-CM2,historical,1966,3.08621573
ACCESS-CM2,historical,1967,2.99078441
ACCESS-CM2,historical,1968,3.87880969
ACCESS-CM2,historical,1969,3.82266974
ACCESS-CM2,historical,1970,2.90058589
ACCESS-CM2,historical,1971,4.33251429
ACCESS-CM2,historical,1972,3.61708927
ACCESS-CM2,historical,1973,3.69080853
ACCESS-CM2,historical,1974,4.67075586
ACCESS-CM2,historical,1975,3.83859611
ACCESS-CM2,historical,1976,2.74245381
ACCESS-CM2,historical,1977,3.36466432
ACCESS-CM2,historical,1978,3.46532655
ACCESS-CM2,historical,1979,4.32866526
ACCESS-CM2,historical,1980,3.46760416
ACCESS-CM2,historical,1981,4.15721369
ACCESS-CM2,historical,1982,3.14242053
ACCESS-CM2,historical,1983,2.87966228
ACCESS-CM2,historical,1984,2.96959448
ACCESS-CM2,historical,1985,3.31242323
ACCESS-CM2,historical,1986,3.44795942
ACCESS-CM2,historical,1987,3.01208901
ACCESS-CM2,historical,1988,3.37603307
ACCESS-CM2,historical,1989,3.42338610
ACCESS-CM2,historical,1990,3.19487762
ACCESS-CM2,historical,1991,3.75103760
ACCESS-CM2,historical,1992,2.88000679
ACCESS-CM2,historical,1993,3.17935085
ACCESS-CM2,historical,1994,3.56228209
ACCESS-CM2,historical,1995,3.69573903
ACCESS-CM2,historical,1996,3.42780972
ACCESS-CM2,historical,1997,4.36201191
ACCESS-CM2,historical,1998,3.12257195
ACCESS-CM2,historical,1999,3.40707850
ACCESS-CM2,historical,2000,3.26293206
ACCESS-CM2,historical,2001,2.55248022
ACCESS-CM2,historical,2002,3.66459942
ACCESS-CM2,historical,2003,4.16391373
ACCESS-CM2,historical,2004,3.10623693
