model,experiment,year,sfcWind
ACCESS-CM2,historical,1960.00000000,8.28844929
ACCESS-CM2,historical,1961.00000000,7.54622459
ACCESS-CM2,historical,1962.00000000,8.18539143
ACCESS-CM2,historical,1963.00000000,7.84553528
ACCESS-CM2,historical,1964.00000000,8.17141628
ACCESS-CM2,historical,1965.00000000,7.65269709
ACCESS-CM2,historical,1966.00000000,8.73941422
ACCESS-CM2,historical,1967.00000000,8.09022808
ACCESS-CM2,historical,1968.00000000,7.68212461
ACCESS-CM2,historical,1969.00000000,7.56645823
ACCESS-CM2,historical,1970.00000000,7.93788147
ACCESS-CM2,historical,1971.00000000,7.43989944
ACCESS-CM2,historical,1972.00000000,8.31799316
ACCESS-CM2,historical,1973.00000000,7.63685083
ACCESS-CM2,historical,1974.00000000,8.01147556
ACCESS-CM2,historical,1975.00000000,8.64920044
ACCESS-CM2,historical,1976.00000000,7.73163033
ACCESS-CM2,historical,1977.00000000,7.86224174
ACCESS-CM2,historical,1978.00000000,7.38079786
ACCESS-CM2,historical,1979.00000000,7.98095274
ACCESS-CM2,historical,1980.00000000,7.93092108
ACCESS-CM2,historical,1981.00000000,7.56152725
ACCESS-CM2,historical,1982.00000000,7.94005775
ACCESS-CM2,historical,1983.00000000,8.14698696
ACCESS-CM2,historical,1984.00000000,7.79822111
ACCESS-CM2,historical,1985.00000000,7.63149261
ACCESS-CM2,historical,1986.00000000,8.13390827
ACCESS-CM2,historical,1987.00000000,7.59770584
ACCESS-CM2,historical,1988.00000000,7.84438324
ACCESS-CM2,historical,1989.00000000,7.44862986
ACCESS-CM2,historical,1990.00000000,7.78088188
ACCESS-CM2,historical,1991.00000000,7.94874716
ACCESS-CM2,historical,1992.00000000,7.90018797
ACCESS-CM2,historical,1993.00000000,7.66510439
ACCESS-CM2,historical,1994.00000000,7.82243586
ACCESS-CM2,historical,1995.00000000,7.56979370
ACCESS-CM2,historical,1996.00000000,7.65382528
ACCESS-CM2,historical,1997.00000000,8.07710743
ACCESS-CM2,historical,1998.00000000,8.09341621
ACCESS-CM2,historical,1999.00000000,8.06361198
ACCESS-CM2,historical,2000.00000000,7.99783850
ACCESS-CM2,historical,2001.00000000,7.91058111
ACCESS-CM2,historical,2002.00000000,8.39814377
ACCESS-CM2,historical,2003.00000000,7.61384058
ACCESS-CM2,historical,2004.00000000,7.72606421
ACCESS-CM2,historical,2005.00000000,7.74927187
ACCESS-CM2,historical,2006.00000000,8.03725147
ACCESS-CM2,historical,2007.00000000,8.06385899
ACCESS-CM2,historical,2008.00000000,8.44848251
ACCESS-CM2,historical,2009.00000000,7.88556910
ACCESS-CM2,historical,2010.00000000,7.90647125
ACCESS-CM2,historical,2011.00000000,7.80888605
ACCESS-CM2,historical,2012.00000000,7.91937399
ACCESS-CM2,historical,2013.00000000,7.66896200
ACCESS-CM2,historical,2014.00000000,8.18638515
ACCESS-CM2,ssp126,2015.00000000,8.04917622
ACCESS-CM2,ssp126,2016.00000000,7.95936823
ACCESS-CM2,ssp126,2017.00000000,7.98022461
ACCESS-CM2,ssp126,2018.00000000,7.67144156
ACCESS-CM2,ssp126,2019.00000000,7.75364542
ACCESS-CM2,ssp126,2020.00000000,7.89574242
ACCESS-CM2,ssp126,2021.00000000,7.72460175
ACCESS-CM2,ssp126,2022.00000000,7.80193520
ACCESS-CM2,ssp126,2023.00000000,7.51571989
ACCESS-CM2,ssp126,2024.00000000,7.84514380
ACCESS-CM2,ssp126,2025.00000000,7.97381783
ACCESS-CM2,ssp126,2026.00000000,7.90094614
ACCESS-CM2,ssp126,2027.00000000,7.70500326
ACCESS-CM2,ssp126,2028.00000000,7.85233879
ACCESS-CM2,ssp126,2029.00000000,7.84508514
ACCESS-CM2,ssp126,2030.00000000,7.30977249
ACCESS-CM2,ssp126,2031.00000000,8.09580612
ACCESS-CM2,ssp126,2032.00000000,7.50308180
ACCESS-CM2,ssp126,2033.00000000,7.63376474
ACCESS-CM2,ssp126,2034.00000000,8.11978817
ACCESS-CM2,ssp126,2035.00000000,7.50082970
ACCESS-CM2,ssp126,2036.00000000,7.89062881
ACCESS-CM2,ssp126,2037.00000000,7.75387573
ACCESS-CM2,ssp126,2038.00000000,7.47778463
ACCESS-CM2,ssp126,2039.00000000,7.69453430
ACCESS-CM2,ssp126,2040.00000000,7.60742950
ACCESS-CM2,ssp126,2041.00000000,7.51572180
ACCESS-CM2,ssp126,2042.00000000,7.65301132
ACCESS-CM2,ssp126,2043.00000000,7.31122732
ACCESS-CM2,ssp126,2044.00000000,7.74708700
ACCESS-CM2,ssp126,2045.00000000,7.76496696
ACCESS-CM2,ssp126,2046.00000000,7.66914558
ACCESS-CM2,ssp126,2047.00000000,8.11193085
ACCESS-CM2,ssp126,2048.00000000,7.92857885
ACCESS-CM2,ssp126,2049.00000000,7.63800240
ACCESS-CM2,ssp126,2050.00000000,7.74783945
ACCESS-CM2,ssp126,2051.00000000,8.03267002
ACCESS-CM2,ssp126,2052.00000000,7.90617180
ACCESS-CM2,ssp126,2053.00000000,7.85885477
ACCESS-CM2,ssp126,2054.00000000,7.44523001
ACCESS-CM2,ssp126,2055.00000000,7.91711807
ACCESS-CM2,ssp126,2056.00000000,7.57720184
ACCESS-CM2,ssp126,2057.00000000,7.95548105
ACCESS-CM2,ssp126,2058.00000000,7.91530991
ACCESS-CM2,ssp126,2059.00000000,7.44413996
ACCESS-CM2,ssp126,2060.00000000,7.60619974
ACCESS-CM2,ssp126,2061.00000000,7.12154245
ACCESS-CM2,ssp126,2062.00000000,7.47369576
ACCESS-CM2,ssp126,2063.00000000,8.17872429
ACCESS-CM2,ssp126,2064.00000000,7.80188608
ACCESS-CM2,ssp126,2065.00000000,7.78827238
ACCESS-CM2,ssp126,2066.00000000,7.56762648
ACCESS-CM2,ssp126,2067.00000000,7.96500921
ACCESS-CM2,ssp126,2068.00000000,7.82769251
ACCESS-CM2,ssp126,2069.00000000,7.57875872
ACCESS-CM2,ssp126,2070.00000000,7.76293802
ACCESS-CM2,ssp126,2071.00000000,8.18446827
ACCESS-CM2,ssp126,2072.00000000,7.45793676
ACCESS-CM2,ssp126,2073.00000000,7.84355593
ACCESS-CM2,ssp126,2074.00000000,7.34624529
ACCESS-CM2,ssp126,2075.00000000,8.02511692
ACCESS-CM2,ssp126,2076.00000000,7.60765314
ACCESS-CM2,ssp126,2077.00000000,7.58801889
ACCESS-CM2,ssp126,2078.00000000,7.87770510
ACCESS-CM2,ssp126,2079.00000000,7.75641680
ACCESS-CM2,ssp126,2080.00000000,7.77240133
ACCESS-CM2,ssp126,2081.00000000,7.71902609
ACCESS-CM2,ssp126,2082.00000000,7.90997171
ACCESS-CM2,ssp126,2083.00000000,8.12001896
ACCESS-CM2,ssp126,2084.00000000,7.99824142
ACCESS-CM2,ssp126,2085.00000000,7.83627653
ACCESS-CM2,ssp126,2086.00000000,7.62698603
ACCESS-CM2,ssp126,2087.00000000,7.64691401
ACCESS-CM2,ssp126,2088.00000000,7.67231989
ACCESS-CM2,ssp126,2089.00000000,7.67971802
ACCESS-CM2,ssp126,2090.00000000,7.79622889
ACCESS-CM2,ssp126,2091.00000000,7.88235283
ACCESS-CM2,ssp126,2092.00000000,7.85306311
ACCESS-CM2,ssp126,2093.00000000,7.69712400
ACCESS-CM2,ssp126,2094.00000000,7.68883944
ACCESS-CM2,ssp126,2095.00000000,8.13320827
ACCESS-CM2,ssp126,2096.00000000,8.14311123
ACCESS-CM2,ssp126,2097.00000000,7.51758575
ACCESS-CM2,ssp126,2098.00000000,7.71238947
ACCESS-CM2,ssp126,2099.00000000,7.60855341
ACCESS-CM2,ssp126,2100.00000000,7.85163355
ACCESS-CM2,ssp245,2015.00000000,7.56701612
ACCESS-CM2,ssp245,2016.00000000,8.50598431
ACCESS-CM2,ssp245,2017.00000000,7.57176065
ACCESS-CM2,ssp245,2018.00000000,7.72518921
ACCESS-CM2,ssp245,2019.00000000,8.49621677
ACCESS-CM2,ssp245,2020.00000000,7.48243904
ACCESS-CM2,ssp245,2021.00000000,7.76393652
ACCESS-CM2,ssp245,2022.00000000,7.68013906
ACCESS-CM2,ssp245,2023.00000000,7.89751577
ACCESS-CM2,ssp245,2024.00000000,7.52860498
ACCESS-CM2,ssp245,2025.00000000,7.68236589
ACCESS-CM2,ssp245,2026.00000000,7.61693192
ACCESS-CM2,ssp245,2027.00000000,8.19113064
ACCESS-CM2,ssp245,2028.00000000,7.71998072
ACCESS-CM2,ssp245,2029.00000000,7.81611013
ACCESS-CM2,ssp245,2030.00000000,7.30687141
ACCESS-CM2,ssp245,2031.00000000,8.19319630
ACCESS-CM2,ssp245,2032.00000000,7.47640610
ACCESS-CM2,ssp245,2033.00000000,7.30729628
ACCESS-CM2,ssp245,2034.00000000,7.56692505
ACCESS-CM2,ssp245,2035.00000000,7.93639755
