model,experiment,year,sfcWind
ACCESS-CM2,historical,1960.00000000,5.81991720
ACCESS-CM2,historical,1961.00000000,5.38407707
ACCESS-CM2,historical,1962.00000000,5.54503775
ACCESS-CM2,historical,1963.00000000,5.66273165
ACCESS-CM2,historical,1964.00000000,6.07848024
ACCESS-CM2,historical,1965.00000000,5.05439234
ACCESS-CM2,historical,1966.00000000,6.22137403
ACCESS-CM2,historical,1967.00000000,5.73593760
ACCESS-CM2,historical,1968.00000000,5.46398735
ACCESS-CM2,historical,1969.00000000,5.63888311
ACCESS-CM2,historical,1970.00000000,5.31306505
ACCESS-CM2,historical,1971.00000000,5.14265299
ACCESS-CM2,historical,1972.00000000,5.78001785
ACCESS-CM2,historical,1973.00000000,5.99200106
ACCESS-CM2,historical,1974.00000000,5.37416220
ACCESS-CM2,historical,1975.00000000,5.97842646
ACCESS-CM2,historical,1976.00000000,5.16289520
ACCESS-CM2,historical,1977.00000000,5.29578018
ACCESS-CM2,historical,1978.00000000,5.44889975
ACCESS-CM2,historical,1979.00000000,5.39440727
ACCESS-CM2,historical,1980.00000000,5.72469854
ACCESS-CM2,historical,1981.00000000,5.36575317
ACCESS-CM2,historical,1982.00000000,5.64472008
ACCESS-CM2,historical,1983.00000000,6.18630362
ACCESS-CM2,historical,1984.00000000,5.33517408
ACCESS-CM2,historical,1985.00000000,4.95690346
ACCESS-CM2,historical,1986.00000000,5.77961302
ACCESS-CM2,historical,1987.00000000,5.15019035
ACCESS-CM2,historical,1988.00000000,5.25569773
ACCESS-CM2,historical,1989.00000000,5.06407499
ACCESS-CM2,historical,1990.00000000,5.17969751
ACCESS-CM2,historical,1991.00000000,5.47898340
ACCESS-CM2,historical,1992.00000000,5.56896210
ACCESS-CM2,historical,1993.00000000,5.45450926
ACCESS-CM2,historical,1994.00000000,5.61515188
ACCESS-CM2,historical,1995.00000000,4.72628736
ACCESS-CM2,historical,1996.00000000,5.08569431
ACCESS-CM2,historical,1997.00000000,5.62863684
ACCESS-CM2,historical,1998.00000000,5.38488770
ACCESS-CM2,historical,1999.00000000,6.09565687
ACCESS-CM2,historical,2000.00000000,6.03752136
ACCESS-CM2,historical,2001.00000000,5.57441568
ACCESS-CM2,historical,2002.00000000,5.97555971
ACCESS-CM2,historical,2003.00000000,5.43251801
ACCESS-CM2,historical,2004.00000000,5.26880693
ACCESS-CM2,historical,2005.00000000,5.15798807
ACCESS-CM2,historical,2006.00000000,5.91998672
ACCESS-CM2,historical,2007.00000000,5.60374212
ACCESS-CM2,historical,2008.00000000,5.68851471
ACCESS-CM2,historical,2009.00000000,5.32818174
ACCESS-CM2,historical,2010.00000000,5.23421717
ACCESS-CM2,historical,2011.00000000,5.07135630
ACCESS-CM2,historical,2012.00000000,5.89067221
ACCESS-CM2,historical,2013.00000000,4.91957855
ACCESS-CM2,historical,2014.00000000,6.42538261
ACCESS-CM2,ssp126,2015.00000000,5.74406099
ACCESS-CM2,ssp126,2016.00000000,5.31530333
ACCESS-CM2,ssp126,2017.00000000,5.99515390
ACCESS-CM2,ssp126,2018.00000000,5.33303690
ACCESS-CM2,ssp126,2019.00000000,5.44419909
ACCESS-CM2,ssp126,2020.00000000,5.14297152
ACCESS-CM2,ssp126,2021.00000000,5.13870382
ACCESS-CM2,ssp126,2022.00000000,5.17147255
ACCESS-CM2,ssp126,2023.00000000,4.65418053
ACCESS-CM2,ssp126,2024.00000000,5.49402428
ACCESS-CM2,ssp126,2025.00000000,5.74039698
ACCESS-CM2,ssp126,2026.00000000,5.66654062
ACCESS-CM2,ssp126,2027.00000000,5.24903059
ACCESS-CM2,ssp126,2028.00000000,5.01597357
ACCESS-CM2,ssp126,2029.00000000,5.28401136
ACCESS-CM2,ssp126,2030.00000000,5.08066940
ACCESS-CM2,ssp126,2031.00000000,6.01331854
ACCESS-CM2,ssp126,2032.00000000,5.65444803
ACCESS-CM2,ssp126,2033.00000000,5.20955038
ACCESS-CM2,ssp126,2034.00000000,6.22460318
ACCESS-CM2,ssp126,2035.00000000,5.12614012
ACCESS-CM2,ssp126,2036.00000000,5.30919075
ACCESS-CM2,ssp126,2037.00000000,5.23066473
ACCESS-CM2,ssp126,2038.00000000,5.34584188
ACCESS-CM2,ssp126,2039.00000000,4.94897509
ACCESS-CM2,ssp126,2040.00000000,5.15549040
ACCESS-CM2,ssp126,2041.00000000,5.26232195
ACCESS-CM2,ssp126,2042.00000000,4.82687807
ACCESS-CM2,ssp126,2043.00000000,4.92933416
ACCESS-CM2,ssp126,2044.00000000,5.53070402
ACCESS-CM2,ssp126,2045.00000000,5.38524628
ACCESS-CM2,ssp126,2046.00000000,5.18415689
ACCESS-CM2,ssp126,2047.00000000,5.86739922
ACCESS-CM2,ssp126,2048.00000000,5.70178604
ACCESS-CM2,ssp126,2049.00000000,5.15010405
ACCESS-CM2,ssp126,2050.00000000,5.69168901
ACCESS-CM2,ssp126,2051.00000000,5.52926016
ACCESS-CM2,ssp126,2052.00000000,5.51295710
ACCESS-CM2,ssp126,2053.00000000,5.13597488
ACCESS-CM2,ssp126,2054.00000000,4.99623871
ACCESS-CM2,ssp126,2055.00000000,5.52522421
ACCESS-CM2,ssp126,2056.00000000,4.74463892
ACCESS-CM2,ssp126,2057.00000000,5.50069857
ACCESS-CM2,ssp126,2058.00000000,6.00181818
ACCESS-CM2,ssp126,2059.00000000,4.97037935
ACCESS-CM2,ssp126,2060.00000000,5.25265455
ACCESS-CM2,ssp126,2061.00000000,4.91855812
ACCESS-CM2,ssp126,2062.00000000,5.24182177
ACCESS-CM2,ssp126,2063.00000000,6.09522963
ACCESS-CM2,ssp126,2064.00000000,4.86287069
ACCESS-CM2,ssp126,2065.00000000,4.82533026
ACCESS-CM2,ssp126,2066.00000000,5.40224218
ACCESS-CM2,ssp126,2067.00000000,5.71007395
ACCESS-CM2,ssp126,2068.00000000,5.26761866
ACCESS-CM2,ssp126,2069.00000000,4.91890478
ACCESS-CM2,ssp126,2070.00000000,5.32170105
ACCESS-CM2,ssp126,2071.00000000,5.54034281
ACCESS-CM2,ssp126,2072.00000000,5.43370295
ACCESS-CM2,ssp126,2073.00000000,5.39440012
ACCESS-CM2,ssp126,2074.00000000,4.84982443
ACCESS-CM2,ssp126,2075.00000000,6.17969131
ACCESS-CM2,ssp126,2076.00000000,5.15196991
ACCESS-CM2,ssp126,2077.00000000,5.18995285
ACCESS-CM2,ssp126,2078.00000000,5.35165024
ACCESS-CM2,ssp126,2079.00000000,5.89081144
ACCESS-CM2,ssp126,2080.00000000,5.21169996
ACCESS-CM2,ssp126,2081.00000000,5.25937223
ACCESS-CM2,ssp126,2082.00000000,5.52135849
ACCESS-CM2,ssp126,2083.00000000,5.84638453
ACCESS-CM2,ssp126,2084.00000000,5.83418417
ACCESS-CM2,ssp126,2085.00000000,5.15274954
ACCESS-CM2,ssp126,2086.00000000,5.20149374
ACCESS-CM2,ssp126,2087.00000000,4.95198107
ACCESS-CM2,ssp126,2088.00000000,5.26302290
ACCESS-CM2,ssp126,2089.00000000,5.43828630
ACCESS-CM2,ssp126,2090.00000000,4.97333384
ACCESS-CM2,ssp126,2091.00000000,5.77766085
ACCESS-CM2,ssp126,2092.00000000,4.99066782
ACCESS-CM2,ssp126,2093.00000000,5.34790564
ACCESS-CM2,ssp126,2094.00000000,5.63617516
ACCESS-CM2,ssp126,2095.00000000,5.72023153
ACCESS-CM2,ssp126,2096.00000000,6.19930649
ACCESS-CM2,ssp126,2097.00000000,4.78417397
ACCESS-CM2,ssp126,2098.00000000,5.14447689
ACCESS-CM2,ssp126,2099.00000000,5.95585251
ACCESS-CM2,ssp126,2100.00000000,5.39465666
ACCESS-CM2,ssp245,2015.00000000,5.46307993
ACCESS-CM2,ssp245,2016.00000000,6.22371244
