model,experiment,year,sfcWind
ACCESS-CM2,historical,1960.00000000,3.73944402
ACCESS-CM2,historical,1961.00000000,3.36138821
ACCESS-CM2,historical,1962.00000000,3.67400479
ACCESS-CM2,historical,1963.00000000,3.42494488
ACCESS-CM2,historical,1964.00000000,3.47563100
ACCESS-CM2,historical,1965.00000000,3.17645955
ACCESS-CM2,historical,1966.00000000,3.71202660
ACCESS-CM2,historical,1967.00000000,3.46368098
ACCESS-CM2,historical,1968.00000000,3.08760762
ACCESS-CM2,historical,1969.00000000,3.17864299
ACCESS-CM2,historical,1970.00000000,3.27984500
ACCESS-CM2,historical,1971.00000000,3.02828765
ACCESS-CM2,historical,1972.00000000,3.55067635
ACCESS-CM2,historical,1973.00000000,3.58633304
ACCESS-CM2,historical,1974.00000000,3.26044536
ACCESS-CM2,historical,1975.00000000,3.57192612
ACCESS-CM2,historical,1976.00000000,3.11974454
ACCESS-CM2,historical,1977.00000000,3.16381955
ACCESS-CM2,historical,1978.00000000,3.20094776
ACCESS-CM2,historical,1979.00000000,3.05863452
ACCESS-CM2,historical,1980.00000000,3.34882903
ACCESS-CM2,historical,1981.00000000,3.19030476
ACCESS-CM2,historical,1982.00000000,3.34327888
ACCESS-CM2,historical,1983.00000000,3.65676689
ACCESS-CM2,historical,1984.00000000,3.37752151
ACCESS-CM2,historical,1985.00000000,3.15824604
ACCESS-CM2,historical,1986.00000000,3.23875833
ACCESS-CM2,historical,1987.00000000,3.20564556
ACCESS-CM2,historical,1988.00000000,3.03800893
ACCESS-CM2,historical,1989.00000000,3.03667521
ACCESS-CM2,historical,1990.00000000,3.32061863
ACCESS-CM2,historical,1991.00000000,3.28342080
ACCESS-CM2,historical,1992.00000000,3.25701308
ACCESS-CM2,historical,1993.00000000,3.41197491
ACCESS-CM2,historical,1994.00000000,3.32034135
ACCESS-CM2,historical,1995.00000000,3.06133080
ACCESS-CM2,historical,1996.00000000,2.85888553
ACCESS-CM2,historical,1997.00000000,3.31875157
ACCESS-CM2,historical,1998.00000000,3.25603175
ACCESS-CM2,historical,1999.00000000,3.58575177
ACCESS-CM2,historical,2000.00000000,3.40102839
ACCESS-CM2,historical,2001.00000000,3.34242320
ACCESS-CM2,historical,2002.00000000,3.69503212
ACCESS-CM2,historical,2003.00000000,3.10945487
