model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,5.00173283
ACCESS-CM2,historical,1961,4.29134655
ACCESS-CM2,historical,1962,4.86864758
ACCESS-CM2,historical,1963,4.61381149
ACCESS-CM2,historical,1964,4.65581560
ACCESS-CM2,historical,1965,4.86484957
ACCESS-CM2,historical,1966,5.09642935
ACCESS-CM2,historical,1967,5.36019754
ACCESS-CM2,historical,1968,5.05478859
ACCESS-CM2,historical,1969,4.81365204
ACCESS-CM2,historical,1970,5.14605856
ACCESS-CM2,historical,1971,4.32546949
ACCESS-CM2,historical,1972,5.26785994
ACCESS-CM2,historical,1973,4.71704054
ACCESS-CM2,historical,1974,4.69514418
ACCESS-CM2,historical,1975,4.96201420
ACCESS-CM2,historical,1976,4.53970909
ACCESS-CM2,historical,1977,4.66245031
ACCESS-CM2,historical,1978,4.28755379
ACCESS-CM2,historical,1979,4.93545866
ACCESS-CM2,historical,1980,4.93782949
ACCESS-CM2,historical,1981,5.09984636
ACCESS-CM2,historical,1982,4.38466883
ACCESS-CM2,historical,1983,4.46340370
ACCESS-CM2,historical,1984,4.61501884
ACCESS-CM2,historical,1985,4.14339590
ACCESS-CM2,historical,1986,4.95320320
ACCESS-CM2,historical,1987,4.86154413
ACCESS-CM2,historical,1988,4.41152763
ACCESS-CM2,historical,1989,3.87645078
ACCESS-CM2,historical,1990,6.09109640
ACCESS-CM2,historical,1991,4.66490746
ACCESS-CM2,historical,1992,5.13999605
ACCESS-CM2,historical,1993,4.56793547
ACCESS-CM2,historical,1994,4.71828556
ACCESS-CM2,historical,1995,5.39383602
ACCESS-CM2,historical,1996,4.23539734
ACCESS-CM2,historical,1997,5.10208178
ACCESS-CM2,historical,1998,5.18483686
ACCESS-CM2,historical,1999,4.41266012
ACCESS-CM2,historical,2000,4.48769712
ACCESS-CM2,historical,2001,5.64457130
ACCESS-CM2,historical,2002,4.98843002
ACCESS-CM2,historical,2003,5.94500732
ACCESS-CM2,historical,2004,4.39749670
ACCESS-CM2,historical,2005,5.70073605
ACCESS-CM2,historical,2006,4.78681087
ACCESS-CM2,historical,2007,5.69159508
ACCESS-CM2,historical,2008,4.14401865
ACCESS-CM2,historical,2009,5.05666399
ACCESS-CM2,historical,2010,5.71739817
ACCESS-CM2,historical,2011,4.96678066
ACCESS-CM2,historical,2012,5.08800745
ACCESS-CM2,historical,2013,4.52914715
ACCESS-CM2,historical,2014,4.79101133
ACCESS-CM2,ssp126,2015,4.27771425
ACCESS-CM2,ssp126,2016,4.19372320
ACCESS-CM2,ssp126,2017,4.89305305
ACCESS-CM2,ssp126,2018,4.23921776
ACCESS-CM2,ssp126,2019,4.94231224
ACCESS-CM2,ssp126,2020,5.39918518
ACCESS-CM2,ssp126,2021,4.08812904
ACCESS-CM2,ssp126,2022,4.97086430
ACCESS-CM2,ssp126,2023,4.71801710
ACCESS-CM2,ssp126,2024,4.70389843
ACCESS-CM2,ssp126,2025,4.22433805
ACCESS-CM2,ssp126,2026,5.16941500
ACCESS-CM2,ssp126,2027,4.58368540
ACCESS-CM2,ssp126,2028,5.34307146
ACCESS-CM2,ssp126,2029,5.13003397
ACCESS-CM2,ssp126,2030,4.46340227
ACCESS-CM2,ssp126,2031,4.76815844
ACCESS-CM2,ssp126,2032,3.98149085
ACCESS-CM2,ssp126,2033,4.28004360
ACCESS-CM2,ssp126,2034,4.33110237
ACCESS-CM2,ssp126,2035,4.55058765
ACCESS-CM2,ssp126,2036,4.80518961
ACCESS-CM2,ssp126,2037,5.32054520
ACCESS-CM2,ssp126,2038,4.30426264
ACCESS-CM2,ssp126,2039,5.48843813
ACCESS-CM2,ssp126,2040,4.87669086
ACCESS-CM2,ssp126,2041,4.16464281
ACCESS-CM2,ssp126,2042,4.55182886
ACCESS-CM2,ssp126,2043,3.99179554
ACCESS-CM2,ssp126,2044,4.72546530
ACCESS-CM2,ssp126,2045,4.65287304
ACCESS-CM2,ssp126,2046,5.43333673
ACCESS-CM2,ssp126,2047,4.32822227
ACCESS-CM2,ssp126,2048,4.51137686
ACCESS-CM2,ssp126,2049,4.06157684
ACCESS-CM2,ssp126,2050,4.33808899
ACCESS-CM2,ssp126,2051,5.09913111
ACCESS-CM2,ssp126,2052,5.80143070
ACCESS-CM2,ssp126,2053,4.19702864
ACCESS-CM2,ssp126,2054,4.26899052
ACCESS-CM2,ssp126,2055,5.29239464
ACCESS-CM2,ssp126,2056,4.33812380
ACCESS-CM2,ssp126,2057,5.60535240
ACCESS-CM2,ssp126,2058,5.58503819
ACCESS-CM2,ssp126,2059,4.41012049
ACCESS-CM2,ssp126,2060,4.31405449
ACCESS-CM2,ssp126,2061,3.85332084
ACCESS-CM2,ssp126,2062,4.11470747
ACCESS-CM2,ssp126,2063,5.01800871
ACCESS-CM2,ssp126,2064,4.73756552
ACCESS-CM2,ssp126,2065,5.99334288
ACCESS-CM2,ssp126,2066,3.62051177
ACCESS-CM2,ssp126,2067,5.59520960
ACCESS-CM2,ssp126,2068,4.41241980
ACCESS-CM2,ssp126,2069,4.36037350
ACCESS-CM2,ssp126,2070,5.05488729
ACCESS-CM2,ssp126,2071,5.18591881
ACCESS-CM2,ssp126,2072,4.50166512
ACCESS-CM2,ssp126,2073,4.38309145
ACCESS-CM2,ssp126,2074,4.40064383
ACCESS-CM2,ssp126,2075,4.92627430
ACCESS-CM2,ssp126,2076,5.25174904
ACCESS-CM2,ssp126,2077,4.62518978
