model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,7.06377745
ACCESS-CM2,historical,1961,5.69454050
ACCESS-CM2,historical,1962,5.76870441
ACCESS-CM2,historical,1963,5.28712130
ACCESS-CM2,historical,1964,5.90201902
ACCESS-CM2,historical,1965,4.54687691
ACCESS-CM2,historical,1966,6.94299173
ACCESS-CM2,historical,1967,5.54619408
ACCESS-CM2,historical,1968,5.75472546
ACCESS-CM2,historical,1969,5.35894108
ACCESS-CM2,historical,1970,5.00493670
ACCESS-CM2,historical,1971,5.11220598
ACCESS-CM2,historical,1972,7.01035690
ACCESS-CM2,historical,1973,4.97631884
ACCESS-CM2,historical,1974,4.52716017
ACCESS-CM2,historical,1975,5.32627869
ACCESS-CM2,historical,1976,6.12245035
ACCESS-CM2,historical,1977,4.96499968
ACCESS-CM2,historical,1978,4.54571915
ACCESS-CM2,historical,1979,5.89727116
ACCESS-CM2,historical,1980,4.55239058
ACCESS-CM2,historical,1981,5.68551731
ACCESS-CM2,historical,1982,5.68765020
ACCESS-CM2,historical,1983,7.62370920
ACCESS-CM2,historical,1984,4.75447655
ACCESS-CM2,historical,1985,4.99574232
ACCESS-CM2,historical,1986,6.18146276
ACCESS-CM2,historical,1987,5.95607519
ACCESS-CM2,historical,1988,5.12444210
ACCESS-CM2,historical,1989,4.80463457
ACCESS-CM2,historical,1990,5.28207350
ACCESS-CM2,historical,1991,4.50569105
ACCESS-CM2,historical,1992,5.57674313
ACCESS-CM2,historical,1993,4.62077284
ACCESS-CM2,historical,1994,3.94338536
ACCESS-CM2,historical,1995,4.31117296
ACCESS-CM2,historical,1996,4.48501015
ACCESS-CM2,historical,1997,5.77334452
ACCESS-CM2,historical,1998,4.75376320
ACCESS-CM2,historical,1999,5.08571291
ACCESS-CM2,historical,2000,6.30856752
ACCESS-CM2,historical,2001,4.91192913
ACCESS-CM2,historical,2002,7.00966978
ACCESS-CM2,historical,2003,5.24488354
ACCESS-CM2,historical,2004,5.55314493
ACCESS-CM2,historical,2005,4.44955254
ACCESS-CM2,historical,2006,6.24598885
ACCESS-CM2,historical,2007,6.51025867
ACCESS-CM2,historical,2008,5.64167786
ACCESS-CM2,historical,2009,5.04638577
ACCESS-CM2,historical,2010,4.50708342
ACCESS-CM2,historical,2011,4.25949621
ACCESS-CM2,historical,2012,5.94535017
ACCESS-CM2,historical,2013,4.88596106
ACCESS-CM2,historical,2014,6.60540390
ACCESS-CM2,ssp126,2015,5.36300802
ACCESS-CM2,ssp126,2016,5.41807556
ACCESS-CM2,ssp126,2017,3.90921783
ACCESS-CM2,ssp126,2018,5.44241571
ACCESS-CM2,ssp126,2019,4.86187696
ACCESS-CM2,ssp126,2020,5.19995928
ACCESS-CM2,ssp126,2021,5.13724327
ACCESS-CM2,ssp126,2022,4.62751532
ACCESS-CM2,ssp126,2023,4.02802372
ACCESS-CM2,ssp126,2024,6.72451973
ACCESS-CM2,ssp126,2025,5.35840416
ACCESS-CM2,ssp126,2026,7.00987339
ACCESS-CM2,ssp126,2027,5.78647041
ACCESS-CM2,ssp126,2028,4.85022783
ACCESS-CM2,ssp126,2029,4.87302160
ACCESS-CM2,ssp126,2030,4.82771111
ACCESS-CM2,ssp126,2031,6.61077881
ACCESS-CM2,ssp126,2032,5.38006115
ACCESS-CM2,ssp126,2033,4.95414829
ACCESS-CM2,ssp126,2034,6.00845385
ACCESS-CM2,ssp126,2035,4.92717266
ACCESS-CM2,ssp126,2036,4.48487473
ACCESS-CM2,ssp126,2037,4.51059151
ACCESS-CM2,ssp126,2038,5.64267826
ACCESS-CM2,ssp126,2039,5.27586365
ACCESS-CM2,ssp126,2040,4.88728714
ACCESS-CM2,ssp126,2041,5.20273352
ACCESS-CM2,ssp126,2042,5.23283672
ACCESS-CM2,ssp126,2043,5.18243217
ACCESS-CM2,ssp126,2044,4.81085014
ACCESS-CM2,ssp126,2045,5.41411638
ACCESS-CM2,ssp126,2046,5.91400957
ACCESS-CM2,ssp126,2047,5.66926622
ACCESS-CM2,ssp126,2048,5.99615526
ACCESS-CM2,ssp126,2049,5.69935942
ACCESS-CM2,ssp126,2050,5.41504383
ACCESS-CM2,ssp126,2051,4.91956949
ACCESS-CM2,ssp126,2052,4.88754988
ACCESS-CM2,ssp126,2053,5.54706907
ACCESS-CM2,ssp126,2054,5.93679810
ACCESS-CM2,ssp126,2055,5.08906984
ACCESS-CM2,ssp126,2056,5.65749073
ACCESS-CM2,ssp126,2057,3.87436843
ACCESS-CM2,ssp126,2058,5.50564623
ACCESS-CM2,ssp126,2059,5.26155424
ACCESS-CM2,ssp126,2060,5.29523802
ACCESS-CM2,ssp126,2061,4.84122562
ACCESS-CM2,ssp126,2062,5.46934795
ACCESS-CM2,ssp126,2063,6.45937204
ACCESS-CM2,ssp126,2064,4.56836510
ACCESS-CM2,ssp126,2065,4.50928450
ACCESS-CM2,ssp126,2066,5.76480293
ACCESS-CM2,ssp126,2067,6.04128361
ACCESS-CM2,ssp126,2068,4.44080591
ACCESS-CM2,ssp126,2069,4.46111059
ACCESS-CM2,ssp126,2070,5.10416079
ACCESS-CM2,ssp126,2071,5.63770008
ACCESS-CM2,ssp126,2072,5.97421789
ACCESS-CM2,ssp126,2073,6.48583031
ACCESS-CM2,ssp126,2074,5.08612347
ACCESS-CM2,ssp126,2075,6.32755280
ACCESS-CM2,ssp126,2076,4.69064379
ACCESS-CM2,ssp126,2077,5.16240549
ACCESS-CM2,ssp126,2078,5.41872501
ACCESS-CM2,ssp126,2079,6.13051701
ACCESS-CM2,ssp126,2080,4.66326761
ACCESS-CM2,ssp126,2081,6.21659803
ACCESS-CM2,ssp126,2082,5.14275599
ACCESS-CM2,ssp126,2083,6.21642685
ACCESS-CM2,ssp126,2084,6.56285429
ACCESS-CM2,ssp126,2085,6.08016157
ACCESS-CM2,ssp126,2086,5.69893026
ACCESS-CM2,ssp126,2087,4.33663225
ACCESS-CM2,ssp126,2088,5.86964178
ACCESS-CM2,ssp126,2089,5.64359570
ACCESS-CM2,ssp126,2090,5.19463921
ACCESS-CM2,ssp126,2091,5.57627249
ACCESS-CM2,ssp126,2092,5.98962259
ACCESS-CM2,ssp126,2093,6.02316523
ACCESS-CM2,ssp126,2094,4.16602898
ACCESS-CM2,ssp126,2095,6.25147343
ACCESS-CM2,ssp126,2096,6.21008730
ACCESS-CM2,ssp126,2097,3.96156073
ACCESS-CM2,ssp126,2098,6.29570484
ACCESS-CM2,ssp126,2099,4.61954880
ACCESS-CM2,ssp126,2100,5.47348404
ACCESS-CM2,ssp245,2015,5.09441137
ACCESS-CM2,ssp245,2016,6.17366695
ACCESS-CM2,ssp245,2017,5.37958527
ACCESS-CM2,ssp245,2018,5.46739388
ACCESS-CM2,ssp245,2019,6.05881882
ACCESS-CM2,ssp245,2020,4.22884464
ACCESS-CM2,ssp245,2021,5.23947668
ACCESS-CM2,ssp245,2022,4.71908855
ACCESS-CM2,ssp245,2023,5.59942818
ACCESS-CM2,ssp245,2024,4.83468771
ACCESS-CM2,ssp245,2025,4.98487186
ACCESS-CM2,ssp245,2026,4.67514515
ACCESS-CM2,ssp245,2027,5.95190668
ACCESS-CM2,ssp245,2028,4.30127907
ACCESS-CM2,ssp245,2029,4.55738735
ACCESS-CM2,ssp245,2030,4.63251019
ACCESS-CM2,ssp245,2031,7.43811035
ACCESS-CM2,ssp245,2032,4.34975004
ACCESS-CM2,ssp245,2033,4.57033587
ACCESS-CM2,ssp245,2034,5.06257677
ACCESS-CM2,ssp245,2035,5.53345442
ACCESS-CM2,ssp245,2036,5.07298183
ACCESS-CM2,ssp245,2037,6.29292202
ACCESS-CM2,ssp245,2038,6.15947819
ACCESS-CM2,ssp245,2039,5.73184061
ACCESS-CM2,ssp245,2040,4.91277885
ACCESS-CM2,ssp245,2041,5.23617363
ACCESS-CM2,ssp245,2042,5.32568645
ACCESS-CM2,ssp245,2043,5.44252491
ACCESS-CM2,ssp245,2044,5.65727758
ACCESS-CM2,ssp245,2045,6.09767103
ACCESS-CM2,ssp245,2046,4.55685329
ACCESS-CM2,ssp245,2047,6.71784401
ACCESS-CM2,ssp245,2048,4.58472109
ACCESS-CM2,ssp245,2049,5.35237980
ACCESS-CM2,ssp245,2050,4.81919479
ACCESS-CM2,ssp245,2051,5.33653545
ACCESS-CM2,ssp245,2052,5.99347448
ACCESS-CM2,ssp245,2053,4.74074745
ACCESS-CM2,ssp245,2054,4.87578011
ACCESS-CM2,ssp245,2055,5.33426237
ACCESS-CM2,ssp245,2056,5.09322786
ACCESS-CM2,ssp245,2057,5.24879360
ACCESS-CM2,ssp245,2058,5.49258471
ACCESS-CM2,ssp245,2059,4.06661129
ACCESS-CM2,ssp245,2060,4.62536478
ACCESS-CM2,ssp245,2061,5.51144552
ACCESS-CM2,ssp245,2062,4.92533970
ACCESS-CM2,ssp245,2063,4.57566309
ACCESS-CM2,ssp245,2064,5.68838406
ACCESS-CM2,ssp245,2065,4.22637081
ACCESS-CM2,ssp245,2066,5.97900057
ACCESS-CM2,ssp245,2067,5.44080925
ACCESS-CM2,ssp245,2068,4.99714088
ACCESS-CM2,ssp245,2069,4.99832106
ACCESS-CM2,ssp245,2070,4.94044971
ACCESS-CM2,ssp245,2071,5.71229172
ACCESS-CM2,ssp245,2072,5.03851318
ACCESS-CM2,ssp245,2073,4.36046171
ACCESS-CM2,ssp245,2074,4.98265982
ACCESS-CM2,ssp245,2075,4.92934990
ACCESS-CM2,ssp245,2076,4.90445137
ACCESS-CM2,ssp245,2077,5.61763144
ACCESS-CM2,ssp245,2078,5.71909571
ACCESS-CM2,ssp245,2079,4.83769655
ACCESS-CM2,ssp245,2080,4.07425117
ACCESS-CM2,ssp245,2081,4.28174686
ACCESS-CM2,ssp245,2082,6.27596521
ACCESS-CM2,ssp245,2083,4.92806005
ACCESS-CM2,ssp245,2084,5.58584785
ACCESS-CM2,ssp245,2085,6.22741461
ACCESS-CM2,ssp245,2086,5.04159403
ACCESS-CM2,ssp245,2087,5.47056007
ACCESS-CM2,ssp245,2088,5.33151436
ACCESS-CM2,ssp245,2089,5.67809200
ACCESS-CM2,ssp245,2090,5.45658398
ACCESS-CM2,ssp245,2091,4.51324415
ACCESS-CM2,ssp245,2092,5.18258905
ACCESS-CM2,ssp245,2093,4.54450130
ACCESS-CM2,ssp245,2094,5.13311911
ACCESS-CM2,ssp245,2095,4.55055523
ACCESS-CM2,ssp245,2096,4.84419680
ACCESS-CM2,ssp245,2097,5.60273647
ACCESS-CM2,ssp245,2098,4.70833778
ACCESS-CM2,ssp245,2099,5.11107111
ACCESS-CM2,ssp245,2100,4.57640886
ACCESS-CM2,ssp370,2015,4.55261326
ACCESS-CM2,ssp370,2016,6.01175070
ACCESS-CM2,ssp370,2017,5.34263945
ACCESS-CM2,ssp370,2018,5.08954334
ACCESS-CM2,ssp370,2019,4.89359188
ACCESS-CM2,ssp370,2020,5.72363997
ACCESS-CM2,ssp370,2021,7.14273548
ACCESS-CM2,ssp370,2022,5.98604298
ACCESS-CM2,ssp370,2023,4.88619518
ACCESS-CM2,ssp370,2024,5.52951574
ACCESS-CM2,ssp370,2025,5.61553669
ACCESS-CM2,ssp370,2026,5.79317522
