model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,6.56788921
ACCESS-CM2,historical,1961,5.79511023
ACCESS-CM2,historical,1962,6.44485617
ACCESS-CM2,historical,1963,5.73769426
ACCESS-CM2,historical,1964,6.30319881
ACCESS-CM2,historical,1965,4.37407732
ACCESS-CM2,historical,1966,7.42329979
ACCESS-CM2,historical,1967,5.25833225
ACCESS-CM2,historical,1968,5.68578243
ACCESS-CM2,historical,1969,5.37957478
ACCESS-CM2,historical,1970,5.20986176
ACCESS-CM2,historical,1971,5.15996265
ACCESS-CM2,historical,1972,7.57618952
ACCESS-CM2,historical,1973,4.67148066
ACCESS-CM2,historical,1974,4.49170589
ACCESS-CM2,historical,1975,5.17153120
ACCESS-CM2,historical,1976,6.19083261
ACCESS-CM2,historical,1977,4.95871353
ACCESS-CM2,historical,1978,4.12738800
ACCESS-CM2,historical,1979,6.05020905
ACCESS-CM2,historical,1980,4.42984581
ACCESS-CM2,historical,1981,5.98631573
ACCESS-CM2,historical,1982,6.01673937
ACCESS-CM2,historical,1983,7.26277781
ACCESS-CM2,historical,1984,5.26509237
ACCESS-CM2,historical,1985,5.16447878
ACCESS-CM2,historical,1986,6.08323145
ACCESS-CM2,historical,1987,6.18956184
ACCESS-CM2,historical,1988,5.56765842
ACCESS-CM2,historical,1989,4.92088175
ACCESS-CM2,historical,1990,5.03659773
ACCESS-CM2,historical,1991,4.69676876
ACCESS-CM2,historical,1992,4.97562122
ACCESS-CM2,historical,1993,4.77099943
ACCESS-CM2,historical,1994,4.03527451
ACCESS-CM2,historical,1995,4.12016582
ACCESS-CM2,historical,1996,4.82320356
ACCESS-CM2,historical,1997,6.05831099
ACCESS-CM2,historical,1998,4.76793289
ACCESS-CM2,historical,1999,5.20535231
ACCESS-CM2,historical,2000,6.51487589
ACCESS-CM2,historical,2001,4.63567352
ACCESS-CM2,historical,2002,7.14774513
ACCESS-CM2,historical,2003,4.48248386
ACCESS-CM2,historical,2004,5.58388281
ACCESS-CM2,historical,2005,4.22005606
ACCESS-CM2,historical,2006,6.46388483
ACCESS-CM2,historical,2007,6.73099661
ACCESS-CM2,historical,2008,5.74679995
ACCESS-CM2,historical,2009,5.26192045
ACCESS-CM2,historical,2010,4.52918959
ACCESS-CM2,historical,2011,4.31410360
ACCESS-CM2,historical,2012,6.20726919
ACCESS-CM2,historical,2013,4.99699783
ACCESS-CM2,historical,2014,6.39007616
ACCESS-CM2,ssp126,2015,5.50815821
ACCESS-CM2,ssp126,2016,5.53638649
ACCESS-CM2,ssp126,2017,4.03062916
ACCESS-CM2,ssp126,2018,5.44663095
ACCESS-CM2,ssp126,2019,5.12671328
ACCESS-CM2,ssp126,2020,5.22484541
ACCESS-CM2,ssp126,2021,5.37129927
ACCESS-CM2,ssp126,2022,4.58867788
ACCESS-CM2,ssp126,2023,4.19161177
ACCESS-CM2,ssp126,2024,6.62330246
ACCESS-CM2,ssp126,2025,5.45610046
ACCESS-CM2,ssp126,2026,6.58483505
ACCESS-CM2,ssp126,2027,6.00516701
ACCESS-CM2,ssp126,2028,5.17260122
ACCESS-CM2,ssp126,2029,4.99114323
ACCESS-CM2,ssp126,2030,5.03134441
ACCESS-CM2,ssp126,2031,6.62449932
ACCESS-CM2,ssp126,2032,5.03247118
ACCESS-CM2,ssp126,2033,4.81435680
ACCESS-CM2,ssp126,2034,5.47587347
ACCESS-CM2,ssp126,2035,5.19824743
ACCESS-CM2,ssp126,2036,4.59674025
ACCESS-CM2,ssp126,2037,4.54828024
ACCESS-CM2,ssp126,2038,5.74491692
ACCESS-CM2,ssp126,2039,5.25903893
ACCESS-CM2,ssp126,2040,4.75386763
ACCESS-CM2,ssp126,2041,5.34079409
ACCESS-CM2,ssp126,2042,5.10357237
ACCESS-CM2,ssp126,2043,5.00641012
ACCESS-CM2,ssp126,2044,5.08423519
ACCESS-CM2,ssp126,2045,5.79646444
ACCESS-CM2,ssp126,2046,5.94678307
ACCESS-CM2,ssp126,2047,5.50381041
ACCESS-CM2,ssp126,2048,5.83576679
ACCESS-CM2,ssp126,2049,6.05476284
ACCESS-CM2,ssp126,2050,5.16066885
ACCESS-CM2,ssp126,2051,5.17333221
ACCESS-CM2,ssp126,2052,4.84430265
ACCESS-CM2,ssp126,2053,5.64911127
ACCESS-CM2,ssp126,2054,5.73361683
ACCESS-CM2,ssp126,2055,4.92506027
ACCESS-CM2,ssp126,2056,5.76678944
ACCESS-CM2,ssp126,2057,4.34463739
ACCESS-CM2,ssp126,2058,5.01851654
ACCESS-CM2,ssp126,2059,5.20622635
ACCESS-CM2,ssp126,2060,5.26987362
