model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,5.18272161
ACCESS-CM2,historical,1961,5.22461224
ACCESS-CM2,historical,1962,4.54176903
ACCESS-CM2,historical,1963,6.28465128
ACCESS-CM2,historical,1964,5.93660355
ACCESS-CM2,historical,1965,5.88310671
ACCESS-CM2,historical,1966,5.77100039
ACCESS-CM2,historical,1967,6.43833113
ACCESS-CM2,historical,1968,4.33933067
ACCESS-CM2,historical,1969,5.36152649
ACCESS-CM2,historical,1970,5.37792110
ACCESS-CM2,historical,1971,5.00741053
ACCESS-CM2,historical,1972,5.14829206
ACCESS-CM2,historical,1973,4.38636494
ACCESS-CM2,historical,1974,5.62301874
ACCESS-CM2,historical,1975,6.32980490
ACCESS-CM2,historical,1976,4.74354553
ACCESS-CM2,historical,1977,4.21771479
ACCESS-CM2,historical,1978,5.04464102
ACCESS-CM2,historical,1979,5.24663734
ACCESS-CM2,historical,1980,6.50951433
ACCESS-CM2,historical,1981,4.27530527
ACCESS-CM2,historical,1982,5.76907682
ACCESS-CM2,historical,1983,4.19314051
ACCESS-CM2,historical,1984,6.04668140
ACCESS-CM2,historical,1985,4.87863398
ACCESS-CM2,historical,1986,5.78316832
ACCESS-CM2,historical,1987,5.04109097
ACCESS-CM2,historical,1988,4.93536711
ACCESS-CM2,historical,1989,5.16482782
ACCESS-CM2,historical,1990,5.61137772
ACCESS-CM2,historical,1991,6.27003288
ACCESS-CM2,historical,1992,5.96493626
ACCESS-CM2,historical,1993,4.58416128
ACCESS-CM2,historical,1994,5.37412834
ACCESS-CM2,historical,1995,5.33369160
ACCESS-CM2,historical,1996,5.62287855
ACCESS-CM2,historical,1997,5.40156078
ACCESS-CM2,historical,1998,5.60224533
ACCESS-CM2,historical,1999,5.75526953
ACCESS-CM2,historical,2000,4.96833420
ACCESS-CM2,historical,2001,5.31411695
ACCESS-CM2,historical,2002,5.16886806
ACCESS-CM2,historical,2003,4.72414351
ACCESS-CM2,historical,2004,5.27465296
ACCESS-CM2,historical,2005,5.53992987
ACCESS-CM2,historical,2006,6.05789614
ACCESS-CM2,historical,2007,5.26434517
ACCESS-CM2,historical,2008,6.62604523
ACCESS-CM2,historical,2009,6.14041758
ACCESS-CM2,historical,2010,4.41704750
ACCESS-CM2,historical,2011,5.77519655
ACCESS-CM2,historical,2012,5.34462976
ACCESS-CM2,historical,2013,5.05419636
ACCESS-CM2,historical,2014,4.93088198
ACCESS-CM2,ssp126,2015,4.37290812
ACCESS-CM2,ssp126,2016,6.14017773
ACCESS-CM2,ssp126,2017,6.26800966
ACCESS-CM2,ssp126,2018,5.39731550
ACCESS-CM2,ssp126,2019,5.28032589
ACCESS-CM2,ssp126,2020,4.73369122
ACCESS-CM2,ssp126,2021,4.78901768
ACCESS-CM2,ssp126,2022,5.27966690
ACCESS-CM2,ssp126,2023,5.00018930
ACCESS-CM2,ssp126,2024,5.61288786
ACCESS-CM2,ssp126,2025,5.42336082
ACCESS-CM2,ssp126,2026,5.15613031
ACCESS-CM2,ssp126,2027,4.22357035
ACCESS-CM2,ssp126,2028,5.81740093
ACCESS-CM2,ssp126,2029,5.08077097
ACCESS-CM2,ssp126,2030,4.11970139
ACCESS-CM2,ssp126,2031,5.39394140
ACCESS-CM2,ssp126,2032,5.55841780
ACCESS-CM2,ssp126,2033,5.58577824
ACCESS-CM2,ssp126,2034,5.75267029
ACCESS-CM2,ssp126,2035,4.72617865
ACCESS-CM2,ssp126,2036,5.76636600
ACCESS-CM2,ssp126,2037,5.66682339
ACCESS-CM2,ssp126,2038,5.38287210
ACCESS-CM2,ssp126,2039,5.66684437
ACCESS-CM2,ssp126,2040,5.92126274
ACCESS-CM2,ssp126,2041,5.91067791
ACCESS-CM2,ssp126,2042,5.39087534
ACCESS-CM2,ssp126,2043,5.41032124
ACCESS-CM2,ssp126,2044,5.78384256
ACCESS-CM2,ssp126,2045,5.30779409
ACCESS-CM2,ssp126,2046,4.87281132
ACCESS-CM2,ssp126,2047,5.31154060
ACCESS-CM2,ssp126,2048,4.45808506
ACCESS-CM2,ssp126,2049,4.20655775
ACCESS-CM2,ssp126,2050,5.82436991
ACCESS-CM2,ssp126,2051,5.22496080
ACCESS-CM2,ssp126,2052,4.57202768
ACCESS-CM2,ssp126,2053,5.57049370
ACCESS-CM2,ssp126,2054,4.26677513
ACCESS-CM2,ssp126,2055,5.89521360
ACCESS-CM2,ssp126,2056,3.86305809
ACCESS-CM2,ssp126,2057,6.24520588
ACCESS-CM2,ssp126,2058,6.66057396
ACCESS-CM2,ssp126,2059,4.67730618
ACCESS-CM2,ssp126,2060,4.91629314
ACCESS-CM2,ssp126,2061,6.25141335
ACCESS-CM2,ssp126,2062,5.45016193
ACCESS-CM2,ssp126,2063,6.40569353
ACCESS-CM2,ssp126,2064,4.26280975
ACCESS-CM2,ssp126,2065,4.31467295
ACCESS-CM2,ssp126,2066,6.42397213
ACCESS-CM2,ssp126,2067,4.43084955
ACCESS-CM2,ssp126,2068,5.48683071
ACCESS-CM2,ssp126,2069,5.40193272
ACCESS-CM2,ssp126,2070,5.26405048
ACCESS-CM2,ssp126,2071,4.77684879
ACCESS-CM2,ssp126,2072,5.35892344
ACCESS-CM2,ssp126,2073,5.22411346
ACCESS-CM2,ssp126,2074,5.47658777
ACCESS-CM2,ssp126,2075,5.60666227
ACCESS-CM2,ssp126,2076,5.50122023
ACCESS-CM2,ssp126,2077,4.92151833
ACCESS-CM2,ssp126,2078,4.98378229
ACCESS-CM2,ssp126,2079,4.24580002
ACCESS-CM2,ssp126,2080,5.69653940
ACCESS-CM2,ssp126,2081,5.00121212
ACCESS-CM2,ssp126,2082,5.79260445
ACCESS-CM2,ssp126,2083,5.27916145
ACCESS-CM2,ssp126,2084,5.26784134
ACCESS-CM2,ssp126,2085,5.81081343
ACCESS-CM2,ssp126,2086,5.14910889
ACCESS-CM2,ssp126,2087,4.57836151
ACCESS-CM2,ssp126,2088,5.20443106
ACCESS-CM2,ssp126,2089,4.65389872
ACCESS-CM2,ssp126,2090,5.79275417
ACCESS-CM2,ssp126,2091,4.53086805
ACCESS-CM2,ssp126,2092,6.08121061
ACCESS-CM2,ssp126,2093,5.95423889
ACCESS-CM2,ssp126,2094,5.31444979
ACCESS-CM2,ssp126,2095,5.08099508
ACCESS-CM2,ssp126,2096,5.19037819
ACCESS-CM2,ssp126,2097,4.28023672
ACCESS-CM2,ssp126,2098,5.73769188
ACCESS-CM2,ssp126,2099,5.33979797
ACCESS-CM2,ssp126,2100,5.22021389
ACCESS-CM2,ssp245,2015,5.31293583
ACCESS-CM2,ssp245,2016,6.31819344
ACCESS-CM2,ssp245,2017,5.28417063
ACCESS-CM2,ssp245,2018,4.73469877
ACCESS-CM2,ssp245,2019,5.64510632
ACCESS-CM2,ssp245,2020,6.02585506
ACCESS-CM2,ssp245,2021,6.19974566
ACCESS-CM2,ssp245,2022,5.71159029
ACCESS-CM2,ssp245,2023,5.35455561
ACCESS-CM2,ssp245,2024,5.46669674
ACCESS-CM2,ssp245,2025,4.48272371
ACCESS-CM2,ssp245,2026,5.20642138
ACCESS-CM2,ssp245,2027,4.93796492
ACCESS-CM2,ssp245,2028,5.71044874
ACCESS-CM2,ssp245,2029,5.14150763
ACCESS-CM2,ssp245,2030,5.48612165
ACCESS-CM2,ssp245,2031,4.67263365
ACCESS-CM2,ssp245,2032,5.32256794
ACCESS-CM2,ssp245,2033,5.40950680
ACCESS-CM2,ssp245,2034,5.21230459
ACCESS-CM2,ssp245,2035,5.30245113
ACCESS-CM2,ssp245,2036,3.73792076
ACCESS-CM2,ssp245,2037,4.97583151
ACCESS-CM2,ssp245,2038,5.42655134
ACCESS-CM2,ssp245,2039,4.92948961
ACCESS-CM2,ssp245,2040,5.94638872
ACCESS-CM2,ssp245,2041,4.74154568
ACCESS-CM2,ssp245,2042,5.75078106
ACCESS-CM2,ssp245,2043,4.91572380
ACCESS-CM2,ssp245,2044,5.75375462
ACCESS-CM2,ssp245,2045,5.35952711
ACCESS-CM2,ssp245,2046,5.14547062
ACCESS-CM2,ssp245,2047,5.25283289
ACCESS-CM2,ssp245,2048,5.26663494
ACCESS-CM2,ssp245,2049,5.51056480
ACCESS-CM2,ssp245,2050,5.42474508
ACCESS-CM2,ssp245,2051,5.02579165
ACCESS-CM2,ssp245,2052,4.47933245
ACCESS-CM2,ssp245,2053,5.48385859
ACCESS-CM2,ssp245,2054,4.72363472
ACCESS-CM2,ssp245,2055,4.97273970
ACCESS-CM2,ssp245,2056,4.56654501
ACCESS-CM2,ssp245,2057,4.88168669
ACCESS-CM2,ssp245,2058,3.56539845
ACCESS-CM2,ssp245,2059,5.43072701
ACCESS-CM2,ssp245,2060,5.56582403
ACCESS-CM2,ssp245,2061,5.33564949
ACCESS-CM2,ssp245,2062,4.72422457
ACCESS-CM2,ssp245,2063,6.00327682
ACCESS-CM2,ssp245,2064,5.17853308
ACCESS-CM2,ssp245,2065,4.52885246
ACCESS-CM2,ssp245,2066,4.99078655
ACCESS-CM2,ssp245,2067,5.54333448
ACCESS-CM2,ssp245,2068,5.10032558
ACCESS-CM2,ssp245,2069,4.86888504
ACCESS-CM2,ssp245,2070,4.74381351
ACCESS-CM2,ssp245,2071,6.58142424
ACCESS-CM2,ssp245,2072,5.19090843
ACCESS-CM2,ssp245,2073,4.35245800
ACCESS-CM2,ssp245,2074,5.04707718
ACCESS-CM2,ssp245,2075,5.02630472
ACCESS-CM2,ssp245,2076,3.76477051
ACCESS-CM2,ssp245,2077,4.60779333
ACCESS-CM2,ssp245,2078,5.43458700
ACCESS-CM2,ssp245,2079,4.36795378
ACCESS-CM2,ssp245,2080,4.52252293
ACCESS-CM2,ssp245,2081,5.36393023
ACCESS-CM2,ssp245,2082,4.86191225
ACCESS-CM2,ssp245,2083,5.49240065
ACCESS-CM2,ssp245,2084,5.71410513
ACCESS-CM2,ssp245,2085,4.19007397
ACCESS-CM2,ssp245,2086,5.27105999
ACCESS-CM2,ssp245,2087,5.68278027
ACCESS-CM2,ssp245,2088,5.60691357
ACCESS-CM2,ssp245,2089,3.99357533
ACCESS-CM2,ssp245,2090,5.27312279
ACCESS-CM2,ssp245,2091,4.46021223
ACCESS-CM2,ssp245,2092,4.95458221
ACCESS-CM2,ssp245,2093,5.02603817
ACCESS-CM2,ssp245,2094,4.85249329
ACCESS-CM2,ssp245,2095,5.28849888
ACCESS-CM2,ssp245,2096,5.11222363
ACCESS-CM2,ssp245,2097,6.68187761
ACCESS-CM2,ssp245,2098,5.16171694
ACCESS-CM2,ssp245,2099,4.65435648
ACCESS-CM2,ssp245,2100,5.33582067
ACCESS-CM2,ssp370,2015,5.67970228
ACCESS-CM2,ssp370,2016,6.11479425
ACCESS-CM2,ssp370,2017,6.39996958
ACCESS-CM2,ssp370,2018,5.11861324
ACCESS-CM2,ssp370,2019,5.04155159
ACCESS-CM2,ssp370,2020,5.12755585
ACCESS-CM2,ssp370,2021,5.14688063
ACCESS-CM2,ssp370,2022,4.79007483
ACCESS-CM2,ssp370,2023,6.24419737
ACCESS-CM2,ssp370,2024,5.07280970
ACCESS-CM2,ssp370,2025,4.92742920
ACCESS-CM2,ssp370,2026,5.20690966
ACCESS-CM2,ssp370,2027,4.98451042
ACCESS-CM2,ssp370,2028,5.58256578
ACCESS-CM2,ssp370,2029,5.20147562
ACCESS-CM2,ssp370,2030,5.63496590
ACCESS-CM2,ssp370,2031,6.60503531
ACCESS-CM2,ssp370,2032,4.96925831
ACCESS-CM2,ssp370,2033,7.32075834
ACCESS-CM2,ssp370,2034,4.63518906
ACCESS-CM2,ssp370,2035,5.38148069
ACCESS-CM2,ssp370,2036,4.21319580
ACCESS-CM2,ssp370,2037,5.63654661
ACCESS-CM2,ssp370,2038,4.79214954
ACCESS-CM2,ssp370,2039,5.14362192
ACCESS-CM2,ssp370,2040,5.68705940
ACCESS-CM2,ssp370,2041,5.45835686
ACCESS-CM2,ssp370,2042,4.91883755
ACCESS-CM2,ssp370,2043,5.30442858
ACCESS-CM2,ssp370,2044,4.78093863
ACCESS-CM2,ssp370,2045,4.27934122
ACCESS-CM2,ssp370,2046,5.26461363
ACCESS-CM2,ssp370,2047,5.35162973
ACCESS-CM2,ssp370,2048,4.47374201
ACCESS-CM2,ssp370,2049,4.42483664
ACCESS-CM2,ssp370,2050,5.50161505
ACCESS-CM2,ssp370,2051,4.04769278
ACCESS-CM2,ssp370,2052,4.89176369
ACCESS-CM2,ssp370,2053,6.39628077
ACCESS-CM2,ssp370,2054,6.01924610
ACCESS-CM2,ssp370,2055,5.86948776
ACCESS-CM2,ssp370,2056,5.12699795
ACCESS-CM2,ssp370,2057,5.13611889
ACCESS-CM2,ssp370,2058,4.50634050
ACCESS-CM2,ssp370,2059,4.18769598
ACCESS-CM2,ssp370,2060,4.86691046
ACCESS-CM2,ssp370,2061,5.80780888
ACCESS-CM2,ssp370,2062,4.89582825
ACCESS-CM2,ssp370,2063,5.24233294
ACCESS-CM2,ssp370,2064,4.85223246
ACCESS-CM2,ssp370,2065,4.36745930
ACCESS-CM2,ssp370,2066,4.53508759
ACCESS-CM2,ssp370,2067,4.58909321
ACCESS-CM2,ssp370,2068,5.06301785
ACCESS-CM2,ssp370,2069,5.66055346
ACCESS-CM2,ssp370,2070,4.85129833
ACCESS-CM2,ssp370,2071,5.02245235
ACCESS-CM2,ssp370,2072,4.11321831
ACCESS-CM2,ssp370,2073,5.15117502
ACCESS-CM2,ssp370,2074,5.61298132
ACCESS-CM2,ssp370,2075,4.42791700
ACCESS-CM2,ssp370,2076,4.18436527
ACCESS-CM2,ssp370,2077,5.05028534
ACCESS-CM2,ssp370,2078,5.00591564
ACCESS-CM2,ssp370,2079,5.11594772
ACCESS-CM2,ssp370,2080,5.28101635
ACCESS-CM2,ssp370,2081,4.93356705
ACCESS-CM2,ssp370,2082,4.32340860
ACCESS-CM2,ssp370,2083,5.59003401
ACCESS-CM2,ssp370,2084,5.31449556
ACCESS-CM2,ssp370,2085,5.04113245
ACCESS-CM2,ssp370,2086,4.84679604
ACCESS-CM2,ssp370,2087,4.22360516
ACCESS-CM2,ssp370,2088,5.72571707
ACCESS-CM2,ssp370,2089,4.41520596
ACCESS-CM2,ssp370,2090,4.43859148
ACCESS-CM2,ssp370,2091,4.22554588
ACCESS-CM2,ssp370,2092,4.02313805
ACCESS-CM2,ssp370,2093,5.47462177
ACCESS-CM2,ssp370,2094,5.45122051
ACCESS-CM2,ssp370,2095,4.05810213
ACCESS-CM2,ssp370,2096,3.76324010
ACCESS-CM2,ssp370,2097,3.86258793
ACCESS-CM2,ssp370,2098,5.14669704
ACCESS-CM2,ssp370,2099,4.80158997
ACCESS-CM2,ssp370,2100,
ACCESS-CM2,ssp585,2015,5.25116539
ACCESS-CM2,ssp585,2016,4.48103523
ACCESS-CM2,ssp585,2017,6.24388504
ACCESS-CM2,ssp585,2018,4.47445011
ACCESS-CM2,ssp585,2019,5.14989090
ACCESS-CM2,ssp585,2020,6.63449526
ACCESS-CM2,ssp585,2021,4.84505987
ACCESS-CM2,ssp585,2022,4.77952719
ACCESS-CM2,ssp585,2023,6.50435543
ACCESS-CM2,ssp585,2024,4.08470535
ACCESS-CM2,ssp585,2025,5.67624569
ACCESS-CM2,ssp585,2026,6.00709677
ACCESS-CM2,ssp585,2027,5.85041428
ACCESS-CM2,ssp585,2028,6.25323153
ACCESS-CM2,ssp585,2029,5.14356709
ACCESS-CM2,ssp585,2030,5.27104473
ACCESS-CM2,ssp585,2031,4.87684155
ACCESS-CM2,ssp585,2032,4.58076000
ACCESS-CM2,ssp585,2033,3.89674783
ACCESS-CM2,ssp585,2034,5.11925650
ACCESS-CM2,ssp585,2035,5.51397514
ACCESS-CM2,ssp585,2036,5.76588392
ACCESS-CM2,ssp585,2037,5.07566452
ACCESS-CM2,ssp585,2038,5.63337421
ACCESS-CM2,ssp585,2039,4.79841805
ACCESS-CM2,ssp585,2040,6.16476297
ACCESS-CM2,ssp585,2041,3.98867345
ACCESS-CM2,ssp585,2042,4.98858595
ACCESS-CM2,ssp585,2043,4.48360348
ACCESS-CM2,ssp585,2044,5.83877993
ACCESS-CM2,ssp585,2045,4.92372942
ACCESS-CM2,ssp585,2046,5.48788166
ACCESS-CM2,ssp585,2047,5.12209988
ACCESS-CM2,ssp585,2048,4.64202690
ACCESS-CM2,ssp585,2049,5.28482008
ACCESS-CM2,ssp585,2050,4.90099525
ACCESS-CM2,ssp585,2051,5.20041609
ACCESS-CM2,ssp585,2052,4.50014639
ACCESS-CM2,ssp585,2053,5.21560144
ACCESS-CM2,ssp585,2054,4.40532923
ACCESS-CM2,ssp585,2055,4.39561653
ACCESS-CM2,ssp585,2056,5.28290176
ACCESS-CM2,ssp585,2057,4.58336258
ACCESS-CM2,ssp585,2058,5.18698549
ACCESS-CM2,ssp585,2059,4.81668711
ACCESS-CM2,ssp585,2060,4.94946051
ACCESS-CM2,ssp585,2061,6.25506401
ACCESS-CM2,ssp585,2062,6.37404251
ACCESS-CM2,ssp585,2063,4.99439096
ACCESS-CM2,ssp585,2064,4.53160143
ACCESS-CM2,ssp585,2065,5.72862482
ACCESS-CM2,ssp585,2066,5.12120438
ACCESS-CM2,ssp585,2067,4.71887255
ACCESS-CM2,ssp585,2068,5.95217466
ACCESS-CM2,ssp585,2069,5.58751392
ACCESS-CM2,ssp585,2070,5.09249830
ACCESS-CM2,ssp585,2071,4.61850405
ACCESS-CM2,ssp585,2072,5.48156118
ACCESS-CM2,ssp585,2073,3.81923699
ACCESS-CM2,ssp585,2074,5.39562082
ACCESS-CM2,ssp585,2075,5.88817024
ACCESS-CM2,ssp585,2076,4.86151743
ACCESS-CM2,ssp585,2077,5.09494305
ACCESS-CM2,ssp585,2078,5.05457687
ACCESS-CM2,ssp585,2079,5.09970522
ACCESS-CM2,ssp585,2080,5.32381582
ACCESS-CM2,ssp585,2081,5.05738211
ACCESS-CM2,ssp585,2082,5.47897196
ACCESS-CM2,ssp585,2083,4.54684591
ACCESS-CM2,ssp585,2084,4.80490732
ACCESS-CM2,ssp585,2085,5.62047291
ACCESS-CM2,ssp585,2086,4.80889511
ACCESS-CM2,ssp585,2087,4.89020729
ACCESS-CM2,ssp585,2088,4.56544876
ACCESS-CM2,ssp585,2089,3.92112947
ACCESS-CM2,ssp585,2090,5.32480097
ACCESS-CM2,ssp585,2091,4.46642733
ACCESS-CM2,ssp585,2092,4.19409466
ACCESS-CM2,ssp585,2093,4.94074297
ACCESS-CM2,ssp585,2094,4.29807377
ACCESS-CM2,ssp585,2095,5.39010859
ACCESS-CM2,ssp585,2096,4.84572649
ACCESS-CM2,ssp585,2097,4.48573685
ACCESS-CM2,ssp585,2098,5.21259165
ACCESS-CM2,ssp585,2099,4.90375566
ACCESS-CM2,ssp585,2100,4.69669771
AWI-CM-1-1-MR,historical,1960,5.57759905
AWI-CM-1-1-MR,historical,1961,6.04895258
AWI-CM-1-1-MR,historical,1962,6.22491503
AWI-CM-1-1-MR,historical,1963,6.67364073
AWI-CM-1-1-MR,historical,1964,6.46125889
AWI-CM-1-1-MR,historical,1965,5.66209269
AWI-CM-1-1-MR,historical,1966,6.65900373
AWI-CM-1-1-MR,historical,1967,7.29052782
AWI-CM-1-1-MR,historical,1968,6.07914019
AWI-CM-1-1-MR,historical,1969,6.12682867
AWI-CM-1-1-MR,historical,1970,5.54078960
AWI-CM-1-1-MR,historical,1971,5.50035572
AWI-CM-1-1-MR,historical,1972,6.24164009
AWI-CM-1-1-MR,historical,1973,5.82510090
AWI-CM-1-1-MR,historical,1974,6.18483067
AWI-CM-1-1-MR,historical,1975,7.70314932
AWI-CM-1-1-MR,historical,1976,6.22718954
AWI-CM-1-1-MR,historical,1977,6.02037430
AWI-CM-1-1-MR,historical,1978,7.68436337
AWI-CM-1-1-MR,historical,1979,6.71372318
AWI-CM-1-1-MR,historical,1980,7.48621655
AWI-CM-1-1-MR,historical,1981,5.92662287
AWI-CM-1-1-MR,historical,1982,5.35522890
AWI-CM-1-1-MR,historical,1983,6.94125319
AWI-CM-1-1-MR,historical,1984,5.35379076
AWI-CM-1-1-MR,historical,1985,6.39205790
AWI-CM-1-1-MR,historical,1986,5.41246939
AWI-CM-1-1-MR,historical,1987,5.46774626
AWI-CM-1-1-MR,historical,1988,6.33214378
AWI-CM-1-1-MR,historical,1989,6.58602047
AWI-CM-1-1-MR,historical,1990,5.45197248
AWI-CM-1-1-MR,historical,1991,6.30627584
AWI-CM-1-1-MR,historical,1992,5.20880270
AWI-CM-1-1-MR,historical,1993,5.57304955
AWI-CM-1-1-MR,historical,1994,5.89222908
AWI-CM-1-1-MR,historical,1995,5.90266991
AWI-CM-1-1-MR,historical,1996,7.11208105
AWI-CM-1-1-MR,historical,1997,5.46938419
AWI-CM-1-1-MR,historical,1998,5.72234774
AWI-CM-1-1-MR,historical,1999,6.21198225
AWI-CM-1-1-MR,historical,2000,6.44886303
AWI-CM-1-1-MR,historical,2001,6.31869221
AWI-CM-1-1-MR,historical,2002,5.45668411
AWI-CM-1-1-MR,historical,2003,6.52063322
AWI-CM-1-1-MR,historical,2004,6.70653868
