model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,5.19782066
ACCESS-CM2,historical,1961,5.09511518
ACCESS-CM2,historical,1962,5.68284702
ACCESS-CM2,historical,1963,4.89088535
ACCESS-CM2,historical,1964,5.37425804
ACCESS-CM2,historical,1965,5.07308197
ACCESS-CM2,historical,1966,5.41365576
ACCESS-CM2,historical,1967,5.86986780
ACCESS-CM2,historical,1968,5.87588263
ACCESS-CM2,historical,1969,5.46963596
ACCESS-CM2,historical,1970,5.46928787
ACCESS-CM2,historical,1971,5.07923365
ACCESS-CM2,historical,1972,6.16226482
ACCESS-CM2,historical,1973,5.12011719
ACCESS-CM2,historical,1974,5.82109642
ACCESS-CM2,historical,1975,5.40701914
ACCESS-CM2,historical,1976,4.41937780
ACCESS-CM2,historical,1977,5.17043352
ACCESS-CM2,historical,1978,5.11963844
ACCESS-CM2,historical,1979,4.57464457
ACCESS-CM2,historical,1980,6.65477419
ACCESS-CM2,historical,1981,5.95289326
ACCESS-CM2,historical,1982,5.48298645
ACCESS-CM2,historical,1983,5.71505785
ACCESS-CM2,historical,1984,5.22412920
ACCESS-CM2,historical,1985,4.53374720
ACCESS-CM2,historical,1986,5.41014528
ACCESS-CM2,historical,1987,3.97716713
ACCESS-CM2,historical,1988,5.19085932
ACCESS-CM2,historical,1989,5.95384407
ACCESS-CM2,historical,1990,4.61781073
ACCESS-CM2,historical,1991,5.09946728
ACCESS-CM2,historical,1992,5.56091976
ACCESS-CM2,historical,1993,5.66519165
ACCESS-CM2,historical,1994,4.98881626
ACCESS-CM2,historical,1995,5.51021290
ACCESS-CM2,historical,1996,5.51755714
ACCESS-CM2,historical,1997,5.72009325
ACCESS-CM2,historical,1998,4.41515064
ACCESS-CM2,historical,1999,7.16955376
ACCESS-CM2,historical,2000,5.48795986
ACCESS-CM2,historical,2001,5.90086126
ACCESS-CM2,historical,2002,5.73526382
ACCESS-CM2,historical,2003,4.46649170
ACCESS-CM2,historical,2004,5.87378883
ACCESS-CM2,historical,2005,5.25692320
ACCESS-CM2,historical,2006,6.44135904
ACCESS-CM2,historical,2007,3.82173586
ACCESS-CM2,historical,2008,6.90377855
ACCESS-CM2,historical,2009,3.79033756
ACCESS-CM2,historical,2010,5.39591169
ACCESS-CM2,historical,2011,5.17299795
ACCESS-CM2,historical,2012,5.96529388
ACCESS-CM2,historical,2013,5.71520567
ACCESS-CM2,historical,2014,6.46099234
ACCESS-CM2,ssp126,2015,7.12055206
ACCESS-CM2,ssp126,2016,5.70618534
ACCESS-CM2,ssp126,2017,5.97346735
ACCESS-CM2,ssp126,2018,4.58797169
ACCESS-CM2,ssp126,2019,5.22610331
ACCESS-CM2,ssp126,2020,5.73950672
ACCESS-CM2,ssp126,2021,5.75012922
ACCESS-CM2,ssp126,2022,5.42142630
ACCESS-CM2,ssp126,2023,5.02173758
ACCESS-CM2,ssp126,2024,5.09522867
ACCESS-CM2,ssp126,2025,5.48138714
ACCESS-CM2,ssp126,2026,4.54655123
ACCESS-CM2,ssp126,2027,5.20585346
ACCESS-CM2,ssp126,2028,4.24339342
ACCESS-CM2,ssp126,2029,5.62559748
ACCESS-CM2,ssp126,2030,5.04669619
ACCESS-CM2,ssp126,2031,5.46523905
ACCESS-CM2,ssp126,2032,4.67771339
ACCESS-CM2,ssp126,2033,5.56117201
ACCESS-CM2,ssp126,2034,6.40635681
ACCESS-CM2,ssp126,2035,5.05311298
ACCESS-CM2,ssp126,2036,5.29397345
ACCESS-CM2,ssp126,2037,6.10278940
ACCESS-CM2,ssp126,2038,6.13108063
ACCESS-CM2,ssp126,2039,5.30761147
ACCESS-CM2,ssp126,2040,5.15900230
ACCESS-CM2,ssp126,2041,4.29919434
ACCESS-CM2,ssp126,2042,5.39217997
ACCESS-CM2,ssp126,2043,5.18549204
ACCESS-CM2,ssp126,2044,6.17977285
ACCESS-CM2,ssp126,2045,4.39487076
ACCESS-CM2,ssp126,2046,4.92841625
ACCESS-CM2,ssp126,2047,6.25422192
ACCESS-CM2,ssp126,2048,6.22661352
ACCESS-CM2,ssp126,2049,5.32357931
ACCESS-CM2,ssp126,2050,8.15179729
ACCESS-CM2,ssp126,2051,6.51235199
ACCESS-CM2,ssp126,2052,5.05135679
ACCESS-CM2,ssp126,2053,5.20877886
ACCESS-CM2,ssp126,2054,4.96229362
ACCESS-CM2,ssp126,2055,6.44525099
ACCESS-CM2,ssp126,2056,3.89859009
ACCESS-CM2,ssp126,2057,5.40733957
ACCESS-CM2,ssp126,2058,5.18282747
ACCESS-CM2,ssp126,2059,4.99406338
ACCESS-CM2,ssp126,2060,4.93904400
ACCESS-CM2,ssp126,2061,5.19690275
ACCESS-CM2,ssp126,2062,5.02181911
ACCESS-CM2,ssp126,2063,6.39419317
ACCESS-CM2,ssp126,2064,5.28482771
ACCESS-CM2,ssp126,2065,5.06541777
ACCESS-CM2,ssp126,2066,3.97149563
ACCESS-CM2,ssp126,2067,5.78783655
ACCESS-CM2,ssp126,2068,6.04455185
ACCESS-CM2,ssp126,2069,5.11069584
ACCESS-CM2,ssp126,2070,5.93575716
ACCESS-CM2,ssp126,2071,6.06379175
ACCESS-CM2,ssp126,2072,5.21697283
ACCESS-CM2,ssp126,2073,5.99607992
ACCESS-CM2,ssp126,2074,4.68534899
ACCESS-CM2,ssp126,2075,6.37579823
ACCESS-CM2,ssp126,2076,4.92358637
ACCESS-CM2,ssp126,2077,4.89395380
ACCESS-CM2,ssp126,2078,5.42168903
ACCESS-CM2,ssp126,2079,4.95849895
ACCESS-CM2,ssp126,2080,5.80563164
ACCESS-CM2,ssp126,2081,4.28194332
ACCESS-CM2,ssp126,2082,5.81665182
ACCESS-CM2,ssp126,2083,5.46790361
ACCESS-CM2,ssp126,2084,6.00250483
ACCESS-CM2,ssp126,2085,4.40533400
ACCESS-CM2,ssp126,2086,5.23574018
ACCESS-CM2,ssp126,2087,3.72989035
ACCESS-CM2,ssp126,2088,5.30709410
ACCESS-CM2,ssp126,2089,5.62893295
ACCESS-CM2,ssp126,2090,4.58885336
ACCESS-CM2,ssp126,2091,5.25581264
ACCESS-CM2,ssp126,2092,4.01606226
ACCESS-CM2,ssp126,2093,4.73728466
ACCESS-CM2,ssp126,2094,7.29220819
ACCESS-CM2,ssp126,2095,6.09094763
ACCESS-CM2,ssp126,2096,6.60551453
ACCESS-CM2,ssp126,2097,5.29313707
ACCESS-CM2,ssp126,2098,6.32102680
ACCESS-CM2,ssp126,2099,5.17221832
ACCESS-CM2,ssp126,2100,6.45460463
ACCESS-CM2,ssp245,2015,5.58134413
ACCESS-CM2,ssp245,2016,5.05228996
ACCESS-CM2,ssp245,2017,4.60473967
ACCESS-CM2,ssp245,2018,5.93512440
ACCESS-CM2,ssp245,2019,5.96898460
ACCESS-CM2,ssp245,2020,4.79235029
ACCESS-CM2,ssp245,2021,6.28324938
ACCESS-CM2,ssp245,2022,5.04483986
ACCESS-CM2,ssp245,2023,6.27681923
ACCESS-CM2,ssp245,2024,4.01419830
ACCESS-CM2,ssp245,2025,6.89326811
ACCESS-CM2,ssp245,2026,6.37359619
ACCESS-CM2,ssp245,2027,6.60575056
ACCESS-CM2,ssp245,2028,6.27723503
ACCESS-CM2,ssp245,2029,5.76543427
ACCESS-CM2,ssp245,2030,3.45323801
ACCESS-CM2,ssp245,2031,5.06869411
ACCESS-CM2,ssp245,2032,4.64447260
ACCESS-CM2,ssp245,2033,4.00150013
ACCESS-CM2,ssp245,2034,4.53370953
ACCESS-CM2,ssp245,2035,5.77222633
ACCESS-CM2,ssp245,2036,6.20233488
ACCESS-CM2,ssp245,2037,4.62336016
ACCESS-CM2,ssp245,2038,5.34123516
ACCESS-CM2,ssp245,2039,7.37963772
ACCESS-CM2,ssp245,2040,5.07786989
ACCESS-CM2,ssp245,2041,6.07064390
ACCESS-CM2,ssp245,2042,5.55356789
ACCESS-CM2,ssp245,2043,5.21407843
ACCESS-CM2,ssp245,2044,4.94646311
ACCESS-CM2,ssp245,2045,4.83734274
ACCESS-CM2,ssp245,2046,4.93570518
ACCESS-CM2,ssp245,2047,6.08833313
ACCESS-CM2,ssp245,2048,4.85745907
ACCESS-CM2,ssp245,2049,7.13432217
ACCESS-CM2,ssp245,2050,5.37899637
ACCESS-CM2,ssp245,2051,5.81016207
ACCESS-CM2,ssp245,2052,6.43899488
ACCESS-CM2,ssp245,2053,4.50426960
ACCESS-CM2,ssp245,2054,5.72354174
ACCESS-CM2,ssp245,2055,5.13793707
ACCESS-CM2,ssp245,2056,4.63896227
ACCESS-CM2,ssp245,2057,5.46085167
ACCESS-CM2,ssp245,2058,5.62022781
ACCESS-CM2,ssp245,2059,7.18805408
ACCESS-CM2,ssp245,2060,6.12833214
ACCESS-CM2,ssp245,2061,6.37875748
ACCESS-CM2,ssp245,2062,5.92034435
ACCESS-CM2,ssp245,2063,6.32953310
ACCESS-CM2,ssp245,2064,5.44346189
ACCESS-CM2,ssp245,2065,5.64353323
ACCESS-CM2,ssp245,2066,5.39506531
ACCESS-CM2,ssp245,2067,4.58181858
ACCESS-CM2,ssp245,2068,4.88588905
ACCESS-CM2,ssp245,2069,5.99473047
ACCESS-CM2,ssp245,2070,4.84222460
ACCESS-CM2,ssp245,2071,5.28017712
ACCESS-CM2,ssp245,2072,6.13361502
ACCESS-CM2,ssp245,2073,6.14702654
ACCESS-CM2,ssp245,2074,3.89760518
ACCESS-CM2,ssp245,2075,6.87219667
ACCESS-CM2,ssp245,2076,4.99612093
ACCESS-CM2,ssp245,2077,6.37717819
ACCESS-CM2,ssp245,2078,5.20454407
ACCESS-CM2,ssp245,2079,4.57538223
ACCESS-CM2,ssp245,2080,4.69920015
ACCESS-CM2,ssp245,2081,4.79082394
ACCESS-CM2,ssp245,2082,5.79886723
ACCESS-CM2,ssp245,2083,4.36001110
ACCESS-CM2,ssp245,2084,5.87349749
ACCESS-CM2,ssp245,2085,5.96074963
ACCESS-CM2,ssp245,2086,6.77957773
ACCESS-CM2,ssp245,2087,4.46088600
ACCESS-CM2,ssp245,2088,4.28738356
ACCESS-CM2,ssp245,2089,4.75799036
ACCESS-CM2,ssp245,2090,4.58722639
ACCESS-CM2,ssp245,2091,4.62651682
ACCESS-CM2,ssp245,2092,6.71900225
ACCESS-CM2,ssp245,2093,4.42356062
ACCESS-CM2,ssp245,2094,4.22641087
ACCESS-CM2,ssp245,2095,5.45060778
ACCESS-CM2,ssp245,2096,5.35947990
ACCESS-CM2,ssp245,2097,5.63235331
ACCESS-CM2,ssp245,2098,5.21250629
ACCESS-CM2,ssp245,2099,4.56091404
ACCESS-CM2,ssp245,2100,4.79351997
ACCESS-CM2,ssp370,2015,7.29694128
ACCESS-CM2,ssp370,2016,4.66224480
