model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,5.39758921
ACCESS-CM2,historical,1961,4.68367100
ACCESS-CM2,historical,1962,5.90253401
ACCESS-CM2,historical,1963,4.66645527
ACCESS-CM2,historical,1964,5.25902939
ACCESS-CM2,historical,1965,5.05789948
ACCESS-CM2,historical,1966,5.29519987
ACCESS-CM2,historical,1967,6.06289434
ACCESS-CM2,historical,1968,6.14312506
ACCESS-CM2,historical,1969,5.45138168
ACCESS-CM2,historical,1970,5.40950918
ACCESS-CM2,historical,1971,4.79973888
ACCESS-CM2,historical,1972,6.35342407
ACCESS-CM2,historical,1973,4.93579721
ACCESS-CM2,historical,1974,5.78271627
ACCESS-CM2,historical,1975,6.23063040
ACCESS-CM2,historical,1976,4.53496265
ACCESS-CM2,historical,1977,5.52057791
ACCESS-CM2,historical,1978,4.88016701
ACCESS-CM2,historical,1979,4.79528427
ACCESS-CM2,historical,1980,6.03998899
ACCESS-CM2,historical,1981,5.48503590
ACCESS-CM2,historical,1982,5.43396187
ACCESS-CM2,historical,1983,6.06316805
ACCESS-CM2,historical,1984,5.15860319
ACCESS-CM2,historical,1985,4.32784510
ACCESS-CM2,historical,1986,4.77115345
ACCESS-CM2,historical,1987,3.31048918
ACCESS-CM2,historical,1988,5.03447628
ACCESS-CM2,historical,1989,5.75908327
ACCESS-CM2,historical,1990,4.51707363
ACCESS-CM2,historical,1991,4.93268156
ACCESS-CM2,historical,1992,5.75518513
ACCESS-CM2,historical,1993,5.62786818
ACCESS-CM2,historical,1994,4.39011526
ACCESS-CM2,historical,1995,5.61890411
ACCESS-CM2,historical,1996,5.90830183
ACCESS-CM2,historical,1997,5.56085634
ACCESS-CM2,historical,1998,4.74715996
ACCESS-CM2,historical,1999,6.67132044
ACCESS-CM2,historical,2000,5.53794718
ACCESS-CM2,historical,2001,5.97494316
ACCESS-CM2,historical,2002,6.12833786
ACCESS-CM2,historical,2003,4.57653618
ACCESS-CM2,historical,2004,5.79255104
ACCESS-CM2,historical,2005,5.23019791
ACCESS-CM2,historical,2006,6.43909502
ACCESS-CM2,historical,2007,3.76918530
ACCESS-CM2,historical,2008,6.93872309
ACCESS-CM2,historical,2009,3.85452604
ACCESS-CM2,historical,2010,5.53922510
ACCESS-CM2,historical,2011,5.50243568
ACCESS-CM2,historical,2012,5.10948515
ACCESS-CM2,historical,2013,5.51505327
ACCESS-CM2,historical,2014,6.31142139
ACCESS-CM2,ssp126,2015,7.13288879
ACCESS-CM2,ssp126,2016,5.76774168
ACCESS-CM2,ssp126,2017,5.48036861
ACCESS-CM2,ssp126,2018,4.44417858
ACCESS-CM2,ssp126,2019,5.19000816
ACCESS-CM2,ssp126,2020,5.99605131
ACCESS-CM2,ssp126,2021,5.94283342
ACCESS-CM2,ssp126,2022,5.68082666
ACCESS-CM2,ssp126,2023,5.20896101
ACCESS-CM2,ssp126,2024,5.14799500
ACCESS-CM2,ssp126,2025,5.22651386
ACCESS-CM2,ssp126,2026,4.75384235
ACCESS-CM2,ssp126,2027,5.66241884
ACCESS-CM2,ssp126,2028,4.18290901
ACCESS-CM2,ssp126,2029,5.45382977
ACCESS-CM2,ssp126,2030,5.20212650
ACCESS-CM2,ssp126,2031,5.29211283
ACCESS-CM2,ssp126,2032,4.40027905
ACCESS-CM2,ssp126,2033,5.74093294
ACCESS-CM2,ssp126,2034,6.47703028
ACCESS-CM2,ssp126,2035,4.67988634
ACCESS-CM2,ssp126,2036,5.53259325
ACCESS-CM2,ssp126,2037,5.87991285
ACCESS-CM2,ssp126,2038,6.22707081
ACCESS-CM2,ssp126,2039,5.36047506
ACCESS-CM2,ssp126,2040,4.91866684
ACCESS-CM2,ssp126,2041,4.01096487
ACCESS-CM2,ssp126,2042,5.44029522
ACCESS-CM2,ssp126,2043,4.98594761
ACCESS-CM2,ssp126,2044,6.22007847
ACCESS-CM2,ssp126,2045,4.35998726
ACCESS-CM2,ssp126,2046,4.85160208
ACCESS-CM2,ssp126,2047,6.16234493
ACCESS-CM2,ssp126,2048,6.45959425
ACCESS-CM2,ssp126,2049,5.85477877
ACCESS-CM2,ssp126,2050,7.91088724
ACCESS-CM2,ssp126,2051,6.60219955
ACCESS-CM2,ssp126,2052,5.34342432
ACCESS-CM2,ssp126,2053,5.49357700
ACCESS-CM2,ssp126,2054,5.18375540
ACCESS-CM2,ssp126,2055,6.65367842
ACCESS-CM2,ssp126,2056,4.29688549
ACCESS-CM2,ssp126,2057,5.36673355
ACCESS-CM2,ssp126,2058,4.96333694
ACCESS-CM2,ssp126,2059,4.85373020
ACCESS-CM2,ssp126,2060,5.12402916
ACCESS-CM2,ssp126,2061,4.88584661
ACCESS-CM2,ssp126,2062,4.90633297
ACCESS-CM2,ssp126,2063,6.42462254
ACCESS-CM2,ssp126,2064,5.92590284
ACCESS-CM2,ssp126,2065,5.52150679
ACCESS-CM2,ssp126,2066,3.64462161
ACCESS-CM2,ssp126,2067,6.16015005
ACCESS-CM2,ssp126,2068,6.53175449
ACCESS-CM2,ssp126,2069,4.79109049
ACCESS-CM2,ssp126,2070,6.02170038
ACCESS-CM2,ssp126,2071,6.36446428
ACCESS-CM2,ssp126,2072,4.57004309
ACCESS-CM2,ssp126,2073,6.00879526
ACCESS-CM2,ssp126,2074,5.00091124
ACCESS-CM2,ssp126,2075,6.41382360
ACCESS-CM2,ssp126,2076,5.01730585
ACCESS-CM2,ssp126,2077,4.36348438
ACCESS-CM2,ssp126,2078,5.56580400
ACCESS-CM2,ssp126,2079,4.78287458
ACCESS-CM2,ssp126,2080,5.93946552
ACCESS-CM2,ssp126,2081,4.39818287
ACCESS-CM2,ssp126,2082,5.55717087
ACCESS-CM2,ssp126,2083,5.74776459
ACCESS-CM2,ssp126,2084,5.51127863
ACCESS-CM2,ssp126,2085,4.33515787
ACCESS-CM2,ssp126,2086,5.28379536
ACCESS-CM2,ssp126,2087,3.77710724
ACCESS-CM2,ssp126,2088,5.57311249
ACCESS-CM2,ssp126,2089,5.31367826
ACCESS-CM2,ssp126,2090,4.77870178
ACCESS-CM2,ssp126,2091,5.71213293
