model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,5.07823229
ACCESS-CM2,historical,1961,5.34588385
ACCESS-CM2,historical,1962,5.02362156
ACCESS-CM2,historical,1963,5.77551031
ACCESS-CM2,historical,1964,6.23732948
ACCESS-CM2,historical,1965,5.12051582
ACCESS-CM2,historical,1966,5.67208576
ACCESS-CM2,historical,1967,6.23398113
ACCESS-CM2,historical,1968,5.35583258
ACCESS-CM2,historical,1969,6.07681608
ACCESS-CM2,historical,1970,5.49771643
ACCESS-CM2,historical,1971,5.29573917
ACCESS-CM2,historical,1972,6.27166843
ACCESS-CM2,historical,1973,5.05462265
ACCESS-CM2,historical,1974,6.49076653
ACCESS-CM2,historical,1975,5.41654015
ACCESS-CM2,historical,1976,4.82689762
ACCESS-CM2,historical,1977,4.58861542
ACCESS-CM2,historical,1978,5.67630863
ACCESS-CM2,historical,1979,5.44216061
ACCESS-CM2,historical,1980,6.78354406
ACCESS-CM2,historical,1981,6.20615149
ACCESS-CM2,historical,1982,5.77218676
ACCESS-CM2,historical,1983,5.13488102
ACCESS-CM2,historical,1984,5.49189043
ACCESS-CM2,historical,1985,4.67933321
ACCESS-CM2,historical,1986,6.66726923
ACCESS-CM2,historical,1987,4.79215956
ACCESS-CM2,historical,1988,5.65749788
ACCESS-CM2,historical,1989,5.86751223
ACCESS-CM2,historical,1990,5.38847446
ACCESS-CM2,historical,1991,5.28746510
ACCESS-CM2,historical,1992,5.67642117
ACCESS-CM2,historical,1993,5.59975386
ACCESS-CM2,historical,1994,5.62152386
ACCESS-CM2,historical,1995,4.52683544
ACCESS-CM2,historical,1996,6.12339306
ACCESS-CM2,historical,1997,5.68273258
ACCESS-CM2,historical,1998,4.71481466
ACCESS-CM2,historical,1999,7.36274767
ACCESS-CM2,historical,2000,5.62205839
ACCESS-CM2,historical,2001,5.49008703
ACCESS-CM2,historical,2002,5.51286840
ACCESS-CM2,historical,2003,4.90802670
ACCESS-CM2,historical,2004,5.72747707
ACCESS-CM2,historical,2005,5.26937008
ACCESS-CM2,historical,2006,6.49491501
ACCESS-CM2,historical,2007,4.30680704
ACCESS-CM2,historical,2008,6.41879272
ACCESS-CM2,historical,2009,5.58213949
ACCESS-CM2,historical,2010,5.41582870
ACCESS-CM2,historical,2011,5.46068668
ACCESS-CM2,historical,2012,6.33786392
ACCESS-CM2,historical,2013,5.11962366
ACCESS-CM2,historical,2014,5.94823360
ACCESS-CM2,ssp126,2015,6.20565844
ACCESS-CM2,ssp126,2016,5.63576651
ACCESS-CM2,ssp126,2017,7.00684595
ACCESS-CM2,ssp126,2018,5.41722775
ACCESS-CM2,ssp126,2019,5.13940954
ACCESS-CM2,ssp126,2020,4.84633827
ACCESS-CM2,ssp126,2021,5.46672106
ACCESS-CM2,ssp126,2022,5.00034666
ACCESS-CM2,ssp126,2023,5.02307796
ACCESS-CM2,ssp126,2024,5.16468668
ACCESS-CM2,ssp126,2025,5.51153040
ACCESS-CM2,ssp126,2026,4.96719313
ACCESS-CM2,ssp126,2027,5.08393621
ACCESS-CM2,ssp126,2028,5.45890713
ACCESS-CM2,ssp126,2029,5.64682198
ACCESS-CM2,ssp126,2030,4.92731190
ACCESS-CM2,ssp126,2031,5.62366867
ACCESS-CM2,ssp126,2032,5.19383144
ACCESS-CM2,ssp126,2033,5.79608393
ACCESS-CM2,ssp126,2034,5.70465374
ACCESS-CM2,ssp126,2035,5.87264967
ACCESS-CM2,ssp126,2036,5.66596460
ACCESS-CM2,ssp126,2037,6.12561846
ACCESS-CM2,ssp126,2038,5.84225750
ACCESS-CM2,ssp126,2039,4.49519587
ACCESS-CM2,ssp126,2040,5.91496325
ACCESS-CM2,ssp126,2041,5.45733738
ACCESS-CM2,ssp126,2042,4.83147669
