model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,5.68454266
ACCESS-CM2,historical,1961,7.17762232
ACCESS-CM2,historical,1962,5.38794756
ACCESS-CM2,historical,1963,4.94307375
ACCESS-CM2,historical,1964,5.73806858
ACCESS-CM2,historical,1965,6.79181433
ACCESS-CM2,historical,1966,5.61403704
ACCESS-CM2,historical,1967,5.85368586
ACCESS-CM2,historical,1968,5.87398434
ACCESS-CM2,historical,1969,7.44967413
ACCESS-CM2,historical,1970,6.89937401
ACCESS-CM2,historical,1971,4.64545965
ACCESS-CM2,historical,1972,5.81753159
ACCESS-CM2,historical,1973,7.19993496
ACCESS-CM2,historical,1974,6.98592329
ACCESS-CM2,historical,1975,6.30965948
ACCESS-CM2,historical,1976,7.70925045
ACCESS-CM2,historical,1977,6.65311956
ACCESS-CM2,historical,1978,7.36879015
ACCESS-CM2,historical,1979,5.86007881
ACCESS-CM2,historical,1980,8.06598282
ACCESS-CM2,historical,1981,6.99349308
ACCESS-CM2,historical,1982,7.69521284
ACCESS-CM2,historical,1983,4.74199820
ACCESS-CM2,historical,1984,5.87439156
ACCESS-CM2,historical,1985,7.77178097
ACCESS-CM2,historical,1986,5.21355295
ACCESS-CM2,historical,1987,6.75123119
ACCESS-CM2,historical,1988,7.21205235
ACCESS-CM2,historical,1989,5.91409206
ACCESS-CM2,historical,1990,6.76456738
ACCESS-CM2,historical,1991,7.82532167
ACCESS-CM2,historical,1992,6.69397974
ACCESS-CM2,historical,1993,6.38607359
ACCESS-CM2,historical,1994,6.37831306
ACCESS-CM2,historical,1995,6.25079536
ACCESS-CM2,historical,1996,6.83120489
ACCESS-CM2,historical,1997,6.16695404
ACCESS-CM2,historical,1998,6.45024872
ACCESS-CM2,historical,1999,7.54778910
ACCESS-CM2,historical,2000,6.25517225
ACCESS-CM2,historical,2001,6.83261442
ACCESS-CM2,historical,2002,5.00406361
ACCESS-CM2,historical,2003,6.81917620
ACCESS-CM2,historical,2004,5.58664322
ACCESS-CM2,historical,2005,6.95847082
ACCESS-CM2,historical,2006,7.21559811
ACCESS-CM2,historical,2007,7.17462349
ACCESS-CM2,historical,2008,6.85306263
ACCESS-CM2,historical,2009,6.18681812
ACCESS-CM2,historical,2010,6.43386698
ACCESS-CM2,historical,2011,6.16260719
ACCESS-CM2,historical,2012,7.54622650
ACCESS-CM2,historical,2013,5.87773991
ACCESS-CM2,historical,2014,5.45592499
ACCESS-CM2,ssp126,2015,6.06194544
ACCESS-CM2,ssp126,2016,6.68599224
ACCESS-CM2,ssp126,2017,7.71516085
ACCESS-CM2,ssp126,2018,5.57770538
ACCESS-CM2,ssp126,2019,5.92638111
ACCESS-CM2,ssp126,2020,7.80742359
ACCESS-CM2,ssp126,2021,7.22629213
ACCESS-CM2,ssp126,2022,6.81520176
ACCESS-CM2,ssp126,2023,7.63826370
ACCESS-CM2,ssp126,2024,6.10701180
ACCESS-CM2,ssp126,2025,7.44850016
ACCESS-CM2,ssp126,2026,7.84414244
ACCESS-CM2,ssp126,2027,5.93482542
ACCESS-CM2,ssp126,2028,5.68497467
ACCESS-CM2,ssp126,2029,6.08132362
ACCESS-CM2,ssp126,2030,6.55059528
ACCESS-CM2,ssp126,2031,7.07711363
ACCESS-CM2,ssp126,2032,6.41091633
ACCESS-CM2,ssp126,2033,5.16108608
ACCESS-CM2,ssp126,2034,6.30383730
ACCESS-CM2,ssp126,2035,6.92482615
ACCESS-CM2,ssp126,2036,5.56007338
ACCESS-CM2,ssp126,2037,7.45673847
ACCESS-CM2,ssp126,2038,4.84314966
ACCESS-CM2,ssp126,2039,6.80927134
ACCESS-CM2,ssp126,2040,6.39110518
ACCESS-CM2,ssp126,2041,6.79793882
ACCESS-CM2,ssp126,2042,6.01474714
ACCESS-CM2,ssp126,2043,5.43844223
ACCESS-CM2,ssp126,2044,7.67651320
ACCESS-CM2,ssp126,2045,6.60137367
ACCESS-CM2,ssp126,2046,6.63216352
ACCESS-CM2,ssp126,2047,6.54511166
ACCESS-CM2,ssp126,2048,7.44158459
ACCESS-CM2,ssp126,2049,6.65774822
ACCESS-CM2,ssp126,2050,8.46995926
ACCESS-CM2,ssp126,2051,5.41907978
ACCESS-CM2,ssp126,2052,6.62497139
ACCESS-CM2,ssp126,2053,6.36808395
ACCESS-CM2,ssp126,2054,5.94142199
ACCESS-CM2,ssp126,2055,5.23594379
ACCESS-CM2,ssp126,2056,6.18185759
ACCESS-CM2,ssp126,2057,5.48166943
ACCESS-CM2,ssp126,2058,7.51493597
ACCESS-CM2,ssp126,2059,6.59134865
ACCESS-CM2,ssp126,2060,6.32755947
ACCESS-CM2,ssp126,2061,6.59034109
ACCESS-CM2,ssp126,2062,5.51176453
ACCESS-CM2,ssp126,2063,5.81958246
ACCESS-CM2,ssp126,2064,5.14840603
ACCESS-CM2,ssp126,2065,7.94144917
ACCESS-CM2,ssp126,2066,6.43002510
ACCESS-CM2,ssp126,2067,5.55953026
