model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,7.31961060
ACCESS-CM2,historical,1961,8.06359482
ACCESS-CM2,historical,1962,7.31712198
ACCESS-CM2,historical,1963,7.53318930
ACCESS-CM2,historical,1964,7.96964216
ACCESS-CM2,historical,1965,7.92662382
ACCESS-CM2,historical,1966,7.49589825
ACCESS-CM2,historical,1967,7.73175430
ACCESS-CM2,historical,1968,7.30368280
ACCESS-CM2,historical,1969,8.54975796
ACCESS-CM2,historical,1970,7.74209261
ACCESS-CM2,historical,1971,6.21154261
ACCESS-CM2,historical,1972,7.34901667
ACCESS-CM2,historical,1973,8.44493866
ACCESS-CM2,historical,1974,7.81164980
ACCESS-CM2,historical,1975,8.24605179
ACCESS-CM2,historical,1976,8.64026928
ACCESS-CM2,historical,1977,7.37874746
ACCESS-CM2,historical,1978,8.78815651
ACCESS-CM2,historical,1979,6.93283319
ACCESS-CM2,historical,1980,8.71018410
ACCESS-CM2,historical,1981,7.59373188
ACCESS-CM2,historical,1982,9.03671265
ACCESS-CM2,historical,1983,7.19564867
ACCESS-CM2,historical,1984,7.57200050
ACCESS-CM2,historical,1985,8.80055523
ACCESS-CM2,historical,1986,7.41930723
ACCESS-CM2,historical,1987,8.26770306
ACCESS-CM2,historical,1988,8.30137825
ACCESS-CM2,historical,1989,7.74088240
ACCESS-CM2,historical,1990,7.40066528
ACCESS-CM2,historical,1991,8.90906811
ACCESS-CM2,historical,1992,7.64139318
ACCESS-CM2,historical,1993,7.36986113
ACCESS-CM2,historical,1994,8.08173752
ACCESS-CM2,historical,1995,7.94525766
ACCESS-CM2,historical,1996,8.56660652
ACCESS-CM2,historical,1997,7.25555754
ACCESS-CM2,historical,1998,8.25859070
ACCESS-CM2,historical,1999,8.57645607
ACCESS-CM2,historical,2000,7.50776196
ACCESS-CM2,historical,2001,7.84894514
ACCESS-CM2,historical,2002,7.22900057
ACCESS-CM2,historical,2003,7.77072239
ACCESS-CM2,historical,2004,7.41665363
ACCESS-CM2,historical,2005,8.50981998
ACCESS-CM2,historical,2006,8.03958416
ACCESS-CM2,historical,2007,8.30853844
ACCESS-CM2,historical,2008,8.52722836
ACCESS-CM2,historical,2009,8.10160542
ACCESS-CM2,historical,2010,8.03228855
ACCESS-CM2,historical,2011,8.18403244
ACCESS-CM2,historical,2012,8.17266750
ACCESS-CM2,historical,2013,7.86959505
ACCESS-CM2,historical,2014,7.00320625
ACCESS-CM2,ssp126,2015,7.65691566
ACCESS-CM2,ssp126,2016,8.04678726
ACCESS-CM2,ssp126,2017,8.81750488
ACCESS-CM2,ssp126,2018,7.02995443
ACCESS-CM2,ssp126,2019,7.39678478
ACCESS-CM2,ssp126,2020,9.01087284
ACCESS-CM2,ssp126,2021,7.84786224
ACCESS-CM2,ssp126,2022,7.82053328
ACCESS-CM2,ssp126,2023,8.78007698
ACCESS-CM2,ssp126,2024,7.79547071
ACCESS-CM2,ssp126,2025,7.57873297
ACCESS-CM2,ssp126,2026,8.85878658
ACCESS-CM2,ssp126,2027,7.24628878
ACCESS-CM2,ssp126,2028,7.48836613
ACCESS-CM2,ssp126,2029,7.39234734
ACCESS-CM2,ssp126,2030,7.87246990
ACCESS-CM2,ssp126,2031,8.31822681
ACCESS-CM2,ssp126,2032,8.08263779
ACCESS-CM2,ssp126,2033,6.90581751
ACCESS-CM2,ssp126,2034,7.59168863
ACCESS-CM2,ssp126,2035,8.07236767
ACCESS-CM2,ssp126,2036,7.50197744
ACCESS-CM2,ssp126,2037,8.88790894
ACCESS-CM2,ssp126,2038,7.18352127
ACCESS-CM2,ssp126,2039,7.96601534
ACCESS-CM2,ssp126,2040,7.64240217
ACCESS-CM2,ssp126,2041,7.30041218
ACCESS-CM2,ssp126,2042,7.66832256
ACCESS-CM2,ssp126,2043,7.03761578
ACCESS-CM2,ssp126,2044,8.10185242
ACCESS-CM2,ssp126,2045,8.52607822
ACCESS-CM2,ssp126,2046,7.61518669
ACCESS-CM2,ssp126,2047,7.37098455
ACCESS-CM2,ssp126,2048,8.32527828
ACCESS-CM2,ssp126,2049,7.79162121
ACCESS-CM2,ssp126,2050,8.91936779
ACCESS-CM2,ssp126,2051,7.25072241
ACCESS-CM2,ssp126,2052,7.91527271
ACCESS-CM2,ssp126,2053,7.70731497
ACCESS-CM2,ssp126,2054,7.24463987
ACCESS-CM2,ssp126,2055,7.31361532
ACCESS-CM2,ssp126,2056,7.37345314
ACCESS-CM2,ssp126,2057,7.14191914
ACCESS-CM2,ssp126,2058,8.20960236
ACCESS-CM2,ssp126,2059,7.69331408
ACCESS-CM2,ssp126,2060,7.41039133
ACCESS-CM2,ssp126,2061,7.76264524
ACCESS-CM2,ssp126,2062,7.39304781
ACCESS-CM2,ssp126,2063,7.84857845
ACCESS-CM2,ssp126,2064,6.93324947
ACCESS-CM2,ssp126,2065,8.37008667
ACCESS-CM2,ssp126,2066,7.68073177
ACCESS-CM2,ssp126,2067,7.10556650
ACCESS-CM2,ssp126,2068,7.98037767
ACCESS-CM2,ssp126,2069,7.26314640
ACCESS-CM2,ssp126,2070,7.31646347
ACCESS-CM2,ssp126,2071,7.94670773
ACCESS-CM2,ssp126,2072,8.29716778
ACCESS-CM2,ssp126,2073,8.01158714
ACCESS-CM2,ssp126,2074,8.34598446
ACCESS-CM2,ssp126,2075,8.03344727
ACCESS-CM2,ssp126,2076,7.43421030
ACCESS-CM2,ssp126,2077,6.99316311
ACCESS-CM2,ssp126,2078,7.71909714
ACCESS-CM2,ssp126,2079,6.97055292
ACCESS-CM2,ssp126,2080,9.44456673
ACCESS-CM2,ssp126,2081,7.25341129
ACCESS-CM2,ssp126,2082,7.32907486
ACCESS-CM2,ssp126,2083,7.65255451
ACCESS-CM2,ssp126,2084,8.59406662
ACCESS-CM2,ssp126,2085,7.70605278
ACCESS-CM2,ssp126,2086,8.08955097
ACCESS-CM2,ssp126,2087,7.34084177
ACCESS-CM2,ssp126,2088,7.17246580
ACCESS-CM2,ssp126,2089,7.17189503
ACCESS-CM2,ssp126,2090,8.26775169
ACCESS-CM2,ssp126,2091,7.03634739
ACCESS-CM2,ssp126,2092,7.65867186
ACCESS-CM2,ssp126,2093,7.28091717
ACCESS-CM2,ssp126,2094,7.66751862
ACCESS-CM2,ssp126,2095,8.92802906
ACCESS-CM2,ssp126,2096,7.51943874
ACCESS-CM2,ssp126,2097,8.55599308
ACCESS-CM2,ssp126,2098,7.22593546
ACCESS-CM2,ssp126,2099,7.84604883
ACCESS-CM2,ssp126,2100,9.05096340
ACCESS-CM2,ssp245,2015,7.54340458
ACCESS-CM2,ssp245,2016,8.12567520
ACCESS-CM2,ssp245,2017,8.48941517
ACCESS-CM2,ssp245,2018,8.00668907
ACCESS-CM2,ssp245,2019,7.59700441
ACCESS-CM2,ssp245,2020,7.87912416
ACCESS-CM2,ssp245,2021,7.44191885
ACCESS-CM2,ssp245,2022,8.04894829
ACCESS-CM2,ssp245,2023,7.75099945
ACCESS-CM2,ssp245,2024,7.44225168
ACCESS-CM2,ssp245,2025,7.87038374
ACCESS-CM2,ssp245,2026,8.76604939
ACCESS-CM2,ssp245,2027,7.62577868
ACCESS-CM2,ssp245,2028,7.74343967
ACCESS-CM2,ssp245,2029,8.28308678
ACCESS-CM2,ssp245,2030,7.98445892
ACCESS-CM2,ssp245,2031,8.27708817
ACCESS-CM2,ssp245,2032,7.88950634
ACCESS-CM2,ssp245,2033,7.71781397
ACCESS-CM2,ssp245,2034,7.09516525
ACCESS-CM2,ssp245,2035,8.12671185
ACCESS-CM2,ssp245,2036,6.83314896
ACCESS-CM2,ssp245,2037,7.83289814
ACCESS-CM2,ssp245,2038,7.59564734
ACCESS-CM2,ssp245,2039,7.29365873
ACCESS-CM2,ssp245,2040,8.30065441
ACCESS-CM2,ssp245,2041,6.79912043
ACCESS-CM2,ssp245,2042,8.46231651
ACCESS-CM2,ssp245,2043,7.08109236
ACCESS-CM2,ssp245,2044,8.60408688
ACCESS-CM2,ssp245,2045,7.34494209
ACCESS-CM2,ssp245,2046,7.99458408
ACCESS-CM2,ssp245,2047,7.51567125
ACCESS-CM2,ssp245,2048,8.75447845
ACCESS-CM2,ssp245,2049,8.30727768
ACCESS-CM2,ssp245,2050,7.68861055
ACCESS-CM2,ssp245,2051,7.83497953
ACCESS-CM2,ssp245,2052,8.12690449
ACCESS-CM2,ssp245,2053,6.46544695
ACCESS-CM2,ssp245,2054,8.51244736
ACCESS-CM2,ssp245,2055,6.95497274
ACCESS-CM2,ssp245,2056,7.97925138
ACCESS-CM2,ssp245,2057,7.99831486
ACCESS-CM2,ssp245,2058,7.57963228
ACCESS-CM2,ssp245,2059,7.24027729
ACCESS-CM2,ssp245,2060,8.62065411
ACCESS-CM2,ssp245,2061,8.06472874
ACCESS-CM2,ssp245,2062,7.63774347
ACCESS-CM2,ssp245,2063,7.47976494
ACCESS-CM2,ssp245,2064,6.77751493
ACCESS-CM2,ssp245,2065,8.68723679
ACCESS-CM2,ssp245,2066,7.14269829
ACCESS-CM2,ssp245,2067,8.13116550
ACCESS-CM2,ssp245,2068,7.93539810
ACCESS-CM2,ssp245,2069,7.52820539
ACCESS-CM2,ssp245,2070,8.05859947
ACCESS-CM2,ssp245,2071,7.34164238
ACCESS-CM2,ssp245,2072,8.12666893
ACCESS-CM2,ssp245,2073,6.98899508
ACCESS-CM2,ssp245,2074,7.83815336
ACCESS-CM2,ssp245,2075,8.49724197
ACCESS-CM2,ssp245,2076,6.92869902
ACCESS-CM2,ssp245,2077,7.79823923
ACCESS-CM2,ssp245,2078,8.39677620
ACCESS-CM2,ssp245,2079,7.83214283
ACCESS-CM2,ssp245,2080,8.59890842
ACCESS-CM2,ssp245,2081,8.65117645
ACCESS-CM2,ssp245,2082,8.75765133
ACCESS-CM2,ssp245,2083,7.39631462
ACCESS-CM2,ssp245,2084,8.12170982
ACCESS-CM2,ssp245,2085,7.35656738
ACCESS-CM2,ssp245,2086,8.56557941
ACCESS-CM2,ssp245,2087,7.37683010
ACCESS-CM2,ssp245,2088,8.61137867
ACCESS-CM2,ssp245,2089,6.20307493
ACCESS-CM2,ssp245,2090,7.67850113
ACCESS-CM2,ssp245,2091,7.36930466
ACCESS-CM2,ssp245,2092,6.84041929
ACCESS-CM2,ssp245,2093,7.30533981
ACCESS-CM2,ssp245,2094,6.54644775
ACCESS-CM2,ssp245,2095,8.16067791
ACCESS-CM2,ssp245,2096,7.58186865
ACCESS-CM2,ssp245,2097,7.37068510
