model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,5.20884418
ACCESS-CM2,historical,1961,6.91974163
ACCESS-CM2,historical,1962,5.32375860
ACCESS-CM2,historical,1963,4.89769220
ACCESS-CM2,historical,1964,5.53645706
ACCESS-CM2,historical,1965,6.46464348
ACCESS-CM2,historical,1966,5.44976950
ACCESS-CM2,historical,1967,6.12978029
ACCESS-CM2,historical,1968,5.21344042
ACCESS-CM2,historical,1969,7.36243200
ACCESS-CM2,historical,1970,6.83992767
ACCESS-CM2,historical,1971,4.25294971
ACCESS-CM2,historical,1972,5.72293854
ACCESS-CM2,historical,1973,6.86165762
ACCESS-CM2,historical,1974,6.92821264
ACCESS-CM2,historical,1975,6.28544807
ACCESS-CM2,historical,1976,7.39073896
ACCESS-CM2,historical,1977,6.25527096
ACCESS-CM2,historical,1978,6.56501532
ACCESS-CM2,historical,1979,5.20091009
ACCESS-CM2,historical,1980,7.47932243
ACCESS-CM2,historical,1981,6.59886932
ACCESS-CM2,historical,1982,7.95952129
ACCESS-CM2,historical,1983,5.11090612
ACCESS-CM2,historical,1984,5.61753559
ACCESS-CM2,historical,1985,7.11672544
ACCESS-CM2,historical,1986,5.03507471
ACCESS-CM2,historical,1987,6.65518188
ACCESS-CM2,historical,1988,7.22712660
ACCESS-CM2,historical,1989,5.87388611
ACCESS-CM2,historical,1990,6.45934057
ACCESS-CM2,historical,1991,7.15841722
ACCESS-CM2,historical,1992,6.89474916
ACCESS-CM2,historical,1993,5.73092842
ACCESS-CM2,historical,1994,6.38693953
ACCESS-CM2,historical,1995,6.47627020
ACCESS-CM2,historical,1996,6.87786198
ACCESS-CM2,historical,1997,5.75125599
ACCESS-CM2,historical,1998,5.92742062
ACCESS-CM2,historical,1999,6.82601023
ACCESS-CM2,historical,2000,5.88259268
ACCESS-CM2,historical,2001,6.53357506
ACCESS-CM2,historical,2002,4.78720903
ACCESS-CM2,historical,2003,6.60461092
ACCESS-CM2,historical,2004,4.90208149
ACCESS-CM2,historical,2005,7.26362562
ACCESS-CM2,historical,2006,7.13929224
ACCESS-CM2,historical,2007,6.42509508
ACCESS-CM2,historical,2008,6.94813442
ACCESS-CM2,historical,2009,6.34699249
ACCESS-CM2,historical,2010,6.50969982
ACCESS-CM2,historical,2011,5.84493065
ACCESS-CM2,historical,2012,7.10196543
ACCESS-CM2,historical,2013,5.70836735
ACCESS-CM2,historical,2014,5.24932909
ACCESS-CM2,ssp126,2015,5.79216433
ACCESS-CM2,ssp126,2016,6.68054247
ACCESS-CM2,ssp126,2017,7.68553543
ACCESS-CM2,ssp126,2018,5.24984074
ACCESS-CM2,ssp126,2019,5.63679504
ACCESS-CM2,ssp126,2020,7.52547932
ACCESS-CM2,ssp126,2021,6.94007778
ACCESS-CM2,ssp126,2022,6.50205469
ACCESS-CM2,ssp126,2023,6.64818096
ACCESS-CM2,ssp126,2024,6.30445862
ACCESS-CM2,ssp126,2025,6.93549442
ACCESS-CM2,ssp126,2026,7.25562525
ACCESS-CM2,ssp126,2027,5.58561182
ACCESS-CM2,ssp126,2028,5.73464775
ACCESS-CM2,ssp126,2029,5.67471838
ACCESS-CM2,ssp126,2030,6.82649231
ACCESS-CM2,ssp126,2031,7.09866953
ACCESS-CM2,ssp126,2032,6.30806780
ACCESS-CM2,ssp126,2033,5.15512943
ACCESS-CM2,ssp126,2034,6.62135410
ACCESS-CM2,ssp126,2035,6.84068155
ACCESS-CM2,ssp126,2036,5.47688341
ACCESS-CM2,ssp126,2037,7.57481861
ACCESS-CM2,ssp126,2038,4.86945820
ACCESS-CM2,ssp126,2039,6.99594975
ACCESS-CM2,ssp126,2040,6.40213776
ACCESS-CM2,ssp126,2041,6.33873558
ACCESS-CM2,ssp126,2042,6.35361004
ACCESS-CM2,ssp126,2043,5.83732367
ACCESS-CM2,ssp126,2044,7.30675840
ACCESS-CM2,ssp126,2045,7.31903028
ACCESS-CM2,ssp126,2046,7.02003908
ACCESS-CM2,ssp126,2047,6.26520681
ACCESS-CM2,ssp126,2048,7.77970886
ACCESS-CM2,ssp126,2049,6.57542944
ACCESS-CM2,ssp126,2050,7.95934248
ACCESS-CM2,ssp126,2051,5.50455475
ACCESS-CM2,ssp126,2052,6.63171196
ACCESS-CM2,ssp126,2053,6.26385403
ACCESS-CM2,ssp126,2054,5.82424116
ACCESS-CM2,ssp126,2055,5.00010252
ACCESS-CM2,ssp126,2056,5.71072721
ACCESS-CM2,ssp126,2057,5.40034914
ACCESS-CM2,ssp126,2058,7.52987766
ACCESS-CM2,ssp126,2059,6.35763216
ACCESS-CM2,ssp126,2060,5.61581278
ACCESS-CM2,ssp126,2061,6.24057436
ACCESS-CM2,ssp126,2062,5.26258898
ACCESS-CM2,ssp126,2063,6.20874262
ACCESS-CM2,ssp126,2064,5.15406179
ACCESS-CM2,ssp126,2065,7.14329529
ACCESS-CM2,ssp126,2066,6.30825567
ACCESS-CM2,ssp126,2067,5.19505453
ACCESS-CM2,ssp126,2068,6.09503841
ACCESS-CM2,ssp126,2069,6.08295918
ACCESS-CM2,ssp126,2070,5.36588287
ACCESS-CM2,ssp126,2071,6.66976404
ACCESS-CM2,ssp126,2072,6.39322281
ACCESS-CM2,ssp126,2073,6.42045164
ACCESS-CM2,ssp126,2074,7.04487419
ACCESS-CM2,ssp126,2075,6.77123451
ACCESS-CM2,ssp126,2076,6.04997206
ACCESS-CM2,ssp126,2077,5.21027279
ACCESS-CM2,ssp126,2078,6.12187243
ACCESS-CM2,ssp126,2079,5.52388573
ACCESS-CM2,ssp126,2080,8.38152504
ACCESS-CM2,ssp126,2081,5.64824963
ACCESS-CM2,ssp126,2082,5.11637878
ACCESS-CM2,ssp126,2083,6.13291645
ACCESS-CM2,ssp126,2084,7.00893307
ACCESS-CM2,ssp126,2085,6.16612530
ACCESS-CM2,ssp126,2086,6.00315857
ACCESS-CM2,ssp126,2087,6.38042641
ACCESS-CM2,ssp126,2088,5.02205801
ACCESS-CM2,ssp126,2089,4.62685776
ACCESS-CM2,ssp126,2090,7.70005703
ACCESS-CM2,ssp126,2091,5.57493734
ACCESS-CM2,ssp126,2092,6.48883533
ACCESS-CM2,ssp126,2093,5.39653492
ACCESS-CM2,ssp126,2094,6.05762100
ACCESS-CM2,ssp126,2095,7.29836512
ACCESS-CM2,ssp126,2096,6.01166487
ACCESS-CM2,ssp126,2097,7.17670441
ACCESS-CM2,ssp126,2098,5.21350241
ACCESS-CM2,ssp126,2099,6.27667904
ACCESS-CM2,ssp126,2100,3.52769423
ACCESS-CM2,ssp245,2015,4.84873676
ACCESS-CM2,ssp245,2016,6.28605461
ACCESS-CM2,ssp245,2017,7.00990582
ACCESS-CM2,ssp245,2018,6.67650604
ACCESS-CM2,ssp245,2019,6.22248983
ACCESS-CM2,ssp245,2020,6.84952116
ACCESS-CM2,ssp245,2021,5.39517736
ACCESS-CM2,ssp245,2022,6.72092962
ACCESS-CM2,ssp245,2023,5.61208057
ACCESS-CM2,ssp245,2024,6.00626230
ACCESS-CM2,ssp245,2025,6.98758030
ACCESS-CM2,ssp245,2026,6.89704847
ACCESS-CM2,ssp245,2027,6.36606312
ACCESS-CM2,ssp245,2028,5.69999456
ACCESS-CM2,ssp245,2029,6.58656406
ACCESS-CM2,ssp245,2030,6.89739418
ACCESS-CM2,ssp245,2031,6.01000738
ACCESS-CM2,ssp245,2032,5.81078434
ACCESS-CM2,ssp245,2033,5.69775772
ACCESS-CM2,ssp245,2034,4.50802517
ACCESS-CM2,ssp245,2035,5.62786341
ACCESS-CM2,ssp245,2036,5.16694593
ACCESS-CM2,ssp245,2037,6.43097639
ACCESS-CM2,ssp245,2038,5.49487877
ACCESS-CM2,ssp245,2039,4.54023743
ACCESS-CM2,ssp245,2040,6.13401890
ACCESS-CM2,ssp245,2041,5.22513008
ACCESS-CM2,ssp245,2042,7.50785923
ACCESS-CM2,ssp245,2043,4.56390715
ACCESS-CM2,ssp245,2044,7.79225874
ACCESS-CM2,ssp245,2045,6.08725786
ACCESS-CM2,ssp245,2046,7.04617786
ACCESS-CM2,ssp245,2047,5.88042879
ACCESS-CM2,ssp245,2048,6.90121078
