model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,3.17927766
ACCESS-CM2,historical,1961,3.68018746
ACCESS-CM2,historical,1962,3.44948173
ACCESS-CM2,historical,1963,2.85947227
ACCESS-CM2,historical,1964,3.61654139
ACCESS-CM2,historical,1965,3.65352249
ACCESS-CM2,historical,1966,3.31071782
ACCESS-CM2,historical,1967,3.02881908
ACCESS-CM2,historical,1968,3.16473532
ACCESS-CM2,historical,1969,4.17445278
ACCESS-CM2,historical,1970,3.50087094
ACCESS-CM2,historical,1971,2.60831571
ACCESS-CM2,historical,1972,3.20322609
ACCESS-CM2,historical,1973,4.16448069
ACCESS-CM2,historical,1974,3.71528745
ACCESS-CM2,historical,1975,3.10377717
ACCESS-CM2,historical,1976,4.27308846
ACCESS-CM2,historical,1977,3.28273916
ACCESS-CM2,historical,1978,4.33158731
ACCESS-CM2,historical,1979,3.02221131
ACCESS-CM2,historical,1980,4.15954113
ACCESS-CM2,historical,1981,3.35805297
ACCESS-CM2,historical,1982,4.11562967
ACCESS-CM2,historical,1983,2.46937346
ACCESS-CM2,historical,1984,3.28719306
ACCESS-CM2,historical,1985,4.11537409
ACCESS-CM2,historical,1986,2.93260121
ACCESS-CM2,historical,1987,3.65056539
ACCESS-CM2,historical,1988,3.78444791
ACCESS-CM2,historical,1989,3.38930297
ACCESS-CM2,historical,1990,3.46740127
ACCESS-CM2,historical,1991,4.04041290
ACCESS-CM2,historical,1992,3.63044596
ACCESS-CM2,historical,1993,3.47505450
ACCESS-CM2,historical,1994,3.67589712
ACCESS-CM2,historical,1995,3.49049497
ACCESS-CM2,historical,1996,3.72561359
ACCESS-CM2,historical,1997,3.33075786
ACCESS-CM2,historical,1998,3.85847712
ACCESS-CM2,historical,1999,3.94802094
ACCESS-CM2,historical,2000,3.10867620
ACCESS-CM2,historical,2001,3.57717323
ACCESS-CM2,historical,2002,2.90367818
ACCESS-CM2,historical,2003,3.75083756
ACCESS-CM2,historical,2004,2.85455227
ACCESS-CM2,historical,2005,3.81653929
ACCESS-CM2,historical,2006,3.48184633
ACCESS-CM2,historical,2007,4.00404882
ACCESS-CM2,historical,2008,3.46718979
ACCESS-CM2,historical,2009,3.30502748
ACCESS-CM2,historical,2010,3.46762967
ACCESS-CM2,historical,2011,3.44468307
ACCESS-CM2,historical,2012,3.83538079
ACCESS-CM2,historical,2013,3.53549814
ACCESS-CM2,historical,2014,2.81506944
ACCESS-CM2,ssp126,2015,3.28726935
ACCESS-CM2,ssp126,2016,3.51415777
ACCESS-CM2,ssp126,2017,3.79449725
ACCESS-CM2,ssp126,2018,2.87858510
ACCESS-CM2,ssp126,2019,3.26763535
ACCESS-CM2,ssp126,2020,4.28236389
ACCESS-CM2,ssp126,2021,3.70426512
ACCESS-CM2,ssp126,2022,3.53009105
ACCESS-CM2,ssp126,2023,4.19418859
ACCESS-CM2,ssp126,2024,3.36921430
ACCESS-CM2,ssp126,2025,3.39051890
ACCESS-CM2,ssp126,2026,4.34662294
ACCESS-CM2,ssp126,2027,3.15026426
ACCESS-CM2,ssp126,2028,3.06913400
ACCESS-CM2,ssp126,2029,3.16139936
ACCESS-CM2,ssp126,2030,3.49420404
ACCESS-CM2,ssp126,2031,3.60290051
ACCESS-CM2,ssp126,2032,3.70603919
ACCESS-CM2,ssp126,2033,2.76519632
ACCESS-CM2,ssp126,2034,3.07423449
ACCESS-CM2,ssp126,2035,3.49569464
ACCESS-CM2,ssp126,2036,3.14675808
ACCESS-CM2,ssp126,2037,4.12642908
ACCESS-CM2,ssp126,2038,2.61886621
ACCESS-CM2,ssp126,2039,3.38615870
ACCESS-CM2,ssp126,2040,3.02599716
ACCESS-CM2,ssp126,2041,3.35766935
ACCESS-CM2,ssp126,2042,3.09863043
ACCESS-CM2,ssp126,2043,2.83955312
ACCESS-CM2,ssp126,2044,3.91272140
ACCESS-CM2,ssp126,2045,3.35083580
ACCESS-CM2,ssp126,2046,3.41268396
ACCESS-CM2,ssp126,2047,3.41372299
ACCESS-CM2,ssp126,2048,3.71524334
ACCESS-CM2,ssp126,2049,3.58009124
ACCESS-CM2,ssp126,2050,4.63801384
ACCESS-CM2,ssp126,2051,2.68337250
ACCESS-CM2,ssp126,2052,3.69441438
ACCESS-CM2,ssp126,2053,3.27040410
ACCESS-CM2,ssp126,2054,2.98658180
ACCESS-CM2,ssp126,2055,2.95104051
ACCESS-CM2,ssp126,2056,3.70410919
ACCESS-CM2,ssp126,2057,2.96197367
ACCESS-CM2,ssp126,2058,4.03214025
ACCESS-CM2,ssp126,2059,3.37802458
ACCESS-CM2,ssp126,2060,3.33115101
ACCESS-CM2,ssp126,2061,3.32721615
ACCESS-CM2,ssp126,2062,3.25029087
ACCESS-CM2,ssp126,2063,3.27611256
ACCESS-CM2,ssp126,2064,2.80269861
ACCESS-CM2,ssp126,2065,3.81390786
ACCESS-CM2,ssp126,2066,3.39079070
ACCESS-CM2,ssp126,2067,3.14739466
ACCESS-CM2,ssp126,2068,3.59650540
ACCESS-CM2,ssp126,2069,2.91284800
ACCESS-CM2,ssp126,2070,3.10381722
ACCESS-CM2,ssp126,2071,3.55166912
ACCESS-CM2,ssp126,2072,3.44330621
ACCESS-CM2,ssp126,2073,3.48856235
ACCESS-CM2,ssp126,2074,3.73763323
ACCESS-CM2,ssp126,2075,3.63382030
ACCESS-CM2,ssp126,2076,3.44584298
ACCESS-CM2,ssp126,2077,3.06345010
ACCESS-CM2,ssp126,2078,3.05446935
ACCESS-CM2,ssp126,2079,3.10695839
ACCESS-CM2,ssp126,2080,4.92368746
ACCESS-CM2,ssp126,2081,2.97906876
ACCESS-CM2,ssp126,2082,2.91318274
ACCESS-CM2,ssp126,2083,3.13776326
ACCESS-CM2,ssp126,2084,3.97766352
ACCESS-CM2,ssp126,2085,3.12616611
ACCESS-CM2,ssp126,2086,3.25803137
ACCESS-CM2,ssp126,2087,3.15631771
ACCESS-CM2,ssp126,2088,3.11227965
ACCESS-CM2,ssp126,2089,2.64350820
ACCESS-CM2,ssp126,2090,3.80362082
ACCESS-CM2,ssp126,2091,3.04954553
ACCESS-CM2,ssp126,2092,3.40119839
ACCESS-CM2,ssp126,2093,3.12949324
ACCESS-CM2,ssp126,2094,3.12611127
ACCESS-CM2,ssp126,2095,4.21395922
ACCESS-CM2,ssp126,2096,3.34985304
ACCESS-CM2,ssp126,2097,4.07529593
ACCESS-CM2,ssp126,2098,3.03467131
ACCESS-CM2,ssp126,2099,3.60711956
ACCESS-CM2,ssp126,2100,3.15842843
