model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,6.25798416
ACCESS-CM2,historical,1961,6.94956779
ACCESS-CM2,historical,1962,6.46558762
ACCESS-CM2,historical,1963,5.58301163
ACCESS-CM2,historical,1964,6.94792652
ACCESS-CM2,historical,1965,6.47353601
ACCESS-CM2,historical,1966,5.96057367
ACCESS-CM2,historical,1967,5.85936880
ACCESS-CM2,historical,1968,6.12948656
ACCESS-CM2,historical,1969,7.53934479
ACCESS-CM2,historical,1970,6.65417242
ACCESS-CM2,historical,1971,5.21806717
ACCESS-CM2,historical,1972,5.55913734
ACCESS-CM2,historical,1973,7.91255140
ACCESS-CM2,historical,1974,7.28073597
ACCESS-CM2,historical,1975,6.39233637
ACCESS-CM2,historical,1976,7.86388016
ACCESS-CM2,historical,1977,6.86372709
ACCESS-CM2,historical,1978,8.03308868
ACCESS-CM2,historical,1979,5.94284678
ACCESS-CM2,historical,1980,8.18958282
ACCESS-CM2,historical,1981,6.37600708
ACCESS-CM2,historical,1982,7.29912472
ACCESS-CM2,historical,1983,4.84308910
ACCESS-CM2,historical,1984,6.51046753
ACCESS-CM2,historical,1985,7.83591700
ACCESS-CM2,historical,1986,5.96256495
ACCESS-CM2,historical,1987,7.05393457
ACCESS-CM2,historical,1988,7.51255274
ACCESS-CM2,historical,1989,6.53261232
ACCESS-CM2,historical,1990,6.85078382
ACCESS-CM2,historical,1991,8.76152325
ACCESS-CM2,historical,1992,6.04111910
ACCESS-CM2,historical,1993,6.23806524
ACCESS-CM2,historical,1994,7.23270988
ACCESS-CM2,historical,1995,6.69121647
ACCESS-CM2,historical,1996,7.47872877
ACCESS-CM2,historical,1997,6.22457361
ACCESS-CM2,historical,1998,6.93892670
ACCESS-CM2,historical,1999,7.86449385
ACCESS-CM2,historical,2000,6.06522369
ACCESS-CM2,historical,2001,6.80935431
ACCESS-CM2,historical,2002,5.28682852
ACCESS-CM2,historical,2003,7.04131174
ACCESS-CM2,historical,2004,6.28721189
ACCESS-CM2,historical,2005,6.93773031
ACCESS-CM2,historical,2006,6.81686687
ACCESS-CM2,historical,2007,7.81692553
ACCESS-CM2,historical,2008,6.68264008
ACCESS-CM2,historical,2009,6.16374922
ACCESS-CM2,historical,2010,6.68576145
ACCESS-CM2,historical,2011,6.70518160
ACCESS-CM2,historical,2012,7.21561813
ACCESS-CM2,historical,2013,6.17178392
ACCESS-CM2,historical,2014,5.53577423
ACCESS-CM2,ssp126,2015,6.25330973
ACCESS-CM2,ssp126,2016,6.70604134
ACCESS-CM2,ssp126,2017,7.98816919
ACCESS-CM2,ssp126,2018,5.49791145
ACCESS-CM2,ssp126,2019,6.23435307
ACCESS-CM2,ssp126,2020,8.74734688
ACCESS-CM2,ssp126,2021,6.75590277
ACCESS-CM2,ssp126,2022,7.08842373
ACCESS-CM2,ssp126,2023,8.10548019
ACCESS-CM2,ssp126,2024,6.15516424
