model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,2.92680311
ACCESS-CM2,historical,1961,3.52332711
ACCESS-CM2,historical,1962,3.86000800
ACCESS-CM2,historical,1963,3.10824013
ACCESS-CM2,historical,1964,3.62407303
ACCESS-CM2,historical,1965,3.71964073
ACCESS-CM2,historical,1966,3.17849350
ACCESS-CM2,historical,1967,3.68347335
ACCESS-CM2,historical,1968,2.98502803
ACCESS-CM2,historical,1969,2.91079831
ACCESS-CM2,historical,1970,3.61807227
ACCESS-CM2,historical,1971,3.54312301
ACCESS-CM2,historical,1972,3.82536459
ACCESS-CM2,historical,1973,3.22848368
ACCESS-CM2,historical,1974,4.60718250
ACCESS-CM2,historical,1975,3.41222906
ACCESS-CM2,historical,1976,3.34487629
ACCESS-CM2,historical,1977,3.28786039
ACCESS-CM2,historical,1978,3.36949754
ACCESS-CM2,historical,1979,3.59921956
ACCESS-CM2,historical,1980,4.28067446
ACCESS-CM2,historical,1981,2.64020848
ACCESS-CM2,historical,1982,3.75941348
ACCESS-CM2,historical,1983,3.14021897
ACCESS-CM2,historical,1984,2.97117019
ACCESS-CM2,historical,1985,2.99180532
ACCESS-CM2,historical,1986,3.57941747
ACCESS-CM2,historical,1987,3.37835789
ACCESS-CM2,historical,1988,3.65182114
ACCESS-CM2,historical,1989,3.06048870
ACCESS-CM2,historical,1990,4.12167120
ACCESS-CM2,historical,1991,3.59754252
ACCESS-CM2,historical,1992,3.73899722
ACCESS-CM2,historical,1993,3.31271267
ACCESS-CM2,historical,1994,3.39490080
ACCESS-CM2,historical,1995,3.01782060
ACCESS-CM2,historical,1996,3.04939508
ACCESS-CM2,historical,1997,3.61444521
ACCESS-CM2,historical,1998,3.12102008
ACCESS-CM2,historical,1999,3.72598314
ACCESS-CM2,historical,2000,3.71213961
ACCESS-CM2,historical,2001,4.20851517
ACCESS-CM2,historical,2002,2.93099523
ACCESS-CM2,historical,2003,3.12979174
ACCESS-CM2,historical,2004,3.96937728
ACCESS-CM2,historical,2005,3.90861750
ACCESS-CM2,historical,2006,3.41552019
ACCESS-CM2,historical,2007,3.49217463
ACCESS-CM2,historical,2008,3.43754339
