model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,5.76623917
ACCESS-CM2,historical,1961,6.54131174
ACCESS-CM2,historical,1962,7.68115139
ACCESS-CM2,historical,1963,6.32514906
ACCESS-CM2,historical,1964,7.02903557
ACCESS-CM2,historical,1965,7.16819715
ACCESS-CM2,historical,1966,6.40152502
ACCESS-CM2,historical,1967,7.15074539
ACCESS-CM2,historical,1968,5.73117542
ACCESS-CM2,historical,1969,5.51064777
ACCESS-CM2,historical,1970,6.69586086
ACCESS-CM2,historical,1971,6.48000288
ACCESS-CM2,historical,1972,6.91309786
ACCESS-CM2,historical,1973,6.00745201
ACCESS-CM2,historical,1974,8.69130898
ACCESS-CM2,historical,1975,6.58841705
ACCESS-CM2,historical,1976,6.53615999
ACCESS-CM2,historical,1977,6.55502129
ACCESS-CM2,historical,1978,6.42172003
ACCESS-CM2,historical,1979,6.79206753
ACCESS-CM2,historical,1980,8.42044830
ACCESS-CM2,historical,1981,4.87050200
ACCESS-CM2,historical,1982,7.23667002
ACCESS-CM2,historical,1983,6.48180008
ACCESS-CM2,historical,1984,5.73815107
ACCESS-CM2,historical,1985,6.07598066
ACCESS-CM2,historical,1986,6.45907974
ACCESS-CM2,historical,1987,6.25146675
ACCESS-CM2,historical,1988,7.76166821
ACCESS-CM2,historical,1989,6.07706738
ACCESS-CM2,historical,1990,7.71130085
ACCESS-CM2,historical,1991,6.55159760
ACCESS-CM2,historical,1992,7.29866743
ACCESS-CM2,historical,1993,6.79725742
ACCESS-CM2,historical,1994,6.72010994
ACCESS-CM2,historical,1995,5.52439976
ACCESS-CM2,historical,1996,5.99130201
ACCESS-CM2,historical,1997,7.20051956
ACCESS-CM2,historical,1998,5.74448538
ACCESS-CM2,historical,1999,6.68880749
ACCESS-CM2,historical,2000,6.78844166
ACCESS-CM2,historical,2001,7.95615625
ACCESS-CM2,historical,2002,5.55411053
ACCESS-CM2,historical,2003,5.50147295
ACCESS-CM2,historical,2004,7.34971666
ACCESS-CM2,historical,2005,7.34298372
ACCESS-CM2,historical,2006,6.23678207
ACCESS-CM2,historical,2007,6.59955168
ACCESS-CM2,historical,2008,6.19504976
ACCESS-CM2,historical,2009,6.98218298
ACCESS-CM2,historical,2010,5.93584538
ACCESS-CM2,historical,2011,5.66025591
ACCESS-CM2,historical,2012,6.60304594
ACCESS-CM2,historical,2013,6.49839163
ACCESS-CM2,historical,2014,6.10977221
ACCESS-CM2,ssp126,2015,6.17719984
ACCESS-CM2,ssp126,2016,7.59338045
ACCESS-CM2,ssp126,2017,6.94304848
ACCESS-CM2,ssp126,2018,6.09717083
