model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,3.19066954
ACCESS-CM2,historical,1961,3.86128092
ACCESS-CM2,historical,1962,4.13089275
ACCESS-CM2,historical,1963,3.63738441
ACCESS-CM2,historical,1964,4.22618389
ACCESS-CM2,historical,1965,4.46272135
ACCESS-CM2,historical,1966,3.55034089
ACCESS-CM2,historical,1967,4.17941189
ACCESS-CM2,historical,1968,3.20386624
ACCESS-CM2,historical,1969,3.48324704
ACCESS-CM2,historical,1970,4.31631184
ACCESS-CM2,historical,1971,3.80746269
ACCESS-CM2,historical,1972,4.24396038
ACCESS-CM2,historical,1973,3.92859578
ACCESS-CM2,historical,1974,5.28278303
ACCESS-CM2,historical,1975,3.87991571
ACCESS-CM2,historical,1976,3.84941697
ACCESS-CM2,historical,1977,3.85034323
ACCESS-CM2,historical,1978,4.08348465
ACCESS-CM2,historical,1979,4.15076923
ACCESS-CM2,historical,1980,4.73772192
ACCESS-CM2,historical,1981,3.19163227
ACCESS-CM2,historical,1982,4.23716307
ACCESS-CM2,historical,1983,3.53998566
ACCESS-CM2,historical,1984,3.38762569
ACCESS-CM2,historical,1985,3.26900268
ACCESS-CM2,historical,1986,4.19000912
ACCESS-CM2,historical,1987,3.97531247
ACCESS-CM2,historical,1988,4.13394451
ACCESS-CM2,historical,1989,3.49756598
ACCESS-CM2,historical,1990,4.64072847
ACCESS-CM2,historical,1991,4.11001825
ACCESS-CM2,historical,1992,4.34189653
ACCESS-CM2,historical,1993,4.00286865
ACCESS-CM2,historical,1994,3.87768507
ACCESS-CM2,historical,1995,3.45489502
ACCESS-CM2,historical,1996,3.26912403
ACCESS-CM2,historical,1997,4.20333052
ACCESS-CM2,historical,1998,3.39944720
ACCESS-CM2,historical,1999,4.27360725
ACCESS-CM2,historical,2000,4.52617407
ACCESS-CM2,historical,2001,4.71972513
ACCESS-CM2,historical,2002,3.33339190
ACCESS-CM2,historical,2003,3.38964772
ACCESS-CM2,historical,2004,4.37181759
ACCESS-CM2,historical,2005,4.10893631
ACCESS-CM2,historical,2006,3.83325267
ACCESS-CM2,historical,2007,3.81770658
ACCESS-CM2,historical,2008,3.88582492
ACCESS-CM2,historical,2009,4.01840925
ACCESS-CM2,historical,2010,4.13836288
ACCESS-CM2,historical,2011,3.48560953
ACCESS-CM2,historical,2012,4.03079796
ACCESS-CM2,historical,2013,3.56324434
ACCESS-CM2,historical,2014,3.49497533
ACCESS-CM2,ssp126,2015,3.61467028
ACCESS-CM2,ssp126,2016,4.26832581
ACCESS-CM2,ssp126,2017,3.90180707
ACCESS-CM2,ssp126,2018,3.40749812
ACCESS-CM2,ssp126,2019,3.99305511
ACCESS-CM2,ssp126,2020,4.38533354
ACCESS-CM2,ssp126,2021,4.10605145
ACCESS-CM2,ssp126,2022,3.63054538
ACCESS-CM2,ssp126,2023,3.07433152
ACCESS-CM2,ssp126,2024,4.55572891
ACCESS-CM2,ssp126,2025,4.74327946
ACCESS-CM2,ssp126,2026,3.78998566
ACCESS-CM2,ssp126,2027,3.50583625
ACCESS-CM2,ssp126,2028,3.90860558
ACCESS-CM2,ssp126,2029,4.97085381
ACCESS-CM2,ssp126,2030,4.20692015
ACCESS-CM2,ssp126,2031,4.84542179
ACCESS-CM2,ssp126,2032,3.64871287
ACCESS-CM2,ssp126,2033,3.61823821
ACCESS-CM2,ssp126,2034,4.25280905
ACCESS-CM2,ssp126,2035,3.91732407
ACCESS-CM2,ssp126,2036,3.90756106
ACCESS-CM2,ssp126,2037,4.54811764
ACCESS-CM2,ssp126,2038,3.65278769
ACCESS-CM2,ssp126,2039,4.04526758
ACCESS-CM2,ssp126,2040,4.72721529
ACCESS-CM2,ssp126,2041,4.64608145
ACCESS-CM2,ssp126,2042,4.60175276
ACCESS-CM2,ssp126,2043,4.21497488
ACCESS-CM2,ssp126,2044,2.62184644
ACCESS-CM2,ssp126,2045,4.05758667
ACCESS-CM2,ssp126,2046,4.78333282
ACCESS-CM2,ssp126,2047,4.79344654
ACCESS-CM2,ssp126,2048,3.50377297
ACCESS-CM2,ssp126,2049,4.32092381
ACCESS-CM2,ssp126,2050,4.29107761
ACCESS-CM2,ssp126,2051,3.85821986
ACCESS-CM2,ssp126,2052,3.93683100
ACCESS-CM2,ssp126,2053,3.88225126
ACCESS-CM2,ssp126,2054,4.06534052
ACCESS-CM2,ssp126,2055,3.62002635
ACCESS-CM2,ssp126,2056,3.72634768
ACCESS-CM2,ssp126,2057,4.08419991
ACCESS-CM2,ssp126,2058,3.66210365
ACCESS-CM2,ssp126,2059,4.55373240
ACCESS-CM2,ssp126,2060,3.77451301
ACCESS-CM2,ssp126,2061,4.58356762
ACCESS-CM2,ssp126,2062,3.34493589
ACCESS-CM2,ssp126,2063,4.70484257
ACCESS-CM2,ssp126,2064,2.77168608
ACCESS-CM2,ssp126,2065,4.14939690
ACCESS-CM2,ssp126,2066,4.68545532
ACCESS-CM2,ssp126,2067,3.73879123
ACCESS-CM2,ssp126,2068,3.89331198
ACCESS-CM2,ssp126,2069,3.35241842
ACCESS-CM2,ssp126,2070,4.69569874
ACCESS-CM2,ssp126,2071,4.61723757
ACCESS-CM2,ssp126,2072,4.18533373
ACCESS-CM2,ssp126,2073,3.68746829
ACCESS-CM2,ssp126,2074,4.18442106
ACCESS-CM2,ssp126,2075,3.50745130
ACCESS-CM2,ssp126,2076,4.00182819
ACCESS-CM2,ssp126,2077,3.82713580
ACCESS-CM2,ssp126,2078,3.23608541
ACCESS-CM2,ssp126,2079,3.87217569
ACCESS-CM2,ssp126,2080,2.96578932
ACCESS-CM2,ssp126,2081,2.93584299
ACCESS-CM2,ssp126,2082,3.81337571
ACCESS-CM2,ssp126,2083,4.27628088
ACCESS-CM2,ssp126,2084,4.92270470
ACCESS-CM2,ssp126,2085,3.80300283
ACCESS-CM2,ssp126,2086,4.41749763
ACCESS-CM2,ssp126,2087,4.09987307
ACCESS-CM2,ssp126,2088,4.09872103
ACCESS-CM2,ssp126,2089,4.53895473
ACCESS-CM2,ssp126,2090,4.41256046
ACCESS-CM2,ssp126,2091,2.96958542
ACCESS-CM2,ssp126,2092,3.71067786
ACCESS-CM2,ssp126,2093,3.64020944
ACCESS-CM2,ssp126,2094,4.43577385
ACCESS-CM2,ssp126,2095,4.29673386
ACCESS-CM2,ssp126,2096,2.79420090
ACCESS-CM2,ssp126,2097,4.12809610
ACCESS-CM2,ssp126,2098,3.19935346
ACCESS-CM2,ssp126,2099,3.60041523
ACCESS-CM2,ssp126,2100,3.97336626
ACCESS-CM2,ssp245,2015,3.76708603
ACCESS-CM2,ssp245,2016,3.89696407
ACCESS-CM2,ssp245,2017,3.28008270
ACCESS-CM2,ssp245,2018,4.68976593
ACCESS-CM2,ssp245,2019,3.67394638
ACCESS-CM2,ssp245,2020,4.58449793
ACCESS-CM2,ssp245,2021,3.84363556
ACCESS-CM2,ssp245,2022,3.51305771
ACCESS-CM2,ssp245,2023,3.81473088
ACCESS-CM2,ssp245,2024,4.62689590
ACCESS-CM2,ssp245,2025,3.62989283
ACCESS-CM2,ssp245,2026,3.77927089
ACCESS-CM2,ssp245,2027,2.82391095
ACCESS-CM2,ssp245,2028,4.22294283
ACCESS-CM2,ssp245,2029,4.57878637
ACCESS-CM2,ssp245,2030,4.21833754
ACCESS-CM2,ssp245,2031,3.96100616
ACCESS-CM2,ssp245,2032,3.62695551
ACCESS-CM2,ssp245,2033,3.94687009
ACCESS-CM2,ssp245,2034,3.62226200
ACCESS-CM2,ssp245,2035,4.46982622
ACCESS-CM2,ssp245,2036,4.09164619
ACCESS-CM2,ssp245,2037,4.12116861
ACCESS-CM2,ssp245,2038,3.79853344
ACCESS-CM2,ssp245,2039,4.18006659
ACCESS-CM2,ssp245,2040,3.54502916
ACCESS-CM2,ssp245,2041,4.34470701
ACCESS-CM2,ssp245,2042,4.17772102
ACCESS-CM2,ssp245,2043,3.33696961
ACCESS-CM2,ssp245,2044,4.06856203
ACCESS-CM2,ssp245,2045,4.51504469
ACCESS-CM2,ssp245,2046,4.88836765
ACCESS-CM2,ssp245,2047,3.82033443
ACCESS-CM2,ssp245,2048,3.77079296
ACCESS-CM2,ssp245,2049,3.90423965
ACCESS-CM2,ssp245,2050,4.36343622
ACCESS-CM2,ssp245,2051,4.07964945
ACCESS-CM2,ssp245,2052,4.21899319
ACCESS-CM2,ssp245,2053,3.58086491
ACCESS-CM2,ssp245,2054,3.50058174
ACCESS-CM2,ssp245,2055,4.02177906
ACCESS-CM2,ssp245,2056,3.67758226
ACCESS-CM2,ssp245,2057,4.17087746
ACCESS-CM2,ssp245,2058,3.93513656
ACCESS-CM2,ssp245,2059,4.41177702
ACCESS-CM2,ssp245,2060,4.02219582
ACCESS-CM2,ssp245,2061,4.92132664
ACCESS-CM2,ssp245,2062,3.65069723
ACCESS-CM2,ssp245,2063,3.40160203
ACCESS-CM2,ssp245,2064,3.58224607
ACCESS-CM2,ssp245,2065,4.45795202
ACCESS-CM2,ssp245,2066,4.51840305
ACCESS-CM2,ssp245,2067,4.10303211
ACCESS-CM2,ssp245,2068,4.18644667
ACCESS-CM2,ssp245,2069,3.95872450
ACCESS-CM2,ssp245,2070,3.75002170
ACCESS-CM2,ssp245,2071,4.51577950
ACCESS-CM2,ssp245,2072,3.66720080
ACCESS-CM2,ssp245,2073,4.71115828
ACCESS-CM2,ssp245,2074,4.41893768
ACCESS-CM2,ssp245,2075,4.23339558
ACCESS-CM2,ssp245,2076,3.33643389
ACCESS-CM2,ssp245,2077,4.04920197
ACCESS-CM2,ssp245,2078,3.98523092
ACCESS-CM2,ssp245,2079,3.60326147
ACCESS-CM2,ssp245,2080,3.93929625
ACCESS-CM2,ssp245,2081,4.02809763
ACCESS-CM2,ssp245,2082,4.86978579
ACCESS-CM2,ssp245,2083,3.74418545
ACCESS-CM2,ssp245,2084,4.86501503
ACCESS-CM2,ssp245,2085,4.04312277
ACCESS-CM2,ssp245,2086,3.91135526
ACCESS-CM2,ssp245,2087,4.83508158
ACCESS-CM2,ssp245,2088,4.62876701
ACCESS-CM2,ssp245,2089,3.99299407
ACCESS-CM2,ssp245,2090,4.12581491
ACCESS-CM2,ssp245,2091,4.30930758
ACCESS-CM2,ssp245,2092,4.06168890
ACCESS-CM2,ssp245,2093,4.49443197
ACCESS-CM2,ssp245,2094,4.38062620
ACCESS-CM2,ssp245,2095,4.56633234
ACCESS-CM2,ssp245,2096,3.98951244
ACCESS-CM2,ssp245,2097,4.19273472
ACCESS-CM2,ssp245,2098,3.60463977
ACCESS-CM2,ssp245,2099,3.50194073
ACCESS-CM2,ssp245,2100,4.31428909
ACCESS-CM2,ssp370,2015,3.92067719
ACCESS-CM2,ssp370,2016,4.56205130
ACCESS-CM2,ssp370,2017,3.93996072
ACCESS-CM2,ssp370,2018,4.06882954
ACCESS-CM2,ssp370,2019,3.60685897
ACCESS-CM2,ssp370,2020,4.74863434
ACCESS-CM2,ssp370,2021,4.63570118
ACCESS-CM2,ssp370,2022,3.19722342
ACCESS-CM2,ssp370,2023,3.99821067
ACCESS-CM2,ssp370,2024,3.21661425
ACCESS-CM2,ssp370,2025,4.31836128
ACCESS-CM2,ssp370,2026,3.76807022
ACCESS-CM2,ssp370,2027,2.92172694
ACCESS-CM2,ssp370,2028,3.54075217
ACCESS-CM2,ssp370,2029,3.38481593
ACCESS-CM2,ssp370,2030,3.58988786
ACCESS-CM2,ssp370,2031,4.09300423
ACCESS-CM2,ssp370,2032,4.04770184
ACCESS-CM2,ssp370,2033,3.42816734
ACCESS-CM2,ssp370,2034,4.15685892
ACCESS-CM2,ssp370,2035,4.52239895
ACCESS-CM2,ssp370,2036,3.91516662
ACCESS-CM2,ssp370,2037,3.36929893
ACCESS-CM2,ssp370,2038,3.54335189
ACCESS-CM2,ssp370,2039,3.60016561
ACCESS-CM2,ssp370,2040,3.39440846
ACCESS-CM2,ssp370,2041,4.70116568
ACCESS-CM2,ssp370,2042,3.93423820
ACCESS-CM2,ssp370,2043,4.57255936
ACCESS-CM2,ssp370,2044,3.71666312
ACCESS-CM2,ssp370,2045,3.26205945
ACCESS-CM2,ssp370,2046,3.49528956
ACCESS-CM2,ssp370,2047,3.94827223
ACCESS-CM2,ssp370,2048,4.49908733
ACCESS-CM2,ssp370,2049,3.88814044
ACCESS-CM2,ssp370,2050,3.77061510
ACCESS-CM2,ssp370,2051,3.90118957
ACCESS-CM2,ssp370,2052,3.38755465
ACCESS-CM2,ssp370,2053,4.24117613
ACCESS-CM2,ssp370,2054,4.08570242
ACCESS-CM2,ssp370,2055,3.76433706
ACCESS-CM2,ssp370,2056,4.42004013
ACCESS-CM2,ssp370,2057,4.01302290
ACCESS-CM2,ssp370,2058,4.43580580
ACCESS-CM2,ssp370,2059,3.56849003
ACCESS-CM2,ssp370,2060,3.88054490
ACCESS-CM2,ssp370,2061,3.50729012
ACCESS-CM2,ssp370,2062,3.34621453
ACCESS-CM2,ssp370,2063,4.45758867
ACCESS-CM2,ssp370,2064,3.93845916
ACCESS-CM2,ssp370,2065,4.92493439
ACCESS-CM2,ssp370,2066,4.09696817
ACCESS-CM2,ssp370,2067,5.19013977
ACCESS-CM2,ssp370,2068,3.87635827
ACCESS-CM2,ssp370,2069,3.98551679
ACCESS-CM2,ssp370,2070,3.71616721
ACCESS-CM2,ssp370,2071,4.13415766
ACCESS-CM2,ssp370,2072,3.60257220
ACCESS-CM2,ssp370,2073,3.73731208
ACCESS-CM2,ssp370,2074,3.83201742
ACCESS-CM2,ssp370,2075,3.79489255
ACCESS-CM2,ssp370,2076,4.30915451
ACCESS-CM2,ssp370,2077,3.64677095
ACCESS-CM2,ssp370,2078,3.76542711
ACCESS-CM2,ssp370,2079,3.80233622
ACCESS-CM2,ssp370,2080,4.33695364
ACCESS-CM2,ssp370,2081,3.62379718
ACCESS-CM2,ssp370,2082,3.51119995
ACCESS-CM2,ssp370,2083,4.47565365
ACCESS-CM2,ssp370,2084,3.75786972
ACCESS-CM2,ssp370,2085,3.69177794
ACCESS-CM2,ssp370,2086,4.13260460
ACCESS-CM2,ssp370,2087,3.69561768
ACCESS-CM2,ssp370,2088,3.74875689
ACCESS-CM2,ssp370,2089,3.79380155
ACCESS-CM2,ssp370,2090,3.64742732
ACCESS-CM2,ssp370,2091,3.72635579
ACCESS-CM2,ssp370,2092,3.60666633
ACCESS-CM2,ssp370,2093,4.53357649
ACCESS-CM2,ssp370,2094,3.09055305
ACCESS-CM2,ssp370,2095,4.25930262
