model,experiment,year,sfcWind
ACCESS-CM2,historical,1960.00000000,5.26200819
ACCESS-CM2,historical,1961.00000000,6.03535032
ACCESS-CM2,historical,1962.00000000,5.74651909
ACCESS-CM2,historical,1963.00000000,5.83502960
ACCESS-CM2,historical,1964.00000000,6.26579809
ACCESS-CM2,historical,1965.00000000,5.86803675
ACCESS-CM2,historical,1966.00000000,5.88102961
ACCESS-CM2,historical,1967.00000000,5.88555098
ACCESS-CM2,historical,1968.00000000,5.24945498
ACCESS-CM2,historical,1969.00000000,5.46788549
ACCESS-CM2,historical,1970.00000000,5.85426331
ACCESS-CM2,historical,1971.00000000,5.27907896
ACCESS-CM2,historical,1972.00000000,5.39606619
ACCESS-CM2,historical,1973.00000000,5.85145330
ACCESS-CM2,historical,1974.00000000,5.97181320
ACCESS-CM2,historical,1975.00000000,5.58057642
ACCESS-CM2,historical,1976.00000000,6.31533670
ACCESS-CM2,historical,1977.00000000,5.58740997
ACCESS-CM2,historical,1978.00000000,6.01015806
ACCESS-CM2,historical,1979.00000000,4.83200359
ACCESS-CM2,historical,1980.00000000,6.31884909
ACCESS-CM2,historical,1981.00000000,5.93631506
ACCESS-CM2,historical,1982.00000000,6.26066256
ACCESS-CM2,historical,1983.00000000,5.00861454
ACCESS-CM2,historical,1984.00000000,5.66462088
ACCESS-CM2,historical,1985.00000000,5.69477463
ACCESS-CM2,historical,1986.00000000,5.41183043
ACCESS-CM2,historical,1987.00000000,5.46595001
ACCESS-CM2,historical,1988.00000000,5.61006594
ACCESS-CM2,historical,1989.00000000,6.01988602
ACCESS-CM2,historical,1990.00000000,5.69055605
ACCESS-CM2,historical,1991.00000000,5.67860794
ACCESS-CM2,historical,1992.00000000,6.03793955
ACCESS-CM2,historical,1993.00000000,5.23125696
ACCESS-CM2,historical,1994.00000000,5.65268946
ACCESS-CM2,historical,1995.00000000,5.55180550
ACCESS-CM2,historical,1996.00000000,6.08553076
ACCESS-CM2,historical,1997.00000000,5.75892687
ACCESS-CM2,historical,1998.00000000,5.90695763
ACCESS-CM2,historical,1999.00000000,5.94313288
ACCESS-CM2,historical,2000.00000000,5.66224289
ACCESS-CM2,historical,2001.00000000,5.80135679
ACCESS-CM2,historical,2002.00000000,5.54570770
ACCESS-CM2,historical,2003.00000000,5.09298944
ACCESS-CM2,historical,2004.00000000,6.05206871
ACCESS-CM2,historical,2005.00000000,5.51140976
ACCESS-CM2,historical,2006.00000000,5.17666674
ACCESS-CM2,historical,2007.00000000,6.36630249
ACCESS-CM2,historical,2008.00000000,5.83759308
ACCESS-CM2,historical,2009.00000000,5.91746092
ACCESS-CM2,historical,2010.00000000,5.55884409
ACCESS-CM2,historical,2011.00000000,5.71979523
ACCESS-CM2,historical,2012.00000000,5.90445185
ACCESS-CM2,historical,2013.00000000,5.06095171
ACCESS-CM2,historical,2014.00000000,5.21567011
ACCESS-CM2,ssp126,2015.00000000,5.74111366
ACCESS-CM2,ssp126,2016.00000000,5.45307493
ACCESS-CM2,ssp126,2017.00000000,6.02973127
