model,experiment,year,sfcWind
ACCESS-CM2,historical,1960.00000000,7.67636681
ACCESS-CM2,historical,1961.00000000,8.40748215
ACCESS-CM2,historical,1962.00000000,7.94120407
ACCESS-CM2,historical,1963.00000000,7.91532087
ACCESS-CM2,historical,1964.00000000,8.66235638
ACCESS-CM2,historical,1965.00000000,8.39846516
ACCESS-CM2,historical,1966.00000000,7.71060419
ACCESS-CM2,historical,1967.00000000,8.12813473
ACCESS-CM2,historical,1968.00000000,7.68335009
ACCESS-CM2,historical,1969.00000000,8.05133057
ACCESS-CM2,historical,1970.00000000,8.43453121
ACCESS-CM2,historical,1971.00000000,7.47053671
ACCESS-CM2,historical,1972.00000000,7.94382286
ACCESS-CM2,historical,1973.00000000,7.86838150
ACCESS-CM2,historical,1974.00000000,8.71128941
ACCESS-CM2,historical,1975.00000000,8.42910671
ACCESS-CM2,historical,1976.00000000,8.42230225
ACCESS-CM2,historical,1977.00000000,8.11307240
ACCESS-CM2,historical,1978.00000000,8.62062931
ACCESS-CM2,historical,1979.00000000,7.52698946
ACCESS-CM2,historical,1980.00000000,8.62982368
ACCESS-CM2,historical,1981.00000000,7.65431356
ACCESS-CM2,historical,1982.00000000,8.56243038
ACCESS-CM2,historical,1983.00000000,7.63991165
ACCESS-CM2,historical,1984.00000000,7.96208954
ACCESS-CM2,historical,1985.00000000,8.49353886
ACCESS-CM2,historical,1986.00000000,7.73467970
ACCESS-CM2,historical,1987.00000000,7.86697388
ACCESS-CM2,historical,1988.00000000,8.26200199
ACCESS-CM2,historical,1989.00000000,8.03750896
ACCESS-CM2,historical,1990.00000000,8.49516010
ACCESS-CM2,historical,1991.00000000,8.49800014
ACCESS-CM2,historical,1992.00000000,8.25496387
ACCESS-CM2,historical,1993.00000000,7.89025688
ACCESS-CM2,historical,1994.00000000,8.12530327
ACCESS-CM2,historical,1995.00000000,8.12103748
ACCESS-CM2,historical,1996.00000000,8.27754307
ACCESS-CM2,historical,1997.00000000,7.99988937
ACCESS-CM2,historical,1998.00000000,8.11773968
ACCESS-CM2,historical,1999.00000000,8.22115421
ACCESS-CM2,historical,2000.00000000,8.24132919
ACCESS-CM2,historical,2001.00000000,8.18839359
ACCESS-CM2,historical,2002.00000000,7.45721579
ACCESS-CM2,historical,2003.00000000,7.52393866
ACCESS-CM2,historical,2004.00000000,8.22495174
ACCESS-CM2,historical,2005.00000000,8.13290119
ACCESS-CM2,historical,2006.00000000,8.08260632
ACCESS-CM2,historical,2007.00000000,8.09501839
ACCESS-CM2,historical,2008.00000000,8.43727779
ACCESS-CM2,historical,2009.00000000,8.19903183
ACCESS-CM2,historical,2010.00000000,8.01268387
ACCESS-CM2,historical,2011.00000000,8.37903214
ACCESS-CM2,historical,2012.00000000,8.55322647
ACCESS-CM2,historical,2013.00000000,7.57160425
ACCESS-CM2,historical,2014.00000000,7.91251326
