model,experiment,year,sfcWind
ACCESS-CM2,historical,1960.00000000,3.51860619
ACCESS-CM2,historical,1961.00000000,3.91572475
ACCESS-CM2,historical,1962.00000000,3.72571731
ACCESS-CM2,historical,1963.00000000,3.45245004
ACCESS-CM2,historical,1964.00000000,4.11607647
ACCESS-CM2,historical,1965.00000000,4.35711241
ACCESS-CM2,historical,1966.00000000,3.52369523
ACCESS-CM2,historical,1967.00000000,3.81002045
ACCESS-CM2,historical,1968.00000000,3.56582904
ACCESS-CM2,historical,1969.00000000,3.91513634
ACCESS-CM2,historical,1970.00000000,4.31807756
ACCESS-CM2,historical,1971.00000000,3.20948291
ACCESS-CM2,historical,1972.00000000,3.82632089
ACCESS-CM2,historical,1973.00000000,3.86376929
ACCESS-CM2,historical,1974.00000000,4.73080301
ACCESS-CM2,historical,1975.00000000,4.00061560
ACCESS-CM2,historical,1976.00000000,4.26144838
ACCESS-CM2,historical,1977.00000000,3.87444282
ACCESS-CM2,historical,1978.00000000,4.29586172
ACCESS-CM2,historical,1979.00000000,3.77409005
ACCESS-CM2,historical,1980.00000000,4.14183569
ACCESS-CM2,historical,1981.00000000,3.53560901
ACCESS-CM2,historical,1982.00000000,3.99280429
ACCESS-CM2,historical,1983.00000000,3.26775146
ACCESS-CM2,historical,1984.00000000,3.69062304
ACCESS-CM2,historical,1985.00000000,4.18277311
ACCESS-CM2,historical,1986.00000000,3.48994088
ACCESS-CM2,historical,1987.00000000,3.76971889
ACCESS-CM2,historical,1988.00000000,4.07425261
ACCESS-CM2,historical,1989.00000000,3.68698430
ACCESS-CM2,historical,1990.00000000,4.16354895
ACCESS-CM2,historical,1991.00000000,4.23376036
ACCESS-CM2,historical,1992.00000000,4.08626270
ACCESS-CM2,historical,1993.00000000,4.03938246
ACCESS-CM2,historical,1994.00000000,3.93023419
ACCESS-CM2,historical,1995.00000000,3.69573760
ACCESS-CM2,historical,1996.00000000,3.84365082
ACCESS-CM2,historical,1997.00000000,4.09469652
ACCESS-CM2,historical,1998.00000000,3.86382484
ACCESS-CM2,historical,1999.00000000,3.99281049
ACCESS-CM2,historical,2000.00000000,4.09266043
ACCESS-CM2,historical,2001.00000000,4.26878691
ACCESS-CM2,historical,2002.00000000,3.41921973
ACCESS-CM2,historical,2003.00000000,3.40008640
ACCESS-CM2,historical,2004.00000000,3.88973999
ACCESS-CM2,historical,2005.00000000,3.83307528
ACCESS-CM2,historical,2006.00000000,3.78943038
ACCESS-CM2,historical,2007.00000000,3.91861415
ACCESS-CM2,historical,2008.00000000,4.01883507
ACCESS-CM2,historical,2009.00000000,3.82860970
ACCESS-CM2,historical,2010.00000000,3.86844611
ACCESS-CM2,historical,2011.00000000,4.01100683
ACCESS-CM2,historical,2012.00000000,4.29220915
ACCESS-CM2,historical,2013.00000000,3.45430636
ACCESS-CM2,historical,2014.00000000,3.65888023
ACCESS-CM2,ssp126,2015.00000000,3.46641612
ACCESS-CM2,ssp126,2016.00000000,3.94208264
ACCESS-CM2,ssp126,2017.00000000,4.17960787
ACCESS-CM2,ssp126,2018.00000000,3.47774887
ACCESS-CM2,ssp126,2019.00000000,3.72391248
