model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,6.32976532
ACCESS-CM2,historical,1961,6.07994175
ACCESS-CM2,historical,1962,5.44767714
ACCESS-CM2,historical,1963,5.21608496
ACCESS-CM2,historical,1964,6.88342333
ACCESS-CM2,historical,1965,6.73307800
ACCESS-CM2,historical,1966,5.09839106
ACCESS-CM2,historical,1967,6.17441320
ACCESS-CM2,historical,1968,6.08573103
ACCESS-CM2,historical,1969,5.96855974
ACCESS-CM2,historical,1970,6.81820297
ACCESS-CM2,historical,1971,5.30427265
ACCESS-CM2,historical,1972,4.96936274
ACCESS-CM2,historical,1973,4.63755178
ACCESS-CM2,historical,1974,8.08654976
ACCESS-CM2,historical,1975,6.44124985
ACCESS-CM2,historical,1976,5.82901812
ACCESS-CM2,historical,1977,6.82145691
ACCESS-CM2,historical,1978,7.01079273
ACCESS-CM2,historical,1979,6.47812414
ACCESS-CM2,historical,1980,4.38939381
ACCESS-CM2,historical,1981,3.82584572
ACCESS-CM2,historical,1982,4.70068979
ACCESS-CM2,historical,1983,5.52411032
ACCESS-CM2,historical,1984,5.63622236
ACCESS-CM2,historical,1985,7.38883018
ACCESS-CM2,historical,1986,4.31263351
ACCESS-CM2,historical,1987,4.42009211
ACCESS-CM2,historical,1988,6.86623240
ACCESS-CM2,historical,1989,5.50628710
ACCESS-CM2,historical,1990,6.31742287
ACCESS-CM2,historical,1991,5.89987469
ACCESS-CM2,historical,1992,6.06645870
ACCESS-CM2,historical,1993,6.59606981
ACCESS-CM2,historical,1994,6.01532459
ACCESS-CM2,historical,1995,6.04456377
ACCESS-CM2,historical,1996,5.96255064
ACCESS-CM2,historical,1997,5.42489862
ACCESS-CM2,historical,1998,7.08872080
ACCESS-CM2,historical,1999,5.34033394
ACCESS-CM2,historical,2000,5.74755907
ACCESS-CM2,historical,2001,6.20678473
ACCESS-CM2,historical,2002,5.35590315
ACCESS-CM2,historical,2003,4.58927965
ACCESS-CM2,historical,2004,6.43081141
ACCESS-CM2,historical,2005,4.66556263
ACCESS-CM2,historical,2006,5.60965443
ACCESS-CM2,historical,2007,5.16105747
ACCESS-CM2,historical,2008,6.60748577
ACCESS-CM2,historical,2009,5.62497950
ACCESS-CM2,historical,2010,5.19319439
ACCESS-CM2,historical,2011,7.94384336
ACCESS-CM2,historical,2012,7.08971548
ACCESS-CM2,historical,2013,5.57303429
ACCESS-CM2,historical,2014,6.31603336
ACCESS-CM2,ssp126,2015,5.00822926
ACCESS-CM2,ssp126,2016,5.77171326
ACCESS-CM2,ssp126,2017,6.32391596
ACCESS-CM2,ssp126,2018,6.40941000
ACCESS-CM2,ssp126,2019,6.34649706
ACCESS-CM2,ssp126,2020,7.28724194
ACCESS-CM2,ssp126,2021,6.27132416
ACCESS-CM2,ssp126,2022,5.91045666
ACCESS-CM2,ssp126,2023,5.60544682
ACCESS-CM2,ssp126,2024,6.71939421
ACCESS-CM2,ssp126,2025,5.30136967
ACCESS-CM2,ssp126,2026,6.64790773
ACCESS-CM2,ssp126,2027,6.26882410
ACCESS-CM2,ssp126,2028,5.91127443
ACCESS-CM2,ssp126,2029,5.72212744
ACCESS-CM2,ssp126,2030,7.02660322
ACCESS-CM2,ssp126,2031,7.07659626
ACCESS-CM2,ssp126,2032,5.04547453
ACCESS-CM2,ssp126,2033,6.47544050
ACCESS-CM2,ssp126,2034,5.34674358
ACCESS-CM2,ssp126,2035,6.59340239
ACCESS-CM2,ssp126,2036,6.61838818
ACCESS-CM2,ssp126,2037,5.61957884
ACCESS-CM2,ssp126,2038,6.80717325
ACCESS-CM2,ssp126,2039,6.04205751
ACCESS-CM2,ssp126,2040,5.00968361
ACCESS-CM2,ssp126,2041,6.98719597
ACCESS-CM2,ssp126,2042,5.02800035
ACCESS-CM2,ssp126,2043,6.20152569
ACCESS-CM2,ssp126,2044,5.35333920
ACCESS-CM2,ssp126,2045,5.32767916
ACCESS-CM2,ssp126,2046,6.53244686
ACCESS-CM2,ssp126,2047,6.20429707
ACCESS-CM2,ssp126,2048,5.80222464
ACCESS-CM2,ssp126,2049,6.52980900
ACCESS-CM2,ssp126,2050,5.19365692
ACCESS-CM2,ssp126,2051,4.82678080
ACCESS-CM2,ssp126,2052,6.59962463
ACCESS-CM2,ssp126,2053,5.38041687
ACCESS-CM2,ssp126,2054,5.92784786
ACCESS-CM2,ssp126,2055,5.71690226
ACCESS-CM2,ssp126,2056,5.43761539
ACCESS-CM2,ssp126,2057,6.25719404
ACCESS-CM2,ssp126,2058,5.85650778
ACCESS-CM2,ssp126,2059,6.00965548
ACCESS-CM2,ssp126,2060,6.93478918
ACCESS-CM2,ssp126,2061,6.83002424
ACCESS-CM2,ssp126,2062,6.61026287
ACCESS-CM2,ssp126,2063,6.96345043
ACCESS-CM2,ssp126,2064,7.51331377
ACCESS-CM2,ssp126,2065,5.53699112
ACCESS-CM2,ssp126,2066,6.32022715
ACCESS-CM2,ssp126,2067,5.82547092
ACCESS-CM2,ssp126,2068,6.36243200
ACCESS-CM2,ssp126,2069,7.53823996
ACCESS-CM2,ssp126,2070,7.30788755
ACCESS-CM2,ssp126,2071,5.20254898
ACCESS-CM2,ssp126,2072,5.93981361
ACCESS-CM2,ssp126,2073,3.61919832
ACCESS-CM2,ssp126,2074,6.49147367
ACCESS-CM2,ssp126,2075,5.52664185
ACCESS-CM2,ssp126,2076,6.02833796
ACCESS-CM2,ssp126,2077,5.78961945
ACCESS-CM2,ssp126,2078,4.77948856
ACCESS-CM2,ssp126,2079,5.83465290
ACCESS-CM2,ssp126,2080,6.21585178
ACCESS-CM2,ssp126,2081,6.08480310
