model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,3.38453317
ACCESS-CM2,historical,1961,3.38016915
ACCESS-CM2,historical,1962,2.66090560
ACCESS-CM2,historical,1963,3.32651091
ACCESS-CM2,historical,1964,3.78167105
ACCESS-CM2,historical,1965,3.95953083
ACCESS-CM2,historical,1966,2.85869694
ACCESS-CM2,historical,1967,3.30763507
ACCESS-CM2,historical,1968,3.38348222
ACCESS-CM2,historical,1969,2.67782331
ACCESS-CM2,historical,1970,4.19541502
ACCESS-CM2,historical,1971,2.84009194
ACCESS-CM2,historical,1972,2.94624925
ACCESS-CM2,historical,1973,2.73424697
ACCESS-CM2,historical,1974,3.86647701
ACCESS-CM2,historical,1975,3.72994065
ACCESS-CM2,historical,1976,3.71875095
ACCESS-CM2,historical,1977,3.70220017
ACCESS-CM2,historical,1978,3.30727601
ACCESS-CM2,historical,1979,3.09245086
ACCESS-CM2,historical,1980,2.48408628
ACCESS-CM2,historical,1981,3.10908723
ACCESS-CM2,historical,1982,2.85573030
ACCESS-CM2,historical,1983,2.74215341
ACCESS-CM2,historical,1984,3.51571107
ACCESS-CM2,historical,1985,4.00304127
ACCESS-CM2,historical,1986,2.80504537
ACCESS-CM2,historical,1987,3.27401495
ACCESS-CM2,historical,1988,3.22368026
ACCESS-CM2,historical,1989,3.72339153
ACCESS-CM2,historical,1990,3.81557465
ACCESS-CM2,historical,1991,3.43784094
ACCESS-CM2,historical,1992,3.34060836
ACCESS-CM2,historical,1993,3.27008986
ACCESS-CM2,historical,1994,3.33718681
ACCESS-CM2,historical,1995,3.73166013
ACCESS-CM2,historical,1996,3.65530586
ACCESS-CM2,historical,1997,3.63963294
ACCESS-CM2,historical,1998,3.12186480
ACCESS-CM2,historical,1999,2.84706354
ACCESS-CM2,historical,2000,3.59866858
ACCESS-CM2,historical,2001,3.36900067
ACCESS-CM2,historical,2002,2.97574329
ACCESS-CM2,historical,2003,2.40357280
ACCESS-CM2,historical,2004,3.38302326
ACCESS-CM2,historical,2005,2.62919927
ACCESS-CM2,historical,2006,3.15593076
ACCESS-CM2,historical,2007,3.20529270
ACCESS-CM2,historical,2008,3.25102019
ACCESS-CM2,historical,2009,3.39566469
ACCESS-CM2,historical,2010,3.14534450
ACCESS-CM2,historical,2011,4.04374313
ACCESS-CM2,historical,2012,3.67886829
ACCESS-CM2,historical,2013,2.60531282
ACCESS-CM2,historical,2014,3.70485926
ACCESS-CM2,ssp126,2015,2.69768858
ACCESS-CM2,ssp126,2016,3.06177163
ACCESS-CM2,ssp126,2017,3.62117696
ACCESS-CM2,ssp126,2018,3.10800505
ACCESS-CM2,ssp126,2019,3.19959903
ACCESS-CM2,ssp126,2020,4.12462902
ACCESS-CM2,ssp126,2021,3.67696166
ACCESS-CM2,ssp126,2022,3.68322110
ACCESS-CM2,ssp126,2023,2.94348145
ACCESS-CM2,ssp126,2024,3.79797268
ACCESS-CM2,ssp126,2025,2.99384761
ACCESS-CM2,ssp126,2026,3.77463841
ACCESS-CM2,ssp126,2027,3.37922025
