model,experiment,year,sfcWind
ACCESS-CM2,historical,1960,3.72348905
ACCESS-CM2,historical,1961,3.80982828
ACCESS-CM2,historical,1962,3.49536824
ACCESS-CM2,historical,1963,3.56201053
ACCESS-CM2,historical,1964,4.44282341
ACCESS-CM2,historical,1965,4.52936268
ACCESS-CM2,historical,1966,3.46339893
ACCESS-CM2,historical,1967,3.92777920
ACCESS-CM2,historical,1968,3.84229946
ACCESS-CM2,historical,1969,3.76195836
ACCESS-CM2,historical,1970,4.77585030
ACCESS-CM2,historical,1971,3.26428151
ACCESS-CM2,historical,1972,3.32938814
ACCESS-CM2,historical,1973,3.22641587
ACCESS-CM2,historical,1974,4.76804495
ACCESS-CM2,historical,1975,4.42361116
ACCESS-CM2,historical,1976,4.22230959
ACCESS-CM2,historical,1977,4.06969452
ACCESS-CM2,historical,1978,4.28736210
ACCESS-CM2,historical,1979,3.62916827
ACCESS-CM2,historical,1980,2.91783452
ACCESS-CM2,historical,1981,3.21077633
ACCESS-CM2,historical,1982,3.21428156
ACCESS-CM2,historical,1983,3.36103415
ACCESS-CM2,historical,1984,4.08208561
ACCESS-CM2,historical,1985,4.54913807
ACCESS-CM2,historical,1986,3.01583743
ACCESS-CM2,historical,1987,3.39004397
ACCESS-CM2,historical,1988,3.85665226
ACCESS-CM2,historical,1989,3.88443041
ACCESS-CM2,historical,1990,4.13332796
ACCESS-CM2,historical,1991,3.89544630
ACCESS-CM2,historical,1992,3.92353296
ACCESS-CM2,historical,1993,4.22842932
ACCESS-CM2,historical,1994,3.96534133
ACCESS-CM2,historical,1995,4.05580091
ACCESS-CM2,historical,1996,4.01904011
ACCESS-CM2,historical,1997,4.20866585
ACCESS-CM2,historical,1998,3.85816121
ACCESS-CM2,historical,1999,3.26445484
ACCESS-CM2,historical,2000,4.02185917
ACCESS-CM2,historical,2001,3.97068429
ACCESS-CM2,historical,2002,3.83315921
ACCESS-CM2,historical,2003,2.81709361
ACCESS-CM2,historical,2004,3.80326939
ACCESS-CM2,historical,2005,3.07983494
ACCESS-CM2,historical,2006,3.50989079
ACCESS-CM2,historical,2007,3.68109202
ACCESS-CM2,historical,2008,4.13920116
ACCESS-CM2,historical,2009,3.86310053
ACCESS-CM2,historical,2010,3.60906124
ACCESS-CM2,historical,2011,4.60604572
ACCESS-CM2,historical,2012,4.47740221
