model,experiment,year,tas
ACCESS-CM2,historical,1960,287.24343872
ACCESS-CM2,historical,1961,287.77841187
ACCESS-CM2,historical,1962,287.83218384
ACCESS-CM2,historical,1963,287.77340698
ACCESS-CM2,historical,1964,287.27154541
ACCESS-CM2,historical,1965,287.61938477
ACCESS-CM2,historical,1966,286.96871948
ACCESS-CM2,historical,1967,287.13027954
ACCESS-CM2,historical,1968,287.61752319
ACCESS-CM2,historical,1969,287.44873047
ACCESS-CM2,historical,1970,287.83615112
ACCESS-CM2,historical,1971,288.04409790
ACCESS-CM2,historical,1972,287.05249023
ACCESS-CM2,historical,1973,287.71643066
ACCESS-CM2,historical,1974,287.49694824
ACCESS-CM2,historical,1975,287.52499390
ACCESS-CM2,historical,1976,287.85769653
ACCESS-CM2,historical,1977,287.24502563
ACCESS-CM2,historical,1978,288.01544189
ACCESS-CM2,historical,1979,287.57720947
ACCESS-CM2,historical,1980,288.04556274
ACCESS-CM2,historical,1981,288.07348633
ACCESS-CM2,historical,1982,287.76745605
ACCESS-CM2,historical,1983,287.42211914
ACCESS-CM2,historical,1984,287.69033813
ACCESS-CM2,historical,1985,287.61575317
ACCESS-CM2,historical,1986,287.57888794
ACCESS-CM2,historical,1987,288.21209717
ACCESS-CM2,historical,1988,288.64007568
ACCESS-CM2,historical,1989,288.27526855
ACCESS-CM2,historical,1990,288.43460083
ACCESS-CM2,historical,1991,288.02160645
ACCESS-CM2,historical,1992,287.21606445
ACCESS-CM2,historical,1993,288.37075806
ACCESS-CM2,historical,1994,288.32092285
ACCESS-CM2,historical,1995,288.01794434
ACCESS-CM2,historical,1996,288.04962158
ACCESS-CM2,historical,1997,287.81387329
ACCESS-CM2,historical,1998,287.97766113
ACCESS-CM2,historical,1999,287.49319458
ACCESS-CM2,historical,2000,287.62124634
ACCESS-CM2,historical,2001,287.91986084
ACCESS-CM2,historical,2002,287.75503540
ACCESS-CM2,historical,2003,288.31198120
ACCESS-CM2,historical,2004,288.64096069
ACCESS-CM2,historical,2005,288.72854614
ACCESS-CM2,historical,2006,287.71289062
ACCESS-CM2,historical,2007,288.20327759
ACCESS-CM2,historical,2008,287.46844482
ACCESS-CM2,historical,2009,288.57394409
ACCESS-CM2,historical,2010,288.33523560
ACCESS-CM2,historical,2011,288.36801147
ACCESS-CM2,historical,2012,288.17428589
ACCESS-CM2,historical,2013,288.68157959
ACCESS-CM2,historical,2014,288.44769287
ACCESS-CM2,ssp126,2015,288.41665649
ACCESS-CM2,ssp126,2016,288.64318848
ACCESS-CM2,ssp126,2017,288.46484375
ACCESS-CM2,ssp126,2018,289.01171875
ACCESS-CM2,ssp126,2019,289.15362549
ACCESS-CM2,ssp126,2020,289.28555298
