model,experiment,year,tas
ACCESS-CM2,historical,1960,281.23483276
ACCESS-CM2,historical,1961,281.75787354
ACCESS-CM2,historical,1962,281.73455811
ACCESS-CM2,historical,1963,281.23443604
ACCESS-CM2,historical,1964,280.69677734
ACCESS-CM2,historical,1965,281.32815552
ACCESS-CM2,historical,1966,280.78720093
ACCESS-CM2,historical,1967,281.05603027
ACCESS-CM2,historical,1968,281.50607300
ACCESS-CM2,historical,1969,281.30621338
ACCESS-CM2,historical,1970,281.38528442
ACCESS-CM2,historical,1971,281.41180420
ACCESS-CM2,historical,1972,280.47033691
ACCESS-CM2,historical,1973,281.38317871
ACCESS-CM2,historical,1974,281.29443359
ACCESS-CM2,historical,1975,281.04269409
ACCESS-CM2,historical,1976,281.43942261
ACCESS-CM2,historical,1977,281.53616333
ACCESS-CM2,historical,1978,281.58508301
ACCESS-CM2,historical,1979,281.63778687
ACCESS-CM2,historical,1980,281.60745239
ACCESS-CM2,historical,1981,281.78665161
ACCESS-CM2,historical,1982,281.10174561
ACCESS-CM2,historical,1983,281.29660034
ACCESS-CM2,historical,1984,281.19396973
ACCESS-CM2,historical,1985,281.57537842
ACCESS-CM2,historical,1986,281.06100464
ACCESS-CM2,historical,1987,281.69735718
ACCESS-CM2,historical,1988,282.20861816
ACCESS-CM2,historical,1989,282.11639404
ACCESS-CM2,historical,1990,282.19094849
ACCESS-CM2,historical,1991,281.63534546
ACCESS-CM2,historical,1992,280.89883423
ACCESS-CM2,historical,1993,282.74612427
ACCESS-CM2,historical,1994,281.58871460
ACCESS-CM2,historical,1995,281.71652222
ACCESS-CM2,historical,1996,281.56515503
ACCESS-CM2,historical,1997,281.84371948
ACCESS-CM2,historical,1998,281.44012451
ACCESS-CM2,historical,1999,281.46044922
ACCESS-CM2,historical,2000,281.48568726
ACCESS-CM2,historical,2001,281.43991089
ACCESS-CM2,historical,2002,281.76623535
ACCESS-CM2,historical,2003,282.46655273
ACCESS-CM2,historical,2004,282.36035156
ACCESS-CM2,historical,2005,282.38494873
ACCESS-CM2,historical,2006,282.04324341
ACCESS-CM2,historical,2007,282.07272339
ACCESS-CM2,historical,2008,281.23504639
ACCESS-CM2,historical,2009,281.85003662
ACCESS-CM2,historical,2010,281.67163086
ACCESS-CM2,historical,2011,281.95098877
ACCESS-CM2,historical,2012,281.50408936
ACCESS-CM2,historical,2013,282.61987305
ACCESS-CM2,historical,2014,282.16207886
ACCESS-CM2,ssp126,2015,281.80694580
ACCESS-CM2,ssp126,2016,282.19198608
ACCESS-CM2,ssp126,2017,281.98953247
ACCESS-CM2,ssp126,2018,282.58398438
ACCESS-CM2,ssp126,2019,282.86087036
ACCESS-CM2,ssp126,2020,283.01412964
ACCESS-CM2,ssp126,2021,282.62869263
ACCESS-CM2,ssp126,2022,282.59088135
ACCESS-CM2,ssp126,2023,282.86322021
ACCESS-CM2,ssp126,2024,282.30343628
ACCESS-CM2,ssp126,2025,282.56991577
ACCESS-CM2,ssp126,2026,282.10784912
ACCESS-CM2,ssp126,2027,282.40454102
ACCESS-CM2,ssp126,2028,282.73553467
ACCESS-CM2,ssp126,2029,282.50491333
ACCESS-CM2,ssp126,2030,282.75698853
ACCESS-CM2,ssp126,2031,282.18505859
ACCESS-CM2,ssp126,2032,282.22091675
ACCESS-CM2,ssp126,2033,282.21401978
ACCESS-CM2,ssp126,2034,282.27102661
ACCESS-CM2,ssp126,2035,282.33096313
ACCESS-CM2,ssp126,2036,282.73083496
ACCESS-CM2,ssp126,2037,282.49884033
ACCESS-CM2,ssp126,2038,283.16836548
ACCESS-CM2,ssp126,2039,282.88751221
ACCESS-CM2,ssp126,2040,282.45889282
ACCESS-CM2,ssp126,2041,282.10546875
ACCESS-CM2,ssp126,2042,282.68954468
ACCESS-CM2,ssp126,2043,283.56771851
ACCESS-CM2,ssp126,2044,283.30194092
ACCESS-CM2,ssp126,2045,282.60192871
ACCESS-CM2,ssp126,2046,282.36816406
ACCESS-CM2,ssp126,2047,283.75415039
ACCESS-CM2,ssp126,2048,282.93283081
ACCESS-CM2,ssp126,2049,283.00762939
ACCESS-CM2,ssp126,2050,282.17407227
ACCESS-CM2,ssp126,2051,283.33087158
ACCESS-CM2,ssp126,2052,283.21807861
ACCESS-CM2,ssp126,2053,283.43847656
ACCESS-CM2,ssp126,2054,283.30865479
ACCESS-CM2,ssp126,2055,283.52194214
ACCESS-CM2,ssp126,2056,284.01028442
ACCESS-CM2,ssp126,2057,282.90560913
