model,experiment,year,tas
ACCESS-CM2,historical,1960,282.79104614
ACCESS-CM2,historical,1961,283.26708984
ACCESS-CM2,historical,1962,283.29504395
ACCESS-CM2,historical,1963,283.04821777
ACCESS-CM2,historical,1964,282.54031372
ACCESS-CM2,historical,1965,282.93872070
ACCESS-CM2,historical,1966,282.48110962
ACCESS-CM2,historical,1967,282.73953247
ACCESS-CM2,historical,1968,283.05331421
ACCESS-CM2,historical,1969,282.84350586
ACCESS-CM2,historical,1970,283.11471558
ACCESS-CM2,historical,1971,283.17614746
ACCESS-CM2,historical,1972,282.30801392
ACCESS-CM2,historical,1973,283.13778687
ACCESS-CM2,historical,1974,282.91101074
ACCESS-CM2,historical,1975,282.69326782
ACCESS-CM2,historical,1976,283.14437866
ACCESS-CM2,historical,1977,283.02749634
ACCESS-CM2,historical,1978,283.33279419
ACCESS-CM2,historical,1979,283.20523071
ACCESS-CM2,historical,1980,283.27841187
ACCESS-CM2,historical,1981,283.50161743
ACCESS-CM2,historical,1982,282.85644531
ACCESS-CM2,historical,1983,282.97741699
ACCESS-CM2,historical,1984,283.05917358
ACCESS-CM2,historical,1985,283.14331055
ACCESS-CM2,historical,1986,282.93643188
ACCESS-CM2,historical,1987,283.51693726
ACCESS-CM2,historical,1988,283.81832886
ACCESS-CM2,historical,1989,283.70819092
ACCESS-CM2,historical,1990,283.82614136
ACCESS-CM2,historical,1991,283.30090332
ACCESS-CM2,historical,1992,282.61566162
ACCESS-CM2,historical,1993,284.11334229
ACCESS-CM2,historical,1994,283.50363159
ACCESS-CM2,historical,1995,283.55334473
ACCESS-CM2,historical,1996,283.37322998
ACCESS-CM2,historical,1997,283.48904419
ACCESS-CM2,historical,1998,283.24948120
ACCESS-CM2,historical,1999,283.11233521
ACCESS-CM2,historical,2000,283.09808350
ACCESS-CM2,historical,2001,283.16091919
ACCESS-CM2,historical,2002,283.32113647
ACCESS-CM2,historical,2003,283.88900757
ACCESS-CM2,historical,2004,284.00891113
ACCESS-CM2,historical,2005,284.07299805
ACCESS-CM2,historical,2006,283.41479492
ACCESS-CM2,historical,2007,283.62457275
ACCESS-CM2,historical,2008,282.91696167
ACCESS-CM2,historical,2009,283.60458374
ACCESS-CM2,historical,2010,283.44586182
ACCESS-CM2,historical,2011,283.70703125
ACCESS-CM2,historical,2012,283.36135864
ACCESS-CM2,historical,2013,284.12820435
ACCESS-CM2,historical,2014,283.82162476
ACCESS-CM2,ssp126,2015,283.63296509
ACCESS-CM2,ssp126,2016,283.87280273
ACCESS-CM2,ssp126,2017,283.75534058
ACCESS-CM2,ssp126,2018,284.31842041
ACCESS-CM2,ssp126,2019,284.53448486
ACCESS-CM2,ssp126,2020,284.64242554
ACCESS-CM2,ssp126,2021,284.24694824
ACCESS-CM2,ssp126,2022,284.29876709
ACCESS-CM2,ssp126,2023,284.38925171
ACCESS-CM2,ssp126,2024,283.75051880
ACCESS-CM2,ssp126,2025,284.29898071
ACCESS-CM2,ssp126,2026,283.76119995
ACCESS-CM2,ssp126,2027,284.10934448
ACCESS-CM2,ssp126,2028,284.63650513
ACCESS-CM2,ssp126,2029,284.34320068
ACCESS-CM2,ssp126,2030,284.44555664
ACCESS-CM2,ssp126,2031,283.88330078
ACCESS-CM2,ssp126,2032,284.03796387
ACCESS-CM2,ssp126,2033,283.97994995
ACCESS-CM2,ssp126,2034,284.00012207
ACCESS-CM2,ssp126,2035,284.03466797
ACCESS-CM2,ssp126,2036,284.34851074
ACCESS-CM2,ssp126,2037,284.05230713
ACCESS-CM2,ssp126,2038,284.69473267
ACCESS-CM2,ssp126,2039,284.62368774
ACCESS-CM2,ssp126,2040,284.14617920
ACCESS-CM2,ssp126,2041,283.87960815
ACCESS-CM2,ssp126,2042,284.38262939
ACCESS-CM2,ssp126,2043,285.08023071
ACCESS-CM2,ssp126,2044,284.83612061
ACCESS-CM2,ssp126,2045,284.28076172
ACCESS-CM2,ssp126,2046,283.99533081
ACCESS-CM2,ssp126,2047,285.27706909
ACCESS-CM2,ssp126,2048,284.47915649
ACCESS-CM2,ssp126,2049,284.76974487
ACCESS-CM2,ssp126,2050,283.97048950
ACCESS-CM2,ssp126,2051,284.87329102
ACCESS-CM2,ssp126,2052,285.01727295
ACCESS-CM2,ssp126,2053,285.17752075
ACCESS-CM2,ssp126,2054,284.86126709
ACCESS-CM2,ssp126,2055,285.41836548
ACCESS-CM2,ssp126,2056,285.64456177
ACCESS-CM2,ssp126,2057,284.65158081
ACCESS-CM2,ssp126,2058,284.68646240
ACCESS-CM2,ssp126,2059,285.34240723
ACCESS-CM2,ssp126,2060,285.28421021
ACCESS-CM2,ssp126,2061,284.88546753
ACCESS-CM2,ssp126,2062,284.59851074
ACCESS-CM2,ssp126,2063,284.75204468
ACCESS-CM2,ssp126,2064,285.13470459
ACCESS-CM2,ssp126,2065,285.31555176
ACCESS-CM2,ssp126,2066,284.95941162
ACCESS-CM2,ssp126,2067,284.92318726
ACCESS-CM2,ssp126,2068,284.89752197
ACCESS-CM2,ssp126,2069,285.59942627
ACCESS-CM2,ssp126,2070,284.97686768
ACCESS-CM2,ssp126,2071,285.29760742
ACCESS-CM2,ssp126,2072,285.08312988
ACCESS-CM2,ssp126,2073,285.09194946
ACCESS-CM2,ssp126,2074,285.04690552
ACCESS-CM2,ssp126,2075,285.24716187
ACCESS-CM2,ssp126,2076,285.34866333
ACCESS-CM2,ssp126,2077,285.22979736
ACCESS-CM2,ssp126,2078,284.87969971
ACCESS-CM2,ssp126,2079,284.87329102
ACCESS-CM2,ssp126,2080,285.31884766
ACCESS-CM2,ssp126,2081,285.05859375
ACCESS-CM2,ssp126,2082,284.66412354
ACCESS-CM2,ssp126,2083,284.54388428
ACCESS-CM2,ssp126,2084,284.15405273
ACCESS-CM2,ssp126,2085,285.10333252
ACCESS-CM2,ssp126,2086,285.59484863
ACCESS-CM2,ssp126,2087,284.74923706
ACCESS-CM2,ssp126,2088,284.79296875
ACCESS-CM2,ssp126,2089,285.65548706
ACCESS-CM2,ssp126,2090,285.00878906
ACCESS-CM2,ssp126,2091,284.84472656
ACCESS-CM2,ssp126,2092,285.04675293
ACCESS-CM2,ssp126,2093,284.93817139
ACCESS-CM2,ssp126,2094,285.22021484
ACCESS-CM2,ssp126,2095,284.34927368
ACCESS-CM2,ssp126,2096,284.99386597
ACCESS-CM2,ssp126,2097,285.35073853
ACCESS-CM2,ssp126,2098,285.05087280
ACCESS-CM2,ssp126,2099,285.05545044
ACCESS-CM2,ssp245,2015,283.99975586
ACCESS-CM2,ssp245,2016,283.11227417
ACCESS-CM2,ssp245,2017,283.71920776
