model,experiment,year,tas
ACCESS-CM2,historical,1960,281.69046021
ACCESS-CM2,historical,1961,282.18133545
ACCESS-CM2,historical,1962,282.19036865
ACCESS-CM2,historical,1963,282.00805664
ACCESS-CM2,historical,1964,281.44216919
ACCESS-CM2,historical,1965,281.80346680
ACCESS-CM2,historical,1966,281.40411377
ACCESS-CM2,historical,1967,281.79687500
ACCESS-CM2,historical,1968,281.96090698
ACCESS-CM2,historical,1969,281.86047363
ACCESS-CM2,historical,1970,282.09219360
ACCESS-CM2,historical,1971,282.04113770
ACCESS-CM2,historical,1972,281.28158569
ACCESS-CM2,historical,1973,281.99859619
ACCESS-CM2,historical,1974,281.80444336
ACCESS-CM2,historical,1975,281.60910034
ACCESS-CM2,historical,1976,281.98886108
ACCESS-CM2,historical,1977,282.01925659
ACCESS-CM2,historical,1978,282.24795532
ACCESS-CM2,historical,1979,282.12738037
ACCESS-CM2,historical,1980,282.17413330
ACCESS-CM2,historical,1981,282.41839600
ACCESS-CM2,historical,1982,281.73104858
ACCESS-CM2,historical,1983,282.00970459
ACCESS-CM2,historical,1984,282.06588745
ACCESS-CM2,historical,1985,282.14657593
ACCESS-CM2,historical,1986,281.93652344
ACCESS-CM2,historical,1987,282.40615845
ACCESS-CM2,historical,1988,282.84930420
ACCESS-CM2,historical,1989,282.68093872
ACCESS-CM2,historical,1990,282.77383423
ACCESS-CM2,historical,1991,282.27444458
ACCESS-CM2,historical,1992,281.61773682
ACCESS-CM2,historical,1993,283.08258057
ACCESS-CM2,historical,1994,282.50253296
ACCESS-CM2,historical,1995,282.59457397
ACCESS-CM2,historical,1996,282.39541626
ACCESS-CM2,historical,1997,282.57601929
ACCESS-CM2,historical,1998,282.31381226
ACCESS-CM2,historical,1999,282.04721069
ACCESS-CM2,historical,2000,282.00296021
ACCESS-CM2,historical,2001,282.10992432
ACCESS-CM2,historical,2002,282.27539062
ACCESS-CM2,historical,2003,282.81863403
ACCESS-CM2,historical,2004,282.92196655
ACCESS-CM2,historical,2005,283.15930176
ACCESS-CM2,historical,2006,282.35928345
ACCESS-CM2,historical,2007,282.58682251
ACCESS-CM2,historical,2008,281.87527466
ACCESS-CM2,historical,2009,282.51074219
ACCESS-CM2,historical,2010,282.44018555
ACCESS-CM2,historical,2011,282.72845459
ACCESS-CM2,historical,2012,282.30239868
ACCESS-CM2,historical,2013,283.04397583
ACCESS-CM2,historical,2014,282.77117920
ACCESS-CM2,ssp126,2015,282.70123291
ACCESS-CM2,ssp126,2016,282.86669922
ACCESS-CM2,ssp126,2017,282.79324341
ACCESS-CM2,ssp126,2018,283.34216309
ACCESS-CM2,ssp126,2019,283.52691650
ACCESS-CM2,ssp126,2020,283.59451294
ACCESS-CM2,ssp126,2021,283.31976318
ACCESS-CM2,ssp126,2022,283.34301758
ACCESS-CM2,ssp126,2023,283.35217285
ACCESS-CM2,ssp126,2024,282.72821045
ACCESS-CM2,ssp126,2025,283.24771118
ACCESS-CM2,ssp126,2026,282.70864868
ACCESS-CM2,ssp126,2027,283.08493042
ACCESS-CM2,ssp126,2028,283.63027954
ACCESS-CM2,ssp126,2029,283.32186890
ACCESS-CM2,ssp126,2030,283.49438477
ACCESS-CM2,ssp126,2031,282.86392212
ACCESS-CM2,ssp126,2032,283.06613159
ACCESS-CM2,ssp126,2033,283.04214478
ACCESS-CM2,ssp126,2034,282.96142578
ACCESS-CM2,ssp126,2035,283.03204346
ACCESS-CM2,ssp126,2036,283.37503052
ACCESS-CM2,ssp126,2037,283.13912964
ACCESS-CM2,ssp126,2038,283.67163086
ACCESS-CM2,ssp126,2039,283.67248535
ACCESS-CM2,ssp126,2040,283.04293823
ACCESS-CM2,ssp126,2041,282.82070923
ACCESS-CM2,ssp126,2042,283.38232422
ACCESS-CM2,ssp126,2043,284.13754272
ACCESS-CM2,ssp126,2044,283.78308105
ACCESS-CM2,ssp126,2045,283.32125854
ACCESS-CM2,ssp126,2046,282.93475342
ACCESS-CM2,ssp126,2047,284.24996948
ACCESS-CM2,ssp126,2048,283.41790771
ACCESS-CM2,ssp126,2049,283.76437378
ACCESS-CM2,ssp126,2050,282.98742676
ACCESS-CM2,ssp126,2051,283.89007568
ACCESS-CM2,ssp126,2052,284.16604614
ACCESS-CM2,ssp126,2053,284.29190063
ACCESS-CM2,ssp126,2054,283.99179077
ACCESS-CM2,ssp126,2055,284.51101685
ACCESS-CM2,ssp126,2056,284.67575073
ACCESS-CM2,ssp126,2057,283.65679932
ACCESS-CM2,ssp126,2058,283.69247437
ACCESS-CM2,ssp126,2059,284.35073853
ACCESS-CM2,ssp126,2060,284.16799927
ACCESS-CM2,ssp126,2061,283.91519165
ACCESS-CM2,ssp126,2062,283.54522705
ACCESS-CM2,ssp126,2063,283.70278931
ACCESS-CM2,ssp126,2064,284.23681641
ACCESS-CM2,ssp126,2065,284.32943726
ACCESS-CM2,ssp126,2066,284.00402832
ACCESS-CM2,ssp126,2067,283.96633911
ACCESS-CM2,ssp126,2068,283.94848633
ACCESS-CM2,ssp126,2069,284.60852051
ACCESS-CM2,ssp126,2070,283.95300293
ACCESS-CM2,ssp126,2071,284.26913452
ACCESS-CM2,ssp126,2072,284.13061523
ACCESS-CM2,ssp126,2073,284.05221558
ACCESS-CM2,ssp126,2074,284.01080322
ACCESS-CM2,ssp126,2075,284.16134644
ACCESS-CM2,ssp126,2076,284.30764771
ACCESS-CM2,ssp126,2077,284.31771851
ACCESS-CM2,ssp126,2078,283.86798096
ACCESS-CM2,ssp126,2079,283.93896484
ACCESS-CM2,ssp126,2080,284.29067993
ACCESS-CM2,ssp126,2081,283.95867920
ACCESS-CM2,ssp126,2082,283.72595215
ACCESS-CM2,ssp126,2083,283.55944824
ACCESS-CM2,ssp126,2084,283.17453003
ACCESS-CM2,ssp126,2085,284.04211426
ACCESS-CM2,ssp126,2086,284.57504272
ACCESS-CM2,ssp126,2087,283.72842407
ACCESS-CM2,ssp126,2088,283.67248535
ACCESS-CM2,ssp126,2089,284.71878052
ACCESS-CM2,ssp126,2090,284.02041626
ACCESS-CM2,ssp126,2091,283.91094971
ACCESS-CM2,ssp126,2092,284.13140869
ACCESS-CM2,ssp126,2093,283.93029785
ACCESS-CM2,ssp126,2094,284.30313110
ACCESS-CM2,ssp126,2095,283.42907715
ACCESS-CM2,ssp126,2096,283.96755981
ACCESS-CM2,ssp126,2097,284.40341187
ACCESS-CM2,ssp126,2098,284.09759521
ACCESS-CM2,ssp126,2099,284.05227661
ACCESS-CM2,ssp245,2015,282.88760376
ACCESS-CM2,ssp245,2016,282.06414795
ACCESS-CM2,ssp245,2017,282.72229004
ACCESS-CM2,ssp245,2018,282.65359497
ACCESS-CM2,ssp245,2019,282.53781128
ACCESS-CM2,ssp245,2020,283.30371094
ACCESS-CM2,ssp245,2021,283.66546631
ACCESS-CM2,ssp245,2022,283.14688110
ACCESS-CM2,ssp245,2023,282.90579224
ACCESS-CM2,ssp245,2024,283.02825928
ACCESS-CM2,ssp245,2025,283.11242676
ACCESS-CM2,ssp245,2026,282.87918091
ACCESS-CM2,ssp245,2027,283.23309326
ACCESS-CM2,ssp245,2028,283.41854858
ACCESS-CM2,ssp245,2029,282.90753174
ACCESS-CM2,ssp245,2030,283.48449707
ACCESS-CM2,ssp245,2031,283.22055054
ACCESS-CM2,ssp245,2032,283.83142090
ACCESS-CM2,ssp245,2033,283.57894897
ACCESS-CM2,ssp245,2034,284.04074097
ACCESS-CM2,ssp245,2035,283.52102661
ACCESS-CM2,ssp245,2036,283.73840332
ACCESS-CM2,ssp245,2037,284.10202026
ACCESS-CM2,ssp245,2038,283.65414429
ACCESS-CM2,ssp245,2039,284.34860229
ACCESS-CM2,ssp245,2040,283.83206177
ACCESS-CM2,ssp245,2041,283.70922852
ACCESS-CM2,ssp245,2042,283.65866089
ACCESS-CM2,ssp245,2043,284.14700317
ACCESS-CM2,ssp245,2044,283.38314819
ACCESS-CM2,ssp245,2045,283.63220215
ACCESS-CM2,ssp245,2046,284.53460693
ACCESS-CM2,ssp245,2047,284.49667358
ACCESS-CM2,ssp245,2048,284.14761353
ACCESS-CM2,ssp245,2049,283.86257935
ACCESS-CM2,ssp245,2050,284.46261597
ACCESS-CM2,ssp245,2051,284.04577637
ACCESS-CM2,ssp245,2052,284.10260010
ACCESS-CM2,ssp245,2053,284.58190918
ACCESS-CM2,ssp245,2054,284.25952148
ACCESS-CM2,ssp245,2055,284.87762451
ACCESS-CM2,ssp245,2056,284.54653931
ACCESS-CM2,ssp245,2057,284.54174805
ACCESS-CM2,ssp245,2058,284.86129761
ACCESS-CM2,ssp245,2059,285.15924072
ACCESS-CM2,ssp245,2060,284.49731445
ACCESS-CM2,ssp245,2061,284.66073608
ACCESS-CM2,ssp245,2062,284.43194580
ACCESS-CM2,ssp245,2063,284.67791748
ACCESS-CM2,ssp245,2064,284.52511597
ACCESS-CM2,ssp245,2065,284.74237061
ACCESS-CM2,ssp245,2066,284.79879761
ACCESS-CM2,ssp245,2067,284.92776489
ACCESS-CM2,ssp245,2068,285.23352051
ACCESS-CM2,ssp245,2069,285.21548462
ACCESS-CM2,ssp245,2070,284.94503784
ACCESS-CM2,ssp245,2071,285.16790771
ACCESS-CM2,ssp245,2072,285.11621094
ACCESS-CM2,ssp245,2073,285.41201782
ACCESS-CM2,ssp245,2074,285.24996948
ACCESS-CM2,ssp245,2075,284.74780273
ACCESS-CM2,ssp245,2076,284.91616821
ACCESS-CM2,ssp245,2077,285.14337158
ACCESS-CM2,ssp245,2078,285.43887329
ACCESS-CM2,ssp245,2079,285.13031006
ACCESS-CM2,ssp245,2080,285.78814697
ACCESS-CM2,ssp245,2081,284.73574829
ACCESS-CM2,ssp245,2082,284.41445923
ACCESS-CM2,ssp245,2083,285.19290161
ACCESS-CM2,ssp245,2084,284.87808228
ACCESS-CM2,ssp245,2085,284.82064819
ACCESS-CM2,ssp245,2086,284.85449219
ACCESS-CM2,ssp245,2087,285.37872314
ACCESS-CM2,ssp245,2088,285.26831055
ACCESS-CM2,ssp245,2089,285.25067139
ACCESS-CM2,ssp245,2090,285.72515869
ACCESS-CM2,ssp245,2091,285.48712158
ACCESS-CM2,ssp245,2092,285.69342041
ACCESS-CM2,ssp245,2093,285.34027100
ACCESS-CM2,ssp245,2094,285.27459717
ACCESS-CM2,ssp245,2095,285.89819336
ACCESS-CM2,ssp245,2096,285.75906372
ACCESS-CM2,ssp245,2097,285.16049194
ACCESS-CM2,ssp245,2098,285.84841919
ACCESS-CM2,ssp245,2099,286.20437622
