model,experiment,year,tas
ACCESS-CM2,historical,1960,278.09005737
ACCESS-CM2,historical,1961,277.69845581
ACCESS-CM2,historical,1962,279.56851196
ACCESS-CM2,historical,1963,278.48272705
ACCESS-CM2,historical,1964,277.52630615
ACCESS-CM2,historical,1965,277.98962402
ACCESS-CM2,historical,1966,277.37487793
ACCESS-CM2,historical,1967,277.70684814
ACCESS-CM2,historical,1968,278.82846069
ACCESS-CM2,historical,1969,278.07095337
ACCESS-CM2,historical,1970,278.89080811
ACCESS-CM2,historical,1971,277.62960815
ACCESS-CM2,historical,1972,276.52261353
ACCESS-CM2,historical,1973,277.70462036
ACCESS-CM2,historical,1974,277.20709229
ACCESS-CM2,historical,1975,276.84338379
ACCESS-CM2,historical,1976,278.18902588
ACCESS-CM2,historical,1977,277.65597534
ACCESS-CM2,historical,1978,278.54504395
ACCESS-CM2,historical,1979,277.31600952
ACCESS-CM2,historical,1980,277.59231567
ACCESS-CM2,historical,1981,278.87777710
ACCESS-CM2,historical,1982,276.58795166
ACCESS-CM2,historical,1983,277.73995972
ACCESS-CM2,historical,1984,277.53292847
ACCESS-CM2,historical,1985,278.29547119
ACCESS-CM2,historical,1986,276.98660278
ACCESS-CM2,historical,1987,277.71813965
ACCESS-CM2,historical,1988,278.14459229
ACCESS-CM2,historical,1989,278.66281128
ACCESS-CM2,historical,1990,279.27096558
ACCESS-CM2,historical,1991,277.56469727
ACCESS-CM2,historical,1992,277.38223267
ACCESS-CM2,historical,1993,278.55822754
ACCESS-CM2,historical,1994,278.26406860
ACCESS-CM2,historical,1995,278.23355103
ACCESS-CM2,historical,1996,278.62356567
ACCESS-CM2,historical,1997,278.45397949
ACCESS-CM2,historical,1998,277.44015503
ACCESS-CM2,historical,1999,278.65795898
ACCESS-CM2,historical,2000,278.80352783
ACCESS-CM2,historical,2001,278.51602173
ACCESS-CM2,historical,2002,278.44549561
ACCESS-CM2,historical,2003,278.10742188
ACCESS-CM2,historical,2004,279.51162720
ACCESS-CM2,historical,2005,278.37951660
ACCESS-CM2,historical,2006,278.03308105
ACCESS-CM2,historical,2007,278.42752075
ACCESS-CM2,historical,2008,277.61349487
ACCESS-CM2,historical,2009,278.92391968
ACCESS-CM2,historical,2010,278.07690430
ACCESS-CM2,historical,2011,277.45275879
ACCESS-CM2,historical,2012,278.51565552
ACCESS-CM2,historical,2013,278.98580933
ACCESS-CM2,historical,2014,278.41720581
ACCESS-CM2,ssp126,2015,278.25424194
ACCESS-CM2,ssp126,2016,277.38418579
ACCESS-CM2,ssp126,2017,278.02877808
ACCESS-CM2,ssp126,2018,279.64233398
ACCESS-CM2,ssp126,2019,278.85739136
ACCESS-CM2,ssp126,2020,279.43688965
ACCESS-CM2,ssp126,2021,279.90045166
ACCESS-CM2,ssp126,2022,278.14175415
ACCESS-CM2,ssp126,2023,279.00735474
ACCESS-CM2,ssp126,2024,279.23257446
ACCESS-CM2,ssp126,2025,279.30279541
ACCESS-CM2,ssp126,2026,278.80267334
ACCESS-CM2,ssp126,2027,278.66973877
ACCESS-CM2,ssp126,2028,278.51034546
ACCESS-CM2,ssp126,2029,279.01794434
ACCESS-CM2,ssp126,2030,279.41735840
ACCESS-CM2,ssp126,2031,279.48373413
ACCESS-CM2,ssp126,2032,279.35073853
ACCESS-CM2,ssp126,2033,278.49194336
ACCESS-CM2,ssp126,2034,279.00466919
ACCESS-CM2,ssp126,2035,278.56393433
ACCESS-CM2,ssp126,2036,278.94720459
ACCESS-CM2,ssp126,2037,278.51296997
ACCESS-CM2,ssp126,2038,278.56793213
ACCESS-CM2,ssp126,2039,278.27648926
ACCESS-CM2,ssp126,2040,279.53439331
ACCESS-CM2,ssp126,2041,278.13833618
ACCESS-CM2,ssp126,2042,279.05715942
ACCESS-CM2,ssp126,2043,278.74615479
ACCESS-CM2,ssp126,2044,279.36831665
ACCESS-CM2,ssp126,2045,278.47201538
ACCESS-CM2,ssp126,2046,279.50170898
ACCESS-CM2,ssp126,2047,280.10415649
ACCESS-CM2,ssp126,2048,279.01782227
ACCESS-CM2,ssp126,2049,278.77398682
ACCESS-CM2,ssp126,2050,277.65332031
ACCESS-CM2,ssp126,2051,279.74914551
ACCESS-CM2,ssp126,2052,279.59854126
ACCESS-CM2,ssp126,2053,280.11718750
ACCESS-CM2,ssp126,2054,278.89193726
ACCESS-CM2,ssp126,2055,279.96762085
ACCESS-CM2,ssp126,2056,279.88958740
ACCESS-CM2,ssp126,2057,279.87103271
ACCESS-CM2,ssp126,2058,278.94006348
ACCESS-CM2,ssp126,2059,278.82418823
ACCESS-CM2,ssp126,2060,279.86141968
ACCESS-CM2,ssp126,2061,279.31774902
ACCESS-CM2,ssp126,2062,279.55957031
ACCESS-CM2,ssp126,2063,279.51354980
ACCESS-CM2,ssp126,2064,280.20651245
ACCESS-CM2,ssp126,2065,279.64334106
ACCESS-CM2,ssp126,2066,279.96328735
ACCESS-CM2,ssp126,2067,279.30926514
ACCESS-CM2,ssp126,2068,280.69979858
ACCESS-CM2,ssp126,2069,279.78744507
ACCESS-CM2,ssp126,2070,279.11248779
ACCESS-CM2,ssp126,2071,279.39358521
ACCESS-CM2,ssp126,2072,279.74880981
ACCESS-CM2,ssp126,2073,279.26950073
ACCESS-CM2,ssp126,2074,278.84906006
ACCESS-CM2,ssp126,2075,278.99508667
ACCESS-CM2,ssp126,2076,279.32693481
ACCESS-CM2,ssp126,2077,279.73541260
ACCESS-CM2,ssp126,2078,279.79858398
ACCESS-CM2,ssp126,2079,278.56576538
ACCESS-CM2,ssp126,2080,279.49029541
ACCESS-CM2,ssp126,2081,279.18099976
ACCESS-CM2,ssp126,2082,279.25256348
ACCESS-CM2,ssp126,2083,279.49188232
ACCESS-CM2,ssp126,2084,279.69931030
ACCESS-CM2,ssp126,2085,279.19451904
ACCESS-CM2,ssp126,2086,280.10437012
ACCESS-CM2,ssp126,2087,278.94534302
ACCESS-CM2,ssp126,2088,279.11090088
ACCESS-CM2,ssp126,2089,280.57376099
ACCESS-CM2,ssp126,2090,279.66427612
ACCESS-CM2,ssp126,2091,279.28463745
ACCESS-CM2,ssp126,2092,280.96722412
ACCESS-CM2,ssp126,2093,279.44760132
ACCESS-CM2,ssp126,2094,280.72448730
ACCESS-CM2,ssp126,2095,279.48355103
ACCESS-CM2,ssp126,2096,280.17437744
ACCESS-CM2,ssp126,2097,280.59530640
ACCESS-CM2,ssp126,2098,278.64807129
ACCESS-CM2,ssp126,2099,279.51199341
ACCESS-CM2,ssp245,2015,278.10256958
ACCESS-CM2,ssp245,2016,278.62979126
ACCESS-CM2,ssp245,2017,279.00991821
ACCESS-CM2,ssp245,2018,277.92062378
ACCESS-CM2,ssp245,2019,279.31896973
ACCESS-CM2,ssp245,2020,277.88574219
ACCESS-CM2,ssp245,2021,279.12927246
ACCESS-CM2,ssp245,2022,278.91638184
ACCESS-CM2,ssp245,2023,278.54678345
ACCESS-CM2,ssp245,2024,278.92755127
ACCESS-CM2,ssp245,2025,279.03683472
ACCESS-CM2,ssp245,2026,278.71063232
ACCESS-CM2,ssp245,2027,278.14511108
ACCESS-CM2,ssp245,2028,279.66360474
ACCESS-CM2,ssp245,2029,278.60095215
ACCESS-CM2,ssp245,2030,280.56057739
ACCESS-CM2,ssp245,2031,279.64395142
ACCESS-CM2,ssp245,2032,280.20437622
