model,experiment,year,tas
ACCESS-CM2,historical,1960,291.11392212
ACCESS-CM2,historical,1961,290.79583740
ACCESS-CM2,historical,1962,291.47076416
ACCESS-CM2,historical,1963,291.76507568
ACCESS-CM2,historical,1964,289.37106323
ACCESS-CM2,historical,1965,291.57598877
ACCESS-CM2,historical,1966,290.28289795
ACCESS-CM2,historical,1967,290.72305298
ACCESS-CM2,historical,1968,291.75027466
ACCESS-CM2,historical,1969,290.23626709
ACCESS-CM2,historical,1970,291.09429932
ACCESS-CM2,historical,1971,291.64562988
ACCESS-CM2,historical,1972,290.69223022
ACCESS-CM2,historical,1973,291.43286133
ACCESS-CM2,historical,1974,291.14630127
ACCESS-CM2,historical,1975,290.89801025
ACCESS-CM2,historical,1976,291.49368286
ACCESS-CM2,historical,1977,291.03198242
ACCESS-CM2,historical,1978,291.63562012
ACCESS-CM2,historical,1979,290.12170410
ACCESS-CM2,historical,1980,292.32449341
ACCESS-CM2,historical,1981,291.30407715
ACCESS-CM2,historical,1982,291.11120605
ACCESS-CM2,historical,1983,290.60516357
ACCESS-CM2,historical,1984,290.98464966
ACCESS-CM2,historical,1985,291.47515869
ACCESS-CM2,historical,1986,290.43447876
ACCESS-CM2,historical,1987,292.72750854
ACCESS-CM2,historical,1988,292.47320557
ACCESS-CM2,historical,1989,291.97418213
ACCESS-CM2,historical,1990,292.95309448
ACCESS-CM2,historical,1991,292.40521240
ACCESS-CM2,historical,1992,290.61358643
ACCESS-CM2,historical,1993,292.08895874
ACCESS-CM2,historical,1994,293.44281006
ACCESS-CM2,historical,1995,290.66131592
ACCESS-CM2,historical,1996,292.71337891
ACCESS-CM2,historical,1997,291.36038208
ACCESS-CM2,historical,1998,293.46362305
ACCESS-CM2,historical,1999,290.85043335
ACCESS-CM2,historical,2000,290.35052490
ACCESS-CM2,historical,2001,291.98193359
ACCESS-CM2,historical,2002,290.96871948
ACCESS-CM2,historical,2003,292.50820923
ACCESS-CM2,historical,2004,291.95294189
ACCESS-CM2,historical,2005,292.91760254
ACCESS-CM2,historical,2006,290.69308472
ACCESS-CM2,historical,2007,292.62075806
ACCESS-CM2,historical,2008,291.41101074
ACCESS-CM2,historical,2009,291.31762695
ACCESS-CM2,historical,2010,292.33023071
