model,experiment,year,tas
ACCESS-CM2,historical,1960,286.86132812
ACCESS-CM2,historical,1961,287.01452637
ACCESS-CM2,historical,1962,287.31259155
ACCESS-CM2,historical,1963,287.67108154
ACCESS-CM2,historical,1964,285.59341431
ACCESS-CM2,historical,1965,288.12435913
ACCESS-CM2,historical,1966,286.32391357
ACCESS-CM2,historical,1967,287.09085083
ACCESS-CM2,historical,1968,287.71649170
ACCESS-CM2,historical,1969,286.45642090
ACCESS-CM2,historical,1970,287.16659546
ACCESS-CM2,historical,1971,287.26528931
ACCESS-CM2,historical,1972,286.40780640
ACCESS-CM2,historical,1973,287.42785645
ACCESS-CM2,historical,1974,287.41448975
ACCESS-CM2,historical,1975,286.97668457
ACCESS-CM2,historical,1976,287.33044434
ACCESS-CM2,historical,1977,287.53924561
ACCESS-CM2,historical,1978,287.75390625
ACCESS-CM2,historical,1979,286.47406006
ACCESS-CM2,historical,1980,288.01168823
ACCESS-CM2,historical,1981,287.46743774
ACCESS-CM2,historical,1982,287.28543091
ACCESS-CM2,historical,1983,286.67703247
ACCESS-CM2,historical,1984,287.05969238
ACCESS-CM2,historical,1985,287.82656860
ACCESS-CM2,historical,1986,286.69894409
ACCESS-CM2,historical,1987,288.61645508
ACCESS-CM2,historical,1988,288.24108887
ACCESS-CM2,historical,1989,287.69699097
ACCESS-CM2,historical,1990,289.36279297
ACCESS-CM2,historical,1991,288.49221802
ACCESS-CM2,historical,1992,286.84814453
ACCESS-CM2,historical,1993,288.42663574
ACCESS-CM2,historical,1994,289.36865234
ACCESS-CM2,historical,1995,287.05987549
ACCESS-CM2,historical,1996,288.91558838
ACCESS-CM2,historical,1997,288.07989502
ACCESS-CM2,historical,1998,289.29812622
ACCESS-CM2,historical,1999,287.33981323
ACCESS-CM2,historical,2000,286.23898315
ACCESS-CM2,historical,2001,288.22976685
ACCESS-CM2,historical,2002,286.94158936
ACCESS-CM2,historical,2003,288.30215454
ACCESS-CM2,historical,2004,287.98779297
ACCESS-CM2,historical,2005,289.06509399
ACCESS-CM2,historical,2006,287.07968140
ACCESS-CM2,historical,2007,288.85430908
ACCESS-CM2,historical,2008,287.55664062
ACCESS-CM2,historical,2009,287.11654663
ACCESS-CM2,historical,2010,287.75329590
ACCESS-CM2,historical,2011,288.78353882
ACCESS-CM2,historical,2012,288.14337158
ACCESS-CM2,historical,2013,288.36001587
ACCESS-CM2,historical,2014,287.46060181
ACCESS-CM2,historical,2015,287.08197021
ACCESS-CM2,ssp126,2015,287.06951904
ACCESS-CM2,ssp126,2016,289.00512695
ACCESS-CM2,ssp126,2017,288.36053467
ACCESS-CM2,ssp126,2018,288.50137329
ACCESS-CM2,ssp126,2019,288.84207153
ACCESS-CM2,ssp126,2020,290.08163452
ACCESS-CM2,ssp126,2021,288.88906860
ACCESS-CM2,ssp126,2022,288.42144775
ACCESS-CM2,ssp126,2023,289.77963257
ACCESS-CM2,ssp126,2024,286.89544678
ACCESS-CM2,ssp126,2025,288.47064209
ACCESS-CM2,ssp126,2026,287.78894043
ACCESS-CM2,ssp126,2027,287.43988037
ACCESS-CM2,ssp126,2028,290.03659058
ACCESS-CM2,ssp126,2029,288.88046265
ACCESS-CM2,ssp126,2030,289.84329224
ACCESS-CM2,ssp126,2031,287.55657959
ACCESS-CM2,ssp126,2032,287.95785522
ACCESS-CM2,ssp126,2033,288.96871948
ACCESS-CM2,ssp126,2034,288.03488159
ACCESS-CM2,ssp126,2035,288.84930420
ACCESS-CM2,ssp126,2036,289.16625977
ACCESS-CM2,ssp126,2037,289.16265869
ACCESS-CM2,ssp126,2038,288.44293213
ACCESS-CM2,ssp126,2039,290.44030762
ACCESS-CM2,ssp126,2040,288.95593262
ACCESS-CM2,ssp126,2041,288.57312012
ACCESS-CM2,ssp126,2042,289.43801880
ACCESS-CM2,ssp126,2043,290.39254761
ACCESS-CM2,ssp126,2044,289.74890137
ACCESS-CM2,ssp126,2045,290.06637573
ACCESS-CM2,ssp126,2046,287.86254883
ACCESS-CM2,ssp126,2047,290.44235229
ACCESS-CM2,ssp126,2048,288.70611572
ACCESS-CM2,ssp126,2049,289.44601440
ACCESS-CM2,ssp126,2050,289.57843018
ACCESS-CM2,ssp126,2051,287.79232788
ACCESS-CM2,ssp126,2052,290.71374512
ACCESS-CM2,ssp126,2053,289.62896729
ACCESS-CM2,ssp126,2054,289.02069092
ACCESS-CM2,ssp126,2055,290.44827271
ACCESS-CM2,ssp126,2056,291.23614502
ACCESS-CM2,ssp126,2057,290.07183838
ACCESS-CM2,ssp126,2058,288.24868774
ACCESS-CM2,ssp126,2059,290.64468384
ACCESS-CM2,ssp126,2060,290.02130127
ACCESS-CM2,ssp126,2061,288.45367432
ACCESS-CM2,ssp126,2062,288.61495972
ACCESS-CM2,ssp126,2063,290.52130127
ACCESS-CM2,ssp126,2064,289.06671143
ACCESS-CM2,ssp126,2065,290.67858887
ACCESS-CM2,ssp126,2066,289.72103882
ACCESS-CM2,ssp126,2067,289.25015259
ACCESS-CM2,ssp126,2068,289.52917480
ACCESS-CM2,ssp126,2069,290.07855225
ACCESS-CM2,ssp126,2070,289.85122681
ACCESS-CM2,ssp126,2071,289.73229980
ACCESS-CM2,ssp126,2072,291.06298828
ACCESS-CM2,ssp126,2073,289.17196655
ACCESS-CM2,ssp126,2074,290.21209717
ACCESS-CM2,ssp126,2075,288.22982788
ACCESS-CM2,ssp126,2076,290.34927368
ACCESS-CM2,ssp126,2077,289.18640137
ACCESS-CM2,ssp126,2078,290.97302246
ACCESS-CM2,ssp126,2079,289.38336182
ACCESS-CM2,ssp126,2080,290.46200562
ACCESS-CM2,ssp126,2081,288.16622925
ACCESS-CM2,ssp126,2082,290.32989502
ACCESS-CM2,ssp126,2083,288.06207275
ACCESS-CM2,ssp126,2084,289.74438477
ACCESS-CM2,ssp126,2085,289.33474731
ACCESS-CM2,ssp126,2086,290.73727417
ACCESS-CM2,ssp126,2087,289.56289673
ACCESS-CM2,ssp126,2088,289.79757690
ACCESS-CM2,ssp126,2089,290.18399048
ACCESS-CM2,ssp126,2090,291.26766968
ACCESS-CM2,ssp126,2091,288.26098633
ACCESS-CM2,ssp126,2092,289.91464233
ACCESS-CM2,ssp126,2093,289.28631592
ACCESS-CM2,ssp126,2094,289.92199707
ACCESS-CM2,ssp126,2095,289.32287598
ACCESS-CM2,ssp126,2096,288.27334595
ACCESS-CM2,ssp126,2097,290.17422485
ACCESS-CM2,ssp126,2098,290.02474976
ACCESS-CM2,ssp126,2099,289.63858032
ACCESS-CM2,ssp126,2100,288.34170532
ACCESS-CM2,ssp245,2015,288.39230347
ACCESS-CM2,ssp245,2016,287.02850342
ACCESS-CM2,ssp245,2017,288.08596802
ACCESS-CM2,ssp245,2018,287.54916382
ACCESS-CM2,ssp245,2019,287.36090088
ACCESS-CM2,ssp245,2020,289.57531738
ACCESS-CM2,ssp245,2021,288.60354614
ACCESS-CM2,ssp245,2022,289.51153564
ACCESS-CM2,ssp245,2023,287.86495972
ACCESS-CM2,ssp245,2024,288.59283447
ACCESS-CM2,ssp245,2025,287.96844482
ACCESS-CM2,ssp245,2026,289.26364136
ACCESS-CM2,ssp245,2027,288.88671875
ACCESS-CM2,ssp245,2028,288.15347290
ACCESS-CM2,ssp245,2029,288.58139038
ACCESS-CM2,ssp245,2030,288.29479980
ACCESS-CM2,ssp245,2031,288.69195557
ACCESS-CM2,ssp245,2032,288.99951172
ACCESS-CM2,ssp245,2033,288.77618408
ACCESS-CM2,ssp245,2034,289.46807861
ACCESS-CM2,ssp245,2035,289.17965698
ACCESS-CM2,ssp245,2036,289.30886841
ACCESS-CM2,ssp245,2037,290.20449829
ACCESS-CM2,ssp245,2038,289.68014526
ACCESS-CM2,ssp245,2039,290.18896484
ACCESS-CM2,ssp245,2040,288.78765869
ACCESS-CM2,ssp245,2041,288.47756958
ACCESS-CM2,ssp245,2042,289.02648926
ACCESS-CM2,ssp245,2043,289.36557007
ACCESS-CM2,ssp245,2044,289.50942993
ACCESS-CM2,ssp245,2045,289.40686035
ACCESS-CM2,ssp245,2046,290.29092407
ACCESS-CM2,ssp245,2047,289.28826904
ACCESS-CM2,ssp245,2048,291.05776978
ACCESS-CM2,ssp245,2049,289.10754395
ACCESS-CM2,ssp245,2050,290.41656494
ACCESS-CM2,ssp245,2051,289.49539185
ACCESS-CM2,ssp245,2052,290.35623169
ACCESS-CM2,ssp245,2053,288.91470337
ACCESS-CM2,ssp245,2054,290.47494507
ACCESS-CM2,ssp245,2055,289.83923340
ACCESS-CM2,ssp245,2056,289.93212891
ACCESS-CM2,ssp245,2057,290.69021606
ACCESS-CM2,ssp245,2058,290.33432007
ACCESS-CM2,ssp245,2059,291.54296875
ACCESS-CM2,ssp245,2060,289.99804688
ACCESS-CM2,ssp245,2061,291.01605225
ACCESS-CM2,ssp245,2062,289.27487183
ACCESS-CM2,ssp245,2063,289.75814819
ACCESS-CM2,ssp245,2064,289.65252686
ACCESS-CM2,ssp245,2065,292.14392090
ACCESS-CM2,ssp245,2066,290.01882935
ACCESS-CM2,ssp245,2067,289.98178101
ACCESS-CM2,ssp245,2068,291.84744263
ACCESS-CM2,ssp245,2069,291.19091797
ACCESS-CM2,ssp245,2070,291.12188721
ACCESS-CM2,ssp245,2071,290.39926147
ACCESS-CM2,ssp245,2072,291.23004150
ACCESS-CM2,ssp245,2073,290.91839600
ACCESS-CM2,ssp245,2074,291.45428467
ACCESS-CM2,ssp245,2075,289.79458618
ACCESS-CM2,ssp245,2076,290.35687256
ACCESS-CM2,ssp245,2077,291.60791016
ACCESS-CM2,ssp245,2078,290.05090332
ACCESS-CM2,ssp245,2079,291.54562378
ACCESS-CM2,ssp245,2080,291.05850220
ACCESS-CM2,ssp245,2081,290.09625244
ACCESS-CM2,ssp245,2082,290.82070923
ACCESS-CM2,ssp245,2083,290.21270752
ACCESS-CM2,ssp245,2084,291.77212524
ACCESS-CM2,ssp245,2085,290.40637207
ACCESS-CM2,ssp245,2086,291.00070190
ACCESS-CM2,ssp245,2087,290.47058105
ACCESS-CM2,ssp245,2088,291.56179810
ACCESS-CM2,ssp245,2089,290.11880493
ACCESS-CM2,ssp245,2090,291.21713257
ACCESS-CM2,ssp245,2091,292.11520386
ACCESS-CM2,ssp245,2092,292.23791504
ACCESS-CM2,ssp245,2093,291.53015137
ACCESS-CM2,ssp245,2094,290.03146362
ACCESS-CM2,ssp245,2095,292.49929810
ACCESS-CM2,ssp245,2096,291.97561646
ACCESS-CM2,ssp245,2097,291.72390747
ACCESS-CM2,ssp245,2098,290.56097412
ACCESS-CM2,ssp245,2099,292.02468872
ACCESS-CM2,ssp245,2100,290.39205933
ACCESS-CM2,ssp370,2015,288.32693481
ACCESS-CM2,ssp370,2016,288.91995239
ACCESS-CM2,ssp370,2017,286.75061035
ACCESS-CM2,ssp370,2018,287.91653442
ACCESS-CM2,ssp370,2019,289.80993652
ACCESS-CM2,ssp370,2020,288.66027832
ACCESS-CM2,ssp370,2021,288.64794922
ACCESS-CM2,ssp370,2022,288.35754395
ACCESS-CM2,ssp370,2023,288.15579224
ACCESS-CM2,ssp370,2024,288.52792358
ACCESS-CM2,ssp370,2025,289.55273438
ACCESS-CM2,ssp370,2026,288.29132080
ACCESS-CM2,ssp370,2027,289.38040161
ACCESS-CM2,ssp370,2028,288.66207886
ACCESS-CM2,ssp370,2029,289.72225952
ACCESS-CM2,ssp370,2030,289.88391113
ACCESS-CM2,ssp370,2031,289.79974365
ACCESS-CM2,ssp370,2032,289.15039062
ACCESS-CM2,ssp370,2033,289.44000244
ACCESS-CM2,ssp370,2034,291.19018555
ACCESS-CM2,ssp370,2035,289.70828247
ACCESS-CM2,ssp370,2036,289.37249756
ACCESS-CM2,ssp370,2037,289.57308960
ACCESS-CM2,ssp370,2038,291.13452148
ACCESS-CM2,ssp370,2039,290.54348755
ACCESS-CM2,ssp370,2040,288.96084595
ACCESS-CM2,ssp370,2041,289.89782715
ACCESS-CM2,ssp370,2042,287.51504517
ACCESS-CM2,ssp370,2043,289.89080811
ACCESS-CM2,ssp370,2044,288.35729980
ACCESS-CM2,ssp370,2045,290.67391968
ACCESS-CM2,ssp370,2046,291.08319092
ACCESS-CM2,ssp370,2047,289.18566895
ACCESS-CM2,ssp370,2048,289.81463623
ACCESS-CM2,ssp370,2049,290.08734131
ACCESS-CM2,ssp370,2050,291.02053833
ACCESS-CM2,ssp370,2051,290.21163940
ACCESS-CM2,ssp370,2052,290.10070801
ACCESS-CM2,ssp370,2053,291.87829590
ACCESS-CM2,ssp370,2054,290.66342163
ACCESS-CM2,ssp370,2055,290.85015869
ACCESS-CM2,ssp370,2056,289.85998535
ACCESS-CM2,ssp370,2057,291.70068359
ACCESS-CM2,ssp370,2058,289.42941284
ACCESS-CM2,ssp370,2059,290.62951660
ACCESS-CM2,ssp370,2060,291.59603882
ACCESS-CM2,ssp370,2061,289.76263428
ACCESS-CM2,ssp370,2062,292.01477051
ACCESS-CM2,ssp370,2063,290.41900635
ACCESS-CM2,ssp370,2064,291.42782593
ACCESS-CM2,ssp370,2065,290.60897827
ACCESS-CM2,ssp370,2066,288.88845825
ACCESS-CM2,ssp370,2067,291.48162842
ACCESS-CM2,ssp370,2068,292.40093994
ACCESS-CM2,ssp370,2069,291.40972900
ACCESS-CM2,ssp370,2070,292.29574585
ACCESS-CM2,ssp370,2071,291.22348022
ACCESS-CM2,ssp370,2072,291.63403320
ACCESS-CM2,ssp370,2073,291.71740723
ACCESS-CM2,ssp370,2074,291.71014404
ACCESS-CM2,ssp370,2075,291.95309448
ACCESS-CM2,ssp370,2076,292.71154785
ACCESS-CM2,ssp370,2077,290.25048828
ACCESS-CM2,ssp370,2078,292.30282593
ACCESS-CM2,ssp370,2079,291.69671631
ACCESS-CM2,ssp370,2080,292.19326782
ACCESS-CM2,ssp370,2081,292.36038208
ACCESS-CM2,ssp370,2082,291.35955811
ACCESS-CM2,ssp370,2083,292.02117920
ACCESS-CM2,ssp370,2084,292.33328247
ACCESS-CM2,ssp370,2085,292.01687622
ACCESS-CM2,ssp370,2086,292.59930420
ACCESS-CM2,ssp370,2087,292.95916748
ACCESS-CM2,ssp370,2088,292.43218994
ACCESS-CM2,ssp370,2089,293.59808350
ACCESS-CM2,ssp370,2090,292.36480713
ACCESS-CM2,ssp370,2091,292.94030762
ACCESS-CM2,ssp370,2092,292.40087891
ACCESS-CM2,ssp370,2093,292.32742310
ACCESS-CM2,ssp370,2094,292.67874146
ACCESS-CM2,ssp370,2095,292.90087891
ACCESS-CM2,ssp370,2096,292.38064575
ACCESS-CM2,ssp370,2097,293.41741943
ACCESS-CM2,ssp370,2098,293.66748047
ACCESS-CM2,ssp370,2099,291.99487305
ACCESS-CM2,ssp370,2100,294.00952148
ACCESS-CM2,ssp585,2015,288.02975464
ACCESS-CM2,ssp585,2016,289.96765137
ACCESS-CM2,ssp585,2017,287.43090820
ACCESS-CM2,ssp585,2018,287.83718872
ACCESS-CM2,ssp585,2019,287.62524414
ACCESS-CM2,ssp585,2020,288.50408936
ACCESS-CM2,ssp585,2021,289.49383545
ACCESS-CM2,ssp585,2022,288.22976685
ACCESS-CM2,ssp585,2023,289.13360596
ACCESS-CM2,ssp585,2024,288.00918579
ACCESS-CM2,ssp585,2025,288.75085449
ACCESS-CM2,ssp585,2026,287.61212158
ACCESS-CM2,ssp585,2027,288.82565308
ACCESS-CM2,ssp585,2028,288.94223022
ACCESS-CM2,ssp585,2029,289.16406250
ACCESS-CM2,ssp585,2030,290.23239136
ACCESS-CM2,ssp585,2031,288.17453003
ACCESS-CM2,ssp585,2032,290.01510620
ACCESS-CM2,ssp585,2033,288.04296875
ACCESS-CM2,ssp585,2034,289.00045776
ACCESS-CM2,ssp585,2035,289.89434814
ACCESS-CM2,ssp585,2036,287.64511108
ACCESS-CM2,ssp585,2037,288.82305908
ACCESS-CM2,ssp585,2038,289.08676147
ACCESS-CM2,ssp585,2039,290.11962891
ACCESS-CM2,ssp585,2040,289.36676025
ACCESS-CM2,ssp585,2041,289.09335327
ACCESS-CM2,ssp585,2042,290.65335083
ACCESS-CM2,ssp585,2043,289.39974976
ACCESS-CM2,ssp585,2044,289.56713867
ACCESS-CM2,ssp585,2045,289.03863525
ACCESS-CM2,ssp585,2046,290.41201782
ACCESS-CM2,ssp585,2047,289.18142700
ACCESS-CM2,ssp585,2048,290.27001953
ACCESS-CM2,ssp585,2049,288.68829346
ACCESS-CM2,ssp585,2050,289.79635620
ACCESS-CM2,ssp585,2051,290.01101685
ACCESS-CM2,ssp585,2052,288.77703857
ACCESS-CM2,ssp585,2053,289.72235107
ACCESS-CM2,ssp585,2054,289.31423950
ACCESS-CM2,ssp585,2055,288.89605713
ACCESS-CM2,ssp585,2056,290.19290161
ACCESS-CM2,ssp585,2057,290.93203735
ACCESS-CM2,ssp585,2058,289.21032715
ACCESS-CM2,ssp585,2059,290.81579590
ACCESS-CM2,ssp585,2060,290.30377197
ACCESS-CM2,ssp585,2061,290.65750122
ACCESS-CM2,ssp585,2062,290.29431152
ACCESS-CM2,ssp585,2063,291.43060303
ACCESS-CM2,ssp585,2064,290.30999756
ACCESS-CM2,ssp585,2065,292.01904297
ACCESS-CM2,ssp585,2066,292.64276123
ACCESS-CM2,ssp585,2067,291.40792847
ACCESS-CM2,ssp585,2068,291.58151245
ACCESS-CM2,ssp585,2069,291.56808472
ACCESS-CM2,ssp585,2070,291.74847412
ACCESS-CM2,ssp585,2071,292.48950195
ACCESS-CM2,ssp585,2072,291.56854248
ACCESS-CM2,ssp585,2073,292.99755859
ACCESS-CM2,ssp585,2074,291.81161499
ACCESS-CM2,ssp585,2075,292.00064087
ACCESS-CM2,ssp585,2076,291.53094482
ACCESS-CM2,ssp585,2077,292.09918213
ACCESS-CM2,ssp585,2078,292.42950439
ACCESS-CM2,ssp585,2079,291.71166992
ACCESS-CM2,ssp585,2080,291.71081543
ACCESS-CM2,ssp585,2081,292.01217651
ACCESS-CM2,ssp585,2082,293.74139404
ACCESS-CM2,ssp585,2083,292.42507935
ACCESS-CM2,ssp585,2084,292.22842407
ACCESS-CM2,ssp585,2085,292.82537842
ACCESS-CM2,ssp585,2086,292.38888550
ACCESS-CM2,ssp585,2087,293.41461182
ACCESS-CM2,ssp585,2088,293.38833618
ACCESS-CM2,ssp585,2089,294.10415649
ACCESS-CM2,ssp585,2090,291.68234253
ACCESS-CM2,ssp585,2091,292.55035400
ACCESS-CM2,ssp585,2092,293.24710083
ACCESS-CM2,ssp585,2093,292.11199951
ACCESS-CM2,ssp585,2094,294.28143311
ACCESS-CM2,ssp585,2095,294.22460938
ACCESS-CM2,ssp585,2096,293.27426147
ACCESS-CM2,ssp585,2097,292.78445435
ACCESS-CM2,ssp585,2098,293.52761841
ACCESS-CM2,ssp585,2099,293.30914307
ACCESS-CM2,ssp585,2100,293.69274902
AWI-CM-1-1-MR,historical,1960,287.49261475
AWI-CM-1-1-MR,historical,1961,286.19860840
AWI-CM-1-1-MR,historical,1962,286.82891846
AWI-CM-1-1-MR,historical,1963,286.21255493
AWI-CM-1-1-MR,historical,1964,287.20095825
AWI-CM-1-1-MR,historical,1965,287.34106445
AWI-CM-1-1-MR,historical,1966,285.75387573
AWI-CM-1-1-MR,historical,1967,287.34088135
AWI-CM-1-1-MR,historical,1968,288.06552124
AWI-CM-1-1-MR,historical,1969,288.14843750
AWI-CM-1-1-MR,historical,1970,287.17175293
AWI-CM-1-1-MR,historical,1971,287.00656128
AWI-CM-1-1-MR,historical,1972,287.04885864
AWI-CM-1-1-MR,historical,1973,286.51068115
AWI-CM-1-1-MR,historical,1974,287.20452881
AWI-CM-1-1-MR,historical,1975,287.92074585
AWI-CM-1-1-MR,historical,1976,287.72586060
AWI-CM-1-1-MR,historical,1977,286.33914185
AWI-CM-1-1-MR,historical,1978,287.14895630
AWI-CM-1-1-MR,historical,1979,287.18063354
AWI-CM-1-1-MR,historical,1980,287.75256348
AWI-CM-1-1-MR,historical,1981,287.83834839
AWI-CM-1-1-MR,historical,1982,287.52313232
AWI-CM-1-1-MR,historical,1983,289.23342896
AWI-CM-1-1-MR,historical,1984,287.58441162
