model,experiment,year,tas
ACCESS-CM2,historical,1960,284.60421753
ACCESS-CM2,historical,1961,285.46353149
ACCESS-CM2,historical,1962,285.32864380
ACCESS-CM2,historical,1963,285.82656860
ACCESS-CM2,historical,1964,283.74737549
ACCESS-CM2,historical,1965,286.54931641
ACCESS-CM2,historical,1966,284.53112793
ACCESS-CM2,historical,1967,285.48269653
ACCESS-CM2,historical,1968,285.66079712
ACCESS-CM2,historical,1969,284.57794189
ACCESS-CM2,historical,1970,285.21063232
ACCESS-CM2,historical,1971,285.20147705
ACCESS-CM2,historical,1972,284.09951782
ACCESS-CM2,historical,1973,285.38879395
ACCESS-CM2,historical,1974,285.60302734
ACCESS-CM2,historical,1975,284.93685913
ACCESS-CM2,historical,1976,285.53567505
ACCESS-CM2,historical,1977,285.86737061
ACCESS-CM2,historical,1978,285.72290039
ACCESS-CM2,historical,1979,284.72305298
ACCESS-CM2,historical,1980,285.90667725
ACCESS-CM2,historical,1981,285.63113403
ACCESS-CM2,historical,1982,285.51110840
ACCESS-CM2,historical,1983,284.61257935
ACCESS-CM2,historical,1984,285.18820190
ACCESS-CM2,historical,1985,286.24731445
ACCESS-CM2,historical,1986,284.75753784
ACCESS-CM2,historical,1987,286.84341431
ACCESS-CM2,historical,1988,286.41860962
ACCESS-CM2,historical,1989,285.66284180
ACCESS-CM2,historical,1990,287.84860229
ACCESS-CM2,historical,1991,286.76361084
ACCESS-CM2,historical,1992,284.79766846
ACCESS-CM2,historical,1993,286.77978516
ACCESS-CM2,historical,1994,287.37585449
ACCESS-CM2,historical,1995,285.27127075
ACCESS-CM2,historical,1996,287.08386230
ACCESS-CM2,historical,1997,286.76977539
ACCESS-CM2,historical,1998,287.26806641
ACCESS-CM2,historical,1999,285.60650635
ACCESS-CM2,historical,2000,284.07604980
ACCESS-CM2,historical,2001,286.49340820
ACCESS-CM2,historical,2002,284.87136841
ACCESS-CM2,historical,2003,286.28738403
ACCESS-CM2,historical,2004,286.00848389
ACCESS-CM2,historical,2005,287.42581177
ACCESS-CM2,historical,2006,285.36038208
ACCESS-CM2,historical,2007,286.81390381
ACCESS-CM2,historical,2008,285.55130005
ACCESS-CM2,historical,2009,284.64675903
ACCESS-CM2,historical,2010,285.38989258
ACCESS-CM2,historical,2011,287.24896240
ACCESS-CM2,historical,2012,285.92483521
ACCESS-CM2,historical,2013,286.71609497
ACCESS-CM2,historical,2014,285.34918213
ACCESS-CM2,historical,2015,285.53671265
ACCESS-CM2,ssp126,2015,284.75207520
ACCESS-CM2,ssp126,2016,287.07656860
ACCESS-CM2,ssp126,2017,286.15679932
ACCESS-CM2,ssp126,2018,286.58499146
ACCESS-CM2,ssp126,2019,286.71041870
ACCESS-CM2,ssp126,2020,288.31875610
ACCESS-CM2,ssp126,2021,286.66531372
ACCESS-CM2,ssp126,2022,286.72656250
ACCESS-CM2,ssp126,2023,287.66827393
ACCESS-CM2,ssp126,2024,284.68078613
ACCESS-CM2,ssp126,2025,286.35791016
ACCESS-CM2,ssp126,2026,285.27438354
ACCESS-CM2,ssp126,2027,285.20208740
ACCESS-CM2,ssp126,2028,288.46383667
ACCESS-CM2,ssp126,2029,286.69909668
ACCESS-CM2,ssp126,2030,287.84017944
ACCESS-CM2,ssp126,2031,285.28750610
ACCESS-CM2,ssp126,2032,285.60250854
ACCESS-CM2,ssp126,2033,287.44204712
ACCESS-CM2,ssp126,2034,285.68240356
ACCESS-CM2,ssp126,2035,286.75775146
ACCESS-CM2,ssp126,2036,287.17065430
ACCESS-CM2,ssp126,2037,287.31536865
ACCESS-CM2,ssp126,2038,286.70578003
ACCESS-CM2,ssp126,2039,288.55169678
ACCESS-CM2,ssp126,2040,287.00109863
ACCESS-CM2,ssp126,2041,286.13330078
ACCESS-CM2,ssp126,2042,286.94189453
ACCESS-CM2,ssp126,2043,288.86843872
ACCESS-CM2,ssp126,2044,287.51062012
ACCESS-CM2,ssp126,2045,287.99374390
ACCESS-CM2,ssp126,2046,285.75164795
ACCESS-CM2,ssp126,2047,288.74206543
ACCESS-CM2,ssp126,2048,286.38095093
ACCESS-CM2,ssp126,2049,287.34426880
ACCESS-CM2,ssp126,2050,287.19964600
ACCESS-CM2,ssp126,2051,285.55581665
ACCESS-CM2,ssp126,2052,289.04403687
ACCESS-CM2,ssp126,2053,287.51214600
ACCESS-CM2,ssp126,2054,287.06524658
ACCESS-CM2,ssp126,2055,288.28179932
ACCESS-CM2,ssp126,2056,289.29116821
ACCESS-CM2,ssp126,2057,287.98519897
ACCESS-CM2,ssp126,2058,285.98373413
ACCESS-CM2,ssp126,2059,289.07516479
ACCESS-CM2,ssp126,2060,287.45776367
ACCESS-CM2,ssp126,2061,286.27096558
ACCESS-CM2,ssp126,2062,286.31906128
ACCESS-CM2,ssp126,2063,288.74792480
ACCESS-CM2,ssp126,2064,286.68872070
ACCESS-CM2,ssp126,2065,288.64770508
ACCESS-CM2,ssp126,2066,287.46105957
ACCESS-CM2,ssp126,2067,287.09805298
ACCESS-CM2,ssp126,2068,287.78952026
ACCESS-CM2,ssp126,2069,288.23104858
ACCESS-CM2,ssp126,2070,287.36514282
ACCESS-CM2,ssp126,2071,287.74154663
ACCESS-CM2,ssp126,2072,288.70892334
ACCESS-CM2,ssp126,2073,286.85641479
ACCESS-CM2,ssp126,2074,288.34152222
