model,experiment,year,tas
ACCESS-CM2,historical,1960,288.47967529
ACCESS-CM2,historical,1961,288.12786865
ACCESS-CM2,historical,1962,288.59985352
ACCESS-CM2,historical,1963,288.97988892
ACCESS-CM2,historical,1964,286.83273315
ACCESS-CM2,historical,1965,289.32885742
ACCESS-CM2,historical,1966,287.67694092
ACCESS-CM2,historical,1967,288.23419189
ACCESS-CM2,historical,1968,289.34201050
ACCESS-CM2,historical,1969,287.97570801
ACCESS-CM2,historical,1970,288.63726807
ACCESS-CM2,historical,1971,288.86676025
ACCESS-CM2,historical,1972,288.00427246
ACCESS-CM2,historical,1973,289.01626587
ACCESS-CM2,historical,1974,288.81478882
ACCESS-CM2,historical,1975,288.36254883
ACCESS-CM2,historical,1976,288.73785400
ACCESS-CM2,historical,1977,288.94586182
ACCESS-CM2,historical,1978,289.17929077
ACCESS-CM2,historical,1979,287.75906372
ACCESS-CM2,historical,1980,289.35968018
ACCESS-CM2,historical,1981,288.95489502
ACCESS-CM2,historical,1982,288.62808228
ACCESS-CM2,historical,1983,288.35250854
ACCESS-CM2,historical,1984,288.62292480
ACCESS-CM2,historical,1985,288.95571899
ACCESS-CM2,historical,1986,288.09274292
ACCESS-CM2,historical,1987,290.02716064
ACCESS-CM2,historical,1988,289.56213379
ACCESS-CM2,historical,1989,288.94891357
ACCESS-CM2,historical,1990,290.92208862
ACCESS-CM2,historical,1991,289.98471069
ACCESS-CM2,historical,1992,288.28787231
ACCESS-CM2,historical,1993,289.88345337
ACCESS-CM2,historical,1994,291.15539551
ACCESS-CM2,historical,1995,288.46392822
ACCESS-CM2,historical,1996,290.64270020
ACCESS-CM2,historical,1997,289.30776978
ACCESS-CM2,historical,1998,290.85610962
ACCESS-CM2,historical,1999,288.84100342
ACCESS-CM2,historical,2000,287.60556030
ACCESS-CM2,historical,2001,289.67755127
ACCESS-CM2,historical,2002,288.45294189
ACCESS-CM2,historical,2003,289.61392212
ACCESS-CM2,historical,2004,289.64379883
ACCESS-CM2,historical,2005,290.37640381
ACCESS-CM2,historical,2006,288.25039673
ACCESS-CM2,historical,2007,290.51007080
ACCESS-CM2,historical,2008,289.23220825
ACCESS-CM2,historical,2009,288.71820068
ACCESS-CM2,historical,2010,289.13671875
ACCESS-CM2,historical,2011,290.05276489
ACCESS-CM2,historical,2012,289.79449463
ACCESS-CM2,historical,2013,289.89022827
ACCESS-CM2,historical,2014,289.04644775
ACCESS-CM2,historical,2015,288.38702393
ACCESS-CM2,ssp126,2015,288.47894287
ACCESS-CM2,ssp126,2016,290.49703979
ACCESS-CM2,ssp126,2017,290.09234619
ACCESS-CM2,ssp126,2018,289.84521484
ACCESS-CM2,ssp126,2019,290.31054688
ACCESS-CM2,ssp126,2020,291.52850342
ACCESS-CM2,ssp126,2021,290.24053955
ACCESS-CM2,ssp126,2022,289.63766479
ACCESS-CM2,ssp126,2023,291.35043335
ACCESS-CM2,ssp126,2024,288.37725830
ACCESS-CM2,ssp126,2025,289.88735962
ACCESS-CM2,ssp126,2026,289.37792969
ACCESS-CM2,ssp126,2027,289.02218628
ACCESS-CM2,ssp126,2028,291.24267578
ACCESS-CM2,ssp126,2029,290.37252808
ACCESS-CM2,ssp126,2030,291.70391846
ACCESS-CM2,ssp126,2031,289.18640137
ACCESS-CM2,ssp126,2032,289.25695801
ACCESS-CM2,ssp126,2033,290.05603027
ACCESS-CM2,ssp126,2034,289.55581665
