model,experiment,year,tas
ACCESS-CM2,historical,1960,284.83456421
ACCESS-CM2,historical,1961,285.93649292
ACCESS-CM2,historical,1962,284.84719849
ACCESS-CM2,historical,1963,282.75689697
ACCESS-CM2,historical,1964,285.28729248
ACCESS-CM2,historical,1965,283.02841187
ACCESS-CM2,historical,1966,284.25076294
ACCESS-CM2,historical,1967,285.46813965
ACCESS-CM2,historical,1968,285.90820312
ACCESS-CM2,historical,1969,286.44622803
ACCESS-CM2,historical,1970,285.60675049
ACCESS-CM2,historical,1971,285.01171875
ACCESS-CM2,historical,1972,284.81451416
ACCESS-CM2,historical,1973,284.43469238
ACCESS-CM2,historical,1974,286.44461060
ACCESS-CM2,historical,1975,286.01095581
ACCESS-CM2,historical,1976,286.13256836
ACCESS-CM2,historical,1977,286.02426147
ACCESS-CM2,historical,1978,283.22222900
ACCESS-CM2,historical,1979,285.26763916
ACCESS-CM2,historical,1980,285.37469482
ACCESS-CM2,historical,1981,285.95880127
ACCESS-CM2,historical,1982,283.78936768
ACCESS-CM2,historical,1983,283.64877319
ACCESS-CM2,historical,1984,285.03625488
ACCESS-CM2,historical,1985,285.02883911
ACCESS-CM2,historical,1986,287.38690186
ACCESS-CM2,historical,1987,285.82409668
ACCESS-CM2,historical,1988,286.89074707
ACCESS-CM2,historical,1989,287.40908813
ACCESS-CM2,historical,1990,286.43289185
ACCESS-CM2,historical,1991,285.24371338
ACCESS-CM2,historical,1992,285.93753052
ACCESS-CM2,historical,1993,288.23156738
ACCESS-CM2,historical,1994,284.83880615
ACCESS-CM2,historical,1995,286.34802246
ACCESS-CM2,historical,1996,287.16531372
ACCESS-CM2,historical,1997,288.18759155
ACCESS-CM2,historical,1998,284.14382935
ACCESS-CM2,historical,1999,283.82754517
ACCESS-CM2,historical,2000,286.00131226
ACCESS-CM2,historical,2001,284.39157104
ACCESS-CM2,historical,2002,286.34951782
ACCESS-CM2,historical,2003,285.31771851
ACCESS-CM2,historical,2004,285.81283569
ACCESS-CM2,historical,2005,286.59979248
ACCESS-CM2,historical,2006,288.25924683
ACCESS-CM2,historical,2007,284.98867798
ACCESS-CM2,historical,2008,285.39205933
ACCESS-CM2,historical,2009,286.36038208
ACCESS-CM2,historical,2010,286.01773071
ACCESS-CM2,historical,2011,285.91885376
ACCESS-CM2,historical,2012,285.58480835
ACCESS-CM2,historical,2013,285.70803833
ACCESS-CM2,historical,2014,285.86010742
ACCESS-CM2,ssp126,2015,286.73049927
ACCESS-CM2,ssp126,2016,287.81335449
ACCESS-CM2,ssp126,2017,285.59237671
ACCESS-CM2,ssp126,2018,285.67230225
ACCESS-CM2,ssp126,2019,287.58444214
ACCESS-CM2,ssp126,2020,285.48208618
ACCESS-CM2,ssp126,2021,286.41635132
ACCESS-CM2,ssp126,2022,288.58535767
ACCESS-CM2,ssp126,2023,284.89791870
ACCESS-CM2,ssp126,2024,287.04678345
ACCESS-CM2,ssp126,2025,286.13238525
ACCESS-CM2,ssp126,2026,284.97668457
ACCESS-CM2,ssp126,2027,287.46231079
ACCESS-CM2,ssp126,2028,287.49404907
ACCESS-CM2,ssp126,2029,287.94509888
ACCESS-CM2,ssp126,2030,285.22396851
ACCESS-CM2,ssp126,2031,286.09066772
ACCESS-CM2,ssp126,2032,287.92211914
ACCESS-CM2,ssp126,2033,285.71569824
ACCESS-CM2,ssp126,2034,285.28347778
ACCESS-CM2,ssp126,2035,287.53649902
ACCESS-CM2,ssp126,2036,286.25280762
ACCESS-CM2,ssp126,2037,287.05993652
