model,experiment,year,tas
ACCESS-CM2,historical,1960,285.25155640
ACCESS-CM2,historical,1961,285.86337280
ACCESS-CM2,historical,1962,285.20150757
ACCESS-CM2,historical,1963,283.30941772
ACCESS-CM2,historical,1964,285.35333252
ACCESS-CM2,historical,1965,283.39706421
ACCESS-CM2,historical,1966,284.46417236
ACCESS-CM2,historical,1967,286.09481812
ACCESS-CM2,historical,1968,285.37185669
ACCESS-CM2,historical,1969,286.12570190
ACCESS-CM2,historical,1970,285.39138794
ACCESS-CM2,historical,1971,285.32919312
ACCESS-CM2,historical,1972,285.53741455
ACCESS-CM2,historical,1973,284.50820923
ACCESS-CM2,historical,1974,285.90039062
ACCESS-CM2,historical,1975,285.86148071
ACCESS-CM2,historical,1976,286.14828491
ACCESS-CM2,historical,1977,285.78070068
ACCESS-CM2,historical,1978,283.83267212
ACCESS-CM2,historical,1979,285.97430420
ACCESS-CM2,historical,1980,285.69692993
ACCESS-CM2,historical,1981,285.76138306
ACCESS-CM2,historical,1982,284.42861938
ACCESS-CM2,historical,1983,284.68157959
ACCESS-CM2,historical,1984,285.77810669
ACCESS-CM2,historical,1985,285.31762695
ACCESS-CM2,historical,1986,287.77380371
ACCESS-CM2,historical,1987,286.02349854
ACCESS-CM2,historical,1988,287.01275635
ACCESS-CM2,historical,1989,287.97229004
ACCESS-CM2,historical,1990,286.68301392
ACCESS-CM2,historical,1991,285.55093384
ACCESS-CM2,historical,1992,286.17895508
ACCESS-CM2,historical,1993,287.98541260
ACCESS-CM2,historical,1994,285.42044067
ACCESS-CM2,historical,1995,286.51586914
ACCESS-CM2,historical,1996,286.86541748
ACCESS-CM2,historical,1997,288.55752563
ACCESS-CM2,historical,1998,284.68716431
ACCESS-CM2,historical,1999,283.67687988
ACCESS-CM2,historical,2000,286.07412720
ACCESS-CM2,historical,2001,284.44366455
ACCESS-CM2,historical,2002,286.77288818
ACCESS-CM2,historical,2003,285.64123535
ACCESS-CM2,historical,2004,286.16485596
ACCESS-CM2,historical,2005,286.41949463
ACCESS-CM2,historical,2006,288.10644531
ACCESS-CM2,historical,2007,285.07696533
ACCESS-CM2,historical,2008,285.59613037
ACCESS-CM2,historical,2009,286.31530762
ACCESS-CM2,historical,2010,286.51455688
ACCESS-CM2,historical,2011,286.09759521
ACCESS-CM2,historical,2012,285.75485229
ACCESS-CM2,historical,2013,285.93490601
ACCESS-CM2,historical,2014,286.10797119
ACCESS-CM2,ssp126,2015,287.48312378
ACCESS-CM2,ssp126,2016,287.35382080
ACCESS-CM2,ssp126,2017,285.74353027
ACCESS-CM2,ssp126,2018,286.45074463
ACCESS-CM2,ssp126,2019,288.02719116
ACCESS-CM2,ssp126,2020,286.36737061
ACCESS-CM2,ssp126,2021,286.27212524
ACCESS-CM2,ssp126,2022,288.96151733
ACCESS-CM2,ssp126,2023,285.30566406
ACCESS-CM2,ssp126,2024,287.14468384
ACCESS-CM2,ssp126,2025,286.52847290
ACCESS-CM2,ssp126,2026,285.33404541
ACCESS-CM2,ssp126,2027,287.72290039
ACCESS-CM2,ssp126,2028,287.70922852
ACCESS-CM2,ssp126,2029,288.78799438
ACCESS-CM2,ssp126,2030,285.69699097
ACCESS-CM2,ssp126,2031,286.70117188
ACCESS-CM2,ssp126,2032,288.18066406
ACCESS-CM2,ssp126,2033,286.32492065
ACCESS-CM2,ssp126,2034,285.72012329
ACCESS-CM2,ssp126,2035,287.55206299
ACCESS-CM2,ssp126,2036,287.16400146
ACCESS-CM2,ssp126,2037,286.53604126
ACCESS-CM2,ssp126,2038,288.45312500
ACCESS-CM2,ssp126,2039,288.01889038
ACCESS-CM2,ssp126,2040,286.60992432
ACCESS-CM2,ssp126,2041,286.60879517
ACCESS-CM2,ssp126,2042,288.00213623
ACCESS-CM2,ssp126,2043,287.37145996
ACCESS-CM2,ssp126,2044,288.62374878
ACCESS-CM2,ssp126,2045,285.80584717
ACCESS-CM2,ssp126,2046,287.67767334
ACCESS-CM2,ssp126,2047,286.60955811
ACCESS-CM2,ssp126,2048,286.13726807
ACCESS-CM2,ssp126,2049,288.10342407
ACCESS-CM2,ssp126,2050,285.89553833
ACCESS-CM2,ssp126,2051,288.69207764
ACCESS-CM2,ssp126,2052,288.30325317
ACCESS-CM2,ssp126,2053,288.15490723
ACCESS-CM2,ssp126,2054,288.72485352
ACCESS-CM2,ssp126,2055,289.37145996
ACCESS-CM2,ssp126,2056,288.47839355
ACCESS-CM2,ssp126,2057,286.85763550
ACCESS-CM2,ssp126,2058,288.65716553
ACCESS-CM2,ssp126,2059,288.11529541
ACCESS-CM2,ssp126,2060,286.38378906
ACCESS-CM2,ssp126,2061,287.41287231
ACCESS-CM2,ssp126,2062,288.57714844
ACCESS-CM2,ssp126,2063,286.86071777
ACCESS-CM2,ssp126,2064,289.59597778
ACCESS-CM2,ssp126,2065,287.03540039
ACCESS-CM2,ssp126,2066,286.75939941
ACCESS-CM2,ssp126,2067,287.63735962
ACCESS-CM2,ssp126,2068,287.87368774
ACCESS-CM2,ssp126,2069,289.33358765
ACCESS-CM2,ssp126,2070,287.96243286
ACCESS-CM2,ssp126,2071,290.29992676
ACCESS-CM2,ssp126,2072,287.02279663
ACCESS-CM2,ssp126,2073,287.68426514
ACCESS-CM2,ssp126,2074,285.53451538
ACCESS-CM2,ssp126,2075,288.71365356
ACCESS-CM2,ssp126,2076,286.76504517
ACCESS-CM2,ssp126,2077,289.01226807
ACCESS-CM2,ssp126,2078,286.98239136
ACCESS-CM2,ssp126,2079,289.78009033
ACCESS-CM2,ssp126,2080,286.18496704
ACCESS-CM2,ssp126,2081,288.13803101
ACCESS-CM2,ssp126,2082,287.13208008
ACCESS-CM2,ssp126,2083,289.08325195
ACCESS-CM2,ssp126,2084,286.57382202
ACCESS-CM2,ssp126,2085,288.13101196
ACCESS-CM2,ssp126,2086,288.48904419
ACCESS-CM2,ssp126,2087,287.67279053
ACCESS-CM2,ssp126,2088,287.91207886
ACCESS-CM2,ssp126,2089,290.60604858
ACCESS-CM2,ssp126,2090,285.02621460
ACCESS-CM2,ssp126,2091,287.25729370
ACCESS-CM2,ssp126,2092,287.07135010
ACCESS-CM2,ssp126,2093,287.83813477
ACCESS-CM2,ssp126,2094,287.37048340
ACCESS-CM2,ssp126,2095,286.47018433
ACCESS-CM2,ssp126,2096,288.26168823
ACCESS-CM2,ssp126,2097,287.58346558
ACCESS-CM2,ssp126,2098,286.93508911
ACCESS-CM2,ssp126,2099,287.36618042
ACCESS-CM2,ssp245,2015,285.22317505
ACCESS-CM2,ssp245,2016,285.14270020
ACCESS-CM2,ssp245,2017,285.40112305
ACCESS-CM2,ssp245,2018,285.97418213
ACCESS-CM2,ssp245,2019,287.89932251
ACCESS-CM2,ssp245,2020,287.13320923
ACCESS-CM2,ssp245,2021,288.36532593
ACCESS-CM2,ssp245,2022,286.69372559
ACCESS-CM2,ssp245,2023,287.39541626
ACCESS-CM2,ssp245,2024,286.06680298
ACCESS-CM2,ssp245,2025,286.30187988
ACCESS-CM2,ssp245,2026,285.69494629
ACCESS-CM2,ssp245,2027,286.21109009
ACCESS-CM2,ssp245,2028,286.75860596
ACCESS-CM2,ssp245,2029,285.77072144
ACCESS-CM2,ssp245,2030,286.63061523
ACCESS-CM2,ssp245,2031,286.76974487
ACCESS-CM2,ssp245,2032,287.36325073
ACCESS-CM2,ssp245,2033,287.87182617
ACCESS-CM2,ssp245,2034,287.27990723
ACCESS-CM2,ssp245,2035,286.98614502
ACCESS-CM2,ssp245,2036,287.28485107
ACCESS-CM2,ssp245,2037,288.11126709
ACCESS-CM2,ssp245,2038,288.72906494
ACCESS-CM2,ssp245,2039,286.40646362
ACCESS-CM2,ssp245,2040,286.21194458
ACCESS-CM2,ssp245,2041,286.23690796
ACCESS-CM2,ssp245,2042,287.36575317
ACCESS-CM2,ssp245,2043,288.35995483
ACCESS-CM2,ssp245,2044,287.53042603
ACCESS-CM2,ssp245,2045,289.10256958
ACCESS-CM2,ssp245,2046,288.79202271
ACCESS-CM2,ssp245,2047,288.51266479
ACCESS-CM2,ssp245,2048,288.52954102
ACCESS-CM2,ssp245,2049,288.37069702
ACCESS-CM2,ssp245,2050,288.69778442
ACCESS-CM2,ssp245,2051,289.14669800
ACCESS-CM2,ssp245,2052,286.58566284
