model,experiment,year,tas
ACCESS-CM2,historical,1960,287.36380005
ACCESS-CM2,historical,1961,288.41140747
ACCESS-CM2,historical,1962,287.46667480
ACCESS-CM2,historical,1963,285.27661133
ACCESS-CM2,historical,1964,287.42364502
ACCESS-CM2,historical,1965,285.81692505
ACCESS-CM2,historical,1966,286.68075562
ACCESS-CM2,historical,1967,288.24362183
ACCESS-CM2,historical,1968,287.61233521
ACCESS-CM2,historical,1969,288.56658936
ACCESS-CM2,historical,1970,288.20794678
ACCESS-CM2,historical,1971,287.83255005
ACCESS-CM2,historical,1972,287.90325928
ACCESS-CM2,historical,1973,286.64733887
ACCESS-CM2,historical,1974,288.43356323
ACCESS-CM2,historical,1975,287.41809082
ACCESS-CM2,historical,1976,288.89675903
ACCESS-CM2,historical,1977,288.27569580
ACCESS-CM2,historical,1978,286.50610352
ACCESS-CM2,historical,1979,288.62924194
ACCESS-CM2,historical,1980,287.91244507
ACCESS-CM2,historical,1981,288.24563599
ACCESS-CM2,historical,1982,287.33297729
ACCESS-CM2,historical,1983,286.71640015
ACCESS-CM2,historical,1984,287.95080566
ACCESS-CM2,historical,1985,287.39672852
ACCESS-CM2,historical,1986,290.56091309
ACCESS-CM2,historical,1987,288.41033936
ACCESS-CM2,historical,1988,289.09585571
ACCESS-CM2,historical,1989,290.06253052
ACCESS-CM2,historical,1990,289.16015625
ACCESS-CM2,historical,1991,287.79290771
ACCESS-CM2,historical,1992,288.66693115
ACCESS-CM2,historical,1993,290.84771729
ACCESS-CM2,historical,1994,287.61856079
ACCESS-CM2,historical,1995,288.76943970
ACCESS-CM2,historical,1996,288.57879639
ACCESS-CM2,historical,1997,291.28640747
ACCESS-CM2,historical,1998,286.78167725
ACCESS-CM2,historical,1999,286.36126709
ACCESS-CM2,historical,2000,288.15286255
ACCESS-CM2,historical,2001,287.37234497
ACCESS-CM2,historical,2002,288.71212769
ACCESS-CM2,historical,2003,288.00262451
ACCESS-CM2,historical,2004,288.39196777
ACCESS-CM2,historical,2005,288.58053589
ACCESS-CM2,historical,2006,290.43432617
ACCESS-CM2,historical,2007,288.13046265
ACCESS-CM2,historical,2008,288.56408691
ACCESS-CM2,historical,2009,288.82403564
ACCESS-CM2,historical,2010,288.39624023
ACCESS-CM2,historical,2011,288.95159912
ACCESS-CM2,historical,2012,288.29617310
ACCESS-CM2,historical,2013,287.88586426
ACCESS-CM2,historical,2014,288.38702393
ACCESS-CM2,ssp126,2015,289.83663940
ACCESS-CM2,ssp126,2016,289.83474731
ACCESS-CM2,ssp126,2017,287.90518188
ACCESS-CM2,ssp126,2018,288.77941895
ACCESS-CM2,ssp126,2019,290.00982666
ACCESS-CM2,ssp126,2020,288.90136719
ACCESS-CM2,ssp126,2021,287.84295654
ACCESS-CM2,ssp126,2022,291.39651489
ACCESS-CM2,ssp126,2023,287.22030640
ACCESS-CM2,ssp126,2024,289.44244385
ACCESS-CM2,ssp126,2025,288.91979980
ACCESS-CM2,ssp126,2026,287.89373779
ACCESS-CM2,ssp126,2027,289.81723022
ACCESS-CM2,ssp126,2028,290.34414673
ACCESS-CM2,ssp126,2029,291.38327026
ACCESS-CM2,ssp126,2030,288.24572754
ACCESS-CM2,ssp126,2031,288.75140381
ACCESS-CM2,ssp126,2032,289.90145874
ACCESS-CM2,ssp126,2033,288.73712158
ACCESS-CM2,ssp126,2034,287.88040161
ACCESS-CM2,ssp126,2035,290.38098145
ACCESS-CM2,ssp126,2036,289.09646606
ACCESS-CM2,ssp126,2037,288.50982666
ACCESS-CM2,ssp126,2038,290.96612549
ACCESS-CM2,ssp126,2039,290.37310791
ACCESS-CM2,ssp126,2040,289.21212769
ACCESS-CM2,ssp126,2041,289.30267334
ACCESS-CM2,ssp126,2042,289.93493652
ACCESS-CM2,ssp126,2043,289.73895264
ACCESS-CM2,ssp126,2044,290.56408691
ACCESS-CM2,ssp126,2045,288.30731201
ACCESS-CM2,ssp126,2046,289.37753296
ACCESS-CM2,ssp126,2047,289.03515625
ACCESS-CM2,ssp126,2048,289.19271851
ACCESS-CM2,ssp126,2049,290.60037231
ACCESS-CM2,ssp126,2050,288.69589233
ACCESS-CM2,ssp126,2051,291.05374146
ACCESS-CM2,ssp126,2052,290.65887451
ACCESS-CM2,ssp126,2053,289.97973633
ACCESS-CM2,ssp126,2054,291.62930298
ACCESS-CM2,ssp126,2055,291.17843628
ACCESS-CM2,ssp126,2056,290.02062988
ACCESS-CM2,ssp126,2057,289.26443481
ACCESS-CM2,ssp126,2058,290.53543091
ACCESS-CM2,ssp126,2059,290.58197021
ACCESS-CM2,ssp126,2060,288.51043701
ACCESS-CM2,ssp126,2061,289.65414429
ACCESS-CM2,ssp126,2062,290.59179688
ACCESS-CM2,ssp126,2063,289.63461304
ACCESS-CM2,ssp126,2064,291.22122192
ACCESS-CM2,ssp126,2065,289.21936035
ACCESS-CM2,ssp126,2066,289.34954834
ACCESS-CM2,ssp126,2067,289.52716064
ACCESS-CM2,ssp126,2068,289.73498535
ACCESS-CM2,ssp126,2069,291.67077637
ACCESS-CM2,ssp126,2070,290.36968994
ACCESS-CM2,ssp126,2071,292.90969849
ACCESS-CM2,ssp126,2072,289.32818604
ACCESS-CM2,ssp126,2073,290.02908325
ACCESS-CM2,ssp126,2074,288.17657471
ACCESS-CM2,ssp126,2075,291.15118408
ACCESS-CM2,ssp126,2076,289.29196167
ACCESS-CM2,ssp126,2077,291.18429565
ACCESS-CM2,ssp126,2078,288.88815308
ACCESS-CM2,ssp126,2079,291.98098755
ACCESS-CM2,ssp126,2080,288.41250610
ACCESS-CM2,ssp126,2081,290.62850952
ACCESS-CM2,ssp126,2082,289.80087280
ACCESS-CM2,ssp126,2083,291.87692261
ACCESS-CM2,ssp126,2084,289.20339966
ACCESS-CM2,ssp126,2085,290.58621216
