model,experiment,year,tas
ACCESS-CM2,historical,1960,285.28128052
ACCESS-CM2,historical,1961,285.76016235
ACCESS-CM2,historical,1962,286.04083252
ACCESS-CM2,historical,1963,287.29727173
ACCESS-CM2,historical,1964,284.72671509
ACCESS-CM2,historical,1965,289.28576660
ACCESS-CM2,historical,1966,286.97607422
ACCESS-CM2,historical,1967,285.93817139
ACCESS-CM2,historical,1968,286.81118774
ACCESS-CM2,historical,1969,284.55487061
ACCESS-CM2,historical,1970,286.68917847
ACCESS-CM2,historical,1971,286.06286621
ACCESS-CM2,historical,1972,285.13076782
ACCESS-CM2,historical,1973,286.20843506
ACCESS-CM2,historical,1974,288.46456909
ACCESS-CM2,historical,1975,285.07333374
ACCESS-CM2,historical,1976,285.24008179
ACCESS-CM2,historical,1977,287.13131714
ACCESS-CM2,historical,1978,288.51644897
ACCESS-CM2,historical,1979,285.79934692
ACCESS-CM2,historical,1980,286.90975952
ACCESS-CM2,historical,1981,286.10629272
ACCESS-CM2,historical,1982,286.13528442
ACCESS-CM2,historical,1983,285.31103516
ACCESS-CM2,historical,1984,286.79043579
ACCESS-CM2,historical,1985,288.22518921
ACCESS-CM2,historical,1986,286.27246094
ACCESS-CM2,historical,1987,286.71609497
ACCESS-CM2,historical,1988,287.88467407
ACCESS-CM2,historical,1989,284.72943115
ACCESS-CM2,historical,1990,288.47439575
ACCESS-CM2,historical,1991,287.42733765
ACCESS-CM2,historical,1992,285.87530518
ACCESS-CM2,historical,1993,288.47726440
ACCESS-CM2,historical,1994,286.03372192
ACCESS-CM2,historical,1995,286.66400146
ACCESS-CM2,historical,1996,287.39044189
ACCESS-CM2,historical,1997,287.85299683
ACCESS-CM2,historical,1998,287.54727173
ACCESS-CM2,historical,1999,287.52389526
ACCESS-CM2,historical,2000,285.55010986
ACCESS-CM2,historical,2001,288.32360840
ACCESS-CM2,historical,2002,286.99707031
ACCESS-CM2,historical,2003,287.55755615
ACCESS-CM2,historical,2004,285.49154663
ACCESS-CM2,historical,2005,288.60394287
ACCESS-CM2,historical,2006,287.32388306
ACCESS-CM2,historical,2007,286.84149170
ACCESS-CM2,historical,2008,286.92785645
ACCESS-CM2,historical,2009,286.46456909
ACCESS-CM2,historical,2010,287.20764160
ACCESS-CM2,historical,2011,288.46453857
ACCESS-CM2,historical,2012,287.29623413
ACCESS-CM2,historical,2013,287.24728394
ACCESS-CM2,historical,2014,286.29678345
ACCESS-CM2,ssp126,2015,285.14807129
ACCESS-CM2,ssp126,2016,287.79412842
ACCESS-CM2,ssp126,2017,286.39657593
ACCESS-CM2,ssp126,2018,287.40542603
ACCESS-CM2,ssp126,2019,288.18746948
ACCESS-CM2,ssp126,2020,288.85208130
ACCESS-CM2,ssp126,2021,288.09310913
ACCESS-CM2,ssp126,2022,289.52548218
ACCESS-CM2,ssp126,2023,288.70562744
ACCESS-CM2,ssp126,2024,286.21832275
ACCESS-CM2,ssp126,2025,287.13162231
ACCESS-CM2,ssp126,2026,285.23507690
ACCESS-CM2,ssp126,2027,287.66818237
ACCESS-CM2,ssp126,2028,289.40063477
ACCESS-CM2,ssp126,2029,287.32275391
ACCESS-CM2,ssp126,2030,288.35278320
ACCESS-CM2,ssp126,2031,286.65487671
ACCESS-CM2,ssp126,2032,286.11550903
ACCESS-CM2,ssp126,2033,287.85821533
ACCESS-CM2,ssp126,2034,285.55685425
ACCESS-CM2,ssp126,2035,288.99661255
ACCESS-CM2,ssp126,2036,288.28436279
ACCESS-CM2,ssp126,2037,289.48873901
ACCESS-CM2,ssp126,2038,287.65042114
ACCESS-CM2,ssp126,2039,288.83209229
ACCESS-CM2,ssp126,2040,288.78448486
ACCESS-CM2,ssp126,2041,285.87680054
ACCESS-CM2,ssp126,2042,288.23715210
ACCESS-CM2,ssp126,2043,290.67181396
ACCESS-CM2,ssp126,2044,288.51504517
ACCESS-CM2,ssp126,2045,288.18118286
ACCESS-CM2,ssp126,2046,287.73937988
