model,experiment,year,tas
ACCESS-CM2,historical,1960,284.40936279
ACCESS-CM2,historical,1961,285.30914307
ACCESS-CM2,historical,1962,285.46432495
ACCESS-CM2,historical,1963,286.74151611
ACCESS-CM2,historical,1964,283.83489990
ACCESS-CM2,historical,1965,288.21640015
ACCESS-CM2,historical,1966,286.36346436
ACCESS-CM2,historical,1967,285.69512939
ACCESS-CM2,historical,1968,285.63839722
ACCESS-CM2,historical,1969,283.37277222
ACCESS-CM2,historical,1970,285.62432861
ACCESS-CM2,historical,1971,285.51800537
ACCESS-CM2,historical,1972,283.86993408
ACCESS-CM2,historical,1973,285.51275635
ACCESS-CM2,historical,1974,287.72811890
ACCESS-CM2,historical,1975,284.25778198
ACCESS-CM2,historical,1976,284.81814575
ACCESS-CM2,historical,1977,286.01992798
ACCESS-CM2,historical,1978,287.36898804
ACCESS-CM2,historical,1979,285.64605713
ACCESS-CM2,historical,1980,286.11819458
ACCESS-CM2,historical,1981,285.21945190
ACCESS-CM2,historical,1982,285.70843506
ACCESS-CM2,historical,1983,284.71792603
ACCESS-CM2,historical,1984,285.72369385
ACCESS-CM2,historical,1985,287.66815186
ACCESS-CM2,historical,1986,285.13775635
ACCESS-CM2,historical,1987,287.01751709
ACCESS-CM2,historical,1988,287.20339966
ACCESS-CM2,historical,1989,283.72561646
ACCESS-CM2,historical,1990,288.08853149
ACCESS-CM2,historical,1991,286.84539795
ACCESS-CM2,historical,1992,285.13415527
ACCESS-CM2,historical,1993,287.83450317
ACCESS-CM2,historical,1994,285.85540771
ACCESS-CM2,historical,1995,285.86212158
ACCESS-CM2,historical,1996,286.41107178
ACCESS-CM2,historical,1997,286.94619751
ACCESS-CM2,historical,1998,286.74923706
ACCESS-CM2,historical,1999,286.71145630
ACCESS-CM2,historical,2000,284.43038940
ACCESS-CM2,historical,2001,287.38668823
ACCESS-CM2,historical,2002,286.31350708
ACCESS-CM2,historical,2003,285.97146606
ACCESS-CM2,historical,2004,284.71804810
ACCESS-CM2,historical,2005,288.09561157
ACCESS-CM2,historical,2006,286.78158569
ACCESS-CM2,historical,2007,285.58621216
ACCESS-CM2,historical,2008,286.28219604
ACCESS-CM2,historical,2009,285.33648682
ACCESS-CM2,historical,2010,285.76007080
ACCESS-CM2,historical,2011,288.33554077
ACCESS-CM2,historical,2012,286.41738892
ACCESS-CM2,historical,2013,286.99691772
ACCESS-CM2,historical,2014,285.56842041
ACCESS-CM2,ssp126,2015,284.51934814
ACCESS-CM2,ssp126,2016,286.89413452
ACCESS-CM2,ssp126,2017,285.46734619
ACCESS-CM2,ssp126,2018,287.12103271
ACCESS-CM2,ssp126,2019,287.47180176
ACCESS-CM2,ssp126,2020,287.88143921
ACCESS-CM2,ssp126,2021,287.64886475
ACCESS-CM2,ssp126,2022,288.30093384
ACCESS-CM2,ssp126,2023,287.23175049
ACCESS-CM2,ssp126,2024,284.87179565
ACCESS-CM2,ssp126,2025,285.92999268
ACCESS-CM2,ssp126,2026,284.14880371
ACCESS-CM2,ssp126,2027,286.49337769
ACCESS-CM2,ssp126,2028,288.71432495
ACCESS-CM2,ssp126,2029,286.01641846
ACCESS-CM2,ssp126,2030,287.37948608
ACCESS-CM2,ssp126,2031,285.18606567
ACCESS-CM2,ssp126,2032,285.41888428
ACCESS-CM2,ssp126,2033,287.10556030
ACCESS-CM2,ssp126,2034,285.08639526
ACCESS-CM2,ssp126,2035,288.14572144
ACCESS-CM2,ssp126,2036,288.17025757
ACCESS-CM2,ssp126,2037,288.62554932
ACCESS-CM2,ssp126,2038,286.70114136
ACCESS-CM2,ssp126,2039,288.24588013
ACCESS-CM2,ssp126,2040,287.94564819
ACCESS-CM2,ssp126,2041,284.93334961
ACCESS-CM2,ssp126,2042,286.90045166
ACCESS-CM2,ssp126,2043,290.10958862
ACCESS-CM2,ssp126,2044,287.15722656
ACCESS-CM2,ssp126,2045,287.24777222
ACCESS-CM2,ssp126,2046,286.52172852
