model,experiment,year,tas
ACCESS-CM2,historical,1960,285.72116089
ACCESS-CM2,historical,1961,285.85693359
ACCESS-CM2,historical,1962,286.67495728
ACCESS-CM2,historical,1963,287.67379761
ACCESS-CM2,historical,1964,285.64175415
ACCESS-CM2,historical,1965,288.86486816
ACCESS-CM2,historical,1966,287.38876343
ACCESS-CM2,historical,1967,286.65493774
ACCESS-CM2,historical,1968,287.18374634
ACCESS-CM2,historical,1969,284.80404663
ACCESS-CM2,historical,1970,287.16122437
ACCESS-CM2,historical,1971,286.62347412
ACCESS-CM2,historical,1972,285.63232422
ACCESS-CM2,historical,1973,286.78973389
ACCESS-CM2,historical,1974,288.58554077
ACCESS-CM2,historical,1975,285.98849487
ACCESS-CM2,historical,1976,285.96975708
ACCESS-CM2,historical,1977,287.09817505
ACCESS-CM2,historical,1978,288.24075317
ACCESS-CM2,historical,1979,286.39215088
ACCESS-CM2,historical,1980,287.17538452
ACCESS-CM2,historical,1981,286.89910889
ACCESS-CM2,historical,1982,285.97866821
ACCESS-CM2,historical,1983,285.69256592
ACCESS-CM2,historical,1984,287.15731812
ACCESS-CM2,historical,1985,288.16305542
ACCESS-CM2,historical,1986,286.55786133
ACCESS-CM2,historical,1987,288.34292603
ACCESS-CM2,historical,1988,289.04544067
ACCESS-CM2,historical,1989,285.30648804
ACCESS-CM2,historical,1990,289.24713135
ACCESS-CM2,historical,1991,288.08938599
ACCESS-CM2,historical,1992,286.50036621
ACCESS-CM2,historical,1993,289.04067993
ACCESS-CM2,historical,1994,287.29782104
ACCESS-CM2,historical,1995,287.11550903
ACCESS-CM2,historical,1996,288.51065063
ACCESS-CM2,historical,1997,288.17697144
ACCESS-CM2,historical,1998,288.43942261
ACCESS-CM2,historical,1999,288.00167847
ACCESS-CM2,historical,2000,286.04391479
ACCESS-CM2,historical,2001,288.50689697
ACCESS-CM2,historical,2002,287.45373535
ACCESS-CM2,historical,2003,287.47573853
ACCESS-CM2,historical,2004,286.55364990
ACCESS-CM2,historical,2005,289.42477417
ACCESS-CM2,historical,2006,287.36358643
ACCESS-CM2,historical,2007,287.38772583
ACCESS-CM2,historical,2008,287.81509399
ACCESS-CM2,historical,2009,286.55517578
ACCESS-CM2,historical,2010,287.50131226
ACCESS-CM2,historical,2011,289.15231323
ACCESS-CM2,historical,2012,287.86776733
ACCESS-CM2,historical,2013,287.63366699
ACCESS-CM2,historical,2014,286.61898804
ACCESS-CM2,ssp126,2015,285.87222290
ACCESS-CM2,ssp126,2016,288.48858643
ACCESS-CM2,ssp126,2017,287.40948486
ACCESS-CM2,ssp126,2018,288.98818970
ACCESS-CM2,ssp126,2019,288.80783081
ACCESS-CM2,ssp126,2020,289.68045044
ACCESS-CM2,ssp126,2021,288.97119141
ACCESS-CM2,ssp126,2022,289.62298584
ACCESS-CM2,ssp126,2023,288.93502808
ACCESS-CM2,ssp126,2024,286.57510376
ACCESS-CM2,ssp126,2025,287.68539429
ACCESS-CM2,ssp126,2026,286.03759766
ACCESS-CM2,ssp126,2027,288.29016113
ACCESS-CM2,ssp126,2028,290.39315796
ACCESS-CM2,ssp126,2029,287.88320923
ACCESS-CM2,ssp126,2030,289.08706665
ACCESS-CM2,ssp126,2031,287.24057007
ACCESS-CM2,ssp126,2032,286.92388916
ACCESS-CM2,ssp126,2033,288.05712891
ACCESS-CM2,ssp126,2034,286.64053345
ACCESS-CM2,ssp126,2035,289.73129272
ACCESS-CM2,ssp126,2036,289.35675049
ACCESS-CM2,ssp126,2037,289.88070679
ACCESS-CM2,ssp126,2038,288.18359375
ACCESS-CM2,ssp126,2039,290.05068970
ACCESS-CM2,ssp126,2040,289.69528198
ACCESS-CM2,ssp126,2041,287.19430542
ACCESS-CM2,ssp126,2042,289.02563477
ACCESS-CM2,ssp126,2043,290.92575073
ACCESS-CM2,ssp126,2044,288.90560913
ACCESS-CM2,ssp126,2045,289.19699097
ACCESS-CM2,ssp126,2046,288.18572998
ACCESS-CM2,ssp126,2047,290.27438354
ACCESS-CM2,ssp126,2048,289.05874634
ACCESS-CM2,ssp126,2049,289.84268188
ACCESS-CM2,ssp126,2050,290.51812744
ACCESS-CM2,ssp126,2051,289.06304932
ACCESS-CM2,ssp126,2052,289.77874756
ACCESS-CM2,ssp126,2053,288.98318481
ACCESS-CM2,ssp126,2054,288.96676636
ACCESS-CM2,ssp126,2055,290.77410889
ACCESS-CM2,ssp126,2056,290.81228638
ACCESS-CM2,ssp126,2057,289.99508667
ACCESS-CM2,ssp126,2058,288.30310059
ACCESS-CM2,ssp126,2059,290.24191284
ACCESS-CM2,ssp126,2060,288.68432617
ACCESS-CM2,ssp126,2061,287.29269409
ACCESS-CM2,ssp126,2062,287.95196533
ACCESS-CM2,ssp126,2063,289.74276733
ACCESS-CM2,ssp126,2064,288.10083008
ACCESS-CM2,ssp126,2065,289.32025146
ACCESS-CM2,ssp126,2066,289.05514526
ACCESS-CM2,ssp126,2067,290.15472412
ACCESS-CM2,ssp126,2068,290.20089722
ACCESS-CM2,ssp126,2069,289.16589355
ACCESS-CM2,ssp126,2070,288.63391113
ACCESS-CM2,ssp126,2071,289.79214478
ACCESS-CM2,ssp126,2072,290.18966675
ACCESS-CM2,ssp126,2073,288.76828003
ACCESS-CM2,ssp126,2074,289.58810425
ACCESS-CM2,ssp126,2075,287.99526978
ACCESS-CM2,ssp126,2076,290.61856079
ACCESS-CM2,ssp126,2077,289.76138306
ACCESS-CM2,ssp126,2078,292.48202515
ACCESS-CM2,ssp126,2079,290.78643799
ACCESS-CM2,ssp126,2080,289.94250488
ACCESS-CM2,ssp126,2081,287.46209717
ACCESS-CM2,ssp126,2082,290.46694946
ACCESS-CM2,ssp126,2083,288.06747437
ACCESS-CM2,ssp126,2084,289.40289307
ACCESS-CM2,ssp126,2085,289.05184937
ACCESS-CM2,ssp126,2086,290.05007935
ACCESS-CM2,ssp126,2087,287.87478638
ACCESS-CM2,ssp126,2088,289.67764282
ACCESS-CM2,ssp126,2089,290.25555420
ACCESS-CM2,ssp126,2090,289.61187744
ACCESS-CM2,ssp126,2091,289.77026367
ACCESS-CM2,ssp126,2092,289.31628418
ACCESS-CM2,ssp126,2093,288.91210938
ACCESS-CM2,ssp126,2094,290.16436768
ACCESS-CM2,ssp126,2095,288.94345093
ACCESS-CM2,ssp126,2096,287.76306152
ACCESS-CM2,ssp126,2097,290.09500122
ACCESS-CM2,ssp126,2098,290.77655029
ACCESS-CM2,ssp126,2099,289.99563599
ACCESS-CM2,ssp245,2015,288.68365479
ACCESS-CM2,ssp245,2016,286.13232422
ACCESS-CM2,ssp245,2017,288.89620972
ACCESS-CM2,ssp245,2018,287.99047852
ACCESS-CM2,ssp245,2019,286.58416748
ACCESS-CM2,ssp245,2020,289.50711060
ACCESS-CM2,ssp245,2021,288.03881836
ACCESS-CM2,ssp245,2022,288.56530762
ACCESS-CM2,ssp245,2023,287.13760376
ACCESS-CM2,ssp245,2024,287.84872437
ACCESS-CM2,ssp245,2025,288.64602661
ACCESS-CM2,ssp245,2026,289.17031860
ACCESS-CM2,ssp245,2027,288.80703735
ACCESS-CM2,ssp245,2028,286.76473999
ACCESS-CM2,ssp245,2029,289.08139038
ACCESS-CM2,ssp245,2030,288.67486572
ACCESS-CM2,ssp245,2031,288.09469604
ACCESS-CM2,ssp245,2032,288.14331055
ACCESS-CM2,ssp245,2033,288.00665283
ACCESS-CM2,ssp245,2034,289.16424561
ACCESS-CM2,ssp245,2035,289.95721436
ACCESS-CM2,ssp245,2036,289.51333618
ACCESS-CM2,ssp245,2037,290.57208252
ACCESS-CM2,ssp245,2038,289.54861450
ACCESS-CM2,ssp245,2039,289.91488647
ACCESS-CM2,ssp245,2040,290.03085327
ACCESS-CM2,ssp245,2041,289.28100586
ACCESS-CM2,ssp245,2042,290.24493408
ACCESS-CM2,ssp245,2043,289.33966064
ACCESS-CM2,ssp245,2044,289.27603149
ACCESS-CM2,ssp245,2045,288.44168091
ACCESS-CM2,ssp245,2046,290.26199341
ACCESS-CM2,ssp245,2047,288.05743408
ACCESS-CM2,ssp245,2048,291.11846924
ACCESS-CM2,ssp245,2049,288.90371704
ACCESS-CM2,ssp245,2050,289.45767212
ACCESS-CM2,ssp245,2051,289.80941772
ACCESS-CM2,ssp245,2052,289.56585693
ACCESS-CM2,ssp245,2053,288.76434326
ACCESS-CM2,ssp245,2054,290.46343994
ACCESS-CM2,ssp245,2055,289.95364380
ACCESS-CM2,ssp245,2056,289.54211426
ACCESS-CM2,ssp245,2057,290.78100586
ACCESS-CM2,ssp245,2058,289.67910767
ACCESS-CM2,ssp245,2059,292.17431641
ACCESS-CM2,ssp245,2060,288.78033447
ACCESS-CM2,ssp245,2061,291.66470337
ACCESS-CM2,ssp245,2062,290.62271118
ACCESS-CM2,ssp245,2063,289.59649658
ACCESS-CM2,ssp245,2064,289.11859131
ACCESS-CM2,ssp245,2065,292.24673462
ACCESS-CM2,ssp245,2066,290.55780029
ACCESS-CM2,ssp245,2067,289.62124634
ACCESS-CM2,ssp245,2068,291.82525635
ACCESS-CM2,ssp245,2069,291.69503784
ACCESS-CM2,ssp245,2070,291.36898804
ACCESS-CM2,ssp245,2071,291.14694214
ACCESS-CM2,ssp245,2072,291.82147217
ACCESS-CM2,ssp245,2073,292.84228516
ACCESS-CM2,ssp245,2074,289.58026123
ACCESS-CM2,ssp245,2075,290.09027100
ACCESS-CM2,ssp245,2076,290.17578125
ACCESS-CM2,ssp245,2077,291.82675171
ACCESS-CM2,ssp245,2078,289.92938232
ACCESS-CM2,ssp245,2079,290.28393555
ACCESS-CM2,ssp245,2080,291.59381104
ACCESS-CM2,ssp245,2081,289.96099854
ACCESS-CM2,ssp245,2082,289.58236694
ACCESS-CM2,ssp245,2083,289.55789185
ACCESS-CM2,ssp245,2084,291.00018311
ACCESS-CM2,ssp245,2085,291.24542236
ACCESS-CM2,ssp245,2086,291.73754883
ACCESS-CM2,ssp245,2087,290.45672607
ACCESS-CM2,ssp245,2088,291.83459473
ACCESS-CM2,ssp245,2089,291.26852417
ACCESS-CM2,ssp245,2090,290.33245850
ACCESS-CM2,ssp245,2091,291.79260254
ACCESS-CM2,ssp245,2092,292.53253174
ACCESS-CM2,ssp245,2093,292.44329834
ACCESS-CM2,ssp245,2094,289.69186401
ACCESS-CM2,ssp245,2095,292.16775513
ACCESS-CM2,ssp245,2096,291.58303833
ACCESS-CM2,ssp245,2097,290.96353149
ACCESS-CM2,ssp245,2098,290.14334106
ACCESS-CM2,ssp245,2099,293.52114868
ACCESS-CM2,ssp370,2015,288.38775635
ACCESS-CM2,ssp370,2016,288.48983765
ACCESS-CM2,ssp370,2017,285.47683716
ACCESS-CM2,ssp370,2018,288.55825806
ACCESS-CM2,ssp370,2019,289.40835571
ACCESS-CM2,ssp370,2020,288.26504517
ACCESS-CM2,ssp370,2021,289.10879517
ACCESS-CM2,ssp370,2022,287.62307739
ACCESS-CM2,ssp370,2023,288.72723389
ACCESS-CM2,ssp370,2024,288.94647217
ACCESS-CM2,ssp370,2025,289.23519897
ACCESS-CM2,ssp370,2026,288.27835083
ACCESS-CM2,ssp370,2027,290.24502563
ACCESS-CM2,ssp370,2028,288.37609863
ACCESS-CM2,ssp370,2029,289.68048096
ACCESS-CM2,ssp370,2030,289.49661255
ACCESS-CM2,ssp370,2031,289.51995850
ACCESS-CM2,ssp370,2032,288.89303589
ACCESS-CM2,ssp370,2033,288.83334351
