model,experiment,year,tas
ACCESS-CM2,historical,1960,288.56588745
ACCESS-CM2,historical,1961,287.97244263
ACCESS-CM2,historical,1962,288.89987183
ACCESS-CM2,historical,1963,289.91683960
ACCESS-CM2,historical,1964,288.04495239
ACCESS-CM2,historical,1965,291.23471069
ACCESS-CM2,historical,1966,289.17611694
ACCESS-CM2,historical,1967,288.47763062
ACCESS-CM2,historical,1968,289.90951538
ACCESS-CM2,historical,1969,287.53375244
ACCESS-CM2,historical,1970,289.99053955
ACCESS-CM2,historical,1971,289.14907837
ACCESS-CM2,historical,1972,288.14559937
ACCESS-CM2,historical,1973,289.37213135
ACCESS-CM2,historical,1974,290.82229614
ACCESS-CM2,historical,1975,288.35144043
ACCESS-CM2,historical,1976,288.48223877
ACCESS-CM2,historical,1977,289.26248169
ACCESS-CM2,historical,1978,290.30636597
ACCESS-CM2,historical,1979,288.08319092
ACCESS-CM2,historical,1980,288.84844971
ACCESS-CM2,historical,1981,289.87115479
ACCESS-CM2,historical,1982,287.82791138
ACCESS-CM2,historical,1983,288.36172485
ACCESS-CM2,historical,1984,289.76345825
ACCESS-CM2,historical,1985,290.36584473
ACCESS-CM2,historical,1986,288.80697632
ACCESS-CM2,historical,1987,290.31600952
ACCESS-CM2,historical,1988,290.93496704
ACCESS-CM2,historical,1989,287.24124146
ACCESS-CM2,historical,1990,291.65823364
ACCESS-CM2,historical,1991,289.85714722
ACCESS-CM2,historical,1992,288.77139282
ACCESS-CM2,historical,1993,290.91397095
ACCESS-CM2,historical,1994,289.49740601
ACCESS-CM2,historical,1995,289.00283813
ACCESS-CM2,historical,1996,291.50924683
ACCESS-CM2,historical,1997,290.45449829
ACCESS-CM2,historical,1998,290.32208252
ACCESS-CM2,historical,1999,290.65335083
ACCESS-CM2,historical,2000,288.55441284
ACCESS-CM2,historical,2001,290.93713379
ACCESS-CM2,historical,2002,289.48526001
ACCESS-CM2,historical,2003,290.22216797
ACCESS-CM2,historical,2004,289.36843872
ACCESS-CM2,historical,2005,291.22799683
ACCESS-CM2,historical,2006,289.42733765
ACCESS-CM2,historical,2007,289.95440674
ACCESS-CM2,historical,2008,290.09042358
ACCESS-CM2,historical,2009,288.83932495
ACCESS-CM2,historical,2010,289.40237427
ACCESS-CM2,historical,2011,291.61322021
ACCESS-CM2,historical,2012,289.47903442
ACCESS-CM2,historical,2013,290.13543701
ACCESS-CM2,historical,2014,289.09811401
ACCESS-CM2,ssp126,2015,287.88290405
ACCESS-CM2,ssp126,2016,290.91244507
ACCESS-CM2,ssp126,2017,289.89065552
ACCESS-CM2,ssp126,2018,291.04595947
ACCESS-CM2,ssp126,2019,291.17367554
ACCESS-CM2,ssp126,2020,291.77569580
ACCESS-CM2,ssp126,2021,291.34643555
ACCESS-CM2,ssp126,2022,291.33175659
ACCESS-CM2,ssp126,2023,291.22290039
ACCESS-CM2,ssp126,2024,288.91326904
ACCESS-CM2,ssp126,2025,289.72122192
ACCESS-CM2,ssp126,2026,288.65585327
ACCESS-CM2,ssp126,2027,290.57009888
ACCESS-CM2,ssp126,2028,292.28018188
ACCESS-CM2,ssp126,2029,290.24221802
ACCESS-CM2,ssp126,2030,291.69497681
ACCESS-CM2,ssp126,2031,289.86370850
ACCESS-CM2,ssp126,2032,289.19491577
ACCESS-CM2,ssp126,2033,290.05007935
ACCESS-CM2,ssp126,2034,288.72848511
ACCESS-CM2,ssp126,2035,292.41290283
ACCESS-CM2,ssp126,2036,291.19351196
ACCESS-CM2,ssp126,2037,291.54748535
ACCESS-CM2,ssp126,2038,290.10330200
ACCESS-CM2,ssp126,2039,292.01837158
ACCESS-CM2,ssp126,2040,291.73471069
ACCESS-CM2,ssp126,2041,289.21990967
ACCESS-CM2,ssp126,2042,291.52886963
ACCESS-CM2,ssp126,2043,292.86599731
ACCESS-CM2,ssp126,2044,290.97430420
ACCESS-CM2,ssp126,2045,291.28079224
ACCESS-CM2,ssp126,2046,289.89315796
ACCESS-CM2,ssp126,2047,292.52676392
ACCESS-CM2,ssp126,2048,291.13980103
ACCESS-CM2,ssp126,2049,292.44287109
ACCESS-CM2,ssp126,2050,292.88406372
ACCESS-CM2,ssp126,2051,291.53619385
ACCESS-CM2,ssp126,2052,291.85913086
ACCESS-CM2,ssp126,2053,291.14529419
ACCESS-CM2,ssp126,2054,290.27465820
ACCESS-CM2,ssp126,2055,293.34835815
ACCESS-CM2,ssp126,2056,293.18341064
ACCESS-CM2,ssp126,2057,292.91815186
ACCESS-CM2,ssp126,2058,290.26525879
ACCESS-CM2,ssp126,2059,292.64923096
ACCESS-CM2,ssp126,2060,291.63845825
ACCESS-CM2,ssp126,2061,289.28134155
ACCESS-CM2,ssp126,2062,290.39923096
ACCESS-CM2,ssp126,2063,292.36163330
ACCESS-CM2,ssp126,2064,290.48663330
ACCESS-CM2,ssp126,2065,290.93655396
ACCESS-CM2,ssp126,2066,291.32040405
ACCESS-CM2,ssp126,2067,291.88653564
ACCESS-CM2,ssp126,2068,291.95214844
ACCESS-CM2,ssp126,2069,291.19049072
ACCESS-CM2,ssp126,2070,290.34161377
ACCESS-CM2,ssp126,2071,291.24795532
ACCESS-CM2,ssp126,2072,291.97216797
ACCESS-CM2,ssp126,2073,291.11557007
ACCESS-CM2,ssp126,2074,291.38537598
ACCESS-CM2,ssp126,2075,290.43643188
ACCESS-CM2,ssp126,2076,292.99096680
ACCESS-CM2,ssp126,2077,292.17108154
ACCESS-CM2,ssp126,2078,294.31137085
ACCESS-CM2,ssp126,2079,293.06130981
ACCESS-CM2,ssp126,2080,291.77575684
ACCESS-CM2,ssp126,2081,289.64056396
ACCESS-CM2,ssp126,2082,292.44354248
ACCESS-CM2,ssp126,2083,289.72137451
ACCESS-CM2,ssp126,2084,291.61294556
ACCESS-CM2,ssp126,2085,291.22442627
ACCESS-CM2,ssp126,2086,292.75149536
ACCESS-CM2,ssp126,2087,290.06878662
ACCESS-CM2,ssp126,2088,292.48083496
ACCESS-CM2,ssp126,2089,292.61962891
ACCESS-CM2,ssp126,2090,292.00558472
ACCESS-CM2,ssp126,2091,291.41622925
ACCESS-CM2,ssp126,2092,291.80746460
ACCESS-CM2,ssp126,2093,291.02462769
ACCESS-CM2,ssp126,2094,292.22308350
ACCESS-CM2,ssp126,2095,290.93862915
ACCESS-CM2,ssp126,2096,290.17587280
ACCESS-CM2,ssp126,2097,292.59405518
ACCESS-CM2,ssp126,2098,292.94711304
ACCESS-CM2,ssp126,2099,292.21636963
ACCESS-CM2,ssp245,2015,291.19558716
ACCESS-CM2,ssp245,2016,288.17568970
ACCESS-CM2,ssp245,2017,290.75698853
ACCESS-CM2,ssp245,2018,290.39932251
ACCESS-CM2,ssp245,2019,289.10662842
ACCESS-CM2,ssp245,2020,291.55694580
ACCESS-CM2,ssp245,2021,290.31512451
ACCESS-CM2,ssp245,2022,290.46719360
ACCESS-CM2,ssp245,2023,288.83428955
ACCESS-CM2,ssp245,2024,290.14004517
ACCESS-CM2,ssp245,2025,290.93786621
ACCESS-CM2,ssp245,2026,291.10119629
ACCESS-CM2,ssp245,2027,290.55975342
ACCESS-CM2,ssp245,2028,289.50299072
ACCESS-CM2,ssp245,2029,291.86715698
ACCESS-CM2,ssp245,2030,290.40563965
ACCESS-CM2,ssp245,2031,289.76867676
ACCESS-CM2,ssp245,2032,289.91815186
ACCESS-CM2,ssp245,2033,290.06509399
ACCESS-CM2,ssp245,2034,291.53280640
ACCESS-CM2,ssp245,2035,291.57699585
ACCESS-CM2,ssp245,2036,291.88052368
ACCESS-CM2,ssp245,2037,292.83648682
ACCESS-CM2,ssp245,2038,291.88302612
ACCESS-CM2,ssp245,2039,291.71539307
ACCESS-CM2,ssp245,2040,291.85479736
ACCESS-CM2,ssp245,2041,290.65261841
ACCESS-CM2,ssp245,2042,293.09515381
ACCESS-CM2,ssp245,2043,291.41088867
