model,experiment,year,tas
ACCESS-CM2,historical,1960,281.29809570
ACCESS-CM2,historical,1961,281.46771240
ACCESS-CM2,historical,1962,281.79525757
ACCESS-CM2,historical,1963,281.45843506
ACCESS-CM2,historical,1964,280.80651855
ACCESS-CM2,historical,1965,280.90832520
ACCESS-CM2,historical,1966,280.74874878
ACCESS-CM2,historical,1967,279.74423218
ACCESS-CM2,historical,1968,280.91366577
ACCESS-CM2,historical,1969,280.77578735
ACCESS-CM2,historical,1970,280.96063232
ACCESS-CM2,historical,1971,280.30493164
ACCESS-CM2,historical,1972,280.16656494
ACCESS-CM2,historical,1973,281.05618286
ACCESS-CM2,historical,1974,280.62585449
ACCESS-CM2,historical,1975,280.25585938
ACCESS-CM2,historical,1976,280.28433228
ACCESS-CM2,historical,1977,280.46426392
ACCESS-CM2,historical,1978,281.81475830
ACCESS-CM2,historical,1979,280.87359619
ACCESS-CM2,historical,1980,281.54217529
ACCESS-CM2,historical,1981,281.79171753
ACCESS-CM2,historical,1982,280.87924194
ACCESS-CM2,historical,1983,280.86813354
ACCESS-CM2,historical,1984,280.66336060
ACCESS-CM2,historical,1985,280.72674561
ACCESS-CM2,historical,1986,280.63635254
ACCESS-CM2,historical,1987,280.73373413
ACCESS-CM2,historical,1988,281.52920532
ACCESS-CM2,historical,1989,281.11785889
ACCESS-CM2,historical,1990,281.84762573
ACCESS-CM2,historical,1991,280.54818726
ACCESS-CM2,historical,1992,280.26501465
ACCESS-CM2,historical,1993,281.31072998
ACCESS-CM2,historical,1994,281.49276733
ACCESS-CM2,historical,1995,281.48666382
ACCESS-CM2,historical,1996,280.34606934
ACCESS-CM2,historical,1997,281.15454102
ACCESS-CM2,historical,1998,280.93789673
ACCESS-CM2,historical,1999,281.02529907
ACCESS-CM2,historical,2000,281.07919312
ACCESS-CM2,historical,2001,280.90161133
ACCESS-CM2,historical,2002,281.26382446
ACCESS-CM2,historical,2003,281.75192261
ACCESS-CM2,historical,2004,282.24221802
ACCESS-CM2,historical,2005,281.74969482
ACCESS-CM2,historical,2006,281.28677368
ACCESS-CM2,historical,2007,281.46240234
ACCESS-CM2,historical,2008,280.30599976
ACCESS-CM2,historical,2009,281.77413940
ACCESS-CM2,historical,2010,280.54949951
ACCESS-CM2,historical,2011,281.31051636
ACCESS-CM2,historical,2012,281.22927856
ACCESS-CM2,historical,2013,281.72247314
ACCESS-CM2,historical,2014,281.57235718
ACCESS-CM2,ssp126,2015,280.59942627
ACCESS-CM2,ssp126,2016,280.86544800
ACCESS-CM2,ssp126,2017,281.14605713
ACCESS-CM2,ssp126,2018,282.20056152
ACCESS-CM2,ssp126,2019,282.23428345
ACCESS-CM2,ssp126,2020,282.26947021
ACCESS-CM2,ssp126,2021,282.13656616
ACCESS-CM2,ssp126,2022,280.98394775
ACCESS-CM2,ssp126,2023,281.58837891
ACCESS-CM2,ssp126,2024,281.92428589
ACCESS-CM2,ssp126,2025,281.55078125
ACCESS-CM2,ssp126,2026,281.32858276
ACCESS-CM2,ssp126,2027,281.25341797
ACCESS-CM2,ssp126,2028,281.67114258
ACCESS-CM2,ssp126,2029,282.06506348
ACCESS-CM2,ssp126,2030,282.40875244
ACCESS-CM2,ssp126,2031,280.86221313
ACCESS-CM2,ssp126,2032,281.79299927
ACCESS-CM2,ssp126,2033,281.55932617
ACCESS-CM2,ssp126,2034,281.94912720
ACCESS-CM2,ssp126,2035,281.03631592
ACCESS-CM2,ssp126,2036,282.01885986
ACCESS-CM2,ssp126,2037,281.85275269
ACCESS-CM2,ssp126,2038,282.21548462
ACCESS-CM2,ssp126,2039,281.66738892
ACCESS-CM2,ssp126,2040,282.06637573
ACCESS-CM2,ssp126,2041,281.52999878
ACCESS-CM2,ssp126,2042,282.49774170
ACCESS-CM2,ssp126,2043,281.88217163
ACCESS-CM2,ssp126,2044,281.41528320
ACCESS-CM2,ssp126,2045,282.28579712
ACCESS-CM2,ssp126,2046,281.67694092
ACCESS-CM2,ssp126,2047,283.02053833
ACCESS-CM2,ssp126,2048,281.78924561
ACCESS-CM2,ssp126,2049,281.77972412
ACCESS-CM2,ssp126,2050,280.35281372
ACCESS-CM2,ssp126,2051,282.52963257
ACCESS-CM2,ssp126,2052,283.03717041
ACCESS-CM2,ssp126,2053,283.18722534
ACCESS-CM2,ssp126,2054,281.52166748
ACCESS-CM2,ssp126,2055,282.58938599
ACCESS-CM2,ssp126,2056,283.13983154
ACCESS-CM2,ssp126,2057,282.44732666
ACCESS-CM2,ssp126,2058,282.14694214
ACCESS-CM2,ssp126,2059,282.81198120
ACCESS-CM2,ssp126,2060,282.99273682
ACCESS-CM2,ssp126,2061,282.35482788
ACCESS-CM2,ssp126,2062,281.94512939
ACCESS-CM2,ssp126,2063,282.40142822
ACCESS-CM2,ssp126,2064,282.88961792
ACCESS-CM2,ssp126,2065,283.00033569
ACCESS-CM2,ssp126,2066,283.05599976
ACCESS-CM2,ssp126,2067,282.90975952
ACCESS-CM2,ssp126,2068,282.78631592
