model,experiment,year,tas
ACCESS-CM2,historical,1960,277.68319702
ACCESS-CM2,historical,1961,278.26126099
ACCESS-CM2,historical,1962,278.11639404
ACCESS-CM2,historical,1963,277.77078247
ACCESS-CM2,historical,1964,276.97912598
ACCESS-CM2,historical,1965,277.18783569
ACCESS-CM2,historical,1966,277.15829468
ACCESS-CM2,historical,1967,276.68435669
ACCESS-CM2,historical,1968,277.60528564
ACCESS-CM2,historical,1969,277.47308350
ACCESS-CM2,historical,1970,277.31777954
ACCESS-CM2,historical,1971,276.46054077
ACCESS-CM2,historical,1972,276.40029907
ACCESS-CM2,historical,1973,277.71295166
ACCESS-CM2,historical,1974,276.78973389
ACCESS-CM2,historical,1975,276.53033447
ACCESS-CM2,historical,1976,277.18383789
ACCESS-CM2,historical,1977,277.42355347
ACCESS-CM2,historical,1978,277.77151489
ACCESS-CM2,historical,1979,277.44747925
ACCESS-CM2,historical,1980,277.99765015
ACCESS-CM2,historical,1981,278.22418213
ACCESS-CM2,historical,1982,277.30352783
ACCESS-CM2,historical,1983,277.26834106
ACCESS-CM2,historical,1984,276.82882690
ACCESS-CM2,historical,1985,277.22274780
ACCESS-CM2,historical,1986,277.06274414
ACCESS-CM2,historical,1987,277.67852783
ACCESS-CM2,historical,1988,277.81356812
ACCESS-CM2,historical,1989,277.84634399
ACCESS-CM2,historical,1990,278.28384399
ACCESS-CM2,historical,1991,277.11474609
ACCESS-CM2,historical,1992,276.82461548
ACCESS-CM2,historical,1993,277.91873169
ACCESS-CM2,historical,1994,277.73187256
ACCESS-CM2,historical,1995,277.98284912
ACCESS-CM2,historical,1996,276.82794189
ACCESS-CM2,historical,1997,277.80743408
ACCESS-CM2,historical,1998,277.64587402
ACCESS-CM2,historical,1999,277.51788330
ACCESS-CM2,historical,2000,277.68438721
ACCESS-CM2,historical,2001,277.04092407
ACCESS-CM2,historical,2002,277.72625732
ACCESS-CM2,historical,2003,278.17306519
ACCESS-CM2,historical,2004,278.72406006
ACCESS-CM2,historical,2005,278.33282471
ACCESS-CM2,historical,2006,277.84393311
ACCESS-CM2,historical,2007,278.26242065
ACCESS-CM2,historical,2008,276.70156860
ACCESS-CM2,historical,2009,278.29809570
ACCESS-CM2,historical,2010,277.14855957
ACCESS-CM2,historical,2011,277.34530640
ACCESS-CM2,historical,2012,277.85305786
ACCESS-CM2,historical,2013,278.31201172
ACCESS-CM2,historical,2014,278.21505737
ACCESS-CM2,ssp126,2015,277.44900513
ACCESS-CM2,ssp126,2016,277.46414185
ACCESS-CM2,ssp126,2017,277.87329102
ACCESS-CM2,ssp126,2018,278.42602539
ACCESS-CM2,ssp126,2019,278.45101929
ACCESS-CM2,ssp126,2020,278.98089600
ACCESS-CM2,ssp126,2021,278.61788940
ACCESS-CM2,ssp126,2022,277.20260620
ACCESS-CM2,ssp126,2023,278.26657104
ACCESS-CM2,ssp126,2024,278.35382080
ACCESS-CM2,ssp126,2025,278.17678833
ACCESS-CM2,ssp126,2026,278.33975220
ACCESS-CM2,ssp126,2027,277.69729614
ACCESS-CM2,ssp126,2028,277.86111450
ACCESS-CM2,ssp126,2029,278.37588501
ACCESS-CM2,ssp126,2030,278.97805786
ACCESS-CM2,ssp126,2031,277.59570312
ACCESS-CM2,ssp126,2032,278.19949341
ACCESS-CM2,ssp126,2033,277.72796631
ACCESS-CM2,ssp126,2034,278.26287842
ACCESS-CM2,ssp126,2035,277.65853882
ACCESS-CM2,ssp126,2036,278.36715698
ACCESS-CM2,ssp126,2037,278.31903076
ACCESS-CM2,ssp126,2038,278.45223999
ACCESS-CM2,ssp126,2039,278.33514404
ACCESS-CM2,ssp126,2040,278.74459839
ACCESS-CM2,ssp126,2041,277.72549438
ACCESS-CM2,ssp126,2042,278.47933960
ACCESS-CM2,ssp126,2043,278.60604858
ACCESS-CM2,ssp126,2044,278.02020264
ACCESS-CM2,ssp126,2045,278.69265747
ACCESS-CM2,ssp126,2046,278.28198242
ACCESS-CM2,ssp126,2047,279.55038452
ACCESS-CM2,ssp126,2048,278.66314697
ACCESS-CM2,ssp126,2049,278.38644409
ACCESS-CM2,ssp126,2050,276.79556274
ACCESS-CM2,ssp126,2051,279.18124390
ACCESS-CM2,ssp126,2052,279.27786255
ACCESS-CM2,ssp126,2053,279.74114990
ACCESS-CM2,ssp126,2054,278.49508667
ACCESS-CM2,ssp126,2055,279.14843750
ACCESS-CM2,ssp126,2056,279.91510010
ACCESS-CM2,ssp126,2057,279.08819580
ACCESS-CM2,ssp126,2058,278.59802246
ACCESS-CM2,ssp126,2059,279.20022583
ACCESS-CM2,ssp126,2060,279.49673462
ACCESS-CM2,ssp126,2061,278.79888916
ACCESS-CM2,ssp126,2062,278.52828979
ACCESS-CM2,ssp126,2063,278.88766479
ACCESS-CM2,ssp126,2064,279.49148560
ACCESS-CM2,ssp126,2065,279.42285156
ACCESS-CM2,ssp126,2066,279.51727295
ACCESS-CM2,ssp126,2067,279.62078857
ACCESS-CM2,ssp126,2068,279.55340576
ACCESS-CM2,ssp126,2069,279.28039551
ACCESS-CM2,ssp126,2070,279.44921875
ACCESS-CM2,ssp126,2071,279.57086182
ACCESS-CM2,ssp126,2072,278.66262817
ACCESS-CM2,ssp126,2073,279.38034058
ACCESS-CM2,ssp126,2074,279.27111816
ACCESS-CM2,ssp126,2075,279.74560547
ACCESS-CM2,ssp126,2076,279.27871704
ACCESS-CM2,ssp126,2077,278.35110474
ACCESS-CM2,ssp126,2078,278.48294067
ACCESS-CM2,ssp126,2079,278.09197998
ACCESS-CM2,ssp126,2080,279.02661133
ACCESS-CM2,ssp126,2081,279.17239380
ACCESS-CM2,ssp126,2082,278.11666870
ACCESS-CM2,ssp126,2083,278.66537476
ACCESS-CM2,ssp126,2084,278.46801758
ACCESS-CM2,ssp126,2085,279.26306152
