model,experiment,year,tas
ACCESS-CM2,historical,1960,290.63937378
ACCESS-CM2,historical,1961,291.79476929
ACCESS-CM2,historical,1962,291.49591064
ACCESS-CM2,historical,1963,292.44818115
ACCESS-CM2,historical,1964,289.28732300
ACCESS-CM2,historical,1965,291.30850220
ACCESS-CM2,historical,1966,290.64169312
ACCESS-CM2,historical,1967,292.10336304
ACCESS-CM2,historical,1968,292.07379150
ACCESS-CM2,historical,1969,290.59936523
ACCESS-CM2,historical,1970,290.61148071
ACCESS-CM2,historical,1971,292.45532227
ACCESS-CM2,historical,1972,290.18322754
ACCESS-CM2,historical,1973,292.21713257
ACCESS-CM2,historical,1974,291.25030518
ACCESS-CM2,historical,1975,290.70544434
ACCESS-CM2,historical,1976,292.98626709
ACCESS-CM2,historical,1977,290.90197754
ACCESS-CM2,historical,1978,291.79278564
ACCESS-CM2,historical,1979,290.64514160
ACCESS-CM2,historical,1980,293.29306030
ACCESS-CM2,historical,1981,291.32394409
ACCESS-CM2,historical,1982,292.18460083
ACCESS-CM2,historical,1983,290.79888916
ACCESS-CM2,historical,1984,291.73559570
ACCESS-CM2,historical,1985,291.31951904
ACCESS-CM2,historical,1986,290.38601685
ACCESS-CM2,historical,1987,292.26919556
ACCESS-CM2,historical,1988,292.63735962
ACCESS-CM2,historical,1989,292.89773560
ACCESS-CM2,historical,1990,293.23950195
ACCESS-CM2,historical,1991,293.09262085
ACCESS-CM2,historical,1992,290.48153687
ACCESS-CM2,historical,1993,292.14102173
ACCESS-CM2,historical,1994,295.09393311
ACCESS-CM2,historical,1995,290.77725220
ACCESS-CM2,historical,1996,293.93463135
ACCESS-CM2,historical,1997,291.15203857
ACCESS-CM2,historical,1998,294.20223999
ACCESS-CM2,historical,1999,290.96002197
ACCESS-CM2,historical,2000,290.78384399
ACCESS-CM2,historical,2001,292.23153687
ACCESS-CM2,historical,2002,291.33920288
ACCESS-CM2,historical,2003,292.99298096
ACCESS-CM2,historical,2004,293.64947510
ACCESS-CM2,historical,2005,294.17459106
ACCESS-CM2,historical,2006,289.97042847
ACCESS-CM2,historical,2007,292.78936768
ACCESS-CM2,historical,2008,291.37924194
ACCESS-CM2,historical,2009,291.47668457
ACCESS-CM2,historical,2010,292.43051147
ACCESS-CM2,historical,2011,292.98403931
ACCESS-CM2,historical,2012,293.34835815
ACCESS-CM2,historical,2013,292.93200684
ACCESS-CM2,historical,2014,292.51467896
ACCESS-CM2,ssp126,2015,291.79254150
ACCESS-CM2,ssp126,2016,293.51296997
ACCESS-CM2,ssp126,2017,293.13558960
ACCESS-CM2,ssp126,2018,292.34701538
ACCESS-CM2,ssp126,2019,293.32592773
ACCESS-CM2,ssp126,2020,295.11779785
ACCESS-CM2,ssp126,2021,293.89459229
ACCESS-CM2,ssp126,2022,291.95141602
ACCESS-CM2,ssp126,2023,294.29595947
ACCESS-CM2,ssp126,2024,291.08996582
ACCESS-CM2,ssp126,2025,292.75128174
ACCESS-CM2,ssp126,2026,293.45620728
ACCESS-CM2,ssp126,2027,290.62216187
ACCESS-CM2,ssp126,2028,294.97402954
ACCESS-CM2,ssp126,2029,293.16732788
ACCESS-CM2,ssp126,2030,294.36099243
ACCESS-CM2,ssp126,2031,292.16055298
ACCESS-CM2,ssp126,2032,292.63595581
ACCESS-CM2,ssp126,2033,292.55514526
ACCESS-CM2,ssp126,2034,293.58209229
ACCESS-CM2,ssp126,2035,293.00674438
ACCESS-CM2,ssp126,2036,293.06759644
ACCESS-CM2,ssp126,2037,293.16574097
ACCESS-CM2,ssp126,2038,292.94836426
ACCESS-CM2,ssp126,2039,295.06619263
ACCESS-CM2,ssp126,2040,291.87075806
ACCESS-CM2,ssp126,2041,295.01535034
ACCESS-CM2,ssp126,2042,294.67352295
ACCESS-CM2,ssp126,2043,294.38656616
ACCESS-CM2,ssp126,2044,295.18365479
ACCESS-CM2,ssp126,2045,294.94540405
ACCESS-CM2,ssp126,2046,291.70468140
ACCESS-CM2,ssp126,2047,295.51992798
ACCESS-CM2,ssp126,2048,292.74020386
ACCESS-CM2,ssp126,2049,293.43417358
ACCESS-CM2,ssp126,2050,292.98587036
ACCESS-CM2,ssp126,2051,290.83584595
ACCESS-CM2,ssp126,2052,295.52011108
ACCESS-CM2,ssp126,2053,293.81762695
ACCESS-CM2,ssp126,2054,293.05194092
ACCESS-CM2,ssp126,2055,294.32446289
ACCESS-CM2,ssp126,2056,296.03952026
ACCESS-CM2,ssp126,2057,294.55966187
ACCESS-CM2,ssp126,2058,292.09957886
ACCESS-CM2,ssp126,2059,294.70092773
ACCESS-CM2,ssp126,2060,295.77572632
ACCESS-CM2,ssp126,2061,294.40939331
ACCESS-CM2,ssp126,2062,292.19320679
ACCESS-CM2,ssp126,2063,295.09118652
ACCESS-CM2,ssp126,2064,294.36779785
ACCESS-CM2,ssp126,2065,296.83325195
ACCESS-CM2,ssp126,2066,295.34658813
ACCESS-CM2,ssp126,2067,292.98858643
ACCESS-CM2,ssp126,2068,293.43395996
ACCESS-CM2,ssp126,2069,295.37820435
ACCESS-CM2,ssp126,2070,295.50372314
ACCESS-CM2,ssp126,2071,293.44955444
ACCESS-CM2,ssp126,2072,295.86416626
ACCESS-CM2,ssp126,2073,294.17425537
ACCESS-CM2,ssp126,2074,295.49987793
ACCESS-CM2,ssp126,2075,293.22082520
ACCESS-CM2,ssp126,2076,294.42565918
ACCESS-CM2,ssp126,2077,293.00646973
ACCESS-CM2,ssp126,2078,294.21569824
ACCESS-CM2,ssp126,2079,292.86853027
ACCESS-CM2,ssp126,2080,294.49383545
ACCESS-CM2,ssp126,2081,292.60290527
ACCESS-CM2,ssp126,2082,294.59719849
ACCESS-CM2,ssp126,2083,291.93978882
ACCESS-CM2,ssp126,2084,293.64004517
ACCESS-CM2,ssp126,2085,294.43951416
ACCESS-CM2,ssp126,2086,295.40692139
ACCESS-CM2,ssp126,2087,294.47235107
ACCESS-CM2,ssp126,2088,294.41238403
ACCESS-CM2,ssp126,2089,295.35339355
ACCESS-CM2,ssp126,2090,296.05786133
ACCESS-CM2,ssp126,2091,292.17016602
ACCESS-CM2,ssp126,2092,294.95657349
ACCESS-CM2,ssp126,2093,294.28399658
ACCESS-CM2,ssp126,2094,293.99871826
ACCESS-CM2,ssp126,2095,293.35345459
ACCESS-CM2,ssp126,2096,292.52291870
ACCESS-CM2,ssp126,2097,294.92160034
ACCESS-CM2,ssp126,2098,294.64349365
ACCESS-CM2,ssp126,2099,294.47958374
ACCESS-CM2,ssp245,2015,291.64132690
ACCESS-CM2,ssp245,2016,291.28448486
ACCESS-CM2,ssp245,2017,292.59500122
ACCESS-CM2,ssp245,2018,291.07333374
ACCESS-CM2,ssp245,2019,292.17855835
ACCESS-CM2,ssp245,2020,293.21707153
ACCESS-CM2,ssp245,2021,293.73318481
ACCESS-CM2,ssp245,2022,294.15026855
ACCESS-CM2,ssp245,2023,292.19973755
ACCESS-CM2,ssp245,2024,292.94750977
ACCESS-CM2,ssp245,2025,291.25021362
ACCESS-CM2,ssp245,2026,294.69604492
ACCESS-CM2,ssp245,2027,295.00167847
ACCESS-CM2,ssp245,2028,294.15145874
ACCESS-CM2,ssp245,2029,291.60998535
ACCESS-CM2,ssp245,2030,292.84155273
ACCESS-CM2,ssp245,2031,293.32943726
ACCESS-CM2,ssp245,2032,294.90557861
ACCESS-CM2,ssp245,2033,294.10903931
ACCESS-CM2,ssp245,2034,294.10000610
ACCESS-CM2,ssp245,2035,293.69503784
ACCESS-CM2,ssp245,2036,293.97811890
ACCESS-CM2,ssp245,2037,294.74578857
ACCESS-CM2,ssp245,2038,293.91299438
ACCESS-CM2,ssp245,2039,294.77142334
ACCESS-CM2,ssp245,2040,291.73333740
ACCESS-CM2,ssp245,2041,292.65032959
ACCESS-CM2,ssp245,2042,292.34924316
ACCESS-CM2,ssp245,2043,293.53039551
ACCESS-CM2,ssp245,2044,293.62893677
ACCESS-CM2,ssp245,2045,294.55963135
ACCESS-CM2,ssp245,2046,294.60568237
ACCESS-CM2,ssp245,2047,294.13949585
ACCESS-CM2,ssp245,2048,295.92208862
ACCESS-CM2,ssp245,2049,292.70532227
ACCESS-CM2,ssp245,2050,295.32366943
ACCESS-CM2,ssp245,2051,293.70150757
ACCESS-CM2,ssp245,2052,296.09881592
ACCESS-CM2,ssp245,2053,294.11810303
ACCESS-CM2,ssp245,2054,295.23040771
ACCESS-CM2,ssp245,2055,294.87741089
ACCESS-CM2,ssp245,2056,295.36990356
ACCESS-CM2,ssp245,2057,296.05056763
ACCESS-CM2,ssp245,2058,294.16781616
ACCESS-CM2,ssp245,2059,296.65344238
ACCESS-CM2,ssp245,2060,294.36813354
ACCESS-CM2,ssp245,2061,295.64117432
ACCESS-CM2,ssp245,2062,292.80136108
ACCESS-CM2,ssp245,2063,294.50491333
ACCESS-CM2,ssp245,2064,294.18112183
ACCESS-CM2,ssp245,2065,297.33569336
ACCESS-CM2,ssp245,2066,294.02764893
ACCESS-CM2,ssp245,2067,294.24032593
ACCESS-CM2,ssp245,2068,295.92883301
ACCESS-CM2,ssp245,2069,295.58499146
ACCESS-CM2,ssp245,2070,295.77407837
ACCESS-CM2,ssp245,2071,294.65933228
ACCESS-CM2,ssp245,2072,296.64398193
ACCESS-CM2,ssp245,2073,294.11901855
ACCESS-CM2,ssp245,2074,296.12460327
ACCESS-CM2,ssp245,2075,294.30053711
ACCESS-CM2,ssp245,2076,295.19696045
ACCESS-CM2,ssp245,2077,296.93136597
