model,experiment,year,tas
ACCESS-CM2,historical,1960,285.69192505
ACCESS-CM2,historical,1961,287.02893066
ACCESS-CM2,historical,1962,285.93481445
ACCESS-CM2,historical,1963,286.60363770
ACCESS-CM2,historical,1964,285.13870239
ACCESS-CM2,historical,1965,287.94412231
ACCESS-CM2,historical,1966,285.27819824
ACCESS-CM2,historical,1967,287.19088745
ACCESS-CM2,historical,1968,286.76803589
ACCESS-CM2,historical,1969,285.79208374
ACCESS-CM2,historical,1970,284.62985229
ACCESS-CM2,historical,1971,286.53488159
ACCESS-CM2,historical,1972,284.84179688
ACCESS-CM2,historical,1973,286.90353394
ACCESS-CM2,historical,1974,286.29479980
ACCESS-CM2,historical,1975,286.52044678
ACCESS-CM2,historical,1976,286.91122437
ACCESS-CM2,historical,1977,286.30648804
ACCESS-CM2,historical,1978,286.52987671
ACCESS-CM2,historical,1979,286.51376343
ACCESS-CM2,historical,1980,288.08215332
ACCESS-CM2,historical,1981,286.61050415
ACCESS-CM2,historical,1982,286.75778198
ACCESS-CM2,historical,1983,286.45062256
ACCESS-CM2,historical,1984,286.56484985
ACCESS-CM2,historical,1985,286.83526611
ACCESS-CM2,historical,1986,285.35260010
ACCESS-CM2,historical,1987,286.92196655
ACCESS-CM2,historical,1988,287.48690796
ACCESS-CM2,historical,1989,287.84671021
ACCESS-CM2,historical,1990,288.30590820
ACCESS-CM2,historical,1991,288.38891602
ACCESS-CM2,historical,1992,285.55212402
ACCESS-CM2,historical,1993,287.76858521
ACCESS-CM2,historical,1994,289.84442139
ACCESS-CM2,historical,1995,285.60485840
ACCESS-CM2,historical,1996,288.94464111
ACCESS-CM2,historical,1997,286.83172607
ACCESS-CM2,historical,1998,288.06875610
ACCESS-CM2,historical,1999,286.66329956
ACCESS-CM2,historical,2000,285.26385498
ACCESS-CM2,historical,2001,287.89233398
ACCESS-CM2,historical,2002,285.66928101
ACCESS-CM2,historical,2003,288.10794067
ACCESS-CM2,historical,2004,289.18890381
ACCESS-CM2,historical,2005,289.41198730
ACCESS-CM2,historical,2006,284.60504150
ACCESS-CM2,historical,2007,288.45626831
ACCESS-CM2,historical,2008,287.11199951
ACCESS-CM2,historical,2009,285.62768555
ACCESS-CM2,historical,2010,286.12979126
ACCESS-CM2,historical,2011,287.98931885
ACCESS-CM2,historical,2012,287.16384888
ACCESS-CM2,historical,2013,288.73056030
ACCESS-CM2,historical,2014,286.65176392
ACCESS-CM2,ssp126,2015,285.94577026
ACCESS-CM2,ssp126,2016,288.36822510
ACCESS-CM2,ssp126,2017,287.03259277
ACCESS-CM2,ssp126,2018,289.24414062
ACCESS-CM2,ssp126,2019,288.38226318
ACCESS-CM2,ssp126,2020,290.05114746
ACCESS-CM2,ssp126,2021,288.28057861
ACCESS-CM2,ssp126,2022,286.85324097
ACCESS-CM2,ssp126,2023,288.51376343
ACCESS-CM2,ssp126,2024,285.86242676
ACCESS-CM2,ssp126,2025,288.08367920
ACCESS-CM2,ssp126,2026,287.11807251
ACCESS-CM2,ssp126,2027,286.00546265
ACCESS-CM2,ssp126,2028,289.95666504
ACCESS-CM2,ssp126,2029,287.74783325
ACCESS-CM2,ssp126,2030,289.25851440
ACCESS-CM2,ssp126,2031,286.75457764
ACCESS-CM2,ssp126,2032,287.28045654
ACCESS-CM2,ssp126,2033,287.80349731
ACCESS-CM2,ssp126,2034,288.26663208
ACCESS-CM2,ssp126,2035,288.57025146
ACCESS-CM2,ssp126,2036,288.12542725
ACCESS-CM2,ssp126,2037,288.33508301
ACCESS-CM2,ssp126,2038,287.82910156
ACCESS-CM2,ssp126,2039,290.98037720
ACCESS-CM2,ssp126,2040,286.50988770
ACCESS-CM2,ssp126,2041,289.13452148
ACCESS-CM2,ssp126,2042,290.47390747
ACCESS-CM2,ssp126,2043,290.27252197
ACCESS-CM2,ssp126,2044,289.79696655
ACCESS-CM2,ssp126,2045,289.95220947
ACCESS-CM2,ssp126,2046,286.62380981
ACCESS-CM2,ssp126,2047,291.31921387
ACCESS-CM2,ssp126,2048,287.52313232
ACCESS-CM2,ssp126,2049,289.79843140
ACCESS-CM2,ssp126,2050,287.66088867
ACCESS-CM2,ssp126,2051,285.87750244
ACCESS-CM2,ssp126,2052,290.96722412
ACCESS-CM2,ssp126,2053,289.44390869
ACCESS-CM2,ssp126,2054,287.99957275
ACCESS-CM2,ssp126,2055,289.70547485
ACCESS-CM2,ssp126,2056,290.89465332
ACCESS-CM2,ssp126,2057,288.72879028
ACCESS-CM2,ssp126,2058,286.53814697
ACCESS-CM2,ssp126,2059,290.59512329
ACCESS-CM2,ssp126,2060,290.06838989
ACCESS-CM2,ssp126,2061,288.93884277
ACCESS-CM2,ssp126,2062,287.65582275
ACCESS-CM2,ssp126,2063,291.23098755
ACCESS-CM2,ssp126,2064,289.06698608
ACCESS-CM2,ssp126,2065,290.86929321
ACCESS-CM2,ssp126,2066,290.39422607
ACCESS-CM2,ssp126,2067,287.83944702
ACCESS-CM2,ssp126,2068,288.41516113
ACCESS-CM2,ssp126,2069,290.63897705
ACCESS-CM2,ssp126,2070,288.46981812
ACCESS-CM2,ssp126,2071,288.39633179
ACCESS-CM2,ssp126,2072,290.36022949
ACCESS-CM2,ssp126,2073,288.46911621
ACCESS-CM2,ssp126,2074,290.93826294
ACCESS-CM2,ssp126,2075,288.59362793
ACCESS-CM2,ssp126,2076,289.58596802
ACCESS-CM2,ssp126,2077,288.81451416
ACCESS-CM2,ssp126,2078,289.30676270
ACCESS-CM2,ssp126,2079,288.12130737
ACCESS-CM2,ssp126,2080,289.25427246
ACCESS-CM2,ssp126,2081,288.25958252
ACCESS-CM2,ssp126,2082,290.11752319
ACCESS-CM2,ssp126,2083,286.40203857
ACCESS-CM2,ssp126,2084,287.73059082
ACCESS-CM2,ssp126,2085,290.11941528
ACCESS-CM2,ssp126,2086,291.47036743
ACCESS-CM2,ssp126,2087,290.10406494
ACCESS-CM2,ssp126,2088,289.22436523
ACCESS-CM2,ssp126,2089,289.79125977
ACCESS-CM2,ssp126,2090,291.44766235
ACCESS-CM2,ssp126,2091,287.62860107
ACCESS-CM2,ssp126,2092,290.87854004
ACCESS-CM2,ssp126,2093,289.82397461
ACCESS-CM2,ssp126,2094,289.56533813
ACCESS-CM2,ssp126,2095,289.87976074
ACCESS-CM2,ssp126,2096,287.49792480
ACCESS-CM2,ssp126,2097,289.54232788
ACCESS-CM2,ssp126,2098,289.41879272
ACCESS-CM2,ssp126,2099,289.54986572
ACCESS-CM2,ssp245,2015,285.63229370
ACCESS-CM2,ssp245,2016,286.53659058
ACCESS-CM2,ssp245,2017,287.56344604
ACCESS-CM2,ssp245,2018,286.39416504
ACCESS-CM2,ssp245,2019,285.95822144
ACCESS-CM2,ssp245,2020,288.85797119
ACCESS-CM2,ssp245,2021,287.03433228
ACCESS-CM2,ssp245,2022,289.02801514
ACCESS-CM2,ssp245,2023,286.92398071
ACCESS-CM2,ssp245,2024,287.82537842
ACCESS-CM2,ssp245,2025,286.38674927
ACCESS-CM2,ssp245,2026,289.61700439
ACCESS-CM2,ssp245,2027,289.45227051
ACCESS-CM2,ssp245,2028,288.30139160
ACCESS-CM2,ssp245,2029,287.22528076
ACCESS-CM2,ssp245,2030,287.87518311
ACCESS-CM2,ssp245,2031,289.00729370
ACCESS-CM2,ssp245,2032,289.04449463
ACCESS-CM2,ssp245,2033,288.34887695
ACCESS-CM2,ssp245,2034,288.88595581
ACCESS-CM2,ssp245,2035,287.34701538
ACCESS-CM2,ssp245,2036,288.43280029
ACCESS-CM2,ssp245,2037,291.15551758
ACCESS-CM2,ssp245,2038,288.27389526
ACCESS-CM2,ssp245,2039,289.48452759
ACCESS-CM2,ssp245,2040,288.04818726
ACCESS-CM2,ssp245,2041,286.79382324
ACCESS-CM2,ssp245,2042,288.23278809
ACCESS-CM2,ssp245,2043,288.64389038
ACCESS-CM2,ssp245,2044,288.30297852
ACCESS-CM2,ssp245,2045,289.64318848
ACCESS-CM2,ssp245,2046,289.18569946
ACCESS-CM2,ssp245,2047,288.02297974
ACCESS-CM2,ssp245,2048,291.59960938
ACCESS-CM2,ssp245,2049,287.44003296
ACCESS-CM2,ssp245,2050,290.46832275
ACCESS-CM2,ssp245,2051,286.84295654
ACCESS-CM2,ssp245,2052,289.78045654
ACCESS-CM2,ssp245,2053,288.18490601
ACCESS-CM2,ssp245,2054,290.39422607
ACCESS-CM2,ssp245,2055,289.49536133
ACCESS-CM2,ssp245,2056,290.11080933
ACCESS-CM2,ssp245,2057,290.50424194
ACCESS-CM2,ssp245,2058,290.33575439
ACCESS-CM2,ssp245,2059,292.31845093
ACCESS-CM2,ssp245,2060,289.29586792
ACCESS-CM2,ssp245,2061,291.37551880
ACCESS-CM2,ssp245,2062,287.48364258
ACCESS-CM2,ssp245,2063,289.56222534
ACCESS-CM2,ssp245,2064,288.55590820
ACCESS-CM2,ssp245,2065,292.43328857
ACCESS-CM2,ssp245,2066,289.58096313
ACCESS-CM2,ssp245,2067,288.35751343
ACCESS-CM2,ssp245,2068,290.64709473
ACCESS-CM2,ssp245,2069,291.22229004
ACCESS-CM2,ssp245,2070,289.99645996
ACCESS-CM2,ssp245,2071,291.30148315
ACCESS-CM2,ssp245,2072,292.10665894
ACCESS-CM2,ssp245,2073,288.32922363
ACCESS-CM2,ssp245,2074,291.52575684
ACCESS-CM2,ssp245,2075,289.07403564
ACCESS-CM2,ssp245,2076,289.41397095
ACCESS-CM2,ssp245,2077,291.76153564
ACCESS-CM2,ssp245,2078,289.72238159
ACCESS-CM2,ssp245,2079,290.87460327
ACCESS-CM2,ssp245,2080,291.99774170
ACCESS-CM2,ssp245,2081,288.18930054
ACCESS-CM2,ssp245,2082,289.71966553
ACCESS-CM2,ssp245,2083,290.78341675
ACCESS-CM2,ssp245,2084,290.53344727
ACCESS-CM2,ssp245,2085,288.76489258
ACCESS-CM2,ssp245,2086,289.17675781
ACCESS-CM2,ssp245,2087,291.35464478
ACCESS-CM2,ssp245,2088,292.03161621
ACCESS-CM2,ssp245,2089,288.06924438
ACCESS-CM2,ssp245,2090,291.46820068
ACCESS-CM2,ssp245,2091,290.88616943
ACCESS-CM2,ssp245,2092,291.82116699
ACCESS-CM2,ssp245,2093,291.83361816
ACCESS-CM2,ssp245,2094,290.02383423
ACCESS-CM2,ssp245,2095,291.03991699
ACCESS-CM2,ssp245,2096,292.43875122
ACCESS-CM2,ssp245,2097,292.32391357
ACCESS-CM2,ssp245,2098,289.74197388
ACCESS-CM2,ssp245,2099,289.66110229
ACCESS-CM2,ssp370,2015,285.94714355
ACCESS-CM2,ssp370,2016,286.93066406
ACCESS-CM2,ssp370,2017,285.95510864
ACCESS-CM2,ssp370,2018,286.76910400
ACCESS-CM2,ssp370,2019,288.66830444
ACCESS-CM2,ssp370,2020,286.77148438
ACCESS-CM2,ssp370,2021,288.63616943
ACCESS-CM2,ssp370,2022,287.49700928
ACCESS-CM2,ssp370,2023,287.70559692
ACCESS-CM2,ssp370,2024,288.29437256
ACCESS-CM2,ssp370,2025,289.57699585
ACCESS-CM2,ssp370,2026,288.17462158
ACCESS-CM2,ssp370,2027,289.17358398
ACCESS-CM2,ssp370,2028,289.29873657
ACCESS-CM2,ssp370,2029,288.20037842
ACCESS-CM2,ssp370,2030,288.75308228
ACCESS-CM2,ssp370,2031,289.51080322
ACCESS-CM2,ssp370,2032,288.80123901
